2025-07-08 11:48:15.643506
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.24745" LPOGY="1.67191" LPOGV="0" RPOGX="0.52442" RPOGY="0.55617" RPOGV="0" BPOGX="1.24745" BPOGY="1.67191" BPOGV="0" LPCX="0.55142" LPCY="0.70399" LPD="10.89581" LPS="1.29999" LPV="0" RPCX="0.62008" RPCY="0.74384" RPD="11.44908" RPS="1.29999" RPV="0" LEYEX="0.01995" LEYEY="-0.05328" LEYEZ="0.87491" LPUPILD="0.00425" LPUPILV="1" REYEX="0.02812" REYEY="-0.04683" REYEZ="0.61282" RPUPILD="0.00326" RPUPILV="1" BKID="29" BKDUR="0.00000" BKPMIN="25" />
<REC FPOGX="0.45669" FPOGY="0.52633" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.27769" LPOGY="1.70566" LPOGV="1" RPOGX="0.54907" RPOGY="0.39968" RPOGV="1" BPOGX="0.91338" BPOGY="1.05267" BPOGV="1" LPCX="0.55315" LPCY="0.70622" LPD="10.82576" LPS="1.14157" LPV="1" RPCX="0.62294" RPCY="0.74132" RPD="20.84006" RPS="1.14157" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01207" LPUPILV="1" REYEX="0.02823" REYEY="-0.04639" REYEZ="0.60346" RPUPILD="0.01376" RPUPILV="1" BKID="0" BKDUR="0.06700" BKPMIN="26" />
<REC FPOGX="0.57907" FPOGY="0.55041" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.09129" LPOGY="1.18639" LPOGV="1" RPOGX="0.55640" RPOGY="0.01073" RPOGV="1" BPOGX="0.82384" BPOGY="0.59856" BPOGV="1" LPCX="0.55319" LPCY="0.70707" LPD="10.50763" LPS="0.98315" LPV="1" RPCX="0.62301" RPCY="0.74140" RPD="20.70781" RPS="0.98315" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01134" LPUPILV="1" REYEX="0.02823" REYEY="-0.04639" REYEZ="0.60346" RPUPILD="0.01406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.83911" FPOGY="0.77582" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.02595" LPOGY="1.16442" LPOGV="1" RPOGX="0.53429" RPOGY="0.18803" RPOGV="1" BPOGX="0.78012" BPOGY="0.67622" BPOGV="1" LPCX="0.55318" LPCY="0.70769" LPD="9.81991" LPS="0.82473" LPV="1" RPCX="0.62311" RPCY="0.74142" RPD="20.84467" RPS="0.82473" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01088" LPUPILV="1" REYEX="0.02823" REYEY="-0.04639" REYEZ="0.60346" RPUPILD="0.01394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.79731" FPOGY="0.74614" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="0.98605" LPOGY="1.15427" LPOGV="1" RPOGX="0.52497" RPOGY="0.27867" RPOGV="1" BPOGX="0.75551" BPOGY="0.71647" BPOGV="1" LPCX="0.55282" LPCY="0.70617" LPD="9.70606" LPS="0.72917" LPV="1" RPCX="0.62308" RPCY="0.74144" RPD="20.93309" RPS="0.74139" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01262" LPUPILV="1" REYEX="0.03041" REYEY="-0.04986" REYEZ="0.64793" RPUPILD="0.01367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.69427" FPOGY="0.56371" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="0.98605" LPOGY="1.15427" LPOGV="0" RPOGX="0.48819" RPOGY="0.19883" RPOGV="1" BPOGX="0.48819" BPOGY="0.19883" BPOGV="1" LPCX="0.55282" LPCY="0.70617" LPD="9.70606" LPS="0.80426" LPV="0" RPCX="0.62322" RPCY="0.74140" RPD="20.51237" RPS="0.81648" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01262" LPUPILV="1" REYEX="0.03041" REYEY="-0.04986" REYEZ="0.64793" RPUPILD="0.01374" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.67040" FPOGY="0.46345" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.04110" LPOGY="0.84698" LPOGV="1" RPOGX="0.49393" RPOGY="0.10311" RPOGV="1" BPOGX="0.76751" BPOGY="0.47504" BPOGV="1" LPCX="0.55295" LPCY="0.70502" LPD="10.72300" LPS="0.87935" LPV="1" RPCX="0.62324" RPCY="0.74148" RPD="20.45839" RPS="0.89157" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01224" LPUPILV="1" REYEX="0.03041" REYEY="-0.04986" REYEZ="0.64793" RPUPILD="0.01385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.72605" FPOGY="0.45059" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.06640" LPOGY="0.82855" LPOGV="1" RPOGX="0.49698" RPOGY="0.04690" RPOGV="1" BPOGX="0.78169" BPOGY="0.43772" BPOGV="1" LPCX="0.55294" LPCY="0.70563" LPD="10.44802" LPS="0.94249" LPV="1" RPCX="0.62334" RPCY="0.74140" RPD="20.60557" RPS="0.94249" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01166" LPUPILV="1" REYEX="0.02842" REYEY="-0.04645" REYEZ="0.60365" RPUPILD="0.01372" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.75171" FPOGY="0.47546" FPOGS="326.79718" FPOGD="0.46216" FPOGID="185" FPOGV="0" LPOGX="1.07899" LPOGY="0.97706" LPOGV="1" RPOGX="0.52709" RPOGY="0.07333" RPOGV="1" BPOGX="0.80304" BPOGY="0.52519" BPOGV="1" LPCX="0.55301" LPCY="0.70577" LPD="10.44171" LPS="0.93055" LPV="1" RPCX="0.62332" RPCY="0.74139" RPD="20.54251" RPS="0.91832" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01144" LPUPILV="1" REYEX="0.02842" REYEY="-0.04645" REYEZ="0.60365" RPUPILD="0.01379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.66207" FPOGY="0.50469" FPOGS="327.44687" FPOGD="0.02032" FPOGID="186" FPOGV="1" LPOGX="0.25808" LPOGY="1.10162" LPOGV="1" RPOGX="0.52822" RPOGY="0.08317" RPOGV="1" BPOGX="0.39315" BPOGY="0.59239" BPOGV="1" LPCX="0.55320" LPCY="0.70647" LPD="10.65279" LPS="0.90638" LPV="1" RPCX="0.62334" RPCY="0.74140" RPD="20.60557" RPS="0.89416" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01053" LPUPILV="1" REYEX="0.02842" REYEY="-0.04645" REYEZ="0.60365" RPUPILD="0.01381" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.60919" FPOGY="0.52491" FPOGS="327.44687" FPOGD="0.02658" FPOGID="186" FPOGV="1" LPOGX="0.26948" LPOGY="1.10133" LPOGV="1" RPOGX="0.52590" RPOGY="0.11022" RPOGV="1" BPOGX="0.39769" BPOGY="0.60578" BPOGV="1" LPCX="0.55337" LPCY="0.70695" LPD="10.88351" LPS="0.88221" LPV="1" RPCX="0.62325" RPCY="0.74141" RPD="20.60051" RPS="0.86999" RPV="1" LEYEX="0.00936" LEYEY="-0.02592" LEYEZ="0.43975" LPUPILD="0.01033" LPUPILV="1" REYEX="0.02842" REYEY="-0.04641" REYEZ="0.60365" RPUPILD="0.01378" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
