2025-05-28 16:58:53.441130
"0.02161" LEYEZ="0.57736" LPUPILD="0.00413" LPUPILV="1" REYEX="0.03119" REYEY="0.01972" REYEZ="0.57776" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.21774" FPOGY="0.06195" FPOGS="3278.61743" FPOGD="0.10034" FPOGID="6818" FPOGV="1" LPOGX="0.23202" LPOGY="0.09878" LPOGV="1" RPOGX="0.19867" RPOGY="-0.00109" RPOGV="1" BPOGX="0.21534" BPOGY="0.04885" BPOGV="1" LPCX="0.31083" LPCY="0.38478" LPD="24.35159" LPS="0.77108" LPV="1" RPCX="0.60718" RPCY="0.38148" RPD="22.65530" RPS="0.77108" RPV="1" LEYEX="-0.03960" LEYEY="0.01811" LEYEZ="0.56140" LPUPILD="0.00427" LPUPILV="1" REYEX="0.02430" REYEY="0.01925" REYEZ="0.58078" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21750" FPOGY="0.06089" FPOGS="3278.61743" FPOGD="0.10718" FPOGID="6818" FPOGV="1" LPOGX="0.22988" LPOGY="0.09436" LPOGV="1" RPOGX="0.19757" RPOGY="-0.00675" RPOGV="1" BPOGX="0.21373" BPOGY="0.04380" BPOGV="1" LPCX="0.31216" LPCY="0.38461" LPD="24.22787" LPS="0.77498" LPV="1" RPCX="0.60852" RPCY="0.38213" RPD="22.99145" RPS="0.77498" RPV="1" LEYEX="-0.03941" LEYEY="0.01849" LEYEZ="0.56947" LPUPILD="0.00423" LPUPILV="1" REYEX="0.02440" REYEY="0.01850" REYEZ="0.56310" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21759" FPOGY="0.05971" FPOGS="3278.61743" FPOGD="0.11377" FPOGID="6818" FPOGV="1" LPOGX="0.21643" LPOGY="0.10124" LPOGV="1" RPOGX="0.22196" RPOGY="-0.02178" RPOGV="1" BPOGX="0.21920" BPOGY="0.03973" BPOGV="1" LPCX="0.31359" LPCY="0.38404" LPD="23.83409" LPS="0.77498" LPV="1" RPCX="0.61013" RPCY="0.38294" RPD="23.25780" RPS="0.77498" RPV="1" LEYEX="-0.03941" LEYEY="0.01849" LEYEZ="0.56947" LPUPILD="0.00433" LPUPILV="1" REYEX="0.02440" REYEY="0.01850" REYEZ="0.56310" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21743" FPOGY="0.05972" FPOGS="3278.61743" FPOGD="0.12012" FPOGID="6818" FPOGV="1" LPOGX="0.20684" LPOGY="0.07929" LPOGV="1" RPOGX="0.22195" RPOGY="0.04052" RPOGV="1" BPOGX="0.21440" BPOGY="0.05991" BPOGV="1" LPCX="0.31433" LPCY="0.38384" LPD="23.45718" LPS="0.77498" LPV="1" RPCX="0.61066" RPCY="0.38288" RPD="22.82547" RPS="0.77498" RPV="1" LEYEX="-0.03941" LEYEY="0.01849" LEYEZ="0.56947" LPUPILD="0.00424" LPUPILV="1" REYEX="0.02440" REYEY="0.01850" REYEZ="0.56310" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21728" FPOGY="0.05973" FPOGS="3278.61743" FPOGD="0.12671" FPOGID="6818" FPOGV="1" LPOGX="0.20684" LPOGY="0.07929" LPOGV="1" RPOGX="0.22195" RPOGY="0.04052" RPOGV="1" BPOGX="0.21440" BPOGY="0.05991" BPOGV="1" LPCX="0.31519" LPCY="0.38404" LPD="24.67160" LPS="0.77498" LPV="1" RPCX="0.61186" RPCY="0.38329" RPD="22.41723" RPS="0.77498" RPV="1" LEYEX="-0.03855" LEYEY="0.01845" LEYEZ="0.56697" LPUPILD="0.00416" LPUPILV="1" REYEX="0.02589" REYEY="0.01879" REYEZ="0.58131" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21681" FPOGY="0.05972" FPOGS="3278.61743" FPOGD="0.13403" FPOGID="6818" FPOGV="1" LPOGX="0.21123" LPOGY="0.09326" LPOGV="1" RPOGX="0.20390" RPOGY="0.02574" RPOGV="1" BPOGX="0.20756" BPOGY="0.05950" BPOGV="1" LPCX="0.31651" LPCY="0.38396" LPD="24.69579" LPS="0.77498" LPV="1" RPCX="0.61351" RPCY="0.38423" RPD="22.51385" RPS="0.77498" RPV="1" LEYEX="-0.03855" LEYEY="0.01845" LEYEZ="0.56697" LPUPILD="0.00429" LPUPILV="1" REYEX="0.02589" REYEY="0.01879" REYEZ="0.58131" RPUPILD="0.00413" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21684" FPOGY="0.05991" FPOGS="3278.61743" FPOGD="0.14014" FPOGID="6818" FPOGV="1" LPOGX="0.22086" LPOGY="0.12088" LPOGV="1" RPOGX="0.21390" RPOGY="0.00697" RPOGV="1" BPOGX="0.21738" BPOGY="0.06393" BPOGV="1" LPCX="0.31698" LPCY="0.38334" LPD="23.86431" LPS="0.77498" LPV="1" RPCX="0.61394" RPCY="0.38407" RPD="22.29786" RPS="0.77498" RPV="1" LEYEX="-0.03855" LEYEY="0.01845" LEYEZ="0.56697" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02589" REYEY="0.01879" REYEZ="0.58131" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21696" FPOGY="0.06044" FPOGS="3278.61743" FPOGD="0.14697" FPOGID="6818" FPOGV="1" LPOGX="0.22304" LPOGY="0.12518" LPOGV="1" RPOGX="0.21608" RPOGY="0.01879" RPOGV="1" BPOGX="0.21956" BPOGY="0.07198" BPOGV="1" LPCX="0.31816" LPCY="0.38328" LPD="23.86563" LPS="0.77108" LPV="1" RPCX="0.61485" RPCY="0.38468" RPD="23.26736" RPS="0.76673" RPV="1" LEYEX="-0.03656" LEYEY="0.01792" LEYEZ="0.54670" LPUPILD="0.00429" LPUPILV="1" REYEX="0.02576" REYEY="0.01802" REYEZ="0.56415" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21658" FPOGY="0.06153" FPOGS="3278.61743" FPOGD="0.15405" FPOGID="6818" FPOGV="1" LPOGX="0.20525" LPOGY="0.11136" LPOGV="1" RPOGX="0.21062" RPOGY="0.06215" RPOGV="1" BPOGX="0.20793" BPOGY="0.08676" BPOGV="1" LPCX="0.31927" LPCY="0.38315" LPD="24.19741" LPS="0.76284" LPV="1" RPCX="0.61602" RPCY="0.38519" RPD="22.95105" RPS="0.75849" RPV="1" LEYEX="-0.03656" LEYEY="0.01792" LEYEZ="0.54670" LPUPILD="0.00429" LPUPILV="1" REYEX="0.02576" REYEY="0.01802" REYEZ="0.56415" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21729" FPOGY="0.06269" FPOGS="3278.61743" FPOGD="0.16016" FPOGID="6818" FPOGV="1" LPOGX="0.24392" LPOGY="0.11532" LPOGV="1" RPOGX="0.22476" RPOGY="0.06583" RPOGV="1" BPOGX="0.23434" BPOGY="0.09057" BPOGV="1" LPCX="0.32009" LPCY="0.38293" LPD="23.79197" LPS="0.75460" LPV="1" RPCX="0.61679" RPCY="0.38584" RPD="22.85307" RPS="0.75025" RPV="1" LEYEX="-0.03656" LEYEY="0.01792" LEYEZ="0.54670" LPUPILD="0.00439" LPUPILV="1" REYEX="0.02576" REYEY="0.01802" REYEZ="0.56415" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.21807" FPOGY="0.06417" FPOGS="3278.61743" FPOGD="0.16699" FPOGID="6818" FPOGV="1" LPOGX="0.24842" LPOGY="0.12477" LPOGV="1" RPOGX="0.22691" RPOGY="0.07736" RPOGV="1" BPOGX="0.23767" BPOGY="0.10106" BPOGV="1" LPCX="0.32118" LPCY="0.38257" LPD="23.43840" LPS="0.74635" LPV="1" RPCX="0.61860" RPCY="0.38595" RPD="22.85496" RPS="0.74201" RPV="1" LEYEX="-0.03641" LEYEY="0.01821" LEYEZ="0.55436" LPUPILD="0.00419" LPUPILV="1" REYEX="0.02664" REYEY="0.01794" REYEZ="0.56673" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
