2025-05-22 10:41:31.598550
EYEZ="0.60671" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="24" />
<REC FPOGX="0.59853" FPOGY="0.25626" FPOGS="1299.45703" FPOGD="0.16016" FPOGID="3067" FPOGV="1" LPOGX="0.72000" LPOGY="0.31178" LPOGV="1" RPOGX="0.47446" RPOGY="0.28304" RPOGV="1" BPOGX="0.59723" BPOGY="0.29741" BPOGV="1" LPCX="0.48730" LPCY="0.57735" LPD="19.75611" LPS="1.00908" LPV="1" RPCX="0.78278" RPCY="0.62640" RPD="18.64571" RPS="1.00190" RPV="1" LEYEX="-0.00326" LEYEY="-0.01678" LEYEZ="0.64849" LPUPILD="0.00344" LPUPILV="1" REYEX="0.06959" REYEY="-0.02648" REYEZ="0.64189" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59847" FPOGY="0.25795" FPOGS="1299.45703" FPOGD="0.16675" FPOGID="3067" FPOGV="1" LPOGX="0.71974" LPOGY="0.31728" LPOGV="1" RPOGX="0.47446" RPOGY="0.28304" RPOGV="1" BPOGX="0.59710" BPOGY="0.30016" BPOGV="1" LPCX="0.48734" LPCY="0.57725" LPD="19.35576" LPS="1.00190" LPV="1" RPCX="0.78276" RPCY="0.62625" RPD="18.85615" RPS="1.00190" RPV="1" LEYEX="-0.00326" LEYEY="-0.01673" LEYEZ="0.64849" LPUPILD="0.00347" LPUPILV="1" REYEX="0.07150" REYEY="-0.02702" REYEZ="0.65989" RPUPILD="0.00330" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59821" FPOGY="0.25816" FPOGS="1299.45703" FPOGD="0.17383" FPOGID="3067" FPOGV="1" LPOGX="0.71237" LPOGY="0.33479" LPOGV="1" RPOGX="0.47034" RPOGY="0.19272" RPOGV="1" BPOGX="0.59136" BPOGY="0.26375" BPOGV="1" LPCX="0.48723" LPCY="0.57703" LPD="19.68588" LPS="1.00190" LPV="1" RPCX="0.78268" RPCY="0.62579" RPD="18.04235" RPS="1.00908" RPV="1" LEYEX="-0.00326" LEYEY="-0.01673" LEYEZ="0.64849" LPUPILD="0.00341" LPUPILV="1" REYEX="0.07150" REYEY="-0.02702" REYEZ="0.65989" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59830" FPOGY="0.25768" FPOGS="1299.45703" FPOGD="0.18042" FPOGID="3067" FPOGV="1" LPOGX="0.73581" LPOGY="0.30177" LPOGV="1" RPOGX="0.46579" RPOGY="0.18751" RPOGV="1" BPOGX="0.60080" BPOGY="0.24464" BPOGV="1" LPCX="0.48725" LPCY="0.57680" LPD="19.42226" LPS="1.00908" LPV="1" RPCX="0.78274" RPCY="0.62556" RPD="18.56860" RPS="1.01627" RPV="1" LEYEX="-0.00326" LEYEY="-0.01673" LEYEZ="0.64849" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07150" REYEY="-0.02702" REYEZ="0.65989" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59839" FPOGY="0.25723" FPOGS="1299.45703" FPOGD="0.18738" FPOGID="3067" FPOGV="1" LPOGX="0.73582" LPOGY="0.30164" LPOGV="1" RPOGX="0.46580" RPOGY="0.18737" RPOGV="1" BPOGX="0.60081" BPOGY="0.24450" BPOGV="1" LPCX="0.48720" LPCY="0.57671" LPD="19.64546" LPS="1.00925" LPV="1" RPCX="0.78267" RPCY="0.62557" RPD="18.56617" RPS="1.01644" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00346" LPUPILV="1" REYEX="0.07169" REYEY="-0.02695" REYEZ="0.66165" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59808" FPOGY="0.25790" FPOGS="1299.45703" FPOGD="0.19348" FPOGID="3067" FPOGV="1" LPOGX="0.69483" LPOGY="0.31351" LPOGV="1" RPOGX="0.48335" RPOGY="0.24132" RPOGV="1" BPOGX="0.58909" BPOGY="0.27741" BPOGV="1" LPCX="0.48713" LPCY="0.57637" LPD="19.95689" LPS="1.00941" LPV="1" RPCX="0.78239" RPCY="0.62532" RPD="18.77096" RPS="1.00941" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00341" LPUPILV="1" REYEX="0.07169" REYEY="-0.02695" REYEZ="0.66165" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59866" FPOGY="0.25898" FPOGS="1299.45703" FPOGD="0.20007" FPOGID="3067" FPOGV="1" LPOGX="0.72483" LPOGY="0.36253" LPOGV="1" RPOGX="0.50745" RPOGY="0.22022" RPOGV="1" BPOGX="0.61614" BPOGY="0.29137" BPOGV="1" LPCX="0.48707" LPCY="0.57610" LPD="19.66478" LPS="1.00239" LPV="1" RPCX="0.78241" RPCY="0.62489" RPD="18.42306" RPS="1.00239" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07169" REYEY="-0.02695" REYEZ="0.66165" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59921" FPOGY="0.25999" FPOGS="1299.45703" FPOGD="0.20715" FPOGID="3067" FPOGV="1" LPOGX="0.72483" LPOGY="0.36253" LPOGV="1" RPOGX="0.50745" RPOGY="0.22022" RPOGV="1" BPOGX="0.61614" BPOGY="0.29137" BPOGV="1" LPCX="0.48715" LPCY="0.57610" LPD="19.60451" LPS="1.00239" LPV="1" RPCX="0.78234" RPCY="0.62480" RPD="18.55927" RPS="1.00239" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00347" LPUPILV="1" REYEX="0.07089" REYEY="-0.02658" REYEZ="0.65519" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59925" FPOGY="0.26004" FPOGS="1299.45703" FPOGD="0.21362" FPOGID="3067" FPOGV="1" LPOGX="0.70857" LPOGY="0.27220" LPOGV="1" RPOGX="0.49229" RPOGY="0.25065" RPOGV="1" BPOGX="0.60043" BPOGY="0.26142" BPOGV="1" LPCX="0.48701" LPCY="0.57565" LPD="19.96973" LPS="1.00941" LPV="1" RPCX="0.78217" RPCY="0.62431" RPD="18.61871" RPS="1.00941" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00342" LPUPILV="1" REYEX="0.07089" REYEY="-0.02658" REYEZ="0.65519" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59899" FPOGY="0.26020" FPOGS="1299.45703" FPOGD="0.22058" FPOGID="3067" FPOGV="1" LPOGX="0.70382" LPOGY="0.31481" LPOGV="1" RPOGX="0.47750" RPOGY="0.21624" RPOGV="1" BPOGX="0.59066" BPOGY="0.26552" BPOGV="1" LPCX="0.48684" LPCY="0.57547" LPD="19.87752" LPS="1.01644" LPV="1" RPCX="0.78203" RPCY="0.62384" RPD="18.15834" RPS="1.01644" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00350" LPUPILV="1" REYEX="0.07089" REYEY="-0.02658" REYEZ="0.65519" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59876" FPOGY="0.26019" FPOGS="1299.45703" FPOGD="0.22729" FPOGID="3067" FPOGV="1" LPOGX="0.70397" LPOGY="0.30952" LPOGV="1" RPOGX="0.47777" RPOGY="0.21020" RPOGV="1" BPOGX="0.59087" BPOGY="0.25986" BPOGV="1" LPCX="0.48684" LPCY="0.57522" LPD="19.35016" LPS="1.02346" LPV="1" RPCX="0.78201" RPCY="0.62370" RPD="18.22027" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00355" LPUPILV="1" REYEX="0.07137" REYEY="-0.02655" REYEZ="0.66051" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59817" FPOGY="0.26056" FPOGS="1299.45703" FPOGD="0.23413" FPOGID="3067" FPOGV="1" LPOGX="0.68971" LPOGY="0.28807" LPOGV="1" RPOGX="0.46509" RPOGY="0.25895" RPOGV="1" BPOGX="0.57740" BPOGY="0.27351" BPOGV="1" LPCX="0.48671" LPCY="0.57489" LPD="19.48195" LPS="1.02346" LPV="1" RPCX="0.78181" RPCY="0.62332" RPD="18.78030" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00351" LPUPILV="1" REYEX="0.07137" REYEY="-0.02655" REYEZ="0.66051" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59818" FPOGY="0.26049" FPOGS="1299.45703" FPOGD="0.24072" FPOGID="3067" FPOGV="1" LPOGX="0.71049" LPOGY="0.31051" LPOGV="1" RPOGX="0.48684" RPOGY="0.20573" RPOGV="1" BPOGX="0.59867" BPOGY="0.25812" BPOGV="1" LPCX="0.48653" LPCY="0.57460" LPD="19.94310" LPS="1.02346" LPV="1" RPCX="0.78175" RPCY="0.62293" RPD="18.04145" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00348" LPUPILV="1" REYEX="0.07137" REYEY="-0.02655" REYEZ="0.66051" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59819" FPOGY="0.26043" FPOGS="1299.45703" FPOGD="0.24756" FPOGID="3067" FPOGV="1" LPOGX="0.71049" LPOGY="0.31051" LPOGV="1" RPOGX="0.48684" RPOGY="0.20573" RPOGV="1" BPOGX="0.59867" BPOGY="0.25812" BPOGV="1" LPCX="0.48655" LPCY="0.57451" LPD="20.08471" LPS="1.02346" LPV="1" RPCX="0.78176" RPCY="0.62277" RPD="18.42538" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07080" REYEY="-0.02620" REYEZ="0.65532" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59863" FPOGY="0.26098" FPOGS="1299.45703" FPOGD="0.25513" FPOGID="3067" FPOGV="1" LPOGX="0.73351" LPOGY="0.30805" LPOGV="1" RPOGX="0.49717" RPOGY="0.25600" RPOGV="1" BPOGX="0.61534" BPOGY="0.28203" BPOGV="1" LPCX="0.48633" LPCY="0.57406" LPD="19.72629" LPS="1.02346" LPV="1" RPCX="0.78148" RPCY="0.62241" RPD="18.61737" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00349" LPUPILV="1" REYEX="0.07080" REYEY="-0.02620" REYEZ="0.65532" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59885" FPOGY="0.26086" FPOGS="1299.45703" FPOGD="0.26074" FPOGID="3067" FPOGV="1" LPOGX="0.72321" LPOGY="0.28071" LPOGV="1" RPOGX="0.49156" RPOGY="0.23184" RPOGV="1" BPOGX="0.60739" BPOGY="0.25627" BPOGV="1" LPCX="0.48629" LPCY="0.57385" LPD="19.93668" LPS="1.02346" LPV="1" RPCX="0.78141" RPCY="0.62225" RPD="18.70992" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00345" LPUPILV="1" REYEX="0.07080" REYEY="-0.02620" REYEZ="0.65532" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59907" FPOGY="0.26051" FPOGS="1299.45703" FPOGD="0.26855" FPOGID="3067" FPOGV="1" LPOGX="0.72351" LPOGY="0.27449" LPOGV="1" RPOGX="0.49237" RPOGY="0.21846" RPOGV="1" BPOGX="0.60794" BPOGY="0.24648" BPOGV="1" LPCX="0.48632" LPCY="0.57374" LPD="19.83274" LPS="1.03137" LPV="1" RPCX="0.78140" RPCY="0.62217" RPD="19.35100" RPS="1.03946" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00344" LPUPILV="1" REYEX="0.07278" REYEY="-0.02683" REYEZ="0.67501" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59900" FPOGY="0.26003" FPOGS="1299.45703" FPOGD="0.27405" FPOGID="3067" FPOGV="1" LPOGX="0.71253" LPOGY="0.29258" LPOGV="1" RPOGX="0.47908" RPOGY="0.18755" RPOGV="1" BPOGX="0.59580" BPOGY="0.24006" BPOGV="1" LPCX="0.48608" LPCY="0.57353" LPD="19.89002" LPS="1.04736" LPV="1" RPCX="0.78127" RPCY="0.62196" RPD="18.94330" RPS="1.05545" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00350" LPUPILV="1" REYEX="0.07278" REYEY="-0.02683" REYEZ="0.67501" RPUPILD="0.00334" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59870" FPOGY="0.25908" FPOGS="1299.45703" FPOGD="0.28064" FPOGID="3067" FPOGV="1" LPOGX="0.70944" LPOGY="0.28112" LPOGV="1" RPOGX="0.46314" RPOGY="0.15763" RPOGV="1" BPOGX="0.58629" BPOGY="0.21938" BPOGV="1" LPCX="0.48604" LPCY="0.57355" LPD="20.06208" LPS="1.06335" LPV="1" RPCX="0.78116" RPCY="0.62193" RPD="19.13103" RPS="1.07144" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00349" LPUPILV="1" REYEX="0.07278" REYEY="-0.02683" REYEZ="0.67501" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59842" FPOGY="0.25811" FPOGS="1299.45703" FPOGD="0.28772" FPOGID="3067" FPOGV="1" LPOGX="0.70964" LPOGY="0.27503" LPOGV="1" RPOGX="0.46314" RPOGY="0.15763" RPOGV="1" BPOGX="0.58639" BPOGY="0.21633" BPOGV="1" LPCX="0.48605" LPCY="0.57346" LPD="19.76633" LPS="1.07144" LPV="1" RPCX="0.78116" RPCY="0.62177" RPD="19.12481" RPS="1.07144" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00353" LPUPILV="1" REYEX="0.07140" REYEY="-0.02634" REYEZ="0.66267" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59841" FPOGY="0.25763" FPOGS="1299.45703" FPOGD="0.29443" FPOGID="3067" FPOGV="1" LPOGX="0.70512" LPOGY="0.28677" LPOGV="1" RPOGX="0.49055" RPOGY="0.18629" RPOGV="1" BPOGX="0.59784" BPOGY="0.23653" BPOGV="1" LPCX="0.48603" LPCY="0.57348" LPD="19.82492" LPS="1.06354" LPV="1" RPCX="0.78094" RPCY="0.62203" RPD="19.12103" RPS="1.05545" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00355" LPUPILV="1" REYEX="0.07140" REYEY="-0.02634" REYEZ="0.66267" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59821" FPOGY="0.25684" FPOGS="1299.45703" FPOGD="0.30103" FPOGID="3067" FPOGV="1" LPOGX="0.68796" LPOGY="0.24093" LPOGV="1" RPOGX="0.49068" RPOGY="0.20135" RPOGV="1" BPOGX="0.58932" BPOGY="0.22114" BPOGV="1" LPCX="0.48599" LPCY="0.57351" LPD="19.80994" LPS="1.04754" LPV="1" RPCX="0.78095" RPCY="0.62215" RPD="18.87227" RPS="1.03946" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00356" LPUPILV="1" REYEX="0.07140" REYEY="-0.02634" REYEZ="0.66267" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59801" FPOGY="0.25636" FPOGS="1299.45703" FPOGD="0.30774" FPOGID="3067" FPOGV="1" LPOGX="0.68787" LPOGY="0.25371" LPOGV="1" RPOGX="0.48989" RPOGY="0.21500" RPOGV="1" BPOGX="0.58888" BPOGY="0.23436" BPOGV="1" LPCX="0.48593" LPCY="0.57356" LPD="19.80745" LPS="1.03155" LPV="1" RPCX="0.78089" RPCY="0.62223" RPD="18.90114" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00355" LPUPILV="1" REYEX="0.07110" REYEY="-0.02628" REYEZ="0.65990" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59784" FPOGY="0.25635" FPOGS="1299.45703" FPOGD="0.31445" FPOGID="3067" FPOGV="1" LPOGX="0.69065" LPOGY="0.30528" LPOGV="1" RPOGX="0.48855" RPOGY="0.20649" RPOGV="1" BPOGX="0.58960" BPOGY="0.25588" BPOGV="1" LPCX="0.48585" LPCY="0.57403" LPD="19.89866" LPS="1.02346" LPV="1" RPCX="0.78098" RPCY="0.62254" RPD="18.80859" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00349" LPUPILV="1" REYEX="0.07110" REYEY="-0.02628" REYEZ="0.65990" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59753" FPOGY="0.25607" FPOGS="1299.45703" FPOGD="0.32080" FPOGID="3067" FPOGV="1" LPOGX="0.69627" LPOGY="0.27821" LPOGV="1" RPOGX="0.47978" RPOGY="0.20615" RPOGV="1" BPOGX="0.58802" BPOGY="0.24218" BPOGV="1" LPCX="0.48587" LPCY="0.57410" LPD="19.99773" LPS="1.02346" LPV="1" RPCX="0.78090" RPCY="0.62275" RPD="18.49814" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00349" LPUPILV="1" REYEX="0.07110" REYEY="-0.02628" REYEZ="0.65990" RPUPILD="0.00343" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59721" FPOGY="0.25607" FPOGS="1299.45703" FPOGD="0.32788" FPOGID="3067" FPOGV="1" LPOGX="0.69627" LPOGY="0.27821" LPOGV="1" RPOGX="0.47978" RPOGY="0.20615" RPOGV="1" BPOGX="0.58802" BPOGY="0.24218" BPOGV="1" LPCX="0.48591" LPCY="0.57431" LPD="19.87326" LPS="1.02346" LPV="1" RPCX="0.78089" RPCY="0.62278" RPD="18.21121" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00351" LPUPILV="1" REYEX="0.07110" REYEY="-0.02648" REYEZ="0.65990" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.59704" FPOGY="0.25637" FPOGS="1299.45703" FPOGD="0.33423" FPOGID="3067" FPOGV="1" LPOGX="0.69291" LPOGY="0.30293" LPOGV="1" RPOGX="0.48734" RPOGY="0.23205" RPOGV="1" BPOGX="0.59013" BPOGY="0.26749" BPOGV="1" LPCX="0.48589" LPCY="0.57473" LPD="19.87711" LPS="1.02346" LPV="1" RPCX="0.78097" RPCY="0.62350" RPD="18.84361" RPS="1.02346" RPV="1" LEYEX="-0.00323" LEYEY="-0.01627" LEYEZ="0.63430" LPUPILD="0.00351" LPUPILV="1" REYEX="0.07110" REYEY="-0.02648" REYEZ="0.65990" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
