2025-05-27 14:53:39.376767
EYEZ="0.55661" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60511" FPOGY="0.25065" FPOGS="4529.54248" FPOGD="0.23486" FPOGID="9860" FPOGV="0" LPOGX="0.68714" LPOGY="0.33353" LPOGV="1" RPOGX="0.53467" RPOGY="0.21924" RPOGV="1" BPOGX="0.61090" BPOGY="0.27638" BPOGV="1" LPCX="0.19345" LPCY="0.10825" LPD="21.25529" LPS="0.72604" LPV="1" RPCX="0.48131" RPCY="0.12374" RPD="24.17855" RPS="0.72604" RPV="1" LEYEX="-0.06316" LEYEY="0.06396" LEYEZ="0.54250" LPUPILD="0.00403" LPUPILV="1" REYEX="-0.00409" REYEY="0.06245" REYEZ="0.55661" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60388" FPOGY="0.29141" FPOGS="4530.09863" FPOGD="0.60938" FPOGID="9863" FPOGV="1" LPOGX="0.66548" LPOGY="0.33234" LPOGV="1" RPOGX="0.53986" RPOGY="0.19341" RPOGV="1" BPOGX="0.60267" BPOGY="0.26287" BPOGV="1" LPCX="0.22422" LPCY="0.10104" LPD="23.49443" LPS="0.72237" LPV="1" RPCX="0.50972" RPCY="0.13837" RPD="24.93635" RPS="0.72604" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00448" LPUPILV="1" REYEX="0.00188" REYEY="0.05872" REYEZ="0.54483" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60402" FPOGY="0.28947" FPOGS="4530.09863" FPOGD="0.61572" FPOGID="9863" FPOGV="1" LPOGX="0.68436" LPOGY="0.29032" LPOGV="1" RPOGX="0.54865" RPOGY="0.20177" RPOGV="1" BPOGX="0.61650" BPOGY="0.24605" BPOGV="1" LPCX="0.22423" LPCY="0.10103" LPD="24.52059" LPS="0.72604" LPV="1" RPCX="0.51001" RPCY="0.13853" RPD="25.08409" RPS="0.72604" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00445" LPUPILV="1" REYEX="0.00188" REYEY="0.05872" REYEZ="0.54483" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60446" FPOGY="0.28762" FPOGS="4530.09863" FPOGD="0.62256" FPOGID="9863" FPOGV="1" LPOGX="0.68552" LPOGY="0.28010" LPOGV="1" RPOGX="0.55725" RPOGY="0.20186" RPOGV="1" BPOGX="0.62139" BPOGY="0.24098" BPOGV="1" LPCX="0.22435" LPCY="0.10069" LPD="23.73736" LPS="0.72604" LPV="1" RPCX="0.51009" RPCY="0.13870" RPD="25.48642" RPS="0.72604" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00448" LPUPILV="1" REYEX="0.00188" REYEY="0.05872" REYEZ="0.54483" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60490" FPOGY="0.28578" FPOGS="4530.09863" FPOGD="0.62939" FPOGID="9863" FPOGV="1" LPOGX="0.68550" LPOGY="0.28403" LPOGV="1" RPOGX="0.55612" RPOGY="0.21066" RPOGV="1" BPOGX="0.62081" BPOGY="0.24734" BPOGV="1" LPCX="0.22450" LPCY="0.10052" LPD="23.53754" LPS="0.72245" LPV="1" RPCX="0.51008" RPCY="0.13879" RPD="25.57250" RPS="0.71879" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00448" LPUPILV="1" REYEX="0.00191" REYEY="0.05820" REYEZ="0.54079" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60465" FPOGY="0.28441" FPOGS="4530.09863" FPOGD="0.63623" FPOGID="9863" FPOGV="1" LPOGX="0.64698" LPOGY="0.30313" LPOGV="1" RPOGX="0.51258" RPOGY="0.22549" RPOGV="1" BPOGX="0.57978" BPOGY="0.26431" BPOGV="1" LPCX="0.22453" LPCY="0.10033" LPD="23.89970" LPS="0.71520" LPV="1" RPCX="0.51020" RPCY="0.13881" RPD="25.49026" RPS="0.71154" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00445" LPUPILV="1" REYEX="0.00191" REYEY="0.05820" REYEZ="0.54079" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60399" FPOGY="0.28319" FPOGS="4530.09863" FPOGD="0.64258" FPOGID="9863" FPOGV="1" LPOGX="0.65372" LPOGY="0.33724" LPOGV="1" RPOGX="0.51503" RPOGY="0.23463" RPOGV="1" BPOGX="0.58437" BPOGY="0.28593" BPOGV="1" LPCX="0.22459" LPCY="0.10021" LPD="23.74092" LPS="0.70795" LPV="1" RPCX="0.51020" RPCY="0.13881" RPD="25.45629" RPS="0.70429" RPV="1" LEYEX="-0.05888" LEYEY="0.06668" LEYEZ="0.55704" LPUPILD="0.00446" LPUPILV="1" REYEX="0.00191" REYEY="0.05820" REYEZ="0.54079" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60332" FPOGY="0.28215" FPOGS="4530.09863" FPOGD="0.64941" FPOGID="9863" FPOGV="1" LPOGX="0.65386" LPOGY="0.34104" LPOGV="1" RPOGX="0.51464" RPOGY="0.23906" RPOGV="1" BPOGX="0.58425" BPOGY="0.29005" BPOGV="1" LPCX="0.22478" LPCY="0.09986" LPD="23.32620" LPS="0.70429" LPV="1" RPCX="0.51015" RPCY="0.13877" RPD="25.33058" RPS="0.70062" RPV="1" LEYEX="-0.05794" LEYEY="0.06596" LEYEZ="0.54969" LPUPILD="0.00441" LPUPILV="1" REYEX="0.00191" REYEY="0.05832" REYEZ="0.54223" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60308" FPOGY="0.28173" FPOGS="4530.09863" FPOGD="0.65625" FPOGID="9863" FPOGV="1" LPOGX="0.66127" LPOGY="0.31295" LPOGV="1" RPOGX="0.51955" RPOGY="0.25157" RPOGV="1" BPOGX="0.59041" BPOGY="0.28226" BPOGV="1" LPCX="0.22478" LPCY="0.09954" LPD="23.34030" LPS="0.70420" LPV="1" RPCX="0.51011" RPCY="0.13869" RPD="25.24753" RPS="0.70420" RPV="1" LEYEX="-0.05794" LEYEY="0.06596" LEYEZ="0.54969" LPUPILD="0.00447" LPUPILV="1" REYEX="0.00191" REYEY="0.05832" REYEZ="0.54223" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
