2025-05-30 13:08:37.208863
"-0.01010" LEYEZ="0.65719" LPUPILD="0.00400" LPUPILV="1" REYEX="0.02165" REYEY="-0.01314" REYEZ="0.67142" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.47894" FPOGY="0.06838" FPOGS="3768.51392" FPOGD="0.17676" FPOGID="3763" FPOGV="0" LPOGX="0.51274" LPOGY="0.10730" LPOGV="1" RPOGX="0.35067" RPOGY="-0.00082" RPOGV="1" BPOGX="0.43170" BPOGY="0.05324" BPOGV="1" LPCX="0.32888" LPCY="0.54281" LPD="18.72356" LPS="1.05676" LPV="1" RPCX="0.58073" RPCY="0.55556" RPD="19.43827" RPS="1.05676" RPV="1" LEYEX="-0.04317" LEYEY="-0.01026" LEYEZ="0.66406" LPUPILD="0.00400" LPUPILV="1" REYEX="0.02109" REYEY="-0.01334" REYEZ="0.67618" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.44681" FPOGY="0.16242" FPOGS="3769.37109" FPOGD="0.24780" FPOGID="3767" FPOGV="0" LPOGX="0.51521" LPOGY="0.20164" LPOGV="1" RPOGX="0.36267" RPOGY="0.12363" RPOGV="1" BPOGX="0.43894" BPOGY="0.16264" BPOGV="1" LPCX="0.32309" LPCY="0.54076" LPD="17.52674" LPS="1.01865" LPV="1" RPCX="0.57562" RPCY="0.55347" RPD="18.64590" RPS="1.02584" RPV="1" LEYEX="-0.04556" LEYEY="-0.01007" LEYEZ="0.67821" LPUPILD="0.00383" LPUPILV="1" REYEX="0.01944" REYEY="-0.01247" REYEZ="0.65962" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.43990" FPOGY="0.16543" FPOGS="3769.37109" FPOGD="0.24780" FPOGID="3767" FPOGV="0" LPOGX="0.49737" LPOGY="0.23454" LPOGV="1" RPOGX="0.35478" RPOGY="0.10838" RPOGV="1" BPOGX="0.42607" BPOGY="0.17146" BPOGV="1" LPCX="0.32302" LPCY="0.54087" LPD="17.65706" LPS="1.03374" LPV="1" RPCX="0.57561" RPCY="0.55361" RPD="19.32835" RPS="1.04093" RPV="1" LEYEX="-0.04556" LEYEY="-0.01007" LEYEZ="0.67821" LPUPILD="0.00379" LPUPILV="1" REYEX="0.01944" REYEY="-0.01247" REYEZ="0.65962" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.43591" FPOGY="0.16270" FPOGS="3769.62549" FPOGD="0.02026" FPOGID="3768" FPOGV="1" LPOGX="0.49482" LPOGY="0.22277" LPOGV="1" RPOGX="0.35309" RPOGY="0.08626" RPOGV="1" BPOGX="0.42396" BPOGY="0.15452" BPOGV="1" LPCX="0.32302" LPCY="0.54087" LPD="17.65706" LPS="1.04884" LPV="1" RPCX="0.57555" RPCY="0.55355" RPD="19.12713" RPS="1.06411" RPV="1" LEYEX="-0.04554" LEYEY="-0.01001" LEYEZ="0.67777" LPUPILD="0.00379" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.43277" FPOGY="0.15334" FPOGS="3769.62549" FPOGD="0.02710" FPOGID="3768" FPOGV="1" LPOGX="0.48841" LPOGY="0.15008" LPOGV="1" RPOGX="0.35197" RPOGY="0.08172" RPOGV="1" BPOGX="0.42019" BPOGY="0.11590" BPOGV="1" LPCX="0.32297" LPCY="0.54094" LPD="17.88440" LPS="1.06411" LPV="1" RPCX="0.57551" RPCY="0.55334" RPD="18.40607" RPS="1.07220" RPV="1" LEYEX="-0.04554" LEYEY="-0.01001" LEYEZ="0.67777" LPUPILD="0.00374" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.43013" FPOGY="0.14675" FPOGS="3769.62549" FPOGD="0.03394" FPOGID="3768" FPOGV="1" LPOGX="0.48578" LPOGY="0.15781" LPOGV="1" RPOGX="0.34814" RPOGY="0.06983" RPOGV="1" BPOGX="0.41696" BPOGY="0.11382" BPOGV="1" LPCX="0.32299" LPCY="0.54087" LPD="17.79172" LPS="1.07220" LPV="1" RPCX="0.57549" RPCY="0.55334" RPD="18.49303" RPS="1.08029" RPV="1" LEYEX="-0.04554" LEYEY="-0.01001" LEYEZ="0.67777" LPUPILD="0.00374" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.42811" FPOGY="0.14102" FPOGS="3769.62549" FPOGD="0.04053" FPOGID="3768" FPOGV="1" LPOGX="0.48439" LPOGY="0.15119" LPOGV="1" RPOGX="0.34753" RPOGY="0.06210" RPOGV="1" BPOGX="0.41596" BPOGY="0.10665" BPOGV="1" LPCX="0.32291" LPCY="0.54102" LPD="18.13903" LPS="1.08029" LPV="1" RPCX="0.57549" RPCY="0.55334" RPD="18.49303" RPS="1.08838" RPV="1" LEYEX="-0.04554" LEYEY="-0.01012" LEYEZ="0.67777" LPUPILD="0.00375" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.42636" FPOGY="0.13546" FPOGS="3769.62549" FPOGD="0.04663" FPOGID="3768" FPOGV="1" LPOGX="0.47840" LPOGY="0.15032" LPOGV="1" RPOGX="0.34979" RPOGY="0.04262" RPOGV="1" BPOGX="0.41410" BPOGY="0.09647" BPOGV="1" LPCX="0.32286" LPCY="0.54094" LPD="17.84307" LPS="1.08838" LPV="1" RPCX="0.57541" RPCY="0.55330" RPD="18.38928" RPS="1.08838" RPV="1" LEYEX="-0.04554" LEYEY="-0.01012" LEYEZ="0.67777" LPUPILD="0.00382" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.42482" FPOGY="0.13528" FPOGS="3769.62549" FPOGD="0.05469" FPOGID="3768" FPOGV="1" LPOGX="0.47868" LPOGY="0.20360" LPOGV="1" RPOGX="0.34629" RPOGY="0.06411" RPOGV="1" BPOGX="0.41248" BPOGY="0.13385" BPOGV="1" LPCX="0.32292" LPCY="0.54096" LPD="17.80760" LPS="1.08838" LPV="1" RPCX="0.57546" RPCY="0.55334" RPD="18.50021" RPS="1.08838" RPV="1" LEYEX="-0.04554" LEYEY="-0.01012" LEYEZ="0.67777" LPUPILD="0.00379" LPUPILV="1" REYEX="0.02009" REYEY="-0.01292" REYEZ="0.68362" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
