2025-05-30 13:07:40.740174
00616" REYEZ="0.66224" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84553" FPOGY="0.01141" FPOGS="3712.85010" FPOGD="0.36816" FPOGID="3560" FPOGV="1" LPOGX="0.91869" LPOGY="0.05905" LPOGV="1" RPOGX="0.74920" RPOGY="-0.04672" RPOGV="1" BPOGX="0.83395" BPOGY="0.00617" BPOGV="1" LPCX="0.36671" LPCY="0.53131" LPD="18.65929" LPS="1.03439" LPV="1" RPCX="0.61983" RPCY="0.54902" RPD="20.30175" RPS="1.03439" RPV="1" LEYEX="-0.03571" LEYEY="-0.00831" LEYEZ="0.68421" LPUPILD="0.00411" LPUPILV="1" REYEX="0.02960" REYEY="-0.01180" REYEZ="0.66358" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84516" FPOGY="0.01293" FPOGS="3712.85010" FPOGD="0.37500" FPOGID="3560" FPOGV="1" LPOGX="0.92116" LPOGY="0.14985" LPOGV="1" RPOGX="0.77158" RPOGY="-0.03716" RPOGV="1" BPOGX="0.84637" BPOGY="0.05635" BPOGV="1" LPCX="0.36707" LPCY="0.53132" LPD="18.48555" LPS="1.03439" LPV="1" RPCX="0.61979" RPCY="0.54879" RPD="19.70079" RPS="1.04158" RPV="1" LEYEX="-0.03571" LEYEY="-0.00831" LEYEZ="0.68421" LPUPILD="0.00417" LPUPILV="1" REYEX="0.02960" REYEY="-0.01180" REYEZ="0.66358" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84557" FPOGY="0.01484" FPOGS="3712.85010" FPOGD="0.38306" FPOGID="3560" FPOGV="1" LPOGX="0.92849" LPOGY="0.19792" LPOGV="1" RPOGX="0.79563" RPOGY="-0.00343" RPOGV="1" BPOGX="0.86206" BPOGY="0.09724" BPOGV="1" LPCX="0.36741" LPCY="0.53177" LPD="17.53199" LPS="1.04158" LPV="1" RPCX="0.61997" RPCY="0.54940" RPD="19.77834" RPS="1.04877" RPV="1" LEYEX="-0.03571" LEYEY="-0.00831" LEYEZ="0.68421" LPUPILD="0.00398" LPUPILV="1" REYEX="0.02960" REYEY="-0.01180" REYEZ="0.66358" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84599" FPOGY="0.01679" FPOGS="3712.85010" FPOGD="0.38965" FPOGID="3560" FPOGV="1" LPOGX="0.93010" LPOGY="0.19148" LPOGV="1" RPOGX="0.79563" RPOGY="-0.00343" RPOGV="1" BPOGX="0.86286" BPOGY="0.09402" BPOGV="1" LPCX="0.36744" LPCY="0.53197" LPD="16.71935" LPS="1.04877" LPV="1" RPCX="0.62041" RPCY="0.54897" RPD="19.37690" RPS="1.04877" RPV="1" LEYEX="-0.03565" LEYEY="-0.00824" LEYEZ="0.68699" LPUPILD="0.00404" LPUPILV="1" REYEX="0.02863" REYEY="-0.01149" REYEZ="0.64079" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84622" FPOGY="0.02180" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="1" LPOGX="0.91735" LPOGY="0.35049" LPOGV="1" RPOGX="0.78451" RPOGY="0.11511" RPOGV="1" BPOGX="0.85093" BPOGY="0.23280" BPOGV="1" LPCX="0.36690" LPCY="0.53265" LPD="13.15499" LPS="1.04877" LPV="1" RPCX="0.62025" RPCY="0.55076" RPD="15.94114" RPS="1.04158" RPV="1" LEYEX="-0.03565" LEYEY="-0.00824" LEYEZ="0.68699" LPUPILD="0.00404" LPUPILV="1" REYEX="0.02863" REYEY="-0.01149" REYEZ="0.64079" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84898" FPOGY="0.05657" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.91794" LPOGY="0.40668" LPOGV="1" RPOGX="0.76339" RPOGY="0.03276" RPOGV="1" BPOGX="0.84067" BPOGY="0.21972" BPOGV="1" LPCX="0.36766" LPCY="0.53335" LPD="12.56188" LPS="1.04158" LPV="1" RPCX="0.62060" RPCY="0.55056" RPD="16.10155" RPS="1.03439" RPV="1" LEYEX="-0.03565" LEYEY="-0.00824" LEYEZ="0.68699" LPUPILD="0.00352" LPUPILV="1" REYEX="0.02863" REYEY="-0.01149" REYEZ="0.64079" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.84290" FPOGY="0.14446" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.91467" LPOGY="0.41695" LPOGV="1" RPOGX="0.75897" RPOGY="0.04773" RPOGV="1" BPOGX="0.83682" BPOGY="0.23234" BPOGV="1" LPCX="0.36780" LPCY="0.53416" LPD="11.12618" LPS="1.02649" LPV="1" RPCX="0.62064" RPCY="0.55062" RPD="15.74207" RPS="1.01930" RPV="1" LEYEX="-0.03416" LEYEY="-0.00786" LEYEZ="0.66310" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.83344" FPOGY="0.27371" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.89992" LPOGY="0.62664" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="1" BPOGX="0.81453" BPOGY="0.53220" BPOGV="1" LPCX="0.36799" LPCY="0.53520" LPD="9.73036" LPS="1.01139" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01139" RPV="1" LEYEX="-0.03416" LEYEY="-0.00786" LEYEZ="0.66310" LPUPILD="0.00294" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.85042" FPOGY="0.46373" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.89992" LPOGY="0.62664" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.89992" BPOGY="0.62664" BPOGV="1" LPCX="0.36872" LPCY="0.53544" LPD="9.95390" LPS="1.01139" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01139" RPV="0" LEYEX="-0.03458" LEYEY="-0.00799" LEYEZ="0.67422" LPUPILD="0.00286" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.88062" FPOGY="0.55270" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.91082" LPOGY="0.64167" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.91082" BPOGY="0.64167" BPOGV="1" LPCX="0.36817" LPCY="0.53535" LPD="9.27237" LPS="1.01139" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01139" RPV="0" LEYEX="-0.03458" LEYEY="-0.00799" LEYEZ="0.67422" LPUPILD="0.00323" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.88161" FPOGY="0.56109" FPOGS="3712.85010" FPOGD="0.39819" FPOGID="3560" FPOGV="0" LPOGX="0.88360" LPOGY="0.57788" LPOGV="1" RPOGX="0.72913" RPOGY="0.43777" RPOGV="0" BPOGX="0.88360" BPOGY="0.57788" BPOGV="1" LPCX="0.36839" LPCY="0.53510" LPD="9.42688" LPS="1.01930" LPV="1" RPCX="0.62085" RPCY="0.55362" RPD="11.88553" RPS="1.01930" RPV="0" LEYEX="-0.03458" LEYEY="-0.00799" LEYEZ="0.67422" LPUPILD="0.00321" LPUPILV="1" REYEX="0.02868" REYEY="-0.01152" REYEZ="0.63975" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
