2025-06-03 16:03:25.123529
REYEZ="0.68408" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56329" FPOGY="0.13564" FPOGS="435.36539" FPOGD="0.41577" FPOGID="1486" FPOGV="0" LPOGX="0.57151" LPOGY="0.25682" LPOGV="1" RPOGX="0.56503" RPOGY="0.01054" RPOGV="1" BPOGX="0.56827" BPOGY="0.13368" BPOGV="1" LPCX="0.27856" LPCY="0.72710" LPD="21.42508" LPS="1.07178" LPV="1" RPCX="0.52004" RPCY="0.71245" RPD="24.78460" RPS="1.07987" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56496" FPOGY="0.13265" FPOGS="435.36539" FPOGD="0.41577" FPOGID="1486" FPOGV="0" LPOGX="0.57072" LPOGY="0.25080" LPOGV="1" RPOGX="0.56592" RPOGY="0.00254" RPOGV="1" BPOGX="0.56832" BPOGY="0.12667" BPOGV="1" LPCX="0.27852" LPCY="0.72704" LPD="21.47177" LPS="1.07987" LPV="1" RPCX="0.52008" RPCY="0.71241" RPD="24.58871" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00473" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56252" FPOGY="0.12836" FPOGS="435.78757" FPOGD="0.01996" FPOGID="1487" FPOGV="1" LPOGX="0.54860" LPOGY="0.23506" LPOGV="1" RPOGX="0.56176" RPOGY="-0.00406" RPOGV="1" BPOGX="0.55518" BPOGY="0.11550" BPOGV="1" LPCX="0.27848" LPCY="0.72695" LPD="21.40730" LPS="1.08796" LPV="1" RPCX="0.51989" RPCY="0.71237" RPD="24.97122" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56025" FPOGY="0.12156" FPOGS="435.78757" FPOGD="0.02692" FPOGID="1487" FPOGV="1" LPOGX="0.54693" LPOGY="0.21873" LPOGV="1" RPOGX="0.55542" RPOGY="-0.03007" RPOGV="1" BPOGX="0.55117" BPOGY="0.09433" BPOGV="1" LPCX="0.27843" LPCY="0.72687" LPD="21.50643" LPS="1.08796" LPV="1" RPCX="0.51986" RPCY="0.71224" RPD="24.98204" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00472" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55874" FPOGY="0.11702" FPOGS="435.78757" FPOGD="0.03345" FPOGID="1487" FPOGV="1" LPOGX="0.54693" LPOGY="0.21873" LPOGV="1" RPOGX="0.55542" RPOGY="-0.03007" RPOGV="1" BPOGX="0.55117" BPOGY="0.09433" BPOGV="1" LPCX="0.27844" LPCY="0.72675" LPD="21.38562" LPS="1.08796" LPV="1" RPCX="0.51974" RPCY="0.71228" RPD="25.13608" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55681" FPOGY="0.11172" FPOGS="435.78757" FPOGD="0.04013" FPOGID="1487" FPOGV="1" LPOGX="0.54212" LPOGY="0.20228" LPOGV="1" RPOGX="0.54833" RPOGY="-0.04247" RPOGV="1" BPOGX="0.54522" BPOGY="0.07990" BPOGV="1" LPCX="0.27826" LPCY="0.72678" LPD="21.14037" LPS="1.08796" LPV="1" RPCX="0.51971" RPCY="0.71213" RPD="24.84023" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00479" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55693" FPOGY="0.10730" FPOGS="435.78757" FPOGD="0.04684" FPOGID="1487" FPOGV="1" LPOGX="0.57042" LPOGY="0.19474" LPOGV="1" RPOGX="0.54515" RPOGY="-0.04189" RPOGV="1" BPOGX="0.55779" BPOGY="0.07643" BPOGV="1" LPCX="0.27824" LPCY="0.72673" LPD="21.33317" LPS="1.08796" LPV="1" RPCX="0.51967" RPCY="0.71216" RPD="24.88856" RPS="1.08796" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00477" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55707" FPOGY="0.10335" FPOGS="435.78757" FPOGD="0.05353" FPOGID="1487" FPOGV="1" LPOGX="0.57042" LPOGY="0.19474" LPOGV="1" RPOGX="0.54600" RPOGY="-0.05135" RPOGV="1" BPOGX="0.55821" BPOGY="0.07169" BPOGV="1" LPCX="0.27825" LPCY="0.72674" LPD="21.47637" LPS="1.08796" LPV="1" RPCX="0.51968" RPCY="0.71214" RPD="24.86795" RPS="1.09713" RPV="1" LEYEX="-0.05732" LEYEY="-0.04869" LEYEZ="0.67765" LPUPILD="0.00476" LPUPILV="1" REYEX="0.00492" REYEY="-0.04779" REYEZ="0.70486" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55654" FPOGY="0.10189" FPOGS="435.78757" FPOGD="0.06033" FPOGID="1487" FPOGV="1" LPOGX="0.56723" LPOGY="0.18566" LPOGV="1" RPOGX="0.53635" RPOGY="-0.00803" RPOGV="1" BPOGX="0.55179" BPOGY="0.08881" BPOGV="1" LPCX="0.27818" LPCY="0.72674" LPD="21.43235" LPS="1.09713" LPV="1" RPCX="0.51957" RPCY="0.71210" RPD="25.11194" RPS="1.10629" RPV="1" LEYEX="-0.05732" LEYEY="-0.04869" LEYEZ="0.67765" LPUPILD="0.00478" LPUPILV="1" REYEX="0.00492" REYEY="-0.04779" REYEZ="0.70486" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55477" FPOGY="0.09940" FPOGS="435.78757" FPOGD="0.06696" FPOGID="1487" FPOGV="1" LPOGX="0.54828" LPOGY="0.16767" LPOGV="1" RPOGX="0.52576" RPOGY="-0.01884" RPOGV="1" BPOGX="0.53702" BPOGY="0.07441" BPOGV="1" LPCX="0.27813" LPCY="0.72669" LPD="21.47974" LPS="1.10629" LPV="1" RPCX="0.51954" RPCY="0.71204" RPD="25.03842" RPS="1.11546" RPV="1" LEYEX="-0.05732" LEYEY="-0.04869" LEYEZ="0.67765" LPUPILD="0.00478" LPUPILV="1" REYEX="0.00492" REYEY="-0.04779" REYEZ="0.70486" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
