2025-06-03 16:01:21.982893
REYEZ="0.66023" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36753" FPOGY="0.12472" FPOGS="312.46869" FPOGD="0.18134" FPOGID="1062" FPOGV="1" LPOGX="0.40535" LPOGY="0.17241" LPOGV="1" RPOGX="0.37343" RPOGY="0.07887" RPOGV="1" BPOGX="0.38939" BPOGY="0.12564" BPOGV="1" LPCX="0.27542" LPCY="0.79996" LPD="17.62359" LPS="1.07988" LPV="1" RPCX="0.51588" RPCY="0.79068" RPD="19.63128" RPS="1.07988" RPV="1" LEYEX="-0.05790" LEYEY="-0.06424" LEYEZ="0.68091" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00446" REYEY="-0.06354" REYEZ="0.69108" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36829" FPOGY="0.12489" FPOGS="312.46869" FPOGD="0.18796" FPOGID="1062" FPOGV="1" LPOGX="0.40535" LPOGY="0.17241" LPOGV="1" RPOGX="0.37387" RPOGY="0.08652" RPOGV="1" BPOGX="0.38961" BPOGY="0.12946" BPOGV="1" LPCX="0.27562" LPCY="0.79998" LPD="17.77641" LPS="1.07988" LPV="1" RPCX="0.51620" RPCY="0.79068" RPD="19.57844" RPS="1.07180" RPV="1" LEYEX="-0.05642" LEYEY="-0.06267" LEYEZ="0.66419" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00441" REYEY="-0.06071" REYEZ="0.66021" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36847" FPOGY="0.12454" FPOGS="312.46869" FPOGD="0.19458" FPOGID="1062" FPOGV="1" LPOGX="0.39268" LPOGY="0.17189" LPOGV="1" RPOGX="0.35447" RPOGY="0.05738" RPOGV="1" BPOGX="0.37357" BPOGY="0.11463" BPOGV="1" LPCX="0.27573" LPCY="0.79982" LPD="17.45942" LPS="1.06389" LPV="1" RPCX="0.51631" RPCY="0.79067" RPD="19.79166" RPS="1.05580" RPV="1" LEYEX="-0.05642" LEYEY="-0.06267" LEYEZ="0.66419" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00441" REYEY="-0.06071" REYEZ="0.66021" RPUPILD="0.00411" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.36929" FPOGY="0.12403" FPOGS="312.46869" FPOGD="0.20099" FPOGID="1062" FPOGV="1" LPOGX="0.42599" LPOGY="0.20975" LPOGV="1" RPOGX="0.36193" RPOGY="0.00727" RPOGV="1" BPOGX="0.39396" BPOGY="0.10851" BPOGV="1" LPCX="0.27575" LPCY="0.79982" LPD="17.13266" LPS="1.04790" LPV="1" RPCX="0.51646" RPCY="0.79084" RPD="19.62520" RPS="1.03981" RPV="1" LEYEX="-0.05642" LEYEY="-0.06267" LEYEZ="0.66419" LPUPILD="0.00373" LPUPILV="1" REYEX="0.00441" REYEY="-0.06071" REYEZ="0.66021" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37009" FPOGY="0.12364" FPOGS="312.46869" FPOGD="0.20761" FPOGID="1062" FPOGV="1" LPOGX="0.42786" LPOGY="0.21605" LPOGV="1" RPOGX="0.36193" RPOGY="0.00727" RPOGV="1" BPOGX="0.39489" BPOGY="0.11166" BPOGV="1" LPCX="0.27590" LPCY="0.79964" LPD="17.09412" LPS="1.03981" LPV="1" RPCX="0.51649" RPCY="0.79066" RPD="19.24244" RPS="1.03981" RPV="1" LEYEX="-0.05806" LEYEY="-0.06460" LEYEZ="0.68526" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00464" REYEY="-0.06329" REYEZ="0.68770" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37107" FPOGY="0.12433" FPOGS="312.46869" FPOGD="0.21451" FPOGID="1062" FPOGV="1" LPOGX="0.41394" LPOGY="0.27050" LPOGV="1" RPOGX="0.39065" RPOGY="0.02259" RPOGV="1" BPOGX="0.40229" BPOGY="0.14655" BPOGV="1" LPCX="0.27618" LPCY="0.79962" LPD="17.15604" LPS="1.04772" LPV="1" RPCX="0.51667" RPCY="0.79072" RPD="19.18274" RPS="1.05580" RPV="1" LEYEX="-0.05806" LEYEY="-0.06460" LEYEZ="0.68526" LPUPILD="0.00379" LPUPILV="1" REYEX="0.00464" REYEY="-0.06329" REYEZ="0.68770" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37169" FPOGY="0.12507" FPOGS="312.46869" FPOGD="0.22098" FPOGID="1062" FPOGV="1" LPOGX="0.41222" LPOGY="0.25674" LPOGV="1" RPOGX="0.37215" RPOGY="0.04194" RPOGV="1" BPOGX="0.39219" BPOGY="0.14934" BPOGV="1" LPCX="0.27682" LPCY="0.79957" LPD="17.16534" LPS="1.06371" LPV="1" RPCX="0.51723" RPCY="0.79102" RPD="19.47642" RPS="1.07180" RPV="1" LEYEX="-0.05806" LEYEY="-0.06460" LEYEZ="0.68526" LPUPILD="0.00364" LPUPILV="1" REYEX="0.00464" REYEY="-0.06329" REYEZ="0.68770" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37221" FPOGY="0.12537" FPOGS="312.46869" FPOGD="0.22769" FPOGID="1062" FPOGV="1" LPOGX="0.40837" LPOGY="0.24518" LPOGV="1" RPOGX="0.37127" RPOGY="0.02615" RPOGV="1" BPOGX="0.38982" BPOGY="0.13567" BPOGV="1" LPCX="0.27754" LPCY="0.79976" LPD="17.66495" LPS="1.07970" LPV="1" RPCX="0.51802" RPCY="0.79086" RPD="19.22339" RPS="1.08779" RPV="1" LEYEX="-0.05749" LEYEY="-0.06447" LEYEZ="0.68332" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00505" REYEY="-0.06331" REYEZ="0.68740" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37484" FPOGY="0.12533" FPOGS="312.46869" FPOGD="0.23456" FPOGID="1062" FPOGV="1" LPOGX="0.48549" LPOGY="0.23017" LPOGV="1" RPOGX="0.44853" RPOGY="0.01747" RPOGV="1" BPOGX="0.46701" BPOGY="0.12382" BPOGV="1" LPCX="0.27884" LPCY="0.79952" LPD="17.48725" LPS="1.08779" LPV="1" RPCX="0.51958" RPCY="0.79087" RPD="19.00112" RPS="1.08779" RPV="1" LEYEX="-0.05749" LEYEY="-0.06447" LEYEZ="0.68332" LPUPILD="0.00366" LPUPILV="1" REYEX="0.00505" REYEY="-0.06331" REYEZ="0.68740" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.37701" FPOGY="0.12541" FPOGS="312.46869" FPOGD="0.24109" FPOGID="1062" FPOGV="1" LPOGX="0.46722" LPOGY="0.23126" LPOGV="1" RPOGX="0.44300" RPOGY="0.02516" RPOGV="1" BPOGX="0.45511" BPOGY="0.12821" BPOGV="1" LPCX="0.27895" LPCY="0.79959" LPD="16.92406" LPS="1.08779" LPV="1" RPCX="0.51968" RPCY="0.79116" RPD="19.35837" RPS="1.08779" RPV="1" LEYEX="-0.05749" LEYEY="-0.06447" LEYEZ="0.68332" LPUPILD="0.00368" LPUPILV="1" REYEX="0.00505" REYEY="-0.06331" REYEZ="0.68740" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
