2025-06-03 15:56:49.907793
"0.67094" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55126" FPOGY="0.18136" FPOGS="40.14964" FPOGD="0.42195" FPOGID="138" FPOGV="1" LPOGX="0.58653" LPOGY="0.24905" LPOGV="1" RPOGX="0.55879" RPOGY="0.13686" RPOGV="1" BPOGX="0.57266" BPOGY="0.19296" BPOGV="1" LPCX="0.32880" LPCY="0.72739" LPD="20.86352" LPS="1.00236" LPV="1" RPCX="0.58018" RPCY="0.72394" RPD="23.25931" RPS="0.99517" RPV="1" LEYEX="-0.04190" LEYEY="-0.04645" LEYEZ="0.64375" LPUPILD="0.00445" LPUPILV="1" REYEX="0.01944" REYEY="-0.04578" REYEZ="0.64189" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55144" FPOGY="0.18176" FPOGS="40.14964" FPOGD="0.42843" FPOGID="138" FPOGV="1" LPOGX="0.58327" LPOGY="0.23527" LPOGV="1" RPOGX="0.55226" RPOGY="0.14921" RPOGV="1" BPOGX="0.56777" BPOGY="0.19224" BPOGV="1" LPCX="0.32880" LPCY="0.72739" LPD="20.85664" LPS="0.98814" LPV="1" RPCX="0.58009" RPCY="0.72402" RPD="23.24169" RPS="0.98095" RPV="1" LEYEX="-0.04190" LEYEY="-0.04645" LEYEZ="0.64375" LPUPILD="0.00443" LPUPILV="1" REYEX="0.01944" REYEY="-0.04578" REYEZ="0.64189" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55162" FPOGY="0.18238" FPOGS="40.14964" FPOGD="0.43511" FPOGID="138" FPOGV="1" LPOGX="0.58395" LPOGY="0.24126" LPOGV="1" RPOGX="0.55146" RPOGY="0.15605" RPOGV="1" BPOGX="0.56771" BPOGY="0.19865" BPOGV="1" LPCX="0.32876" LPCY="0.72738" LPD="20.64330" LPS="0.98095" LPV="1" RPCX="0.58002" RPCY="0.72400" RPD="23.39647" RPS="0.97376" RPV="1" LEYEX="-0.04345" LEYEY="-0.04811" LEYEZ="0.66686" LPUPILD="0.00440" LPUPILV="1" REYEX="0.01930" REYEY="-0.04541" REYEZ="0.63730" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55189" FPOGY="0.18382" FPOGS="40.14964" FPOGD="0.44207" FPOGID="138" FPOGV="1" LPOGX="0.58271" LPOGY="0.26073" LPOGV="1" RPOGX="0.55093" RPOGY="0.16648" RPOGV="1" BPOGX="0.56682" BPOGY="0.21361" BPOGV="1" LPCX="0.32868" LPCY="0.72745" LPD="20.63747" LPS="0.98079" LPV="1" RPCX="0.57993" RPCY="0.72413" RPD="23.45391" RPS="0.98079" RPV="1" LEYEX="-0.04345" LEYEY="-0.04811" LEYEZ="0.66686" LPUPILD="0.00443" LPUPILV="1" REYEX="0.01930" REYEY="-0.04541" REYEZ="0.63730" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55222" FPOGY="0.18468" FPOGS="40.14964" FPOGD="0.44851" FPOGID="138" FPOGV="1" LPOGX="0.57526" LPOGY="0.24868" LPOGV="1" RPOGX="0.54826" RPOGY="0.14959" RPOGV="1" BPOGX="0.56176" BPOGY="0.19914" BPOGV="1" LPCX="0.32865" LPCY="0.72747" LPD="20.61778" LPS="0.98782" LPV="1" RPCX="0.57985" RPCY="0.72410" RPD="23.45283" RPS="0.98782" RPV="1" LEYEX="-0.04345" LEYEY="-0.04811" LEYEZ="0.66686" LPUPILD="0.00445" LPUPILV="1" REYEX="0.01930" REYEY="-0.04541" REYEZ="0.63730" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55258" FPOGY="0.18526" FPOGS="40.14964" FPOGD="0.45527" FPOGID="138" FPOGV="1" LPOGX="0.57373" LPOGY="0.23648" LPOGV="1" RPOGX="0.55059" RPOGY="0.12870" RPOGV="1" BPOGX="0.56216" BPOGY="0.18259" BPOGV="1" LPCX="0.32857" LPCY="0.72734" LPD="20.44654" LPS="1.00275" LPV="1" RPCX="0.57993" RPCY="0.72402" RPD="23.21905" RPS="1.00994" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00444" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55255" FPOGY="0.18503" FPOGS="40.14964" FPOGD="0.46191" FPOGID="138" FPOGV="1" LPOGX="0.56971" LPOGY="0.22118" LPOGV="1" RPOGX="0.54470" RPOGY="0.10718" RPOGV="1" BPOGX="0.55720" BPOGY="0.16418" BPOGV="1" LPCX="0.32850" LPCY="0.72735" LPD="20.48759" LPS="1.01784" LPV="1" RPCX="0.57986" RPCY="0.72407" RPD="23.16220" RPS="1.02503" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00446" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55268" FPOGY="0.18517" FPOGS="40.14964" FPOGD="0.46943" FPOGID="138" FPOGV="1" LPOGX="0.57248" LPOGY="0.23183" LPOGV="1" RPOGX="0.54263" RPOGY="0.09637" RPOGV="1" BPOGX="0.55755" BPOGY="0.16410" BPOGV="1" LPCX="0.32850" LPCY="0.72746" LPD="20.70700" LPS="1.03293" LPV="1" RPCX="0.57980" RPCY="0.72408" RPD="23.24847" RPS="1.04012" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00445" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55281" FPOGY="0.18461" FPOGS="40.14964" FPOGD="0.47580" FPOGID="138" FPOGV="1" LPOGX="0.57097" LPOGY="0.21980" LPOGV="1" RPOGX="0.54406" RPOGY="0.08206" RPOGV="1" BPOGX="0.55752" BPOGY="0.15093" BPOGV="1" LPCX="0.32857" LPCY="0.72737" LPD="20.42189" LPS="1.04803" LPV="1" RPCX="0.57981" RPCY="0.72410" RPD="23.25776" RPS="1.05522" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00448" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55279" FPOGY="0.18305" FPOGS="40.14964" FPOGD="0.48206" FPOGID="138" FPOGV="1" LPOGX="0.56804" LPOGY="0.20641" LPOGV="1" RPOGX="0.54160" RPOGY="0.08160" RPOGV="1" BPOGX="0.55482" BPOGY="0.14400" BPOGV="1" LPCX="0.32850" LPCY="0.72735" LPD="20.48759" LPS="1.05522" LPV="1" RPCX="0.57972" RPCY="0.72410" RPD="23.54860" RPS="1.05522" RPV="1" LEYEX="-0.04419" LEYEY="-0.04887" LEYEZ="0.67739" LPUPILD="0.00446" LPUPILV="1" REYEX="0.01991" REYEY="-0.04694" REYEZ="0.65878" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
