2025-06-20 10:15:30.442550
5749" REYEZ="0.66257" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.75428" FPOGY="0.01473" FPOGS="639.80359" FPOGD="0.24353" FPOGID="2292" FPOGV="0" LPOGX="0.73940" LPOGY="0.06630" LPOGV="1" RPOGX="0.75218" RPOGY="-0.02899" RPOGV="1" BPOGX="0.74579" BPOGY="0.01865" BPOGV="1" LPCX="0.39460" LPCY="0.78440" LPD="11.35783" LPS="0.94413" LPV="1" RPCX="0.63992" RPCY="0.77207" RPD="9.18894" RPS="0.94992" RPV="1" LEYEX="-0.02647" LEYEY="-0.05868" LEYEZ="0.65258" LPUPILD="0.00373" LPUPILV="1" REYEX="0.03229" REYEY="-0.05409" REYEZ="0.62499" RPUPILD="0.00278" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.75385" FPOGY="0.00729" FPOGS="640.05371" FPOGD="0.01825" FPOGID="2293" FPOGV="1" LPOGX="0.74049" LPOGY="0.04556" LPOGV="1" RPOGX="0.76464" RPOGY="-0.07561" RPOGV="1" BPOGX="0.75256" BPOGY="-0.01503" BPOGV="1" LPCX="0.39456" LPCY="0.78424" LPD="10.97869" LPS="0.96323" LPV="1" RPCX="0.63958" RPCY="0.77236" RPD="8.72725" RPS="0.99073" RPV="1" LEYEX="-0.02687" LEYEY="-0.05919" LEYEZ="0.65988" LPUPILD="0.00385" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00283" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.74815" FPOGY="0.01728" FPOGS="640.05371" FPOGD="0.02521" FPOGID="2293" FPOGV="1" LPOGX="0.72717" LPOGY="0.14050" LPOGV="1" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="1" BPOGX="0.72532" BPOGY="0.05726" BPOGV="1" LPCX="0.39396" LPCY="0.78419" LPD="9.31099" LPS="0.99073" LPV="1" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.01244" RPV="1" LEYEX="-0.02687" LEYEY="-0.05919" LEYEZ="0.65988" LPUPILD="0.00320" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.74654" FPOGY="0.04429" FPOGS="640.05371" FPOGD="0.03235" FPOGID="2293" FPOGV="1" LPOGX="0.73852" LPOGY="0.17931" LPOGV="1" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.73852" BPOGY="0.17931" BPOGV="1" LPCX="0.39370" LPCY="0.78605" LPD="8.49337" LPS="1.01244" LPV="1" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.03415" RPV="0" LEYEX="-0.02687" LEYEY="-0.05919" LEYEZ="0.65988" LPUPILD="0.00254" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.74551" FPOGY="0.06169" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="1" LPOGX="0.73930" LPOGY="0.16611" LPOGV="1" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.73930" BPOGY="0.16611" BPOGV="1" LPCX="0.39301" LPCY="0.78650" LPD="8.63677" LPS="1.02712" LPV="1" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.04883" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00245" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.73105" FPOGY="0.15796" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="0" LPOGX="0.68052" LPOGY="0.63439" LPOGV="1" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.68052" BPOGY="0.63439" BPOGV="1" LPCX="0.39300" LPCY="0.78846" LPD="6.97147" LPS="1.04181" LPV="1" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.04181" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00222" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.73105" FPOGY="0.15796" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="0" LPOGX="0.68052" LPOGY="0.63439" LPOGV="0" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.68052" BPOGY="0.63439" BPOGV="0" LPCX="0.39300" LPCY="0.78846" LPD="6.97147" LPS="1.03478" LPV="0" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.03478" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00222" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.73105" FPOGY="0.15796" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="0" LPOGX="0.68052" LPOGY="0.63439" LPOGV="0" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.68052" BPOGY="0.63439" BPOGV="0" LPCX="0.39300" LPCY="0.78846" LPD="6.97147" LPS="1.02776" LPV="0" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.02776" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00222" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="0" LPOGX="0.68052" LPOGY="0.63439" LPOGV="0" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.68052" BPOGY="0.63439" BPOGV="0" LPCX="0.39300" LPCY="0.78846" LPD="6.97147" LPS="1.02776" LPV="0" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.02776" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00222" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="640.05371" FPOGD="0.03821" FPOGID="2293" FPOGV="0" LPOGX="0.68052" LPOGY="0.63439" LPOGV="0" RPOGX="0.72346" RPOGY="-0.02598" RPOGV="0" BPOGX="0.68052" BPOGY="0.63439" BPOGV="0" LPCX="0.39300" LPCY="0.78846" LPD="6.97147" LPS="1.02776" LPV="0" RPCX="0.63906" RPCY="0.77284" RPD="7.17645" RPS="1.02776" RPV="0" LEYEX="-0.02631" LEYEY="-0.05769" LEYEZ="0.64264" LPUPILD="0.00222" LPUPILV="1" REYEX="0.03491" REYEY="-0.05850" REYEZ="0.67472" RPUPILD="0.00277" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
