2025-05-27 11:04:22.655151
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.01755" FPOGY="0.78250" FPOGS="3182.64209" FPOGD="0.19873" FPOGID="9280" FPOGV="1" LPOGX="0.10535" LPOGY="0.76220" LPOGV="1" RPOGX="-0.06993" RPOGY="0.84498" RPOGV="1" BPOGX="0.01771" BPOGY="0.80359" BPOGV="1" LPCX="0.24577" LPCY="0.66502" LPD="27.11151" LPS="0.99082" LPV="1" RPCX="0.50825" RPCY="0.65047" RPD="25.51168" RPS="0.98363" RPV="1" LEYEX="-0.06061" LEYEY="-0.03266" LEYEZ="0.63854" LPUPILD="0.00553" LPUPILV="1" REYEX="0.00347" REYEY="-0.03016" REYEZ="0.64228" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01741" FPOGY="0.78307" FPOGS="3182.64209" FPOGD="0.20508" FPOGID="9280" FPOGV="1" LPOGX="0.08409" LPOGY="0.78053" LPOGV="1" RPOGX="-0.05767" RPOGY="0.82082" RPOGV="1" BPOGX="0.01321" BPOGY="0.80067" BPOGV="1" LPCX="0.24576" LPCY="0.66506" LPD="26.99260" LPS="0.98363" LPV="1" RPCX="0.50834" RPCY="0.65060" RPD="25.41919" RPS="0.97644" RPV="1" LEYEX="-0.06061" LEYEY="-0.03266" LEYEZ="0.63854" LPUPILD="0.00556" LPUPILV="1" REYEX="0.00347" REYEY="-0.03016" REYEZ="0.64228" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01710" FPOGY="0.78350" FPOGS="3182.64209" FPOGD="0.21191" FPOGID="9280" FPOGV="1" LPOGX="0.07943" LPOGY="0.77836" LPOGV="1" RPOGX="-0.06507" RPOGY="0.81644" RPOGV="1" BPOGX="0.00718" BPOGY="0.79740" BPOGV="1" LPCX="0.24601" LPCY="0.66523" LPD="27.37499" LPS="0.99137" LPV="1" RPCX="0.50843" RPCY="0.65078" RPD="25.83831" RPS="0.99137" RPV="1" LEYEX="-0.06434" LEYEY="-0.03483" LEYEZ="0.67890" LPUPILD="0.00550" LPUPILV="1" REYEX="0.00358" REYEY="-0.03087" REYEZ="0.65442" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01729" FPOGY="0.78303" FPOGS="3182.64209" FPOGD="0.21826" FPOGID="9280" FPOGV="1" LPOGX="0.09221" LPOGY="0.71577" LPOGV="1" RPOGX="-0.04524" RPOGY="0.81889" RPOGV="1" BPOGX="0.02349" BPOGY="0.76733" BPOGV="1" LPCX="0.24616" LPCY="0.66552" LPD="27.37262" LPS="1.00630" LPV="1" RPCX="0.50854" RPCY="0.65125" RPD="25.16413" RPS="1.01349" RPV="1" LEYEX="-0.06434" LEYEY="-0.03483" LEYEZ="0.67890" LPUPILD="0.00552" LPUPILV="1" REYEX="0.00358" REYEY="-0.03087" REYEZ="0.65442" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01735" FPOGY="0.78339" FPOGS="3182.64209" FPOGD="0.22510" FPOGID="9280" FPOGV="1" LPOGX="0.09442" LPOGY="0.73986" LPOGV="1" RPOGX="-0.05569" RPOGY="0.85161" RPOGV="1" BPOGX="0.01937" BPOGY="0.79573" BPOGV="1" LPCX="0.24624" LPCY="0.66563" LPD="27.30564" LPS="1.02842" LPV="1" RPCX="0.50855" RPCY="0.65143" RPD="25.07745" RPS="1.03561" RPV="1" LEYEX="-0.06434" LEYEY="-0.03483" LEYEZ="0.67890" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00358" REYEY="-0.03087" REYEZ="0.65442" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01730" FPOGY="0.78368" FPOGS="3182.64209" FPOGD="0.23193" FPOGID="9280" FPOGV="1" LPOGX="0.09037" LPOGY="0.73769" LPOGV="1" RPOGX="-0.05904" RPOGY="0.84985" RPOGV="1" BPOGX="0.01566" BPOGY="0.79377" BPOGV="1" LPCX="0.24634" LPCY="0.66586" LPD="27.30186" LPS="1.03561" LPV="1" RPCX="0.50887" RPCY="0.65162" RPD="25.47490" RPS="1.04280" RPV="1" LEYEX="-0.06096" LEYEY="-0.03315" LEYEZ="0.64423" LPUPILD="0.00550" LPUPILV="1" REYEX="0.00372" REYEY="-0.03137" REYEZ="0.66190" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01728" FPOGY="0.78390" FPOGS="3182.64209" FPOGD="0.23877" FPOGID="9280" FPOGV="1" LPOGX="0.09141" LPOGY="0.77788" LPOGV="1" RPOGX="-0.05849" RPOGY="0.80565" RPOGV="1" BPOGX="0.01646" BPOGY="0.79176" BPOGV="1" LPCX="0.24659" LPCY="0.66607" LPD="27.29598" LPS="1.02787" LPV="1" RPCX="0.50907" RPCY="0.65210" RPD="25.47769" RPS="1.02787" RPV="1" LEYEX="-0.06096" LEYEY="-0.03315" LEYEZ="0.64423" LPUPILD="0.00553" LPUPILV="1" REYEX="0.00372" REYEY="-0.03137" REYEZ="0.66190" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01691" FPOGY="0.78405" FPOGS="3182.64209" FPOGD="0.24536" FPOGID="9280" FPOGV="1" LPOGX="0.07265" LPOGY="0.73974" LPOGV="1" RPOGX="-0.06628" RPOGY="0.83943" RPOGV="1" BPOGX="0.00318" BPOGY="0.78958" BPOGV="1" LPCX="0.24673" LPCY="0.66621" LPD="27.22570" LPS="1.01294" LPV="1" RPCX="0.50917" RPCY="0.65225" RPD="25.29742" RPS="1.01294" RPV="1" LEYEX="-0.06096" LEYEY="-0.03315" LEYEZ="0.64423" LPUPILD="0.00549" LPUPILV="1" REYEX="0.00372" REYEY="-0.03137" REYEZ="0.66190" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01656" FPOGY="0.78419" FPOGS="3182.64209" FPOGD="0.25195" FPOGID="9280" FPOGV="1" LPOGX="0.07265" LPOGY="0.73974" LPOGV="1" RPOGX="-0.06628" RPOGY="0.83943" RPOGV="1" BPOGX="0.00318" BPOGY="0.78958" BPOGV="1" LPCX="0.24687" LPCY="0.66639" LPD="27.46314" LPS="1.01294" LPV="1" RPCX="0.50931" RPCY="0.65240" RPD="25.27272" RPS="1.01294" RPV="1" LEYEX="-0.06490" LEYEY="-0.03550" LEYEZ="0.68691" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00380" REYEY="-0.03136" REYEZ="0.65743" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.01641" FPOGY="0.78386" FPOGS="3182.64209" FPOGD="0.25854" FPOGID="9280" FPOGV="1" LPOGX="0.06267" LPOGY="0.71331" LPOGV="1" RPOGX="-0.04115" RPOGY="0.82852" RPOGV="1" BPOGX="0.01076" BPOGY="0.77091" BPOGV="1" LPCX="0.24710" LPCY="0.66650" LPD="27.18977" LPS="1.02787" LPV="1" RPCX="0.50955" RPCY="0.65281" RPD="25.07798" RPS="1.02787" RPV="1" LEYEX="-0.06490" LEYEY="-0.03550" LEYEZ="0.68691" LPUPILD="0.00547" LPUPILV="1" REYEX="0.00380" REYEY="-0.03136" REYEZ="0.65743" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
