2025-05-27 12:22:09.792157
" REYEZ="1.18069" RPUPILD="0.00702" RPUPILV="0" BKID="87" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40910" LPCY="0.78858" LPD="31.25973" LPS="3.48003" LPV="1" RPCX="0.62951" RPCY="0.78501" RPD="31.37434" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00723" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40902" LPCY="0.78863" LPD="31.45313" LPS="3.48003" LPV="1" RPCX="0.62938" RPCY="0.78497" RPD="31.32251" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40896" LPCY="0.78862" LPD="31.43896" LPS="3.48003" LPV="1" RPCX="0.62934" RPCY="0.78504" RPD="31.35915" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00723" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40895" LPCY="0.78861" LPD="31.41651" LPS="3.48003" LPV="1" RPCX="0.62933" RPCY="0.78503" RPD="31.24173" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00724" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40889" LPCY="0.78867" LPD="31.40200" LPS="3.48003" LPV="1" RPCX="0.62928" RPCY="0.78500" RPD="31.27442" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00744" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00729" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40883" LPCY="0.78871" LPD="31.45380" LPS="3.48003" LPV="1" RPCX="0.62925" RPCY="0.78495" RPD="31.35171" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40882" LPCY="0.78873" LPD="31.48050" LPS="3.48003" LPV="1" RPCX="0.62927" RPCY="0.78495" RPD="31.28185" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00744" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40873" LPCY="0.78874" LPD="31.45312" LPS="3.48003" LPV="1" RPCX="0.62914" RPCY="0.78499" RPD="31.63369" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00725" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40869" LPCY="0.78872" LPD="31.37262" LPS="3.48003" LPV="1" RPCX="0.62911" RPCY="0.78502" RPD="31.56363" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00723" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40868" LPCY="0.78873" LPD="31.33855" LPS="3.48003" LPV="1" RPCX="0.62907" RPCY="0.78500" RPD="31.40444" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00725" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40853" LPCY="0.78882" LPD="31.36447" LPS="3.48003" LPV="1" RPCX="0.62898" RPCY="0.78488" RPD="31.48722" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00725" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40853" LPCY="0.78881" LPD="31.43634" LPS="3.48003" LPV="1" RPCX="0.62899" RPCY="0.78486" RPD="31.48546" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40849" LPCY="0.78881" LPD="31.43123" LPS="3.48003" LPV="1" RPCX="0.62894" RPCY="0.78488" RPD="31.48300" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40843" LPCY="0.78883" LPD="31.54084" LPS="3.48003" LPV="1" RPCX="0.62891" RPCY="0.78494" RPD="31.38894" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00727" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40842" LPCY="0.78885" LPD="31.53922" LPS="3.48003" LPV="1" RPCX="0.62889" RPCY="0.78495" RPD="31.41310" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00747" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00728" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40838" LPCY="0.78882" LPD="31.44672" LPS="3.48003" LPV="1" RPCX="0.62885" RPCY="0.78494" RPD="31.46102" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00749" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00728" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40830" LPCY="0.78877" LPD="31.54930" LPS="3.48003" LPV="1" RPCX="0.62879" RPCY="0.78487" RPD="31.41788" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00746" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00729" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40822" LPCY="0.78877" LPD="31.53978" LPS="3.48003" LPV="1" RPCX="0.62870" RPCY="0.78492" RPD="31.49828" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00725" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40819" LPCY="0.78876" LPD="31.50247" LPS="3.48003" LPV="1" RPCX="0.62870" RPCY="0.78492" RPD="31.49828" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00745" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00725" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40813" LPCY="0.78881" LPD="31.57872" LPS="3.48003" LPV="1" RPCX="0.62864" RPCY="0.78491" RPD="31.67922" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00747" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40808" LPCY="0.78879" LPD="31.53917" LPS="3.48003" LPV="1" RPCX="0.62858" RPCY="0.78488" RPD="31.52587" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40809" LPCY="0.78879" LPD="31.59275" LPS="3.48003" LPV="1" RPCX="0.62858" RPCY="0.78487" RPD="31.52814" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00726" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40805" LPCY="0.78878" LPD="31.52755" LPS="3.48003" LPV="1" RPCX="0.62852" RPCY="0.78484" RPD="31.49838" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00728" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40803" LPCY="0.78877" LPD="31.62152" LPS="3.48003" LPV="1" RPCX="0.62847" RPCY="0.78485" RPD="31.43332" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00742" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00730" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40804" LPCY="0.78877" LPD="31.57061" LPS="3.48003" LPV="1" RPCX="0.62846" RPCY="0.78485" RPD="31.43429" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00730" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40798" LPCY="0.78878" LPD="31.64133" LPS="3.48003" LPV="1" RPCX="0.62845" RPCY="0.78484" RPD="31.52598" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00743" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00728" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="119.26906" FPOGD="0.09344" FPOGID="555" FPOGV="0" LPOGX="1.10531" LPOGY="-0.37955" LPOGV="0" RPOGX="1.40687" RPOGY="-0.13151" RPOGV="0" BPOGX="1.25609" BPOGY="-0.25553" BPOGV="0" LPCX="0.40788" LPCY="0.78881" LPD="31.56692" LPS="3.48003" LPV="1" RPCX="0.62824" RPCY="0.78478" RPD="31.45481" RPS="3.48003" RPV="1" LEYEX="-0.04474" LEYEY="0.01444" LEYEZ="0.70272" LPUPILD="0.00744" LPUPILV="1" REYEX="0.06526" REYEY="-0.11450" REYEZ="1.18069" RPUPILD="0.00730" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="46" />
