2025-07-01 13:32:41.167518
.57630" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59870" FPOGY="0.37225" FPOGS="84.75187" FPOGD="0.32071" FPOGID="225" FPOGV="1" LPOGX="0.67012" LPOGY="0.43944" LPOGV="1" RPOGX="0.51104" RPOGY="0.51630" RPOGV="1" BPOGX="0.59058" BPOGY="0.47787" BPOGV="1" LPCX="0.48594" LPCY="0.88948" LPD="17.63483" LPS="1.13045" LPV="1" RPCX="0.74597" RPCY="0.92069" RPD="15.58221" RPS="1.11997" RPV="1" LEYEX="-0.00445" LEYEY="-0.07933" LEYEZ="0.65254" LPUPILD="0.00361" LPUPILV="1" REYEX="0.06952" REYEY="-0.09798" REYEZ="0.74825" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59878" FPOGY="0.37385" FPOGS="84.75187" FPOGD="0.32767" FPOGID="225" FPOGV="1" LPOGX="0.67022" LPOGY="0.44533" LPOGV="1" RPOGX="0.51104" RPOGY="0.51630" RPOGV="1" BPOGX="0.59063" BPOGY="0.48081" BPOGV="1" LPCX="0.48643" LPCY="0.88907" LPD="17.72588" LPS="1.11997" LPV="1" RPCX="0.74679" RPCY="0.92030" RPD="16.47250" RPS="1.11997" RPV="1" LEYEX="-0.00303" LEYEY="-0.08592" LEYEZ="0.70893" LPUPILD="0.00371" LPUPILV="1" REYEX="0.06919" REYEY="-0.09507" REYEZ="0.72766" RPUPILD="0.00327" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.60079" FPOGY="0.40385" FPOGS="84.75187" FPOGD="0.32767" FPOGID="225" FPOGV="0" LPOGX="0.65043" LPOGY="0.36306" LPOGV="1" RPOGX="0.53236" RPOGY="0.44881" RPOGV="1" BPOGX="0.59140" BPOGY="0.40593" BPOGV="1" LPCX="0.49052" LPCY="0.88809" LPD="17.71269" LPS="1.13683" LPV="1" RPCX="0.75017" RPCY="0.91981" RPD="16.76163" RPS="1.14731" RPV="1" LEYEX="-0.00303" LEYEY="-0.08592" LEYEZ="0.70893" LPUPILD="0.00363" LPUPILV="1" REYEX="0.06919" REYEY="-0.09507" REYEZ="0.72766" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59670" FPOGY="0.37592" FPOGS="84.75187" FPOGD="0.32767" FPOGID="225" FPOGV="0" LPOGX="0.67493" LPOGY="0.30410" LPOGV="1" RPOGX="0.51031" RPOGY="0.39188" RPOGV="1" BPOGX="0.59262" BPOGY="0.34799" BPOGV="1" LPCX="0.49278" LPCY="0.88702" LPD="16.74899" LPS="1.16417" LPV="1" RPCX="0.75196" RPCY="0.91943" RPD="17.24609" RPS="1.17465" RPV="1" LEYEX="-0.00303" LEYEY="-0.08592" LEYEZ="0.70893" LPUPILD="0.00370" LPUPILV="1" REYEX="0.06919" REYEY="-0.09507" REYEZ="0.72766" RPUPILD="0.00343" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59531" FPOGY="0.36471" FPOGS="84.75187" FPOGD="0.32767" FPOGID="225" FPOGV="0" LPOGX="0.67483" LPOGY="0.29192" LPOGV="1" RPOGX="0.51024" RPOGY="0.39262" RPOGV="1" BPOGX="0.59253" BPOGY="0.34227" BPOGV="1" LPCX="0.49320" LPCY="0.88704" LPD="17.71466" LPS="1.18255" LPV="1" RPCX="0.75261" RPCY="0.91880" RPD="16.15924" RPS="1.17339" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00365" LPUPILV="1" REYEX="0.06563" REYEY="-0.08742" REYEZ="0.67221" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59413" FPOGY="0.37163" FPOGS="85.08646" FPOGD="0.02609" FPOGID="226" FPOGV="1" LPOGX="0.67604" LPOGY="0.37763" LPOGV="1" RPOGX="0.50512" RPOGY="0.40720" RPOGV="1" BPOGX="0.59058" BPOGY="0.39242" BPOGV="1" LPCX="0.49789" LPCY="0.88583" LPD="17.79420" LPS="1.16443" LPV="1" RPCX="0.75703" RPCY="0.91778" RPD="16.89993" RPS="1.14479" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00363" LPUPILV="1" REYEX="0.06563" REYEY="-0.08742" REYEZ="0.67221" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59479" FPOGY="0.37408" FPOGS="85.08646" FPOGD="0.03185" FPOGID="226" FPOGV="1" LPOGX="0.67227" LPOGY="0.35096" LPOGV="1" RPOGX="0.52261" RPOGY="0.41674" RPOGV="1" BPOGX="0.59744" BPOGY="0.38385" BPOGV="1" LPCX="0.50046" LPCY="0.88449" LPD="16.72424" LPS="1.13583" LPV="1" RPCX="0.75940" RPCY="0.91687" RPD="16.14791" RPS="1.11618" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00367" LPUPILV="1" REYEX="0.06563" REYEY="-0.08742" REYEZ="0.67221" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59209" FPOGY="0.38366" FPOGS="85.08646" FPOGD="0.04092" FPOGID="226" FPOGV="1" LPOGX="0.65539" LPOGY="0.37934" LPOGV="1" RPOGX="0.50182" RPOGY="0.48377" RPOGV="1" BPOGX="0.57860" BPOGY="0.43155" BPOGV="1" LPCX="0.50585" LPCY="0.88281" LPD="17.73354" LPS="1.10723" LPV="1" RPCX="0.76512" RPCY="0.91527" RPD="15.85047" RPS="1.08758" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00364" LPUPILV="1" REYEX="0.06563" REYEY="-0.08742" REYEZ="0.67221" RPUPILD="0.00353" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.58911" FPOGY="0.38681" FPOGS="85.08646" FPOGD="0.04662" FPOGID="226" FPOGV="1" LPOGX="0.65672" LPOGY="0.44307" LPOGV="1" RPOGX="0.48567" RPOGY="0.36837" RPOGV="1" BPOGX="0.57119" BPOGY="0.40572" BPOGV="1" LPCX="0.50919" LPCY="0.88208" LPD="16.44091" LPS="1.08758" LPV="1" RPCX="0.76832" RPCY="0.91426" RPD="16.28479" RPS="1.08758" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00360" LPUPILV="1" REYEX="0.06563" REYEY="-0.08742" REYEZ="0.67221" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.58691" FPOGY="0.38810" FPOGS="85.08646" FPOGD="0.05350" FPOGID="226" FPOGV="1" LPOGX="0.65653" LPOGY="0.43788" LPOGV="1" RPOGX="0.48644" RPOGY="0.35635" RPOGV="1" BPOGX="0.57148" BPOGY="0.39712" BPOGV="1" LPCX="0.50955" LPCY="0.88146" LPD="16.93483" LPS="1.09654" LPV="1" RPCX="0.76815" RPCY="0.91169" RPD="10.74724" RPS="1.10571" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00363" LPUPILV="1" REYEX="0.07220" REYEY="-0.08919" REYEZ="0.69422" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.58514" FPOGY="0.39744" FPOGS="85.08646" FPOGD="0.06029" FPOGID="226" FPOGV="1" LPOGX="0.62897" LPOGY="0.58822" LPOGV="1" RPOGX="0.51305" RPOGY="0.35609" RPOGV="1" BPOGX="0.57101" BPOGY="0.47216" BPOGV="1" LPCX="0.51603" LPCY="0.88080" LPD="13.00695" LPS="1.11467" LPV="1" RPCX="0.77452" RPCY="0.91188" RPD="13.89705" RPS="1.12383" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00290" LPUPILV="1" REYEX="0.07220" REYEY="-0.08919" REYEZ="0.69422" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57805" FPOGY="0.42316" FPOGS="85.08646" FPOGD="0.06693" FPOGID="226" FPOGV="1" LPOGX="0.61769" LPOGY="0.68902" LPOGV="1" RPOGX="0.41079" RPOGY="0.62026" RPOGV="1" BPOGX="0.51424" BPOGY="0.65464" BPOGV="1" LPCX="0.51842" LPCY="0.88116" LPD="8.04162" LPS="1.13279" LPV="1" RPCX="0.77768" RPCY="0.91376" RPD="13.18618" RPS="1.14196" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00213" LPUPILV="1" REYEX="0.07220" REYEY="-0.08919" REYEZ="0.69422" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.56281" FPOGY="0.44039" FPOGS="85.08646" FPOGD="0.07320" FPOGID="226" FPOGV="1" LPOGX="0.61769" LPOGY="0.68902" LPOGV="0" RPOGX="0.41039" RPOGY="0.61275" RPOGV="1" BPOGX="0.41039" BPOGY="0.61275" BPOGV="1" LPCX="0.51842" LPCY="0.88116" LPD="8.04162" LPS="1.15092" LPV="0" RPCX="0.77789" RPCY="0.91104" RPD="11.08089" RPS="1.16008" RPV="1" LEYEX="-0.00111" LEYEY="-0.08127" LEYEZ="0.67472" LPUPILD="0.00213" LPUPILV="1" REYEX="0.07220" REYEY="-0.08919" REYEZ="0.69422" RPUPILD="0.00273" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
