2025-06-12 10:52:10.470500
 REYEZ="0.67677" RPUPILD="0.00650" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<REC FPOGX="0.77376" FPOGY="0.14305" FPOGS="2848.49243" FPOGD="0.10693" FPOGID="7176" FPOGV="1" LPOGX="0.75258" LPOGY="0.12783" LPOGV="1" RPOGX="0.76694" RPOGY="0.15262" RPOGV="1" BPOGX="0.75976" BPOGY="0.14023" BPOGV="1" LPCX="0.22790" LPCY="0.49452" LPD="30.06176" LPS="1.08766" LPV="1" RPCX="0.47586" RPCY="0.48203" RPD="31.78984" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00618" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77298" FPOGY="0.14290" FPOGS="2848.49243" FPOGD="0.11450" FPOGID="7176" FPOGV="1" LPOGX="0.75258" LPOGY="0.12783" LPOGV="1" RPOGX="0.76694" RPOGY="0.15262" RPOGV="1" BPOGX="0.75976" BPOGY="0.14023" BPOGV="1" LPCX="0.22790" LPCY="0.49452" LPD="30.06176" LPS="1.08766" LPV="1" RPCX="0.47586" RPCY="0.48203" RPD="31.78984" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00618" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77304" FPOGY="0.14299" FPOGS="2848.49243" FPOGD="0.11987" FPOGID="7176" FPOGV="1" LPOGX="0.75241" LPOGY="0.13504" LPOGV="1" RPOGX="0.79552" RPOGY="0.15435" RPOGV="1" BPOGX="0.77396" BPOGY="0.14469" BPOGV="1" LPCX="0.22778" LPCY="0.49449" LPD="29.98747" LPS="1.08766" LPV="1" RPCX="0.47574" RPCY="0.48201" RPD="31.79095" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00684" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77363" FPOGY="0.14347" FPOGS="2848.49243" FPOGD="0.12671" FPOGID="7176" FPOGV="1" LPOGX="0.77759" LPOGY="0.14386" LPOGV="1" RPOGX="0.79227" RPOGY="0.16140" RPOGV="1" BPOGX="0.78493" BPOGY="0.15263" BPOGV="1" LPCX="0.22774" LPCY="0.49453" LPD="30.02022" LPS="1.08766" LPV="1" RPCX="0.47568" RPCY="0.48201" RPD="31.91133" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00614" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00684" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77417" FPOGY="0.14391" FPOGS="2848.49243" FPOGD="0.13354" FPOGID="7176" FPOGV="1" LPOGX="0.77759" LPOGY="0.14386" LPOGV="1" RPOGX="0.79227" RPOGY="0.16140" RPOGV="1" BPOGX="0.78493" BPOGY="0.15263" BPOGV="1" LPCX="0.22770" LPCY="0.49459" LPD="30.19857" LPS="1.08766" LPV="1" RPCX="0.47568" RPCY="0.48206" RPD="31.87970" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00612" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77432" FPOGY="0.14434" FPOGS="2848.49243" FPOGD="0.13989" FPOGID="7176" FPOGV="1" LPOGX="0.76887" LPOGY="0.13789" LPOGV="1" RPOGX="0.78619" RPOGY="0.16909" RPOGV="1" BPOGX="0.77753" BPOGY="0.15349" BPOGV="1" LPCX="0.22761" LPCY="0.49463" LPD="30.15508" LPS="1.08766" LPV="1" RPCX="0.47559" RPCY="0.48206" RPD="31.89125" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00615" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00683" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77411" FPOGY="0.14487" FPOGS="2848.49243" FPOGD="0.14795" FPOGID="7176" FPOGV="1" LPOGX="0.76155" LPOGY="0.15129" LPOGV="1" RPOGX="0.77757" RPOGY="0.16155" RPOGV="1" BPOGX="0.76956" BPOGY="0.15642" BPOGV="1" LPCX="0.22756" LPCY="0.49467" LPD="30.09555" LPS="1.08766" LPV="1" RPCX="0.47551" RPCY="0.48200" RPD="31.84641" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00684" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77393" FPOGY="0.14535" FPOGS="2848.49243" FPOGD="0.15381" FPOGID="7176" FPOGV="1" LPOGX="0.76155" LPOGY="0.15129" LPOGV="1" RPOGX="0.77757" RPOGY="0.16155" RPOGV="1" BPOGX="0.76956" BPOGY="0.15642" BPOGV="1" LPCX="0.22755" LPCY="0.49469" LPD="30.11452" LPS="1.08766" LPV="1" RPCX="0.47548" RPCY="0.48199" RPD="31.86497" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00615" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00681" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77465" FPOGY="0.14588" FPOGS="2848.49243" FPOGD="0.16064" FPOGID="7176" FPOGV="1" LPOGX="0.78843" LPOGY="0.15620" LPOGV="1" RPOGX="0.79573" RPOGY="0.16121" RPOGV="1" BPOGX="0.79208" BPOGY="0.15870" BPOGV="1" LPCX="0.22748" LPCY="0.49475" LPD="29.99615" LPS="1.08766" LPV="1" RPCX="0.47536" RPCY="0.48202" RPD="31.73052" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00616" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00680" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
<REC FPOGX="0.77510" FPOGY="0.14664" FPOGS="2848.49243" FPOGD="0.16748" FPOGID="7176" FPOGV="1" LPOGX="0.78169" LPOGY="0.16937" LPOGV="1" RPOGX="0.79082" RPOGY="0.16178" RPOGV="1" BPOGX="0.78626" BPOGY="0.16558" BPOGV="1" LPCX="0.22732" LPCY="0.49475" LPD="29.97703" LPS="1.08766" LPV="1" RPCX="0.47535" RPCY="0.48208" RPD="31.68186" RPS="1.08766" RPV="1" LEYEX="-0.07060" LEYEY="-0.00030" LEYEZ="0.67543" LPUPILD="0.00617" LPUPILV="1" REYEX="-0.00822" REYEY="0.00254" REYEZ="0.67676" RPUPILD="0.00679" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="51" />
