2025-05-29 11:09:35.349042
YEY="-0.01931" REYEZ="0.64036" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="3927.04492" FPOGD="0.28101" FPOGID="9823" FPOGV="0" LPOGX="0.64291" LPOGY="0.54024" LPOGV="0" RPOGX="0.51117" RPOGY="0.40180" RPOGV="0" BPOGX="0.64291" BPOGY="0.54024" BPOGV="0" LPCX="0.32368" LPCY="0.57614" LPD="14.07544" LPS="0.89372" LPV="0" RPCX="0.57674" RPCY="0.59170" RPD="13.97867" RPS="0.89372" RPV="0" LEYEX="-0.04229" LEYEY="-0.01568" LEYEZ="0.62603" LPUPILD="0.00327" LPUPILV="1" REYEX="0.01781" REYEY="-0.01846" REYEZ="0.60912" RPUPILD="0.00314" RPUPILV="1" BKID="770" BKDUR="0.00000" BKPMIN="26" />
