2025-06-04 15:51:12.303699
REYEZ="0.71933" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.55027" FPOGY="0.10725" FPOGS="6294.31592" FPOGD="0.14746" FPOGID="13306" FPOGV="1" LPOGX="0.58517" LPOGY="0.18958" LPOGV="1" RPOGX="0.55240" RPOGY="0.06595" RPOGV="1" BPOGX="0.56878" BPOGY="0.12776" BPOGV="1" LPCX="0.35742" LPCY="0.57545" LPD="23.46776" LPS="1.21271" LPV="1" RPCX="0.58698" RPCY="0.57589" RPD="25.46767" RPS="1.20224" RPV="1" LEYEX="-0.03973" LEYEY="-0.01833" LEYEZ="0.73185" LPUPILD="0.00546" LPUPILV="1" REYEX="0.02337" REYEY="-0.01786" REYEZ="0.70660" RPUPILD="0.00580" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55073" FPOGY="0.10551" FPOGS="6294.31592" FPOGD="0.15381" FPOGID="13306" FPOGV="1" LPOGX="0.57729" LPOGY="0.11945" LPOGV="1" RPOGX="0.54518" RPOGY="0.01167" RPOGV="1" BPOGX="0.56124" BPOGY="0.06556" BPOGV="1" LPCX="0.35757" LPCY="0.57607" LPD="24.08326" LPS="1.21248" LPV="1" RPCX="0.58703" RPCY="0.57650" RPD="25.48974" RPS="1.20200" RPV="1" LEYEX="-0.03973" LEYEY="-0.01833" LEYEZ="0.73185" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02337" REYEY="-0.01786" REYEZ="0.70660" RPUPILD="0.00580" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55117" FPOGY="0.10408" FPOGS="6294.31592" FPOGD="0.16064" FPOGID="13306" FPOGV="1" LPOGX="0.57814" LPOGY="0.12753" LPOGV="1" RPOGX="0.54518" RPOGY="0.01167" RPOGV="1" BPOGX="0.56166" BPOGY="0.06960" BPOGV="1" LPCX="0.35734" LPCY="0.57627" LPD="23.49501" LPS="1.20200" LPV="1" RPCX="0.58725" RPCY="0.57655" RPD="24.99911" RPS="1.20200" RPV="1" LEYEX="-0.03794" LEYEY="-0.01790" LEYEZ="0.69786" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02462" REYEY="-0.01928" REYEZ="0.74284" RPUPILD="0.00574" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55089" FPOGY="0.10515" FPOGS="6294.31592" FPOGD="0.16748" FPOGID="13306" FPOGV="1" LPOGX="0.57183" LPOGY="0.17409" LPOGV="1" RPOGX="0.51604" RPOGY="0.09007" RPOGV="1" BPOGX="0.54393" BPOGY="0.13208" BPOGV="1" LPCX="0.35730" LPCY="0.57732" LPD="23.45281" LPS="1.19176" LPV="1" RPCX="0.58710" RPCY="0.57812" RPD="25.43895" RPS="1.20224" RPV="1" LEYEX="-0.03794" LEYEY="-0.01790" LEYEZ="0.69786" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02462" REYEY="-0.01928" REYEZ="0.74284" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55100" FPOGY="0.10473" FPOGS="6294.31592" FPOGD="0.17432" FPOGID="13306" FPOGV="1" LPOGX="0.56048" LPOGY="0.12830" LPOGV="1" RPOGX="0.54731" RPOGY="0.05891" RPOGV="1" BPOGX="0.55390" BPOGY="0.09361" BPOGV="1" LPCX="0.35743" LPCY="0.57803" LPD="24.15956" LPS="1.19200" LPV="1" RPCX="0.58708" RPCY="0.57870" RPD="25.72411" RPS="1.20248" RPV="1" LEYEX="-0.03794" LEYEY="-0.01790" LEYEZ="0.69786" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02462" REYEY="-0.01928" REYEZ="0.74284" RPUPILD="0.00578" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55110" FPOGY="0.10403" FPOGS="6294.31592" FPOGD="0.18066" FPOGID="13306" FPOGV="1" LPOGX="0.55948" LPOGY="0.12021" LPOGV="1" RPOGX="0.54821" RPOGY="0.05000" RPOGV="1" BPOGX="0.55384" BPOGY="0.08510" BPOGV="1" LPCX="0.35712" LPCY="0.57806" LPD="23.18404" LPS="1.20248" LPV="1" RPCX="0.58745" RPCY="0.57852" RPD="24.57708" RPS="1.21295" RPV="1" LEYEX="-0.03967" LEYEY="-0.01908" LEYEZ="0.72878" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02367" REYEY="-0.01907" REYEZ="0.71421" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55132" FPOGY="0.10335" FPOGS="6294.31592" FPOGD="0.18799" FPOGID="13306" FPOGV="1" LPOGX="0.57232" LPOGY="0.14251" LPOGV="1" RPOGX="0.54286" RPOGY="0.02654" RPOGV="1" BPOGX="0.55759" BPOGY="0.08453" BPOGV="1" LPCX="0.35678" LPCY="0.57903" LPD="23.05814" LPS="1.22319" LPV="1" RPCX="0.58684" RPCY="0.58013" RPD="25.65264" RPS="1.22319" RPV="1" LEYEX="-0.03967" LEYEY="-0.01908" LEYEZ="0.72878" LPUPILD="0.00548" LPUPILV="1" REYEX="0.02367" REYEY="-0.01907" REYEZ="0.71421" RPUPILD="0.00581" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55130" FPOGY="0.10248" FPOGS="6294.31592" FPOGD="0.19434" FPOGID="13306" FPOGV="1" LPOGX="0.57420" LPOGY="0.13824" LPOGV="1" RPOGX="0.52716" RPOGY="0.01583" RPOGV="1" BPOGX="0.55068" BPOGY="0.07704" BPOGV="1" LPCX="0.35692" LPCY="0.57980" LPD="24.28675" LPS="1.23343" LPV="1" RPCX="0.58680" RPCY="0.58073" RPD="25.53385" RPS="1.23343" RPV="1" LEYEX="-0.03967" LEYEY="-0.01908" LEYEZ="0.72878" LPUPILD="0.00541" LPUPILV="1" REYEX="0.02367" REYEY="-0.01907" REYEZ="0.71421" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55127" FPOGY="0.10180" FPOGS="6294.31592" FPOGD="0.20068" FPOGID="13306" FPOGV="1" LPOGX="0.57420" LPOGY="0.13824" LPOGV="1" RPOGX="0.52644" RPOGY="0.02490" RPOGV="1" BPOGX="0.55032" BPOGY="0.08157" BPOGV="1" LPCX="0.35656" LPCY="0.57993" LPD="23.61321" LPS="1.23343" LPV="1" RPCX="0.58704" RPCY="0.58048" RPD="25.04988" RPS="1.22295" RPV="1" LEYEX="-0.03749" LEYEY="-0.01826" LEYEZ="0.68591" LPUPILD="0.00539" LPUPILV="1" REYEX="0.02324" REYEY="-0.01922" REYEZ="0.70611" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55011" FPOGY="0.10138" FPOGS="6294.31592" FPOGD="0.20752" FPOGID="13306" FPOGV="1" LPOGX="0.53030" LPOGY="0.17518" LPOGV="1" RPOGX="0.49811" RPOGY="0.00169" RPOGV="1" BPOGX="0.51421" BPOGY="0.08844" BPOGV="1" LPCX="0.35623" LPCY="0.58072" LPD="23.50918" LPS="1.21271" LPV="1" RPCX="0.58654" RPCY="0.58211" RPD="25.94539" RPS="1.20224" RPV="1" LEYEX="-0.03749" LEYEY="-0.01826" LEYEZ="0.68591" LPUPILD="0.00551" LPUPILV="1" REYEX="0.02324" REYEY="-0.01922" REYEZ="0.70611" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
