2025-05-22 11:29:30.322149
-0.00225" LEYEZ="0.68092" LPUPILD="0.00685" LPUPILV="1" REYEX="0.04246" REYEY="-0.00552" REYEZ="0.67569" RPUPILD="0.00644" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.45008" FPOGY="0.39310" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36634" LPOGY="0.30663" LPOGV="1" RPOGX="0.35254" RPOGY="0.24174" RPOGV="1" BPOGX="0.35944" BPOGY="0.27419" BPOGV="1" LPCX="0.40556" LPCY="0.49404" LPD="30.77041" LPS="1.10645" LPV="1" RPCX="0.64931" RPCY="0.50758" RPD="30.39231" RPS="1.09729" RPV="1" LEYEX="-0.02424" LEYEY="-0.00021" LEYEZ="0.68796" LPUPILD="0.00659" LPUPILV="1" REYEX="0.00000" REYEY="0.00000" REYEZ="0.00000" RPUPILD="0.00654" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.40519" FPOGY="0.33308" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36883" LPOGY="0.31256" LPOGV="1" RPOGX="0.35178" RPOGY="0.23354" RPOGV="1" BPOGX="0.36031" BPOGY="0.27305" BPOGV="1" LPCX="0.40554" LPCY="0.49389" LPD="30.57872" LPS="1.09729" LPV="1" RPCX="0.64930" RPCY="0.50754" RPD="30.46259" RPS="1.10776" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00661" LPUPILV="1" REYEX="0.04179" REYEY="-0.00292" REYEZ="0.72193" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.38431" FPOGY="0.30069" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36883" LPOGY="0.31256" LPOGV="0" RPOGX="0.34254" RPOGY="0.23591" RPOGV="1" BPOGX="0.34254" BPOGY="0.23591" BPOGV="1" LPCX="0.40576" LPCY="0.49291" LPD="30.93000" LPS="1.10776" LPV="1" RPCX="0.64967" RPCY="0.50663" RPD="30.57995" RPS="1.12741" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00662" LPUPILV="1" REYEX="0.04179" REYEY="-0.00292" REYEZ="0.72193" RPUPILD="0.00657" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.33978" FPOGY="0.24004" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36883" LPOGY="0.31256" LPOGV="0" RPOGX="0.31648" RPOGY="0.21116" RPOGV="1" BPOGX="0.31648" BPOGY="0.21116" BPOGV="1" LPCX="0.40585" LPCY="0.49241" LPD="30.79874" LPS="1.12741" LPV="1" RPCX="0.64982" RPCY="0.50620" RPD="30.58196" RPS="1.14705" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00665" LPUPILV="1" REYEX="0.04179" REYEY="-0.00292" REYEZ="0.72193" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.32813" FPOGY="0.22560" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.36883" LPOGY="0.31256" LPOGV="0" RPOGX="0.31648" RPOGY="0.21116" RPOGV="1" BPOGX="0.31648" BPOGY="0.21116" BPOGV="1" LPCX="0.40584" LPCY="0.49235" LPD="30.81615" LPS="1.14705" LPV="1" RPCX="0.64981" RPCY="0.50616" RPD="30.55231" RPS="1.14705" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00660" LPUPILV="1" REYEX="0.03930" REYEY="-0.00244" REYEZ="0.67708" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.34042" FPOGY="0.22951" FPOGS="1429.99683" FPOGD="0.38220" FPOGID="1910" FPOGV="0" LPOGX="0.39376" LPOGY="0.27972" LPOGV="1" RPOGX="0.33626" RPOGY="0.19494" RPOGV="1" BPOGX="0.36501" BPOGY="0.23733" BPOGV="1" LPCX="0.40597" LPCY="0.49144" LPD="30.78123" LPS="1.14705" LPV="1" RPCX="0.65002" RPCY="0.50543" RPD="30.50671" RPS="1.12741" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00658" LPUPILV="1" REYEX="0.03930" REYEY="-0.00244" REYEZ="0.67708" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.34963" FPOGY="0.24671" FPOGS="1430.40662" FPOGD="0.01941" FPOGID="1911" FPOGV="1" LPOGX="0.40729" LPOGY="0.30828" LPOGV="1" RPOGX="0.34721" RPOGY="0.28834" RPOGV="1" BPOGX="0.37725" BPOGY="0.29831" BPOGV="1" LPCX="0.40612" LPCY="0.49106" LPD="30.72081" LPS="1.12741" LPV="1" RPCX="0.65014" RPCY="0.50502" RPD="30.59686" RPS="1.10776" RPV="1" LEYEX="-0.02410" LEYEY="0.00021" LEYEZ="0.68683" LPUPILD="0.00661" LPUPILV="1" REYEX="0.03930" REYEY="-0.00244" REYEZ="0.67708" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35561" FPOGY="0.25829" FPOGS="1430.40662" FPOGD="0.02637" FPOGID="1911" FPOGV="1" LPOGX="0.41185" LPOGY="0.32085" LPOGV="1" RPOGX="0.34721" RPOGY="0.28834" RPOGV="1" BPOGX="0.37953" BPOGY="0.30460" BPOGV="1" LPCX="0.40608" LPCY="0.49094" LPD="30.73305" LPS="1.10776" LPV="1" RPCX="0.65016" RPCY="0.50499" RPD="30.59936" RPS="1.10776" RPV="1" LEYEX="-0.02408" LEYEY="0.00083" LEYEZ="0.68927" LPUPILD="0.00661" LPUPILV="1" REYEX="0.04308" REYEY="-0.00239" REYEZ="0.74036" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35642" FPOGY="0.26376" FPOGS="1430.40662" FPOGD="0.03296" FPOGID="1911" FPOGV="1" LPOGX="0.39014" LPOGY="0.33299" LPOGV="1" RPOGX="0.33080" RPOGY="0.24932" RPOGV="1" BPOGX="0.36047" BPOGY="0.29115" BPOGV="1" LPCX="0.40625" LPCY="0.49022" LPD="30.84659" LPS="1.10776" LPV="1" RPCX="0.65033" RPCY="0.50433" RPD="30.48744" RPS="1.12741" RPV="1" LEYEX="-0.02408" LEYEY="0.00083" LEYEZ="0.68927" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04308" REYEY="-0.00239" REYEZ="0.74036" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35842" FPOGY="0.26427" FPOGS="1430.40662" FPOGD="0.03967" FPOGID="1911" FPOGV="1" LPOGX="0.39405" LPOGY="0.27264" LPOGV="1" RPOGX="0.34685" RPOGY="0.26203" RPOGV="1" BPOGX="0.37045" BPOGY="0.26733" BPOGV="1" LPCX="0.40632" LPCY="0.48986" LPD="30.74919" LPS="1.12741" LPV="1" RPCX="0.65046" RPCY="0.50402" RPD="30.65693" RPS="1.14705" RPV="1" LEYEX="-0.02408" LEYEY="0.00083" LEYEZ="0.68927" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04308" REYEY="-0.00239" REYEZ="0.74036" RPUPILD="0.00656" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.35963" FPOGY="0.26384" FPOGS="1430.40662" FPOGD="0.04626" FPOGID="1911" FPOGV="1" LPOGX="0.38929" LPOGY="0.25956" LPOGV="1" RPOGX="0.34685" RPOGY="0.26203" RPOGV="1" BPOGX="0.36807" BPOGY="0.26079" BPOGV="1" LPCX="0.40634" LPCY="0.48977" LPD="30.84734" LPS="1.14705" LPV="1" RPCX="0.65051" RPCY="0.50391" RPD="30.51431" RPS="1.14705" RPV="1" LEYEX="-0.02375" LEYEY="0.00102" LEYEZ="0.68260" LPUPILD="0.00664" LPUPILV="1" REYEX="0.04036" REYEY="-0.00208" REYEZ="0.69191" RPUPILD="0.00653" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
