2025-05-29 13:10:35.932542
1" LEYEY="-0.00344" LEYEZ="0.69528" LPUPILD="0.00356" LPUPILV="1" REYEX="0.05721" REYEY="-0.00098" REYEZ="0.76683" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.16433" FPOGY="-0.04734" FPOGS="972.84583" FPOGD="0.06757" FPOGID="2885" FPOGV="1" LPOGX="0.16703" LPOGY="0.01762" LPOGV="1" RPOGX="0.11456" RPOGY="-0.09604" RPOGV="1" BPOGX="0.14079" BPOGY="-0.03921" BPOGV="1" LPCX="0.43500" LPCY="0.50895" LPD="16.81922" LPS="1.26083" LPV="1" RPCX="0.69133" RPCY="0.49628" RPD="17.54660" RPS="1.26083" RPV="1" LEYEX="-0.01722" LEYEY="-0.00369" LEYEZ="0.74546" LPUPILD="0.00356" LPUPILV="1" REYEX="0.05592" REYEY="-0.00101" REYEZ="0.74942" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.70925" FPOGY="-0.09310" FPOGS="973.77051" FPOGD="0.05371" FPOGID="2890" FPOGV="1" LPOGX="0.71417" LPOGY="0.02472" LPOGV="1" RPOGX="0.65223" RPOGY="-0.06911" RPOGV="1" BPOGX="0.68320" BPOGY="-0.02220" BPOGV="1" LPCX="0.44960" LPCY="0.50648" LPD="15.51989" LPS="1.24319" LPV="1" RPCX="0.70589" RPCY="0.49542" RPD="16.19209" RPS="1.24319" RPV="1" LEYEX="-0.01440" LEYEY="-0.00319" LEYEZ="0.73306" LPUPILD="0.00324" LPUPILV="1" REYEX="0.05641" REYEY="-0.00076" REYEZ="0.72191" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70848" FPOGY="-0.09137" FPOGS="973.77051" FPOGD="0.06042" FPOGID="2890" FPOGV="1" LPOGX="0.74005" LPOGY="-0.05623" LPOGV="1" RPOGX="0.66301" RPOGY="-0.09533" RPOGV="1" BPOGX="0.70153" BPOGY="-0.07578" BPOGV="1" LPCX="0.44971" LPCY="0.50643" LPD="16.00267" LPS="1.24319" LPV="1" RPCX="0.70591" RPCY="0.49533" RPD="16.18391" RPS="1.24319" RPV="1" LEYEX="-0.01440" LEYEY="-0.00319" LEYEZ="0.73306" LPUPILD="0.00315" LPUPILV="1" REYEX="0.05641" REYEY="-0.00076" REYEZ="0.72191" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70788" FPOGY="-0.09050" FPOGS="973.77051" FPOGD="0.06702" FPOGID="2890" FPOGV="1" LPOGX="0.74056" LPOGY="-0.06716" LPOGV="1" RPOGX="0.66323" RPOGY="-0.09658" RPOGV="1" BPOGX="0.70190" BPOGY="-0.08187" BPOGV="1" LPCX="0.44979" LPCY="0.50628" LPD="16.11911" LPS="1.25500" LPV="1" RPCX="0.70597" RPCY="0.49526" RPD="16.16799" RPS="1.24453" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00319" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70697" FPOGY="-0.09023" FPOGS="973.77051" FPOGD="0.07361" FPOGID="2890" FPOGV="1" LPOGX="0.72476" LPOGY="-0.00347" LPOGV="1" RPOGX="0.66921" RPOGY="-0.17107" RPOGV="1" BPOGX="0.69698" BPOGY="-0.08727" BPOGV="1" LPCX="0.44975" LPCY="0.50629" LPD="16.03892" LPS="1.25634" LPV="1" RPCX="0.70603" RPCY="0.49513" RPD="15.93582" RPS="1.24586" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00319" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00334" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70638" FPOGY="-0.09032" FPOGS="973.77051" FPOGD="0.08020" FPOGID="2890" FPOGV="1" LPOGX="0.73354" LPOGY="-0.03335" LPOGV="1" RPOGX="0.66504" RPOGY="-0.14940" RPOGV="1" BPOGX="0.69929" BPOGY="-0.09137" BPOGV="1" LPCX="0.44973" LPCY="0.50627" LPD="15.86116" LPS="1.25768" LPV="1" RPCX="0.70604" RPCY="0.49520" RPD="15.89542" RPS="1.24720" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00322" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70588" FPOGY="-0.09048" FPOGS="973.77051" FPOGD="0.08698" FPOGID="2890" FPOGV="1" LPOGX="0.73359" LPOGY="-0.03454" LPOGV="1" RPOGX="0.66527" RPOGY="-0.15070" RPOGV="1" BPOGX="0.69943" BPOGY="-0.09262" BPOGV="1" LPCX="0.44973" LPCY="0.50628" LPD="15.84645" LPS="1.25901" LPV="1" RPCX="0.70605" RPCY="0.49531" RPD="15.90054" RPS="1.24854" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00322" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70576" FPOGY="-0.09085" FPOGS="973.77051" FPOGD="0.09351" FPOGID="2890" FPOGV="1" LPOGX="0.72870" LPOGY="-0.03745" LPOGV="1" RPOGX="0.67934" RPOGY="-0.15454" RPOGV="1" BPOGX="0.70402" BPOGY="-0.09599" BPOGV="1" LPCX="0.44969" LPCY="0.50631" LPD="15.80518" LPS="1.24854" LPV="1" RPCX="0.70591" RPCY="0.49504" RPD="15.74374" RPS="1.24854" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00325" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00334" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.70577" FPOGY="-0.08989" FPOGS="973.77051" FPOGD="0.10040" FPOGID="2890" FPOGV="1" LPOGX="0.72931" LPOGY="0.00652" LPOGV="1" RPOGX="0.68273" RPOGY="-0.15754" RPOGV="1" BPOGX="0.70602" BPOGY="-0.07551" BPOGV="1" LPCX="0.44970" LPCY="0.50632" LPD="15.74481" LPS="1.24854" LPV="1" RPCX="0.70609" RPCY="0.49529" RPD="16.10176" RPS="1.24854" RPV="1" LEYEX="-0.01462" LEYEY="-0.00319" LEYEZ="0.74725" LPUPILD="0.00326" LPUPILV="1" REYEX="0.05466" REYEY="-0.00073" REYEZ="0.69889" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
