2025-05-29 12:43:50.722744
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.82608" FPOGY="-0.09653" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="1" LPOGX="0.67983" LPOGY="-0.09293" LPOGV="1" RPOGX="0.52573" RPOGY="-0.22408" RPOGV="1" BPOGX="0.60278" BPOGY="-0.15850" BPOGV="1" LPCX="0.27476" LPCY="0.63558" LPD="26.88799" LPS="1.07654" LPV="1" RPCX="0.54017" RPCY="0.63598" RPD="25.34760" RPS="1.06845" RPV="1" LEYEX="-0.05746" LEYEY="-0.02990" LEYEZ="0.67219" LPUPILD="0.00551" LPUPILV="1" REYEX="0.01051" REYEY="-0.02967" REYEZ="0.65825" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.79047" FPOGY="-0.10766" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.67985" LPOGY="-0.07554" LPOGV="1" RPOGX="0.52513" RPOGY="-0.21442" RPOGV="1" BPOGX="0.60249" BPOGY="-0.14498" BPOGV="1" LPCX="0.27468" LPCY="0.63558" LPD="26.56601" LPS="1.06055" LPV="1" RPCX="0.53993" RPCY="0.63640" RPD="25.74702" RPS="1.06055" RPV="1" LEYEX="-0.05788" LEYEY="-0.02962" LEYEZ="0.66487" LPUPILD="0.00550" LPUPILV="1" REYEX="0.00968" REYEY="-0.03025" REYEZ="0.67221" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.62624" FPOGY="-0.11890" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.50524" LPOGY="-0.04627" LPOGV="1" RPOGX="0.41879" RPOGY="-0.21400" RPOGV="1" BPOGX="0.46201" BPOGY="-0.13013" BPOGV="1" LPCX="0.27022" LPCY="0.63613" LPD="26.68382" LPS="1.05264" LPV="1" RPCX="0.53552" RPCY="0.63642" RPD="26.37163" RPS="1.06073" RPV="1" LEYEX="-0.05788" LEYEY="-0.02962" LEYEZ="0.66487" LPUPILD="0.00546" LPUPILV="1" REYEX="0.00968" REYEY="-0.03025" REYEZ="0.67221" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54879" FPOGY="-0.11213" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.47506" LPOGY="-0.00780" LPOGV="1" RPOGX="0.31268" RPOGY="-0.18938" RPOGV="1" BPOGX="0.39387" BPOGY="-0.09859" BPOGV="1" LPCX="0.26844" LPCY="0.63671" LPD="26.83512" LPS="1.05283" LPV="1" RPCX="0.53360" RPCY="0.63663" RPD="26.82543" RPS="1.06091" RPV="1" LEYEX="-0.05788" LEYEY="-0.02962" LEYEZ="0.66487" LPUPILD="0.00535" LPUPILV="1" REYEX="0.00968" REYEY="-0.03025" REYEZ="0.67221" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.41604" FPOGY="-0.11395" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.47358" LPOGY="-0.01572" LPOGV="1" RPOGX="0.31087" RPOGY="-0.21052" RPOGV="1" BPOGX="0.39222" BPOGY="-0.11312" BPOGV="1" LPCX="0.26801" LPCY="0.63671" LPD="26.59007" LPS="1.06091" LPV="1" RPCX="0.53335" RPCY="0.63687" RPD="26.75162" RPS="1.07817" RPV="1" LEYEX="-0.06074" LEYEY="-0.03079" LEYEZ="0.68763" LPUPILD="0.00538" LPUPILV="1" REYEX="0.00911" REYEY="-0.03124" REYEZ="0.69422" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.34228" FPOGY="-0.10319" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.35754" LPOGY="-0.00970" LPOGV="1" RPOGX="0.17951" RPOGY="-0.17515" RPOGV="1" BPOGX="0.26853" BPOGY="-0.09242" BPOGV="1" LPCX="0.26558" LPCY="0.63745" LPD="26.50451" LPS="1.08607" LPV="1" RPCX="0.53064" RPCY="0.63687" RPD="26.90419" RPS="1.09524" RPV="1" LEYEX="-0.06074" LEYEY="-0.03079" LEYEZ="0.68763" LPUPILD="0.00526" LPUPILV="1" REYEX="0.00911" REYEY="-0.03124" REYEZ="0.69422" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.30977" FPOGY="-0.10561" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.29637" LPOGY="-0.05425" LPOGV="1" RPOGX="0.19312" RPOGY="-0.16667" RPOGV="1" BPOGX="0.24474" BPOGY="-0.11046" BPOGV="1" LPCX="0.26505" LPCY="0.63825" LPD="26.91160" LPS="1.10315" LPV="1" RPCX="0.52996" RPCY="0.63710" RPD="26.83026" RPS="1.11231" RPV="1" LEYEX="-0.06074" LEYEY="-0.03079" LEYEZ="0.68763" LPUPILD="0.00546" LPUPILV="1" REYEX="0.00911" REYEY="-0.03124" REYEZ="0.69422" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25218" FPOGY="-0.10587" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.29340" LPOGY="-0.06278" LPOGV="1" RPOGX="0.19312" RPOGY="-0.16667" RPOGV="1" BPOGX="0.24326" BPOGY="-0.11472" BPOGV="1" LPCX="0.26484" LPCY="0.63814" LPD="26.92602" LPS="1.11231" LPV="1" RPCX="0.52971" RPCY="0.63727" RPD="26.98672" RPS="1.11231" RPV="1" LEYEX="-0.05891" LEYEY="-0.02984" LEYEZ="0.66418" LPUPILD="0.00543" LPUPILV="1" REYEX="0.00856" REYEY="-0.03056" REYEZ="0.67918" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25568" FPOGY="-0.11126" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.30857" LPOGY="-0.06871" LPOGV="1" RPOGX="0.20982" RPOGY="-0.16460" RPOGV="1" BPOGX="0.25919" BPOGY="-0.11665" BPOGV="1" LPCX="0.26493" LPCY="0.63819" LPD="27.21334" LPS="1.10441" LPV="1" RPCX="0.52992" RPCY="0.63705" RPD="26.84185" RPS="1.09524" RPV="1" LEYEX="-0.05891" LEYEY="-0.02984" LEYEZ="0.66418" LPUPILD="0.00542" LPUPILV="1" REYEX="0.00856" REYEY="-0.03056" REYEZ="0.67918" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25974" FPOGY="-0.09839" FPOGS="9582.38379" FPOGD="0.17383" FPOGID="26477" FPOGV="0" LPOGX="0.31374" LPOGY="-0.00221" LPOGV="1" RPOGX="0.22197" RPOGY="-0.14311" RPOGV="1" BPOGX="0.26785" BPOGY="-0.07266" BPOGV="1" LPCX="0.26499" LPCY="0.63816" LPD="27.18277" LPS="1.08734" LPV="1" RPCX="0.52992" RPCY="0.63718" RPD="27.11367" RPS="1.07817" RPV="1" LEYEX="-0.05891" LEYEY="-0.02984" LEYEZ="0.66418" LPUPILD="0.00541" LPUPILV="1" REYEX="0.00856" REYEY="-0.03056" REYEZ="0.67918" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.26262" FPOGY="-0.08887" FPOGS="9582.60449" FPOGD="0.01953" FPOGID="26478" FPOGV="1" LPOGX="0.31913" LPOGY="0.01327" LPOGV="1" RPOGX="0.22340" RPOGY="-0.13384" RPOGV="1" BPOGX="0.27126" BPOGY="-0.06028" BPOGV="1" LPCX="0.26489" LPCY="0.63800" LPD="26.91554" LPS="1.07027" LPV="1" RPCX="0.52995" RPCY="0.63715" RPD="27.06621" RPS="1.07027" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00543" LPUPILV="1" REYEX="0.00880" REYEY="-0.03125" REYEZ="0.69447" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.26213" FPOGY="-0.08432" FPOGS="9582.60449" FPOGD="0.02637" FPOGID="26478" FPOGV="1" LPOGX="0.31205" LPOGY="0.01005" LPOGV="1" RPOGX="0.20828" RPOGY="-0.14231" RPOGV="1" BPOGX="0.26017" BPOGY="-0.06613" BPOGV="1" LPCX="0.26490" LPCY="0.63795" LPD="26.88254" LPS="1.07027" LPV="1" RPCX="0.52996" RPCY="0.63699" RPD="26.77171" RPS="1.07943" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00542" LPUPILV="1" REYEX="0.00880" REYEY="-0.03125" REYEZ="0.69447" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.26212" FPOGY="-0.08532" FPOGS="9582.60449" FPOGD="0.03320" FPOGID="26478" FPOGV="1" LPOGX="0.30147" LPOGY="-0.00549" LPOGV="1" RPOGX="0.22268" RPOGY="-0.17512" RPOGV="1" BPOGX="0.26207" BPOGY="-0.09030" BPOGV="1" LPCX="0.26491" LPCY="0.63792" LPD="27.10046" LPS="1.07943" LPV="1" RPCX="0.53002" RPCY="0.63698" RPD="26.79810" RPS="1.08860" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00538" LPUPILV="1" REYEX="0.00880" REYEY="-0.03125" REYEZ="0.69447" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.26165" FPOGY="-0.08830" FPOGS="9582.60449" FPOGD="0.04004" FPOGID="26478" FPOGV="1" LPOGX="0.29846" LPOGY="-0.01384" LPOGV="1" RPOGX="0.21919" RPOGY="-0.19853" RPOGV="1" BPOGX="0.25883" BPOGY="-0.10619" BPOGV="1" LPCX="0.26495" LPCY="0.63807" LPD="27.16163" LPS="1.08860" LPV="1" RPCX="0.52997" RPCY="0.63696" RPD="26.85751" RPS="1.10824" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00544" LPUPILV="1" REYEX="0.00921" REYEY="-0.03251" REYEZ="0.72241" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25989" FPOGY="-0.09175" FPOGS="9582.60449" FPOGD="0.04688" FPOGID="26478" FPOGV="1" LPOGX="0.30369" LPOGY="-0.02727" LPOGV="1" RPOGX="0.19142" RPOGY="-0.20454" RPOGV="1" BPOGX="0.24755" BPOGY="-0.11590" BPOGV="1" LPCX="0.26487" LPCY="0.63808" LPD="26.94901" LPS="1.10824" LPV="1" RPCX="0.53007" RPCY="0.63700" RPD="26.88048" RPS="1.11872" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00542" LPUPILV="1" REYEX="0.00921" REYEY="-0.03251" REYEZ="0.72241" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25774" FPOGY="-0.09617" FPOGS="9582.60449" FPOGD="0.05371" FPOGID="26478" FPOGV="1" LPOGX="0.29762" LPOGY="-0.03553" LPOGV="1" RPOGX="0.18350" RPOGY="-0.22761" RPOGV="1" BPOGX="0.24056" BPOGY="-0.13157" BPOGV="1" LPCX="0.26497" LPCY="0.63796" LPD="27.25928" LPS="1.11872" LPV="1" RPCX="0.53014" RPCY="0.63690" RPD="26.85106" RPS="1.12919" RPV="1" LEYEX="-0.05831" LEYEY="-0.02948" LEYEZ="0.65739" LPUPILD="0.00540" LPUPILV="1" REYEX="0.00921" REYEY="-0.03251" REYEZ="0.72241" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25604" FPOGY="-0.09945" FPOGS="9582.60449" FPOGD="0.05957" FPOGID="26478" FPOGV="1" LPOGX="0.29652" LPOGY="-0.03865" LPOGV="1" RPOGX="0.18492" RPOGY="-0.21918" RPOGV="1" BPOGX="0.24072" BPOGY="-0.12891" BPOGV="1" LPCX="0.26500" LPCY="0.63788" LPD="27.34998" LPS="1.12217" LPV="1" RPCX="0.53018" RPCY="0.63693" RPD="26.86525" RPS="1.12217" RPV="1" LEYEX="-0.05600" LEYEY="-0.02824" LEYEZ="0.63080" LPUPILD="0.00539" LPUPILV="1" REYEX="0.00898" REYEY="-0.03148" REYEZ="0.70067" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25513" FPOGY="-0.09732" FPOGS="9582.60449" FPOGD="0.06641" FPOGID="26478" FPOGV="1" LPOGX="0.30284" LPOGY="-0.02984" LPOGV="1" RPOGX="0.18915" RPOGY="-0.12232" RPOGV="1" BPOGX="0.24600" BPOGY="-0.07608" BPOGV="1" LPCX="0.26500" LPCY="0.63788" LPD="27.36083" LPS="1.11514" LPV="1" RPCX="0.53013" RPCY="0.63681" RPD="26.58046" RPS="1.10467" RPV="1" LEYEX="-0.05600" LEYEY="-0.02824" LEYEZ="0.63080" LPUPILD="0.00539" LPUPILV="1" REYEX="0.00898" REYEY="-0.03148" REYEZ="0.70067" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.25598" FPOGY="-0.09441" FPOGS="9582.60449" FPOGD="0.07324" FPOGID="26478" FPOGV="1" LPOGX="0.33208" LPOGY="-0.01639" LPOGV="1" RPOGX="0.19872" RPOGY="-0.10847" RPOGV="1" BPOGX="0.26540" BPOGY="-0.06243" BPOGV="1" LPCX="0.26494" LPCY="0.63813" LPD="27.40431" LPS="1.09764" LPV="1" RPCX="0.53015" RPCY="0.63687" RPD="26.74832" RPS="1.08716" RPV="1" LEYEX="-0.05600" LEYEY="-0.02824" LEYEZ="0.63080" LPUPILD="0.00553" LPUPILV="1" REYEX="0.00898" REYEY="-0.03148" REYEZ="0.70067" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
