2025-05-27 10:40:59.366112
YEY="-0.04019" REYEZ="0.63411" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51297" FPOGY="1.04000" FPOGS="1779.29321" FPOGD="0.19446" FPOGID="4596" FPOGV="1" LPOGX="0.50563" LPOGY="1.04888" LPOGV="1" RPOGX="0.51244" RPOGY="1.06962" RPOGV="1" BPOGX="0.50904" BPOGY="1.05925" BPOGV="1" LPCX="0.20938" LPCY="0.68721" LPD="24.58178" LPS="1.01084" LPV="1" RPCX="0.46697" RPCY="0.71963" RPD="23.27186" RPS="1.02612" RPV="1" LEYEX="-0.07279" LEYEY="-0.03776" LEYEZ="0.65728" LPUPILD="0.00482" LPUPILV="1" REYEX="-0.00829" REYEY="-0.04297" REYEZ="0.63519" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51338" FPOGY="1.03876" FPOGS="1779.29321" FPOGD="0.20129" FPOGID="4596" FPOGV="1" LPOGX="0.47962" LPOGY="0.98743" LPOGV="1" RPOGX="0.57193" RPOGY="1.01612" RPOGV="1" BPOGX="0.52577" BPOGY="1.00177" BPOGV="1" LPCX="0.20924" LPCY="0.68698" LPD="24.74107" LPS="1.02612" LPV="1" RPCX="0.46691" RPCY="0.71953" RPD="23.58381" RPS="1.04140" RPV="1" LEYEX="-0.07279" LEYEY="-0.03776" LEYEZ="0.65728" LPUPILD="0.00482" LPUPILV="1" REYEX="-0.00829" REYEY="-0.04297" REYEZ="0.63519" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51375" FPOGY="1.03757" FPOGS="1779.29321" FPOGD="0.20801" FPOGID="4596" FPOGV="1" LPOGX="0.47662" LPOGY="0.98613" LPOGV="1" RPOGX="0.57390" RPOGY="1.01501" RPOGV="1" BPOGX="0.52526" BPOGY="1.00057" BPOGV="1" LPCX="0.20899" LPCY="0.68675" LPD="24.79968" LPS="1.04140" LPV="1" RPCX="0.46667" RPCY="0.71918" RPD="23.53424" RPS="1.05667" RPV="1" LEYEX="-0.07873" LEYEY="-0.04057" LEYEZ="0.70991" LPUPILD="0.00479" LPUPILV="1" REYEX="-0.00905" REYEY="-0.04568" REYEZ="0.67829" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51350" FPOGY="1.03799" FPOGS="1779.29321" FPOGD="0.21509" FPOGID="4596" FPOGV="1" LPOGX="0.47257" LPOGY="1.05980" LPOGV="1" RPOGX="0.53855" RPOGY="1.04327" RPOGV="1" BPOGX="0.50556" BPOGY="1.05154" BPOGV="1" LPCX="0.20864" LPCY="0.68601" LPD="24.72749" LPS="1.05667" LPV="1" RPCX="0.46638" RPCY="0.71872" RPD="23.56773" RPS="1.05667" RPV="1" LEYEX="-0.07873" LEYEY="-0.04057" LEYEZ="0.70991" LPUPILD="0.00481" LPUPILV="1" REYEX="-0.00905" REYEY="-0.04568" REYEZ="0.67829" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51312" FPOGY="1.03924" FPOGS="1779.29321" FPOGD="0.22131" FPOGID="4596" FPOGV="1" LPOGX="0.47752" LPOGY="1.07333" LPOGV="1" RPOGX="0.52372" RPOGY="1.08775" RPOGV="1" BPOGX="0.50062" BPOGY="1.08054" BPOGV="1" LPCX="0.20848" LPCY="0.68578" LPD="24.84769" LPS="1.05667" LPV="1" RPCX="0.46622" RPCY="0.71842" RPD="23.40066" RPS="1.05667" RPV="1" LEYEX="-0.07873" LEYEY="-0.04057" LEYEZ="0.70991" LPUPILD="0.00482" LPUPILV="1" REYEX="-0.00905" REYEY="-0.04568" REYEZ="0.67829" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51275" FPOGY="1.04042" FPOGS="1779.29321" FPOGD="0.22815" FPOGID="4596" FPOGV="1" LPOGX="0.47752" LPOGY="1.07333" LPOGV="1" RPOGX="0.52247" RPOGY="1.08781" RPOGV="1" BPOGX="0.49999" BPOGY="1.08057" BPOGV="1" LPCX="0.20828" LPCY="0.68530" LPD="24.78206" LPS="1.05667" LPV="1" RPCX="0.46604" RPCY="0.71807" RPD="23.53653" RPS="1.04140" RPV="1" LEYEX="-0.07407" LEYEY="-0.03787" LEYEZ="0.66616" LPUPILD="0.00484" LPUPILV="1" REYEX="-0.00861" REYEY="-0.04276" REYEZ="0.63771" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51274" FPOGY="1.04106" FPOGS="1779.29321" FPOGD="0.23425" FPOGID="4596" FPOGV="1" LPOGX="0.47808" LPOGY="1.04986" LPOGV="1" RPOGX="0.54656" RPOGY="1.07657" RPOGV="1" BPOGX="0.51232" BPOGY="1.06321" BPOGV="1" LPCX="0.20796" LPCY="0.68457" LPD="24.99515" LPS="1.04140" LPV="1" RPCX="0.46579" RPCY="0.71740" RPD="23.53698" RPS="1.02612" RPV="1" LEYEX="-0.07407" LEYEY="-0.03787" LEYEZ="0.66616" LPUPILD="0.00486" LPUPILV="1" REYEX="-0.00861" REYEY="-0.04276" REYEZ="0.63771" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51271" FPOGY="1.04063" FPOGS="1779.29321" FPOGD="0.24121" FPOGID="4596" FPOGV="1" LPOGX="0.47045" LPOGY="1.00587" LPOGV="1" RPOGX="0.55295" RPOGY="1.04473" RPOGV="1" BPOGX="0.51170" BPOGY="1.02530" BPOGV="1" LPCX="0.20793" LPCY="0.68365" LPD="25.38983" LPS="1.02612" LPV="1" RPCX="0.46583" RPCY="0.71659" RPD="23.79624" RPS="1.01084" RPV="1" LEYEX="-0.07407" LEYEY="-0.03787" LEYEZ="0.66616" LPUPILD="0.00489" LPUPILV="1" REYEX="-0.00861" REYEY="-0.04276" REYEZ="0.63771" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51272" FPOGY="1.04024" FPOGS="1779.29321" FPOGD="0.24792" FPOGID="4596" FPOGV="1" LPOGX="0.47359" LPOGY="1.00691" LPOGV="1" RPOGX="0.55295" RPOGY="1.04473" RPOGV="1" BPOGX="0.51327" BPOGY="1.02582" BPOGV="1" LPCX="0.20792" LPCY="0.68219" LPD="25.52414" LPS="1.01084" LPV="1" RPCX="0.46592" RPCY="0.71513" RPD="23.81926" RPS="1.01084" RPV="1" LEYEX="-0.07343" LEYEY="-0.03680" LEYEZ="0.65945" LPUPILD="0.00489" LPUPILV="1" REYEX="-0.00931" REYEY="-0.04511" REYEZ="0.68195" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.51426" FPOGY="1.03153" FPOGS="1779.29321" FPOGD="0.25464" FPOGID="4596" FPOGV="1" LPOGX="0.52319" LPOGY="0.73071" LPOGV="1" RPOGX="0.62225" RPOGY="0.67035" RPOGV="1" BPOGX="0.57272" BPOGY="0.70053" BPOGV="1" LPCX="0.20860" LPCY="0.67782" LPD="25.59324" LPS="1.01084" LPV="1" RPCX="0.46614" RPCY="0.71117" RPD="24.22215" RPS="1.02612" RPV="1" LEYEX="-0.07343" LEYEY="-0.03680" LEYEZ="0.65945" LPUPILD="0.00523" LPUPILV="1" REYEX="-0.00931" REYEY="-0.04511" REYEZ="0.68195" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
