2025-05-29 12:58:46.974189
"0.64200" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53461" FPOGY="0.19118" FPOGS="264.84412" FPOGD="0.07343" FPOGID="826" FPOGV="1" LPOGX="0.58597" LPOGY="0.18764" LPOGV="1" RPOGX="0.48456" RPOGY="0.16527" RPOGV="1" BPOGX="0.53526" BPOGY="0.17646" BPOGV="1" LPCX="0.28570" LPCY="0.49882" LPD="29.31820" LPS="1.04730" LPV="1" RPCX="0.56055" RPCY="0.48965" RPD="27.67926" RPS="1.04730" RPV="1" LEYEX="-0.05407" LEYEY="-0.00128" LEYEZ="0.65854" LPUPILD="0.00571" LPUPILV="1" REYEX="0.01520" REYEY="0.00059" REYEZ="0.65592" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53611" FPOGY="0.19090" FPOGS="264.84412" FPOGD="0.08023" FPOGID="826" FPOGV="1" LPOGX="0.61888" LPOGY="0.16847" LPOGV="1" RPOGX="0.48927" RPOGY="0.20663" RPOGV="1" BPOGX="0.55407" BPOGY="0.18755" BPOGV="1" LPCX="0.28564" LPCY="0.49951" LPD="29.43965" LPS="1.03940" LPV="1" RPCX="0.56056" RPCY="0.49022" RPD="27.77689" RPS="1.03940" RPV="1" LEYEX="-0.05407" LEYEY="-0.00128" LEYEZ="0.65854" LPUPILD="0.00569" LPUPILV="1" REYEX="0.01520" REYEY="0.00059" REYEZ="0.65592" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53841" FPOGY="0.19091" FPOGS="264.84412" FPOGD="0.08719" FPOGID="826" FPOGV="1" LPOGX="0.64832" LPOGY="0.20090" LPOGV="1" RPOGX="0.48832" RPOGY="0.18115" RPOGV="1" BPOGX="0.56832" BPOGY="0.19102" BPOGV="1" LPCX="0.28562" LPCY="0.49970" LPD="29.33265" LPS="1.03149" LPV="1" RPCX="0.56063" RPCY="0.49050" RPD="27.85110" RPS="1.03149" RPV="1" LEYEX="-0.05407" LEYEY="-0.00128" LEYEZ="0.65854" LPUPILD="0.00573" LPUPILV="1" REYEX="0.01520" REYEY="0.00059" REYEZ="0.65592" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54040" FPOGY="0.19137" FPOGS="264.84412" FPOGD="0.09338" FPOGID="826" FPOGV="1" LPOGX="0.64856" LPOGY="0.20756" LPOGV="1" RPOGX="0.48795" RPOGY="0.18810" RPOGV="1" BPOGX="0.56825" BPOGY="0.19783" BPOGV="1" LPCX="0.28562" LPCY="0.49972" LPD="29.31164" LPS="1.02359" LPV="1" RPCX="0.56062" RPCY="0.49056" RPD="27.83596" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00573" LPUPILV="1" REYEX="0.01540" REYEY="0.00045" REYEZ="0.66463" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54216" FPOGY="0.19212" FPOGS="264.84412" FPOGD="0.10083" FPOGID="826" FPOGV="1" LPOGX="0.64915" LPOGY="0.21224" LPOGV="1" RPOGX="0.48791" RPOGY="0.19456" RPOGV="1" BPOGX="0.56853" BPOGY="0.20340" BPOGV="1" LPCX="0.28555" LPCY="0.49978" LPD="29.38723" LPS="1.02359" LPV="1" RPCX="0.56062" RPCY="0.49060" RPD="27.89687" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00568" LPUPILV="1" REYEX="0.01540" REYEY="0.00045" REYEZ="0.66463" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54348" FPOGY="0.19194" FPOGS="264.84412" FPOGD="0.10681" FPOGID="826" FPOGV="1" LPOGX="0.64547" LPOGY="0.19699" LPOGV="1" RPOGX="0.48368" RPOGY="0.18101" RPOGV="1" BPOGX="0.56458" BPOGY="0.18900" BPOGV="1" LPCX="0.28557" LPCY="0.49966" LPD="29.38488" LPS="1.02359" LPV="1" RPCX="0.56062" RPCY="0.49057" RPD="27.82729" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00571" LPUPILV="1" REYEX="0.01540" REYEY="0.00045" REYEZ="0.66463" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54465" FPOGY="0.19178" FPOGS="264.84412" FPOGD="0.11356" FPOGID="826" FPOGV="1" LPOGX="0.64547" LPOGY="0.19699" LPOGV="1" RPOGX="0.48368" RPOGY="0.18101" RPOGV="1" BPOGX="0.56458" BPOGY="0.18900" BPOGV="1" LPCX="0.28556" LPCY="0.49965" LPD="29.33608" LPS="1.02359" LPV="1" RPCX="0.56060" RPCY="0.49054" RPD="27.76742" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01520" REYEY="0.00049" REYEZ="0.65592" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54553" FPOGY="0.19073" FPOGS="264.84412" FPOGD="0.12021" FPOGID="826" FPOGV="1" LPOGX="0.63952" LPOGY="0.14775" LPOGV="1" RPOGX="0.48323" RPOGY="0.19611" RPOGV="1" BPOGX="0.56138" BPOGY="0.17193" BPOGV="1" LPCX="0.28553" LPCY="0.49918" LPD="29.39685" LPS="1.02359" LPV="1" RPCX="0.56056" RPCY="0.49020" RPD="27.71889" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00571" LPUPILV="1" REYEX="0.01520" REYEY="0.00049" REYEZ="0.65592" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54633" FPOGY="0.19036" FPOGS="264.84412" FPOGD="0.12695" FPOGID="826" FPOGV="1" LPOGX="0.64134" LPOGY="0.21637" LPOGV="1" RPOGX="0.48189" RPOGY="0.15041" RPOGV="1" BPOGX="0.56162" BPOGY="0.18339" BPOGV="1" LPCX="0.28547" LPCY="0.49886" LPD="29.33230" LPS="1.02359" LPV="1" RPCX="0.56055" RPCY="0.48990" RPD="27.92053" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00138" LEYEZ="0.65908" LPUPILD="0.00571" LPUPILV="1" REYEX="0.01520" REYEY="0.00049" REYEZ="0.65592" RPUPILD="0.00550" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54706" FPOGY="0.19003" FPOGS="264.84412" FPOGD="0.13385" FPOGID="826" FPOGV="1" LPOGX="0.64134" LPOGY="0.21637" LPOGV="1" RPOGX="0.48189" RPOGY="0.15041" RPOGV="1" BPOGX="0.56162" BPOGY="0.18339" BPOGV="1" LPCX="0.28546" LPCY="0.49886" LPD="29.30185" LPS="1.02359" LPV="1" RPCX="0.56056" RPCY="0.48975" RPD="27.95058" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00119" LEYEZ="0.65908" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01520" REYEY="0.00069" REYEZ="0.65592" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54744" FPOGY="0.19076" FPOGS="264.84412" FPOGD="0.14069" FPOGID="826" FPOGV="1" LPOGX="0.63471" LPOGY="0.23351" LPOGV="1" RPOGX="0.47629" RPOGY="0.17844" RPOGV="1" BPOGX="0.55550" BPOGY="0.20598" BPOGV="1" LPCX="0.28547" LPCY="0.49800" LPD="29.46819" LPS="1.02359" LPV="1" RPCX="0.56049" RPCY="0.48920" RPD="27.77652" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00119" LEYEZ="0.65908" LPUPILD="0.00572" LPUPILV="1" REYEX="0.01520" REYEY="0.00069" REYEZ="0.65592" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.54775" FPOGY="0.19054" FPOGS="264.84412" FPOGD="0.14734" FPOGID="826" FPOGV="1" LPOGX="0.63680" LPOGY="0.17655" LPOGV="1" RPOGX="0.47199" RPOGY="0.19491" RPOGV="1" BPOGX="0.55440" BPOGY="0.18573" BPOGV="1" LPCX="0.28548" LPCY="0.49761" LPD="29.47645" LPS="1.02359" LPV="1" RPCX="0.56048" RPCY="0.48870" RPD="27.83985" RPS="1.02359" RPV="1" LEYEX="-0.05411" LEYEY="-0.00119" LEYEZ="0.65908" LPUPILD="0.00574" LPUPILV="1" REYEX="0.01520" REYEY="0.00069" REYEZ="0.65592" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
