tester_id,Animation,Train Accuracy,Test Accuracy,Precision,Recall,Specificity
T1,HS_FA_BIG,0.9958333333333332,0.9166666666666666,0.8875,0.9833333333333332,0.85
T1,HS_FA_LIT,0.9958333333333332,0.85,0.8633333333333333,0.8833333333333334,0.8166666666666667
T1,HS_SL_BIG,0.9958333333333333,0.925,0.9208333333333334,0.9500000000000002,0.9
T1,HS_SL_LIT,1.0,0.925,0.8925000000000001,1.0,0.85
T1,VB_FA_BIG,0.9916666666666666,0.8,0.9083333333333332,0.6833333333333332,0.9166666666666666
T1,VB_FA_LIT,1.0,0.9583333333333334,0.9375,1.0,0.9166666666666666
T1,VB_SL_BIG,0.9958333333333332,0.8333333333333334,0.9416666666666667,0.7333333333333332,0.9333333333333333
T1,VB_SL_LIT,1.0,0.941666666666667,0.9175000000000001,1.0,0.8833333333333331
T10,HS_FA_BIG,0.9958333333333333,0.7666666666666667,0.8916666666666664,0.6499999999999998,0.8833333333333332
T10,HS_FA_LIT,0.9916666666666668,0.8333333333333334,0.8183333333333331,0.9,0.7666666666666666
T10,HS_SL_BIG,1.0,0.9000000000000001,0.86,1.0,0.7999999999999998
T10,HS_SL_LIT,0.9958333333333332,0.575,0.7000000000000001,0.3833333333333332,0.7666666666666665
T10,VB_FA_BIG,1.0,0.8583333333333334,0.9541666666666666,0.7666666666666664,0.95
T10,VB_FA_LIT,0.9958333333333332,0.9333333333333333,0.975,0.9,0.9666666666666666
T10,VB_SL_BIG,0.9958333333333332,0.8166666666666668,0.9541666666666666,0.6833333333333332,0.95
T10,VB_SL_LIT,0.9958333333333332,0.9000000000000001,0.9291666666666668,0.8833333333333334,0.9166666666666666
T11,HS_FA_BIG,0.9833333333333332,0.9166666666666666,0.885,1.0,0.8333333333333333
T11,HS_FA_LIT,0.9875,0.8583333333333334,0.9083333333333334,0.8333333333333333,0.8833333333333332
T11,HS_SL_BIG,0.9791666666666664,0.9166666666666666,0.8925000000000001,0.9833333333333332,0.85
T11,HS_SL_LIT,0.9791666666666664,0.9666666666666666,0.95,1.0,0.9333333333333332
T11,VB_FA_BIG,0.9958333333333332,0.975,0.9625,1.0,0.95
T11,VB_FA_LIT,0.9958333333333333,0.9666666666666666,0.95,1.0,0.9333333333333333
T11,VB_SL_BIG,0.9958333333333332,0.9916666666666668,1.0,0.9833333333333332,1.0
T11,VB_SL_LIT,1.0,0.9833333333333334,0.975,1.0,0.9666666666666666
T12,HS_FA_BIG,0.9958333333333333,0.9000000000000001,0.8699999999999999,1.0,0.7999999999999999
T12,HS_FA_LIT,0.9916666666666666,0.6499999999999999,0.8166666666666667,0.4833333333333333,0.8166666666666667
T12,HS_SL_BIG,0.9833333333333332,0.5500000000000002,0.5791666666666667,0.3,0.7999999999999999
T12,HS_SL_LIT,0.9916666666666668,0.7583333333333334,0.8541666666666666,0.6833333333333331,0.8333333333333333
T12,VB_FA_BIG,0.9958333333333332,0.9416666666666667,0.95,0.95,0.9333333333333333
T12,VB_FA_LIT,0.9958333333333332,0.6583333333333333,0.75,0.39999999999999997,0.9166666666666666
T12,VB_SL_BIG,0.9916666666666666,0.9250000000000002,0.9425000000000001,0.9333333333333332,0.9166666666666666
T12,VB_SL_LIT,1.0,0.9166666666666666,0.9375,0.9166666666666666,0.9166666666666667
T13,HS_FA_BIG,1.0,0.7833333333333334,0.9508333333333333,0.6333333333333333,0.9333333333333332
T13,HS_FA_LIT,0.9958333333333333,0.8333333333333334,0.9258333333333333,0.7666666666666665,0.9
T13,HS_SL_BIG,1.0,0.7666666666666668,0.9541666666666668,0.5833333333333333,0.95
T13,HS_SL_LIT,1.0,0.9833333333333334,0.975,1.0,0.9666666666666666
T13,VB_FA_BIG,0.9958333333333332,0.8333333333333334,0.95,0.7166666666666666,0.95
T13,VB_FA_LIT,0.9916666666666666,0.9416666666666667,0.9458333333333332,0.95,0.9333333333333333
T13,VB_SL_BIG,0.9916666666666666,0.5499999999999999,0.3,0.16666666666666666,0.9333333333333332
T13,VB_SL_LIT,0.9958333333333332,0.5916666666666667,0.45,0.18333333333333332,1.0
T14,HS_FA_BIG,0.9958333333333332,0.9416666666666667,0.9175000000000001,1.0,0.8833333333333332
T14,HS_FA_LIT,1.0,0.9083333333333334,0.8800000000000001,0.9833333333333332,0.8333333333333333
T14,HS_SL_BIG,0.9958333333333332,0.8666666666666666,0.8808333333333334,0.9,0.8333333333333333
T14,HS_SL_LIT,1.0,0.5333333333333334,0.4175,0.3,0.7666666666666665
T14,VB_FA_BIG,0.9958333333333332,0.9666666666666666,0.9625,0.9833333333333332,0.95
T14,VB_FA_LIT,0.9958333333333332,0.925,0.9625,0.9,0.95
T14,VB_SL_BIG,1.0,0.7666666666666667,0.975,0.55,0.9833333333333334
T14,VB_SL_LIT,0.9958333333333332,0.9166666666666666,0.975,0.8666666666666666,0.9666666666666666
T15,HS_FA_BIG,1.0,0.8750000000000002,0.9875,0.7666666666666664,0.9833333333333334
T15,HS_FA_LIT,1.0,0.9250000000000002,0.8925000000000001,1.0,0.8499999999999999
T15,HS_SL_BIG,1.0,0.9833333333333334,0.9875,0.9833333333333332,0.9833333333333334
T15,HS_SL_LIT,1.0,0.975,0.9625,1.0,0.95
T15,VB_FA_BIG,0.9958333333333333,1.0,1.0,1.0,1.0
