2025-05-22 12:17:39.279357
EZ="0.72788" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.53017" LPOGY="0.69342" LPOGV="0" RPOGX="0.43736" RPOGY="0.89636" RPOGV="0" BPOGX="0.53017" BPOGY="0.69342" BPOGV="0" LPCX="0.51957" LPCY="0.37700" LPD="13.88433" LPS="1.24410" LPV="0" RPCX="0.77577" RPCY="0.38610" RPD="11.70778" RPS="1.24410" RPV="0" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00434" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00353" RPUPILV="1" BKID="1165" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.24881" FPOGY="0.13824" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.51823" LPOGY="0.32815" LPOGV="1" RPOGX="0.47701" RPOGY="0.22479" RPOGV="1" BPOGX="0.49762" BPOGY="0.27647" BPOGV="1" LPCX="0.51827" LPCY="0.37449" LPD="20.77258" LPS="1.24410" LPV="1" RPCX="0.77460" RPCY="0.38223" RPD="21.81464" RPS="1.24410" RPV="1" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00494" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.15445" BKPMIN="17" />
<REC FPOGX="0.50387" FPOGY="0.26140" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.51242" LPOGY="0.25554" LPOGV="1" RPOGX="0.50780" RPOGY="0.23711" RPOGV="1" BPOGX="0.51011" BPOGY="0.24633" BPOGV="1" LPCX="0.51835" LPCY="0.37438" LPD="21.20394" LPS="1.24410" LPV="1" RPCX="0.77455" RPCY="0.38216" RPD="22.40719" RPS="1.24410" RPV="1" LEYEX="0.00611" LEYEY="0.02711" LEYEZ="0.74062" LPUPILD="0.00498" LPUPILV="1" REYEX="0.07704" REYEY="0.02467" REYEZ="0.72763" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.50693" FPOGY="0.24791" FPOGS="4319.05078" FPOGD="0.22021" FPOGID="9279" FPOGV="0" LPOGX="0.51090" LPOGY="0.24805" LPOGV="1" RPOGX="0.50909" RPOGY="0.22079" RPOGV="1" BPOGX="0.50999" BPOGY="0.23442" BPOGV="1" LPCX="0.51831" LPCY="0.37444" LPD="21.35693" LPS="1.25591" LPV="1" RPCX="0.77470" RPCY="0.38192" RPD="22.94878" RPS="1.26800" RPV="1" LEYEX="0.00594" LEYEY="0.02782" LEYEZ="0.75398" LPUPILD="0.00495" LPUPILV="1" REYEX="0.07933" REYEY="0.02592" REYEZ="0.75301" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
