2025-05-22 11:24:54.093947
"0.68434" RPUPILD="0.00588" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.24622" FPOGY="0.15283" FPOGS="1153.92188" FPOGD="0.29517" FPOGID="1007" FPOGV="1" LPOGX="0.37383" LPOGY="0.27456" LPOGV="1" RPOGX="0.27434" RPOGY="0.16920" RPOGV="1" BPOGX="0.32409" BPOGY="0.22188" BPOGV="1" LPCX="0.35520" LPCY="0.43635" LPD="31.24236" LPS="1.08782" LPV="1" RPCX="0.60508" RPCY="0.44587" RPD="30.95049" RPS="1.08782" RPV="1" LEYEX="-0.03675" LEYEY="0.01195" LEYEZ="0.66957" LPUPILD="0.00659" LPUPILV="1" REYEX="0.02772" REYEY="0.01006" REYEZ="0.68453" RPUPILD="0.00648" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.24799" FPOGY="0.15466" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="1" LPOGX="0.37786" LPOGY="0.28481" LPOGV="1" RPOGX="0.27755" RPOGY="0.18906" RPOGV="1" BPOGX="0.32770" BPOGY="0.23694" BPOGV="1" LPCX="0.35534" LPCY="0.43641" LPD="31.38597" LPS="1.07289" LPV="1" RPCX="0.60525" RPCY="0.44598" RPD="30.95509" RPS="1.06480" RPV="1" LEYEX="-0.03450" LEYEY="0.01115" LEYEZ="0.64094" LPUPILD="0.00653" LPUPILV="1" REYEX="0.02732" REYEY="0.00957" REYEZ="0.66125" RPUPILD="0.00650" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.27438" FPOGY="0.17963" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.47324" LPOGY="0.42444" LPOGV="1" RPOGX="0.39793" RPOGY="0.29302" RPOGV="1" BPOGX="0.43558" BPOGY="0.35873" BPOGV="1" LPCX="0.35845" LPCY="0.43831" LPD="31.43974" LPS="1.04987" LPV="1" RPCX="0.60799" RPCY="0.44799" RPD="30.87740" RPS="1.04178" RPV="1" LEYEX="-0.03450" LEYEY="0.01115" LEYEZ="0.64094" LPUPILD="0.00647" LPUPILV="1" REYEX="0.02732" REYEY="0.00957" REYEZ="0.66125" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.38329" FPOGY="0.30531" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.54963" LPOGY="0.43128" LPOGV="1" RPOGX="0.43479" RPOGY="0.43071" RPOGV="1" BPOGX="0.49221" BPOGY="0.43099" BPOGV="1" LPCX="0.35966" LPCY="0.43912" LPD="30.87050" LPS="1.02685" LPV="1" RPCX="0.60908" RPCY="0.44889" RPD="31.03123" RPS="1.01877" RPV="1" LEYEX="-0.03450" LEYEY="0.01115" LEYEZ="0.64094" LPUPILD="0.00641" LPUPILV="1" REYEX="0.02732" REYEY="0.00957" REYEZ="0.66125" RPUPILD="0.00623" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.41977" FPOGY="0.34803" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.55063" LPOGY="0.43621" LPOGV="1" RPOGX="0.43479" RPOGY="0.43071" RPOGV="1" BPOGX="0.49271" BPOGY="0.43346" BPOGV="1" LPCX="0.35982" LPCY="0.43935" LPD="31.10466" LPS="1.01877" LPV="1" RPCX="0.60929" RPCY="0.44907" RPD="30.91858" RPS="1.01877" RPV="1" LEYEX="-0.03567" LEYEY="0.01149" LEYEZ="0.67187" LPUPILD="0.00639" LPUPILV="1" REYEX="0.02912" REYEY="0.00967" REYEZ="0.69337" RPUPILD="0.00626" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.49806" FPOGY="0.45067" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.53655" LPOGY="0.48875" LPOGV="1" RPOGX="0.48200" RPOGY="0.48636" RPOGV="1" BPOGX="0.50927" BPOGY="0.48755" BPOGV="1" LPCX="0.36005" LPCY="0.43969" LPD="31.19157" LPS="1.03370" LPV="1" RPCX="0.60976" RPCY="0.44952" RPD="31.04790" RPS="1.04178" RPV="1" LEYEX="-0.03567" LEYEY="0.01149" LEYEZ="0.67187" LPUPILD="0.00643" LPUPILV="1" REYEX="0.02912" REYEY="0.00967" REYEZ="0.69337" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50452" FPOGY="0.44719" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.55219" LPOGY="0.47461" LPOGV="1" RPOGX="0.46974" RPOGY="0.41280" RPOGV="1" BPOGX="0.51097" BPOGY="0.44370" BPOGV="1" LPCX="0.35986" LPCY="0.43970" LPD="31.14201" LPS="1.05671" LPV="1" RPCX="0.60969" RPCY="0.44953" RPD="30.80198" RPS="1.06480" RPV="1" LEYEX="-0.03567" LEYEY="0.01149" LEYEZ="0.67187" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02912" REYEY="0.00967" REYEZ="0.69337" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50629" FPOGY="0.44232" FPOGS="1153.92188" FPOGD="0.30200" FPOGID="1007" FPOGV="0" LPOGX="0.54948" LPOGY="0.46189" LPOGV="1" RPOGX="0.47018" RPOGY="0.40330" RPOGV="1" BPOGX="0.50983" BPOGY="0.43259" BPOGV="1" LPCX="0.35984" LPCY="0.43969" LPD="31.13221" LPS="1.07973" LPV="1" RPCX="0.60970" RPCY="0.44955" RPD="30.87372" RPS="1.07973" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50797" FPOGY="0.45078" FPOGS="1154.25049" FPOGD="0.02039" FPOGID="1008" FPOGV="1" LPOGX="0.56843" LPOGY="0.47763" LPOGV="1" RPOGX="0.45760" RPOGY="0.47470" RPOGV="1" BPOGX="0.51301" BPOGY="0.47616" BPOGV="1" LPCX="0.35962" LPCY="0.43978" LPD="30.94407" LPS="1.07973" LPV="1" RPCX="0.60968" RPCY="0.44956" RPD="30.52806" RPS="1.07165" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00637" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50794" FPOGY="0.45632" FPOGS="1154.25049" FPOGD="0.02698" FPOGID="1008" FPOGV="1" LPOGX="0.55752" LPOGY="0.47486" LPOGV="1" RPOGX="0.45816" RPOGY="0.48212" RPOGV="1" BPOGX="0.50784" BPOGY="0.47849" BPOGV="1" LPCX="0.35958" LPCY="0.43976" LPD="30.90321" LPS="1.07165" LPV="1" RPCX="0.60961" RPCY="0.44942" RPD="30.51400" RPS="1.06356" RPV="1" LEYEX="-0.03536" LEYEY="0.01133" LEYEZ="0.66230" LPUPILD="0.00635" LPUPILV="1" REYEX="0.02734" REYEY="0.00910" REYEZ="0.65221" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
