2025-06-09 11:29:06.691037
EYEZ="0.60555" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29755" FPOGY="-0.14630" FPOGS="64.72733" FPOGD="0.13439" FPOGID="219" FPOGV="0" LPOGX="0.30810" LPOGY="-0.14556" LPOGV="1" RPOGX="0.28693" RPOGY="-0.13387" RPOGV="1" BPOGX="0.29751" BPOGY="-0.13972" BPOGV="1" LPCX="0.37223" LPCY="0.35910" LPD="21.44555" LPS="0.83091" LPV="1" RPCX="0.65336" RPCY="0.36030" RPD="23.65517" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00439" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29986" FPOGY="-0.14251" FPOGS="64.86791" FPOGD="0.02048" FPOGID="220" FPOGV="1" LPOGX="0.30271" LPOGY="-0.14786" LPOGV="1" RPOGX="0.31089" RPOGY="-0.11444" RPOGV="1" BPOGX="0.30680" BPOGY="-0.13115" BPOGV="1" LPCX="0.37216" LPCY="0.35923" LPD="21.30462" LPS="0.83091" LPV="1" RPCX="0.65345" RPCY="0.36035" RPD="23.95230" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29837" FPOGY="-0.14059" FPOGS="64.86791" FPOGD="0.02686" FPOGID="220" FPOGV="1" LPOGX="0.30060" LPOGY="-0.14238" LPOGV="1" RPOGX="0.28423" RPOGY="-0.12343" RPOGV="1" BPOGX="0.29241" BPOGY="-0.13291" BPOGV="1" LPCX="0.37211" LPCY="0.35905" LPD="21.46075" LPS="0.83091" LPV="1" RPCX="0.65345" RPCY="0.36033" RPD="23.91403" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00433" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29738" FPOGY="-0.13931" FPOGS="64.86791" FPOGD="0.03354" FPOGID="220" FPOGV="1" LPOGX="0.30060" LPOGY="-0.14238" LPOGV="1" RPOGX="0.28423" RPOGY="-0.12343" RPOGV="1" BPOGX="0.29241" BPOGY="-0.13291" BPOGV="1" LPCX="0.37212" LPCY="0.35918" LPD="21.42758" LPS="0.83091" LPV="1" RPCX="0.65338" RPCY="0.36036" RPD="23.76675" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29680" FPOGY="-0.13938" FPOGS="64.86791" FPOGD="0.04015" FPOGID="220" FPOGV="1" LPOGX="0.30352" LPOGY="-0.15095" LPOGV="1" RPOGX="0.28317" RPOGY="-0.12872" RPOGV="1" BPOGX="0.29335" BPOGY="-0.13983" BPOGV="1" LPCX="0.37211" LPCY="0.35917" LPD="21.47265" LPS="0.83091" LPV="1" RPCX="0.65345" RPCY="0.36038" RPD="23.80622" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00435" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29787" FPOGY="-0.13951" FPOGS="64.86791" FPOGD="0.04667" FPOGID="220" FPOGV="1" LPOGX="0.30250" LPOGY="-0.14876" LPOGV="1" RPOGX="0.30820" RPOGY="-0.13201" RPOGV="1" BPOGX="0.30535" BPOGY="-0.14039" BPOGV="1" LPCX="0.37212" LPCY="0.35925" LPD="21.21858" LPS="0.83091" LPV="1" RPCX="0.65338" RPCY="0.36036" RPD="23.76675" RPS="0.83091" RPV="1" LEYEX="-0.02758" LEYEY="0.02333" LEYEZ="0.58571" LPUPILD="0.00436" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.29856" FPOGY="-0.14034" FPOGS="64.86791" FPOGD="0.05331" FPOGID="220" FPOGV="1" LPOGX="0.30055" LPOGY="-0.15500" LPOGV="1" RPOGX="0.30755" RPOGY="-0.13897" RPOGV="1" BPOGX="0.30405" BPOGY="-0.14698" BPOGV="1" LPCX="0.37207" LPCY="0.35918" LPD="21.31524" LPS="0.83557" LPV="1" RPCX="0.65337" RPCY="0.36044" RPD="23.68660" RPS="0.83557" RPV="1" LEYEX="-0.02811" LEYEY="0.02374" LEYEZ="0.59608" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.30024" FPOGY="-0.14127" FPOGS="64.86791" FPOGD="0.05997" FPOGID="220" FPOGV="1" LPOGX="0.29723" LPOGY="-0.16131" LPOGV="1" RPOGX="0.33355" RPOGY="-0.13788" RPOGV="1" BPOGX="0.31539" BPOGY="-0.14960" BPOGV="1" LPCX="0.37207" LPCY="0.35918" LPD="21.31524" LPS="0.84022" LPV="1" RPCX="0.65337" RPCY="0.36044" RPD="23.68660" RPS="0.84022" RPV="1" LEYEX="-0.02811" LEYEY="0.02374" LEYEZ="0.59608" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.30140" FPOGY="-0.14322" FPOGS="64.86791" FPOGD="0.06675" FPOGID="220" FPOGV="1" LPOGX="0.29601" LPOGY="-0.16658" LPOGV="1" RPOGX="0.32992" RPOGY="-0.15887" RPOGV="1" BPOGX="0.31297" BPOGY="-0.16272" BPOGV="1" LPCX="0.37201" LPCY="0.35902" LPD="21.24124" LPS="0.84487" LPV="1" RPCX="0.65326" RPCY="0.36028" RPD="23.45874" RPS="0.84487" RPV="1" LEYEX="-0.02811" LEYEY="0.02374" LEYEZ="0.59608" LPUPILD="0.00432" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.30226" FPOGY="-0.14539" FPOGS="64.86791" FPOGD="0.07367" FPOGID="220" FPOGV="1" LPOGX="0.29406" LPOGY="-0.17278" LPOGV="1" RPOGX="0.32939" RPOGY="-0.16584" RPOGV="1" BPOGX="0.31172" BPOGY="-0.16931" BPOGV="1" LPCX="0.37209" LPCY="0.35909" LPD="21.42893" LPS="0.84953" LPV="1" RPCX="0.65326" RPCY="0.36028" RPD="23.45874" RPS="0.84953" RPV="1" LEYEX="-0.02811" LEYEY="0.02369" LEYEZ="0.59608" LPUPILD="0.00428" LPUPILV="1" REYEX="0.03619" REYEY="0.02383" REYEZ="0.60633" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
