2025-05-28 12:29:11.665451
00039" REYEZ="0.64614" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.60633" FPOGY="-0.29578" FPOGS="2338.81787" FPOGD="0.18823" FPOGID="5825" FPOGV="1" LPOGX="0.69968" LPOGY="-0.26431" LPOGV="1" RPOGX="0.52535" RPOGY="-0.26887" RPOGV="1" BPOGX="0.61251" BPOGY="-0.26659" BPOGV="1" LPCX="0.39002" LPCY="0.44774" LPD="21.27829" LPS="0.96157" LPV="1" RPCX="0.67451" RPCY="0.49348" RPD="22.85759" RPS="0.96801" RPV="1" LEYEX="-0.02701" LEYEY="0.00795" LEYEZ="0.63864" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60654" FPOGY="-0.29478" FPOGS="2338.81787" FPOGD="0.19434" FPOGID="5825" FPOGV="1" LPOGX="0.69967" LPOGY="-0.26348" LPOGV="1" RPOGX="0.52530" RPOGY="-0.26804" RPOGV="1" BPOGX="0.61248" BPOGY="-0.26576" BPOGV="1" LPCX="0.39002" LPCY="0.44774" LPD="21.27829" LPS="0.96098" LPV="1" RPCX="0.67449" RPCY="0.49339" RPD="22.71586" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60655" FPOGY="-0.29392" FPOGS="2338.81787" FPOGD="0.20093" FPOGID="5825" FPOGV="1" LPOGX="0.69279" LPOGY="-0.27642" LPOGV="1" RPOGX="0.52110" RPOGY="-0.26002" RPOGV="1" BPOGX="0.60695" BPOGY="-0.26822" BPOGV="1" LPCX="0.38997" LPCY="0.44774" LPD="21.26000" LPS="0.96741" LPV="1" RPCX="0.67440" RPCY="0.49337" RPD="22.59764" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60648" FPOGY="-0.29331" FPOGS="2338.81787" FPOGD="0.20776" FPOGID="5825" FPOGV="1" LPOGX="0.68733" LPOGY="-0.28823" LPOGV="1" RPOGX="0.52121" RPOGY="-0.26067" RPOGV="1" BPOGX="0.60427" BPOGY="-0.27445" BPOGV="1" LPCX="0.38999" LPCY="0.44773" LPD="21.27185" LPS="0.96741" LPV="1" RPCX="0.67435" RPCY="0.49336" RPD="22.59248" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00395" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60641" FPOGY="-0.29274" FPOGS="2338.81787" FPOGD="0.21460" FPOGID="5825" FPOGV="1" LPOGX="0.68733" LPOGY="-0.28823" LPOGV="1" RPOGX="0.52121" RPOGY="-0.26067" RPOGV="1" BPOGX="0.60427" BPOGY="-0.27445" BPOGV="1" LPCX="0.38999" LPCY="0.44773" LPD="21.27185" LPS="0.96741" LPV="1" RPCX="0.67428" RPCY="0.49345" RPD="22.82874" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00395" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60627" FPOGY="-0.29204" FPOGS="2338.81787" FPOGD="0.22119" FPOGID="5825" FPOGV="1" LPOGX="0.68279" LPOGY="-0.27484" LPOGV="1" RPOGX="0.52015" RPOGY="-0.26274" RPOGV="1" BPOGX="0.60147" BPOGY="-0.26879" BPOGV="1" LPCX="0.38993" LPCY="0.44778" LPD="21.33283" LPS="0.96741" LPV="1" RPCX="0.67426" RPCY="0.49378" RPD="23.18870" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60603" FPOGY="-0.29139" FPOGS="2338.81787" FPOGD="0.22778" FPOGID="5825" FPOGV="1" LPOGX="0.68096" LPOGY="-0.27743" LPOGV="1" RPOGX="0.51509" RPOGY="-0.26135" RPOGV="1" BPOGX="0.59802" BPOGY="-0.26939" BPOGV="1" LPCX="0.38993" LPCY="0.44778" LPD="21.33283" LPS="0.96741" LPV="1" RPCX="0.67426" RPCY="0.49378" RPD="23.18870" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04413" REYEY="-0.00089" REYEZ="0.66278" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60581" FPOGY="-0.29078" FPOGS="2338.81787" FPOGD="0.23462" FPOGID="5825" FPOGV="1" LPOGX="0.68096" LPOGY="-0.27743" LPOGV="1" RPOGX="0.51509" RPOGY="-0.26135" RPOGV="1" BPOGX="0.59802" BPOGY="-0.26939" BPOGV="1" LPCX="0.38991" LPCY="0.44779" LPD="21.36964" LPS="0.96741" LPV="1" RPCX="0.67415" RPCY="0.49362" RPD="22.77370" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00396" LPUPILV="1" REYEX="0.04251" REYEY="-0.00086" REYEZ="0.63992" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60549" FPOGY="-0.28979" FPOGS="2338.81787" FPOGD="0.24097" FPOGID="5825" FPOGV="1" LPOGX="0.67094" LPOGY="-0.25748" LPOGV="1" RPOGX="0.51740" RPOGY="-0.25125" RPOGV="1" BPOGX="0.59417" BPOGY="-0.25436" BPOGV="1" LPCX="0.38973" LPCY="0.44790" LPD="21.09607" LPS="0.96741" LPV="1" RPCX="0.67415" RPCY="0.49375" RPD="22.99437" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00403" LPUPILV="1" REYEX="0.04251" REYEY="-0.00086" REYEZ="0.63992" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60513" FPOGY="-0.28884" FPOGS="2338.81787" FPOGD="0.24780" FPOGID="5825" FPOGV="1" LPOGX="0.67219" LPOGY="-0.25899" LPOGV="1" RPOGX="0.51099" RPOGY="-0.24779" RPOGV="1" BPOGX="0.59159" BPOGY="-0.25339" BPOGV="1" LPCX="0.38973" LPCY="0.44790" LPD="21.09607" LPS="0.96741" LPV="1" RPCX="0.67408" RPCY="0.49380" RPD="22.93112" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00403" LPUPILV="1" REYEX="0.04251" REYEY="-0.00086" REYEZ="0.63992" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60478" FPOGY="-0.28793" FPOGS="2338.81787" FPOGD="0.25464" FPOGID="5825" FPOGV="1" LPOGX="0.67219" LPOGY="-0.25899" LPOGV="1" RPOGX="0.51099" RPOGY="-0.24779" RPOGV="1" BPOGX="0.59159" BPOGY="-0.25339" BPOGV="1" LPCX="0.38977" LPCY="0.44787" LPD="20.98907" LPS="0.96741" LPV="1" RPCX="0.67401" RPCY="0.49383" RPD="22.87718" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00399" LPUPILV="1" REYEX="0.04251" REYEY="-0.00096" REYEZ="0.63992" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60504" FPOGY="-0.28875" FPOGS="2338.81787" FPOGD="0.26123" FPOGID="5825" FPOGV="1" LPOGX="0.72642" LPOGY="-0.35812" LPOGV="1" RPOGX="0.50401" RPOGY="-0.28336" RPOGV="1" BPOGX="0.61522" BPOGY="-0.32074" BPOGV="1" LPCX="0.38973" LPCY="0.44801" LPD="21.28390" LPS="0.96741" LPV="1" RPCX="0.67403" RPCY="0.49383" RPD="22.89850" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00391" LPUPILV="1" REYEX="0.04251" REYEY="-0.00096" REYEZ="0.63992" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60520" FPOGY="-0.28936" FPOGS="2338.81787" FPOGD="0.26782" FPOGID="5825" FPOGV="1" LPOGX="0.72554" LPOGY="-0.35299" LPOGV="1" RPOGX="0.49788" RPOGY="-0.27477" RPOGV="1" BPOGX="0.61171" BPOGY="-0.31388" BPOGV="1" LPCX="0.38966" LPCY="0.44809" LPD="21.51067" LPS="0.96741" LPV="1" RPCX="0.67404" RPCY="0.49380" RPD="22.93874" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00788" LEYEZ="0.63328" LPUPILD="0.00388" LPUPILV="1" REYEX="0.04251" REYEY="-0.00096" REYEZ="0.63992" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60536" FPOGY="-0.28994" FPOGS="2338.81787" FPOGD="0.27441" FPOGID="5825" FPOGV="1" LPOGX="0.72554" LPOGY="-0.35299" LPOGV="1" RPOGX="0.49788" RPOGY="-0.27477" RPOGV="1" BPOGX="0.61171" BPOGY="-0.31388" BPOGV="1" LPCX="0.38966" LPCY="0.44809" LPD="21.49449" LPS="0.96741" LPV="1" RPCX="0.67401" RPCY="0.49382" RPD="22.99607" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00779" LEYEZ="0.63329" LPUPILD="0.00388" LPUPILV="1" REYEX="0.04251" REYEY="-0.00106" REYEZ="0.63992" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60566" FPOGY="-0.28984" FPOGS="2338.81787" FPOGD="0.28125" FPOGID="5825" FPOGV="1" LPOGX="0.71637" LPOGY="-0.31523" LPOGV="1" RPOGX="0.52044" RPOGY="-0.25557" RPOGV="1" BPOGX="0.61840" BPOGY="-0.28540" BPOGV="1" LPCX="0.38956" LPCY="0.44812" LPD="21.44917" LPS="0.96741" LPV="1" RPCX="0.67400" RPCY="0.49387" RPD="23.06317" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00779" LEYEZ="0.63329" LPUPILD="0.00390" LPUPILV="1" REYEX="0.04251" REYEY="-0.00106" REYEZ="0.63992" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60593" FPOGY="-0.28960" FPOGS="2338.81787" FPOGD="0.28809" FPOGID="5825" FPOGV="1" LPOGX="0.71694" LPOGY="-0.30614" LPOGV="1" RPOGX="0.51819" RPOGY="-0.25216" RPOGV="1" BPOGX="0.61756" BPOGY="-0.27915" BPOGV="1" LPCX="0.38957" LPCY="0.44815" LPD="21.50418" LPS="0.96741" LPV="1" RPCX="0.67378" RPCY="0.49408" RPD="22.67779" RPS="0.96741" RPV="1" LEYEX="-0.02687" LEYEY="0.00779" LEYEZ="0.63329" LPUPILD="0.00383" LPUPILV="1" REYEX="0.04251" REYEY="-0.00106" REYEZ="0.63992" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60619" FPOGY="-0.28949" FPOGS="2338.81787" FPOGD="0.29492" FPOGID="5825" FPOGV="1" LPOGX="0.71717" LPOGY="-0.31628" LPOGV="1" RPOGX="0.51823" RPOGY="-0.25298" RPOGV="1" BPOGX="0.61770" BPOGY="-0.28463" BPOGV="1" LPCX="0.38955" LPCY="0.44820" LPD="21.49760" LPS="0.97444" LPV="1" RPCX="0.67373" RPCY="0.49414" RPD="22.81243" RPS="0.96801" RPV="1" LEYEX="-0.02811" LEYEY="0.00808" LEYEZ="0.66120" LPUPILD="0.00383" LPUPILV="1" REYEX="0.04126" REYEY="-0.00103" REYEZ="0.62184" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60665" FPOGY="-0.28971" FPOGS="2338.81787" FPOGD="0.30151" FPOGID="5825" FPOGV="1" LPOGX="0.70727" LPOGY="-0.29745" LPOGV="1" RPOGX="0.54685" RPOGY="-0.30222" RPOGV="1" BPOGX="0.62706" BPOGY="-0.29983" BPOGV="1" LPCX="0.38935" LPCY="0.44857" LPD="21.32177" LPS="0.97503" LPV="1" RPCX="0.67370" RPCY="0.49415" RPD="22.80926" RPS="0.96860" RPV="1" LEYEX="-0.02811" LEYEY="0.00808" LEYEZ="0.66120" LPUPILD="0.00401" LPUPILV="1" REYEX="0.04126" REYEY="-0.00103" REYEZ="0.62184" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60699" FPOGY="-0.28991" FPOGS="2338.81787" FPOGD="0.30884" FPOGID="5825" FPOGV="1" LPOGX="0.70351" LPOGY="-0.29283" LPOGV="1" RPOGX="0.54179" RPOGY="-0.30582" RPOGV="1" BPOGX="0.62265" BPOGY="-0.29933" BPOGV="1" LPCX="0.38927" LPCY="0.44857" LPD="21.09716" LPS="0.97562" LPV="1" RPCX="0.67371" RPCY="0.49418" RPD="22.92134" RPS="0.96919" RPV="1" LEYEX="-0.02811" LEYEY="0.00808" LEYEZ="0.66120" LPUPILD="0.00402" LPUPILV="1" REYEX="0.04126" REYEY="-0.00103" REYEZ="0.62184" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.60731" FPOGY="-0.29002" FPOGS="2338.81787" FPOGD="0.31494" FPOGID="5825" FPOGV="1" LPOGX="0.70338" LPOGY="-0.28374" LPOGV="1" RPOGX="0.54179" RPOGY="-0.30582" RPOGV="1" BPOGX="0.62258" BPOGY="-0.29478" BPOGV="1" LPCX="0.38934" LPCY="0.44866" LPD="21.42549" LPS="0.96919" LPV="1" RPCX="0.67371" RPCY="0.49422" RPD="23.12469" RPS="0.96919" RPV="1" LEYEX="-0.02740" LEYEY="0.00782" LEYEZ="0.64349" LPUPILD="0.00400" LPUPILV="1" REYEX="0.04196" REYEY="-0.00104" REYEZ="0.63313" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
