2025-05-28 14:44:12.255000
00407" REYEZ="0.49326" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.49255" FPOGY="-0.02141" FPOGS="2712.74341" FPOGD="0.22705" FPOGID="5412" FPOGV="1" LPOGX="0.51877" LPOGY="0.02918" LPOGV="1" RPOGX="0.53952" RPOGY="-0.08580" RPOGV="1" BPOGX="0.52914" BPOGY="-0.02831" BPOGV="1" LPCX="0.19261" LPCY="0.46900" LPD="22.84032" LPS="0.59793" LPV="1" RPCX="0.50043" RPCY="0.45952" RPD="25.39285" RPS="0.60064" RPV="1" LEYEX="-0.05791" LEYEY="0.00271" LEYEZ="0.49522" LPUPILD="0.00438" LPUPILV="1" REYEX="-0.00031" REYEY="0.00414" REYEZ="0.51135" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.49362" FPOGY="-0.02172" FPOGS="2712.74341" FPOGD="0.23389" FPOGID="5412" FPOGV="1" LPOGX="0.53165" LPOGY="0.02640" LPOGV="1" RPOGX="0.53083" RPOGY="-0.09194" RPOGV="1" BPOGX="0.53124" BPOGY="-0.03277" BPOGV="1" LPCX="0.19293" LPCY="0.46898" LPD="22.73314" LPS="0.59817" LPV="1" RPCX="0.50056" RPCY="0.45949" RPD="25.53944" RPS="0.60088" RPV="1" LEYEX="-0.05791" LEYEY="0.00271" LEYEZ="0.49522" LPUPILD="0.00447" LPUPILV="1" REYEX="-0.00031" REYEY="0.00414" REYEZ="0.51135" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52010" FPOGY="-0.02400" FPOGS="2712.74341" FPOGD="0.23389" FPOGID="5412" FPOGV="0" LPOGX="0.53160" LPOGY="0.02600" LPOGV="1" RPOGX="0.53087" RPOGY="-0.09240" RPOGV="1" BPOGX="0.53123" BPOGY="-0.03320" BPOGV="1" LPCX="0.19320" LPCY="0.46869" LPD="22.64638" LPS="0.59841" LPV="1" RPCX="0.50074" RPCY="0.45947" RPD="25.40197" RPS="0.60112" RPV="1" LEYEX="-0.05835" LEYEY="0.00274" LEYEZ="0.50032" LPUPILD="0.00441" LPUPILV="1" REYEX="-0.00015" REYEY="0.00418" REYEZ="0.51559" RPUPILD="0.00449" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52077" FPOGY="-0.02182" FPOGS="2712.74341" FPOGD="0.23389" FPOGID="5412" FPOGV="0" LPOGX="0.52377" LPOGY="0.01465" LPOGV="1" RPOGX="0.51910" RPOGY="-0.05394" RPOGV="1" BPOGX="0.52143" BPOGY="-0.01965" BPOGV="1" LPCX="0.19348" LPCY="0.46859" LPD="22.73390" LPS="0.60112" LPV="1" RPCX="0.50122" RPCY="0.45949" RPD="25.40010" RPS="0.60112" RPV="1" LEYEX="-0.05835" LEYEY="0.00274" LEYEZ="0.50032" LPUPILD="0.00444" LPUPILV="1" REYEX="-0.00015" REYEY="0.00418" REYEZ="0.51559" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52171" FPOGY="-0.03057" FPOGS="2712.74341" FPOGD="0.23389" FPOGID="5412" FPOGV="0" LPOGX="0.51295" LPOGY="0.00026" LPOGV="1" RPOGX="0.53423" RPOGY="-0.09640" RPOGV="1" BPOGX="0.52359" BPOGY="-0.04807" BPOGV="1" LPCX="0.19436" LPCY="0.46878" LPD="22.19674" LPS="0.60112" LPV="1" RPCX="0.50136" RPCY="0.45945" RPD="25.82854" RPS="0.60112" RPV="1" LEYEX="-0.05835" LEYEY="0.00274" LEYEZ="0.50032" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.00015" REYEY="0.00418" REYEZ="0.51559" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52209" FPOGY="-0.03542" FPOGS="2712.98413" FPOGD="0.02051" FPOGID="5413" FPOGV="1" LPOGX="0.51230" LPOGY="-0.00398" LPOGV="1" RPOGX="0.53420" RPOGY="-0.09593" RPOGV="1" BPOGX="0.52325" BPOGY="-0.04996" BPOGV="1" LPCX="0.19413" LPCY="0.46875" LPD="22.57960" LPS="0.60359" LPV="1" RPCX="0.50167" RPCY="0.45955" RPD="25.70644" RPS="0.60088" RPV="1" LEYEX="-0.05883" LEYEY="0.00285" LEYEZ="0.50606" LPUPILD="0.00440" LPUPILV="1" REYEX="0.00004" REYEY="0.00413" REYEZ="0.51016" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52249" FPOGY="-0.03348" FPOGS="2712.98413" FPOGD="0.02710" FPOGID="5413" FPOGV="1" LPOGX="0.52097" LPOGY="-0.00247" LPOGV="1" RPOGX="0.52719" RPOGY="-0.04896" RPOGV="1" BPOGX="0.52408" BPOGY="-0.02571" BPOGV="1" LPCX="0.19487" LPCY="0.46850" LPD="22.87971" LPS="0.60335" LPV="1" RPCX="0.50223" RPCY="0.45936" RPD="25.63387" RPS="0.60064" RPV="1" LEYEX="-0.05883" LEYEY="0.00285" LEYEZ="0.50606" LPUPILD="0.00439" LPUPILV="1" REYEX="0.00004" REYEY="0.00413" REYEZ="0.51016" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52328" FPOGY="-0.03323" FPOGS="2712.98413" FPOGD="0.03345" FPOGID="5413" FPOGV="1" LPOGX="0.51014" LPOGY="0.01845" LPOGV="1" RPOGX="0.54434" RPOGY="-0.08242" RPOGV="1" BPOGX="0.52724" BPOGY="-0.03199" BPOGV="1" LPCX="0.19471" LPCY="0.46825" LPD="22.41760" LPS="0.60311" LPV="1" RPCX="0.50235" RPCY="0.45956" RPD="25.62095" RPS="0.60040" RPV="1" LEYEX="-0.05883" LEYEY="0.00285" LEYEZ="0.50606" LPUPILD="0.00427" LPUPILV="1" REYEX="0.00004" REYEY="0.00413" REYEZ="0.51016" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52392" FPOGY="-0.03377" FPOGS="2712.98413" FPOGD="0.04004" FPOGID="5413" FPOGV="1" LPOGX="0.51021" LPOGY="0.01885" LPOGV="1" RPOGX="0.54523" RPOGY="-0.09285" RPOGV="1" BPOGX="0.52772" BPOGY="-0.03700" BPOGV="1" LPCX="0.19495" LPCY="0.46784" LPD="22.99795" LPS="0.60288" LPV="1" RPCX="0.50275" RPCY="0.45956" RPD="25.27568" RPS="0.60579" RPV="1" LEYEX="-0.05815" LEYEY="0.00286" LEYEZ="0.50149" LPUPILD="0.00425" LPUPILV="1" REYEX="0.00028" REYEY="0.00425" REYEZ="0.52936" RPUPILD="0.00451" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.52363" FPOGY="-0.03560" FPOGS="2712.98413" FPOGD="0.04688" FPOGID="5413" FPOGV="1" LPOGX="0.50055" LPOGY="0.00630" LPOGV="1" RPOGX="0.54274" RPOGY="-0.10321" RPOGV="1" BPOGX="0.52165" BPOGY="-0.04845" BPOGV="1" LPCX="0.19579" LPCY="0.46809" LPD="22.86184" LPS="0.60579" LPV="1" RPCX="0.50322" RPCY="0.45967" RPD="25.61094" RPS="0.61140" RPV="1" LEYEX="-0.05815" LEYEY="0.00286" LEYEZ="0.50149" LPUPILD="0.00423" LPUPILV="1" REYEX="0.00028" REYEY="0.00425" REYEZ="0.52936" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
