2025-06-09 09:55:33.105489
" LEYEY="-0.00887" LEYEZ="0.53732" LPUPILD="0.00364" LPUPILV="1" REYEX="0.03630" REYEY="-0.00758" REYEZ="0.59841" RPUPILD="0.00328" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.11275" FPOGY="-0.03172" FPOGS="1566.51294" FPOGD="0.05957" FPOGID="3876" FPOGV="1" LPOGX="0.12734" LPOGY="0.07991" LPOGV="1" RPOGX="0.09767" RPOGY="-0.07843" RPOGV="1" BPOGX="0.11251" BPOGY="0.00074" BPOGV="1" LPCX="0.38952" LPCY="0.54206" LPD="15.35143" LPS="0.76386" LPV="1" RPCX="0.65244" RPCY="0.52916" RPD="15.11376" RPS="0.76386" RPV="1" LEYEX="-0.02090" LEYEY="-0.00883" LEYEZ="0.53731" LPUPILD="0.00364" LPUPILV="1" REYEX="0.03630" REYEY="-0.00758" REYEZ="0.59841" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57336" FPOGY="-0.02140" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="1" LPOGX="0.43397" LPOGY="-0.03774" LPOGV="1" RPOGX="0.38662" RPOGY="-0.09178" RPOGV="1" BPOGX="0.41029" BPOGY="-0.06476" BPOGV="1" LPCX="0.40199" LPCY="0.54343" LPD="17.80074" LPS="0.81531" LPV="1" RPCX="0.66483" RPCY="0.53147" RPD="16.71184" RPS="0.81055" RPV="1" LEYEX="-0.02117" LEYEY="-0.00958" LEYEZ="0.58091" LPUPILD="0.00400" LPUPILV="1" REYEX="0.03665" REYEY="-0.00741" REYEZ="0.57789" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53566" FPOGY="-0.03268" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.42120" LPOGY="-0.01547" LPOGV="1" RPOGX="0.41664" RPOGY="-0.05771" RPOGV="1" BPOGX="0.41892" BPOGY="-0.03659" BPOGV="1" LPCX="0.40172" LPCY="0.54382" LPD="17.45262" LPS="0.80590" LPV="1" RPCX="0.66442" RPCY="0.53154" RPD="16.13033" RPS="0.80114" RPV="1" LEYEX="-0.02117" LEYEY="-0.00958" LEYEZ="0.58091" LPUPILD="0.00408" LPUPILV="1" REYEX="0.03665" REYEY="-0.00741" REYEZ="0.57789" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.47767" FPOGY="-0.03141" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.42263" LPOGY="-0.00942" LPOGV="1" RPOGX="0.41675" RPOGY="-0.05086" RPOGV="1" BPOGX="0.41969" BPOGY="-0.03014" BPOGV="1" LPCX="0.40188" LPCY="0.54368" LPD="16.60961" LPS="0.80114" LPV="1" RPCX="0.66439" RPCY="0.53147" RPD="16.33848" RPS="0.79637" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00406" LPUPILV="1" REYEX="0.03622" REYEY="-0.00734" REYEZ="0.57246" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.45992" FPOGY="-0.04037" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.45224" LPOGY="-0.00860" LPOGV="1" RPOGX="0.39660" RPOGY="-0.10797" RPOGV="1" BPOGX="0.42442" BPOGY="-0.05828" BPOGV="1" LPCX="0.40144" LPCY="0.54380" LPD="17.67981" LPS="0.80103" LPV="1" RPCX="0.66449" RPCY="0.53137" RPD="16.04008" RPS="0.80103" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00399" LPUPILV="1" REYEX="0.03622" REYEY="-0.00734" REYEZ="0.57246" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.42015" FPOGY="-0.04742" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.44534" LPOGY="-0.00926" LPOGV="1" RPOGX="0.38736" RPOGY="-0.09843" RPOGV="1" BPOGX="0.41635" BPOGY="-0.05384" BPOGV="1" LPCX="0.40145" LPCY="0.54417" LPD="18.19428" LPS="0.80568" LPV="1" RPCX="0.66449" RPCY="0.53135" RPD="16.05565" RPS="0.80568" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00405" LPUPILV="1" REYEX="0.03622" REYEY="-0.00734" REYEZ="0.57246" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.41787" FPOGY="-0.05384" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.44407" LPOGY="-0.01518" LPOGV="1" RPOGX="0.38711" RPOGY="-0.10535" RPOGV="1" BPOGX="0.41559" BPOGY="-0.06026" BPOGV="1" LPCX="0.40148" LPCY="0.54414" LPD="17.80233" LPS="0.81034" LPV="1" RPCX="0.66464" RPCY="0.53157" RPD="16.37740" RPS="0.81034" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00405" LPUPILV="1" REYEX="0.03622" REYEY="-0.00738" REYEZ="0.57246" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.41605" FPOGY="-0.05254" FPOGS="1567.31653" FPOGD="0.16736" FPOGID="3879" FPOGV="0" LPOGX="0.44822" LPOGY="-0.01038" LPOGV="1" RPOGX="0.37660" RPOGY="-0.08951" RPOGV="1" BPOGX="0.41241" BPOGY="-0.04994" BPOGV="1" LPCX="0.40170" LPCY="0.54386" LPD="18.12701" LPS="0.81034" LPV="1" RPCX="0.66448" RPCY="0.53132" RPD="16.13350" RPS="0.81034" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00403" LPUPILV="1" REYEX="0.03622" REYEY="-0.00738" REYEZ="0.57246" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.41971" FPOGY="-0.05312" FPOGS="1567.51099" FPOGD="0.02002" FPOGID="3880" FPOGV="1" LPOGX="0.45903" LPOGY="-0.01678" LPOGV="1" RPOGX="0.40233" RPOGY="-0.09291" RPOGV="1" BPOGX="0.43068" BPOGY="-0.05485" BPOGV="1" LPCX="0.40135" LPCY="0.54376" LPD="17.49779" LPS="0.81034" LPV="1" RPCX="0.66450" RPCY="0.53134" RPD="15.99740" RPS="0.81034" RPV="1" LEYEX="-0.02179" LEYEY="-0.00980" LEYEZ="0.59689" LPUPILD="0.00402" LPUPILV="1" REYEX="0.03622" REYEY="-0.00738" REYEZ="0.57246" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
