2025-06-11 11:54:11.444228
="0.64430" LPUPILD="0.00436" LPUPILV="1" REYEX="0.07148" REYEY="0.00317" REYEZ="0.63986" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.72396" FPOGY="0.27082" FPOGS="470.42950" FPOGD="0.08044" FPOGID="1709" FPOGV="1" LPOGX="0.71645" LPOGY="0.35467" LPOGV="1" RPOGX="0.82690" RPOGY="0.15336" RPOGV="1" BPOGX="0.77167" BPOGY="0.25401" BPOGV="1" LPCX="0.52898" LPCY="0.48621" LPD="20.41676" LPS="1.03995" LPV="1" RPCX="0.79293" RPCY="0.47827" RPD="25.40517" RPS="1.04804" RPV="1" LEYEX="0.00715" LEYEY="0.00150" LEYEZ="0.66693" LPUPILD="0.00408" LPUPILV="1" REYEX="0.07643" REYEY="0.00310" REYEZ="0.68965" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.72719" FPOGY="0.27003" FPOGS="470.42950" FPOGD="0.08728" FPOGID="1709" FPOGV="1" LPOGX="0.71648" LPOGY="0.35393" LPOGV="1" RPOGX="0.82194" RPOGY="0.16562" RPOGV="1" BPOGX="0.76921" BPOGY="0.25977" BPOGV="1" LPCX="0.52902" LPCY="0.48624" LPD="20.37006" LPS="1.04101" LPV="1" RPCX="0.79295" RPCY="0.47826" RPD="25.43725" RPS="1.03382" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00413" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75687" FPOGY="0.27202" FPOGS="470.42950" FPOGD="0.08728" FPOGID="1709" FPOGV="0" LPOGX="0.73189" LPOGY="0.35141" LPOGV="1" RPOGX="0.82084" RPOGY="0.18520" RPOGV="1" BPOGX="0.77637" BPOGY="0.26831" BPOGV="1" LPCX="0.52902" LPCY="0.48626" LPD="20.37763" LPS="1.02680" LPV="1" RPCX="0.79303" RPCY="0.47831" RPD="25.49480" RPS="1.01152" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00413" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.76307" FPOGY="0.28067" FPOGS="470.42950" FPOGD="0.08728" FPOGID="1709" FPOGV="0" LPOGX="0.72973" LPOGY="0.37970" LPOGV="1" RPOGX="0.80881" RPOGY="0.19892" RPOGV="1" BPOGX="0.76927" BPOGY="0.28931" BPOGV="1" LPCX="0.52902" LPCY="0.48626" LPD="20.37763" LPS="1.00449" LPV="1" RPCX="0.79313" RPCY="0.47828" RPD="25.29227" RPS="0.98922" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00413" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.76365" FPOGY="0.28940" FPOGS="470.42950" FPOGD="0.08728" FPOGID="1709" FPOGV="0" LPOGX="0.72871" LPOGY="0.39535" LPOGV="1" RPOGX="0.80092" RPOGY="0.21835" RPOGV="1" BPOGX="0.76481" BPOGY="0.30685" BPOGV="1" LPCX="0.52904" LPCY="0.48626" LPD="20.37799" LPS="0.98219" LPV="1" RPCX="0.79316" RPCY="0.47818" RPD="25.05397" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00413" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75869" FPOGY="0.29029" FPOGS="470.52319" FPOGD="0.02063" FPOGID="1710" FPOGV="1" LPOGX="0.69747" LPOGY="0.38264" LPOGV="1" RPOGX="0.79017" RPOGY="0.20332" RPOGV="1" BPOGX="0.74382" BPOGY="0.29298" BPOGV="1" LPCX="0.52909" LPCY="0.48607" LPD="19.99049" LPS="0.96691" LPV="1" RPCX="0.79318" RPCY="0.47819" RPD="25.08351" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00410" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75584" FPOGY="0.29150" FPOGS="470.52319" FPOGD="0.02679" FPOGID="1710" FPOGV="1" LPOGX="0.70372" LPOGY="0.37682" LPOGV="1" RPOGX="0.78517" RPOGY="0.21585" RPOGV="1" BPOGX="0.74445" BPOGY="0.29634" BPOGV="1" LPCX="0.52904" LPCY="0.48609" LPD="20.04290" LPS="0.96691" LPV="1" RPCX="0.79327" RPCY="0.47813" RPD="25.07057" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00412" LPUPILV="1" REYEX="0.07071" REYEY="0.00287" REYEZ="0.63724" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75394" FPOGY="0.29231" FPOGS="470.52319" FPOGD="0.03366" FPOGID="1710" FPOGV="1" LPOGX="0.70372" LPOGY="0.37682" LPOGV="1" RPOGX="0.78517" RPOGY="0.21585" RPOGV="1" BPOGX="0.74445" BPOGY="0.29634" BPOGV="1" LPCX="0.52904" LPCY="0.48609" LPD="20.04290" LPS="0.96691" LPV="1" RPCX="0.79331" RPCY="0.47811" RPD="25.17267" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00412" LPUPILV="1" REYEX="0.07071" REYEY="0.00292" REYEZ="0.63724" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75262" FPOGY="0.29547" FPOGS="470.52319" FPOGD="0.04013" FPOGID="1710" FPOGV="1" LPOGX="0.69879" LPOGY="0.38129" LPOGV="1" RPOGX="0.79054" RPOGY="0.24765" RPOGV="1" BPOGX="0.74466" BPOGY="0.31447" BPOGV="1" LPCX="0.52902" LPCY="0.48609" LPD="20.28533" LPS="0.96691" LPV="1" RPCX="0.79334" RPCY="0.47811" RPD="24.87838" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00407" LPUPILV="1" REYEX="0.07071" REYEY="0.00292" REYEZ="0.63724" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75171" FPOGY="0.29402" FPOGS="470.52319" FPOGD="0.04678" FPOGID="1710" FPOGV="1" LPOGX="0.69978" LPOGY="0.38154" LPOGV="1" RPOGX="0.79094" RPOGY="0.18614" RPOGV="1" BPOGX="0.74536" BPOGY="0.28384" BPOGV="1" LPCX="0.52902" LPCY="0.48612" LPD="20.36639" LPS="0.96691" LPV="1" RPCX="0.79333" RPCY="0.47811" RPD="24.84820" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00407" LPUPILV="1" REYEX="0.07071" REYEY="0.00292" REYEZ="0.63724" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
<REC FPOGX="0.75100" FPOGY="0.29289" FPOGS="470.52319" FPOGD="0.05359" FPOGID="1710" FPOGV="1" LPOGX="0.69978" LPOGY="0.38154" LPOGV="1" RPOGX="0.79094" RPOGY="0.18614" RPOGV="1" BPOGX="0.74536" BPOGY="0.28384" BPOGV="1" LPCX="0.52905" LPCY="0.48609" LPD="20.37506" LPS="0.96691" LPV="1" RPCX="0.79334" RPCY="0.47811" RPD="24.84506" RPS="0.96691" RPV="1" LEYEX="0.00696" LEYEY="0.00145" LEYEZ="0.64459" LPUPILD="0.00400" LPUPILV="1" REYEX="0.07071" REYEY="0.00292" REYEZ="0.63724" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="44" />
