2025-07-14 11:18:16.993420
 REYEZ="0.71832" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31179" FPOGY="0.09404" FPOGS="508.59784" FPOGD="0.06012" FPOGID="1735" FPOGV="1" LPOGX="0.29977" LPOGY="0.13144" LPOGV="1" RPOGX="0.30335" RPOGY="0.04398" RPOGV="1" BPOGX="0.30156" BPOGY="0.08771" BPOGV="1" LPCX="0.24370" LPCY="0.93927" LPD="20.32482" LPS="1.06407" LPV="1" RPCX="0.47809" RPCY="0.93428" RPD="18.14058" RPS="1.05598" RPV="1" LEYEX="-0.06338" LEYEY="-0.08987" LEYEZ="0.65477" LPUPILD="0.00460" LPUPILV="1" REYEX="-0.00515" REYEY="-0.09070" REYEZ="0.66740" RPUPILD="0.00389" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31053" FPOGY="0.09616" FPOGS="508.59784" FPOGD="0.06683" FPOGID="1735" FPOGV="1" LPOGX="0.31639" LPOGY="0.14728" LPOGV="1" RPOGX="0.27966" RPOGY="0.08750" RPOGV="1" BPOGX="0.29802" BPOGY="0.11739" BPOGV="1" LPCX="0.24381" LPCY="0.93923" LPD="20.30815" LPS="1.04807" LPV="1" RPCX="0.47814" RPCY="0.93419" RPD="18.05860" RPS="1.03999" RPV="1" LEYEX="-0.06338" LEYEY="-0.08987" LEYEZ="0.65477" LPUPILD="0.00464" LPUPILV="1" REYEX="-0.00515" REYEY="-0.09070" REYEZ="0.66740" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30994" FPOGY="0.09965" FPOGS="508.59784" FPOGD="0.07468" FPOGID="1735" FPOGV="1" LPOGX="0.32396" LPOGY="0.16601" LPOGV="1" RPOGX="0.28288" RPOGY="0.11010" RPOGV="1" BPOGX="0.30342" BPOGY="0.13806" BPOGV="1" LPCX="0.24380" LPCY="0.93917" LPD="20.44272" LPS="1.02506" LPV="1" RPCX="0.47811" RPCY="0.93435" RPD="18.43436" RPS="1.01697" RPV="1" LEYEX="-0.06183" LEYEY="-0.08774" LEYEZ="0.63925" LPUPILD="0.00465" LPUPILV="1" REYEX="-0.00498" REYEY="-0.08936" REYEZ="0.65754" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31068" FPOGY="0.10222" FPOGS="508.59784" FPOGD="0.08075" FPOGID="1735" FPOGV="1" LPOGX="0.34187" LPOGY="0.17619" LPOGV="1" RPOGX="0.29712" RPOGY="0.09003" RPOGV="1" BPOGX="0.31950" BPOGY="0.13311" BPOGV="1" LPCX="0.24390" LPCY="0.93902" LPD="20.71118" LPS="1.00994" LPV="1" RPCX="0.47829" RPCY="0.93412" RPD="18.27706" RPS="1.00994" RPV="1" LEYEX="-0.06183" LEYEY="-0.08774" LEYEZ="0.63925" LPUPILD="0.00456" LPUPILV="1" REYEX="-0.00498" REYEY="-0.08936" REYEZ="0.65754" RPUPILD="0.00397" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31049" FPOGY="0.10550" FPOGS="508.59784" FPOGD="0.08701" FPOGID="1735" FPOGV="1" LPOGX="0.34441" LPOGY="0.17989" LPOGV="1" RPOGX="0.27182" RPOGY="0.11636" RPOGV="1" BPOGX="0.30812" BPOGY="0.14812" BPOGV="1" LPCX="0.24401" LPCY="0.93908" LPD="20.90691" LPS="1.00292" LPV="1" RPCX="0.47832" RPCY="0.93418" RPD="18.31788" RPS="1.00292" RPV="1" LEYEX="-0.06183" LEYEY="-0.08774" LEYEZ="0.63925" LPUPILD="0.00460" LPUPILV="1" REYEX="-0.00498" REYEY="-0.08936" REYEZ="0.65754" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31029" FPOGY="0.10808" FPOGS="508.59784" FPOGD="0.09390" FPOGID="1735" FPOGV="1" LPOGX="0.34441" LPOGY="0.17989" LPOGV="1" RPOGX="0.27058" RPOGY="0.10835" RPOGV="1" BPOGX="0.30750" BPOGY="0.14412" BPOGV="1" LPCX="0.24413" LPCY="0.93891" LPD="20.56602" LPS="1.00292" LPV="1" RPCX="0.47852" RPCY="0.93409" RPD="18.23479" RPS="1.01100" RPV="1" LEYEX="-0.06337" LEYEY="-0.08999" LEYEZ="0.65565" LPUPILD="0.00458" LPUPILV="1" REYEX="-0.00512" REYEY="-0.09274" REYEZ="0.68245" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.30999" FPOGY="0.10919" FPOGS="508.59784" FPOGD="0.10156" FPOGID="1735" FPOGV="1" LPOGX="0.31515" LPOGY="0.15596" LPOGV="1" RPOGX="0.29558" RPOGY="0.09592" RPOGV="1" BPOGX="0.30536" BPOGY="0.12594" BPOGV="1" LPCX="0.24418" LPCY="0.93890" LPD="20.65523" LPS="1.01803" LPV="1" RPCX="0.47863" RPCY="0.93409" RPD="18.37393" RPS="1.02612" RPV="1" LEYEX="-0.06337" LEYEY="-0.08999" LEYEZ="0.65565" LPUPILD="0.00461" LPUPILV="1" REYEX="-0.00512" REYEY="-0.09274" REYEZ="0.68245" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31034" FPOGY="0.10957" FPOGS="508.59784" FPOGD="0.10803" FPOGID="1735" FPOGV="1" LPOGX="0.32972" LPOGY="0.13642" LPOGV="1" RPOGX="0.30226" RPOGY="0.09490" RPOGV="1" BPOGX="0.31599" BPOGY="0.11566" BPOGV="1" LPCX="0.24424" LPCY="0.93887" LPD="20.63312" LPS="1.03314" LPV="1" RPCX="0.47864" RPCY="0.93410" RPD="18.43184" RPS="1.04123" RPV="1" LEYEX="-0.06337" LEYEY="-0.08999" LEYEZ="0.65565" LPUPILD="0.00468" LPUPILV="1" REYEX="-0.00512" REYEY="-0.09274" REYEZ="0.68245" RPUPILD="0.00393" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31040" FPOGY="0.10898" FPOGS="508.59784" FPOGD="0.11429" FPOGID="1735" FPOGV="1" LPOGX="0.32234" LPOGY="0.11721" LPOGV="1" RPOGX="0.30048" RPOGY="0.08039" RPOGV="1" BPOGX="0.31141" BPOGY="0.09880" BPOGV="1" LPCX="0.24423" LPCY="0.93923" LPD="21.10474" LPS="1.05616" LPV="1" RPCX="0.47876" RPCY="0.93403" RPD="18.06543" RPS="1.05616" RPV="1" LEYEX="-0.06463" LEYEY="-0.09179" LEYEZ="0.66917" LPUPILD="0.00468" LPUPILV="1" REYEX="-0.00487" REYEY="-0.08921" REYEZ="0.65643" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.31032" FPOGY="0.10776" FPOGS="508.59784" FPOGD="0.12128" FPOGID="1735" FPOGV="1" LPOGX="0.32907" LPOGY="0.10368" LPOGV="1" RPOGX="0.28887" RPOGY="0.06808" RPOGV="1" BPOGX="0.30897" BPOGY="0.08588" BPOGV="1" LPCX="0.24429" LPCY="0.93919" LPD="20.86276" LPS="1.06407" LPV="1" RPCX="0.47886" RPCY="0.93387" RPD="18.21707" RPS="1.05598" RPV="1" LEYEX="-0.06463" LEYEY="-0.09179" LEYEZ="0.66917" LPUPILD="0.00471" LPUPILV="1" REYEX="-0.00487" REYEY="-0.08921" REYEZ="0.65643" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
