2025-06-26 11:47:28.133717
EYEZ="0.54761" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.56005" FPOGY="0.15267" FPOGS="462.95792" FPOGD="0.18695" FPOGID="1456" FPOGV="1" LPOGX="0.57409" LPOGY="0.20614" LPOGV="1" RPOGX="0.50645" RPOGY="0.11373" RPOGV="1" BPOGX="0.54027" BPOGY="0.15993" BPOGV="1" LPCX="0.39487" LPCY="0.87255" LPD="25.07650" LPS="0.87001" LPV="1" RPCX="0.64772" RPCY="0.89734" RPD="23.04567" RPS="0.87001" RPV="1" LEYEX="-0.02441" LEYEY="-0.07197" LEYEZ="0.61433" LPUPILD="0.00539" LPUPILV="1" REYEX="0.03424" REYEY="-0.07588" REYEZ="0.60731" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55925" FPOGY="0.15388" FPOGS="462.95792" FPOGD="0.19455" FPOGID="1456" FPOGV="1" LPOGX="0.57490" LPOGY="0.20350" LPOGV="1" RPOGX="0.49746" RPOGY="0.17426" RPOGV="1" BPOGX="0.53618" BPOGY="0.18888" BPOGV="1" LPCX="0.39484" LPCY="0.87257" LPD="25.06171" LPS="0.87001" LPV="1" RPCX="0.64769" RPCY="0.89734" RPD="23.09387" RPS="0.87001" RPV="1" LEYEX="-0.02441" LEYEY="-0.07197" LEYEZ="0.61433" LPUPILD="0.00542" LPUPILV="1" REYEX="0.03424" REYEY="-0.07588" REYEZ="0.60731" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55851" FPOGY="0.15491" FPOGS="462.95792" FPOGD="0.20035" FPOGID="1456" FPOGV="1" LPOGX="0.57490" LPOGY="0.20350" LPOGV="1" RPOGX="0.49784" RPOGY="0.16819" RPOGV="1" BPOGX="0.53637" BPOGY="0.18584" BPOGV="1" LPCX="0.39484" LPCY="0.87257" LPD="25.02655" LPS="0.87001" LPV="1" RPCX="0.64773" RPCY="0.89775" RPD="23.55462" RPS="0.87580" RPV="1" LEYEX="-0.02441" LEYEY="-0.07197" LEYEZ="0.61433" LPUPILD="0.00543" LPUPILV="1" REYEX="0.03472" REYEY="-0.07699" REYEZ="0.61656" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55773" FPOGY="0.15490" FPOGS="462.95792" FPOGD="0.20703" FPOGID="1456" FPOGV="1" LPOGX="0.56807" LPOGY="0.20335" LPOGV="1" RPOGX="0.49866" RPOGY="0.10607" RPOGV="1" BPOGX="0.53336" BPOGY="0.15471" BPOGV="1" LPCX="0.39480" LPCY="0.87262" LPD="25.02455" LPS="0.87580" LPV="1" RPCX="0.64769" RPCY="0.89771" RPD="23.53082" RPS="0.88159" RPV="1" LEYEX="-0.02441" LEYEY="-0.07197" LEYEZ="0.61433" LPUPILD="0.00546" LPUPILV="1" REYEX="0.03472" REYEY="-0.07699" REYEZ="0.61656" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55732" FPOGY="0.15423" FPOGS="462.95792" FPOGD="0.21396" FPOGID="1456" FPOGV="1" LPOGX="0.59509" LPOGY="0.15872" LPOGV="1" RPOGX="0.49324" RPOGY="0.10660" RPOGV="1" BPOGX="0.54417" BPOGY="0.13266" BPOGV="1" LPCX="0.39477" LPCY="0.87267" LPD="25.20137" LPS="0.88159" LPV="1" RPCX="0.64763" RPCY="0.89772" RPD="23.35880" RPS="0.88738" RPV="1" LEYEX="-0.02441" LEYEY="-0.07197" LEYEZ="0.61433" LPUPILD="0.00542" LPUPILV="1" REYEX="0.03472" REYEY="-0.07699" REYEZ="0.61656" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55692" FPOGY="0.15351" FPOGS="462.95792" FPOGD="0.22110" FPOGID="1456" FPOGV="1" LPOGX="0.59456" LPOGY="0.15282" LPOGV="1" RPOGX="0.49324" RPOGY="0.10660" RPOGV="1" BPOGX="0.54390" BPOGY="0.12971" BPOGV="1" LPCX="0.39473" LPCY="0.87266" LPD="25.12783" LPS="0.88738" LPV="1" RPCX="0.64766" RPCY="0.89767" RPD="23.22413" RPS="0.88738" RPV="1" LEYEX="-0.02441" LEYEY="-0.07206" LEYEZ="0.61433" LPUPILD="0.00539" LPUPILV="1" REYEX="0.03453" REYEY="-0.07672" REYEZ="0.61402" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55681" FPOGY="0.15233" FPOGS="462.95792" FPOGD="0.22787" FPOGID="1456" FPOGV="1" LPOGX="0.58944" LPOGY="0.10361" LPOGV="1" RPOGX="0.51682" RPOGY="0.12071" RPOGV="1" BPOGX="0.55313" BPOGY="0.11216" BPOGV="1" LPCX="0.39465" LPCY="0.87273" LPD="24.99851" LPS="0.88738" LPV="1" RPCX="0.64763" RPCY="0.89775" RPD="23.06599" RPS="0.88159" RPV="1" LEYEX="-0.02441" LEYEY="-0.07206" LEYEZ="0.61433" LPUPILD="0.00540" LPUPILV="1" REYEX="0.03453" REYEY="-0.07672" REYEZ="0.61402" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55637" FPOGY="0.15146" FPOGS="462.95792" FPOGD="0.23383" FPOGID="1456" FPOGV="1" LPOGX="0.57668" LPOGY="0.10685" LPOGV="1" RPOGX="0.50493" RPOGY="0.13529" RPOGV="1" BPOGX="0.54080" BPOGY="0.12107" BPOGV="1" LPCX="0.39452" LPCY="0.87282" LPD="24.85814" LPS="0.88159" LPV="1" RPCX="0.64764" RPCY="0.89781" RPD="22.95605" RPS="0.87580" RPV="1" LEYEX="-0.02441" LEYEY="-0.07206" LEYEZ="0.61433" LPUPILD="0.00543" LPUPILV="1" REYEX="0.03453" REYEY="-0.07672" REYEZ="0.61402" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55596" FPOGY="0.15072" FPOGS="462.95792" FPOGD="0.24054" FPOGID="1456" FPOGV="1" LPOGX="0.57733" LPOGY="0.11306" LPOGV="1" RPOGX="0.50493" RPOGY="0.13529" RPOGV="1" BPOGX="0.54113" BPOGY="0.12418" BPOGV="1" LPCX="0.39449" LPCY="0.87278" LPD="24.75686" LPS="0.87580" LPV="1" RPCX="0.64727" RPCY="0.89756" RPD="23.12428" RPS="0.87580" RPV="1" LEYEX="-0.02387" LEYEY="-0.07025" LEYEZ="0.59850" LPUPILD="0.00552" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00475" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.55570" FPOGY="0.15039" FPOGS="462.95792" FPOGD="0.24860" FPOGID="1456" FPOGV="1" LPOGX="0.57275" LPOGY="0.13428" LPOGV="1" RPOGX="0.51994" RPOGY="0.14175" RPOGV="1" BPOGX="0.54634" BPOGY="0.13801" BPOGV="1" LPCX="0.39436" LPCY="0.87267" LPD="24.61256" LPS="0.87580" LPV="1" RPCX="0.64709" RPCY="0.89751" RPD="23.18361" RPS="0.88159" RPV="1" LEYEX="-0.02387" LEYEY="-0.07025" LEYEZ="0.59850" LPUPILD="0.00554" LPUPILV="1" REYEX="0.03511" REYEY="-0.07811" REYEZ="0.62515" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
