2025-05-28 14:57:17.350129
2032" REYEZ="0.59162" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57134" FPOGY="0.12056" FPOGS="3497.97266" FPOGD="0.08643" FPOGID="6976" FPOGV="1" LPOGX="0.67240" LPOGY="0.24957" LPOGV="1" RPOGX="0.49973" RPOGY="0.08635" RPOGV="1" BPOGX="0.58607" BPOGY="0.16796" BPOGV="1" LPCX="0.30014" LPCY="0.61799" LPD="20.85457" LPS="0.88173" LPV="1" RPCX="0.57288" RPCY="0.60432" RPD="21.12976" RPS="0.87594" RPV="1" LEYEX="-0.04707" LEYEY="-0.02391" LEYEZ="0.61429" LPUPILD="0.00402" LPUPILV="1" REYEX="0.01681" REYEY="-0.02118" REYEZ="0.60599" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57234" FPOGY="0.12351" FPOGS="3497.97266" FPOGD="0.09302" FPOGID="6976" FPOGV="1" LPOGX="0.67241" LPOGY="0.24970" LPOGV="1" RPOGX="0.50011" RPOGY="0.07989" RPOGV="1" BPOGX="0.58626" BPOGY="0.16479" BPOGV="1" LPCX="0.30016" LPCY="0.61799" LPD="20.84489" LPS="0.88160" LPV="1" RPCX="0.57295" RPCY="0.60433" RPD="21.38268" RPS="0.88160" RPV="1" LEYEX="-0.04800" LEYEY="-0.02441" LEYEZ="0.62703" LPUPILD="0.00401" LPUPILV="1" REYEX="0.01748" REYEY="-0.02196" REYEZ="0.62823" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57292" FPOGY="0.12561" FPOGS="3497.97266" FPOGD="0.10034" FPOGID="6976" FPOGV="1" LPOGX="0.65499" LPOGY="0.24498" LPOGV="1" RPOGX="0.50836" RPOGY="0.06911" RPOGV="1" BPOGX="0.58167" BPOGY="0.15704" BPOGV="1" LPCX="0.30033" LPCY="0.61779" LPD="20.08480" LPS="0.88725" LPV="1" RPCX="0.57301" RPCY="0.60431" RPD="21.29296" RPS="0.89304" RPV="1" LEYEX="-0.04800" LEYEY="-0.02441" LEYEZ="0.62703" LPUPILD="0.00413" LPUPILV="1" REYEX="0.01748" REYEY="-0.02196" REYEZ="0.62823" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57292" FPOGY="0.12625" FPOGS="3497.97266" FPOGD="0.10718" FPOGID="6976" FPOGV="1" LPOGX="0.65893" LPOGY="0.21284" LPOGV="1" RPOGX="0.48702" RPOGY="0.06016" RPOGV="1" BPOGX="0.57298" BPOGY="0.13650" BPOGV="1" LPCX="0.30042" LPCY="0.61760" LPD="20.23774" LPS="0.89870" LPV="1" RPCX="0.57311" RPCY="0.60436" RPD="21.34501" RPS="0.90449" RPV="1" LEYEX="-0.04800" LEYEY="-0.02441" LEYEZ="0.62703" LPUPILD="0.00402" LPUPILV="1" REYEX="0.01748" REYEY="-0.02196" REYEZ="0.62823" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57294" FPOGY="0.12615" FPOGS="3497.97266" FPOGD="0.11328" FPOGID="6976" FPOGV="1" LPOGX="0.65866" LPOGY="0.20189" LPOGV="1" RPOGX="0.48762" RPOGY="0.04715" RPOGV="1" BPOGX="0.57314" BPOGY="0.12452" BPOGV="1" LPCX="0.30045" LPCY="0.61751" LPD="20.27601" LPS="0.91015" LPV="1" RPCX="0.57319" RPCY="0.60437" RPD="21.55960" RPS="0.91594" RPV="1" LEYEX="-0.04775" LEYEY="-0.02423" LEYEZ="0.62372" LPUPILD="0.00402" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57272" FPOGY="0.12511" FPOGS="3497.97266" FPOGD="0.11987" FPOGID="6976" FPOGV="1" LPOGX="0.63613" LPOGY="0.17836" LPOGV="1" RPOGX="0.50153" RPOGY="0.03426" RPOGV="1" BPOGX="0.56883" BPOGY="0.10631" BPOGV="1" LPCX="0.30058" LPCY="0.61769" LPD="20.46515" LPS="0.91594" LPV="1" RPCX="0.57332" RPCY="0.60437" RPD="21.38726" RPS="0.91594" RPV="1" LEYEX="-0.04775" LEYEY="-0.02423" LEYEZ="0.62372" LPUPILD="0.00400" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57217" FPOGY="0.12396" FPOGS="3497.97266" FPOGD="0.12671" FPOGID="6976" FPOGV="1" LPOGX="0.64889" LPOGY="0.16464" LPOGV="1" RPOGX="0.47462" RPOGY="0.03960" RPOGV="1" BPOGX="0.56175" BPOGY="0.10212" BPOGV="1" LPCX="0.30054" LPCY="0.61772" LPD="20.45583" LPS="0.91594" LPV="1" RPCX="0.57338" RPCY="0.60437" RPD="21.45964" RPS="0.91594" RPV="1" LEYEX="-0.04775" LEYEY="-0.02423" LEYEZ="0.62372" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00400" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57167" FPOGY="0.12321" FPOGS="3497.97266" FPOGD="0.13354" FPOGID="6976" FPOGV="1" LPOGX="0.64908" LPOGY="0.17023" LPOGV="1" RPOGX="0.47440" RPOGY="0.04609" RPOGV="1" BPOGX="0.56174" BPOGY="0.10816" BPOGV="1" LPCX="0.30061" LPCY="0.61778" LPD="20.44675" LPS="0.91028" LPV="1" RPCX="0.57338" RPCY="0.60432" RPD="21.31664" RPS="0.91028" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00405" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57158" FPOGY="0.12247" FPOGS="3497.97266" FPOGD="0.14014" FPOGID="6976" FPOGV="1" LPOGX="0.65511" LPOGY="0.17072" LPOGV="1" RPOGX="0.48423" RPOGY="0.04336" RPOGV="1" BPOGX="0.56967" BPOGY="0.10704" BPOGV="1" LPCX="0.30073" LPCY="0.61772" LPD="20.48068" LPS="0.90462" LPV="1" RPCX="0.57341" RPCY="0.60432" RPD="21.02232" RPS="0.90462" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00400" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.57169" FPOGY="0.12233" FPOGS="3497.97266" FPOGD="0.14697" FPOGID="6976" FPOGV="1" LPOGX="0.66208" LPOGY="0.18789" LPOGV="1" RPOGX="0.48613" RPOGY="0.05075" RPOGV="1" BPOGX="0.57410" BPOGY="0.11932" BPOGV="1" LPCX="0.30077" LPCY="0.61772" LPD="20.45364" LPS="0.89896" LPV="1" RPCX="0.57352" RPCY="0.60407" RPD="20.52662" RPS="0.89896" RPV="1" LEYEX="-0.04595" LEYEY="-0.02339" LEYEZ="0.60210" LPUPILD="0.00400" LPUPILV="1" REYEX="0.01756" REYEY="-0.02194" REYEZ="0.62788" RPUPILD="0.00407" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
