2025-05-27 11:21:27.997807
 REYEZ="0.48626" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.62900" FPOGY="0.30839" FPOGS="4207.06201" FPOGD="0.10059" FPOGID="11598" FPOGV="1" LPOGX="0.66328" LPOGY="0.33219" LPOGV="1" RPOGX="0.60758" RPOGY="0.25807" RPOGV="1" BPOGX="0.63543" BPOGY="0.29513" BPOGV="1" LPCX="0.07926" LPCY="0.41524" LPD="28.80502" LPS="0.55454" LPV="1" RPCX="0.40255" RPCY="0.39656" RPD="29.24033" RPS="0.55217" RPV="1" LEYEX="-0.07520" LEYEY="0.01058" LEYEZ="0.46691" LPUPILD="0.00511" LPUPILV="1" REYEX="-0.01877" REYEY="0.01368" REYEZ="0.48626" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.62934" FPOGY="0.30797" FPOGS="4207.06201" FPOGD="0.10742" FPOGID="11598" FPOGV="1" LPOGX="0.66342" LPOGY="0.33807" LPOGV="1" RPOGX="0.60629" RPOGY="0.26461" RPOGV="1" BPOGX="0.63486" BPOGY="0.30134" BPOGV="1" LPCX="0.07894" LPCY="0.41527" LPD="28.35597" LPS="0.55014" LPV="1" RPCX="0.40211" RPCY="0.39709" RPD="29.64136" RPS="0.54777" RPV="1" LEYEX="-0.07587" LEYEY="0.01049" LEYEZ="0.46931" LPUPILD="0.00509" LPUPILV="1" REYEX="-0.01916" REYEY="0.01360" REYEZ="0.48870" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.77273" FPOGY="0.32403" FPOGS="4207.93311" FPOGD="0.14697" FPOGID="11601" FPOGV="1" LPOGX="0.78900" LPOGY="0.38661" LPOGV="1" RPOGX="0.75499" RPOGY="0.23483" RPOGV="1" BPOGX="0.77200" BPOGY="0.31072" BPOGV="1" LPCX="0.08183" LPCY="0.41670" LPD="28.74216" LPS="0.57730" LPV="1" RPCX="0.40138" RPCY="0.40415" RPD="28.28295" RPS="0.57477" RPV="1" LEYEX="-0.07880" LEYEY="0.01077" LEYEZ="0.48694" LPUPILD="0.00504" LPUPILV="1" REYEX="-0.02016" REYEY="0.01279" REYEZ="0.49434" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77267" FPOGY="0.32349" FPOGS="4207.93311" FPOGD="0.15381" FPOGID="11601" FPOGV="1" LPOGX="0.78936" LPOGY="0.36368" LPOGV="1" RPOGX="0.75298" RPOGY="0.25843" RPOGV="1" BPOGX="0.77117" BPOGY="0.31106" BPOGV="1" LPCX="0.08262" LPCY="0.41665" LPD="28.85344" LPS="0.57694" LPV="1" RPCX="0.40211" RPCY="0.40434" RPD="28.26825" RPS="0.57441" RPV="1" LEYEX="-0.07880" LEYEY="0.01077" LEYEZ="0.48694" LPUPILD="0.00508" LPUPILV="1" REYEX="-0.02016" REYEY="0.01279" REYEZ="0.49434" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77260" FPOGY="0.32305" FPOGS="4207.93311" FPOGD="0.16064" FPOGID="11601" FPOGV="1" LPOGX="0.78891" LPOGY="0.36689" LPOGV="1" RPOGX="0.75298" RPOGY="0.25843" RPOGV="1" BPOGX="0.77095" BPOGY="0.31266" BPOGV="1" LPCX="0.08360" LPCY="0.41575" LPD="27.92508" LPS="0.57441" LPV="1" RPCX="0.40305" RPCY="0.40461" RPD="28.13832" RPS="0.57441" RPV="1" LEYEX="-0.07584" LEYEY="0.01056" LEYEZ="0.47237" LPUPILD="0.00506" LPUPILV="1" REYEX="-0.01994" REYEY="0.01307" REYEZ="0.50665" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77255" FPOGY="0.32263" FPOGS="4207.93311" FPOGD="0.16699" FPOGID="11601" FPOGV="1" LPOGX="0.79227" LPOGY="0.37509" LPOGV="1" RPOGX="0.75037" RPOGY="0.24889" RPOGV="1" BPOGX="0.77132" BPOGY="0.31199" BPOGV="1" LPCX="0.08532" LPCY="0.41604" LPD="29.01990" LPS="0.57224" LPV="1" RPCX="0.40476" RPCY="0.40469" RPD="28.14400" RPS="0.57477" RPV="1" LEYEX="-0.07584" LEYEY="0.01056" LEYEZ="0.47237" LPUPILD="0.00504" LPUPILV="1" REYEX="-0.01994" REYEY="0.01307" REYEZ="0.50665" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77249" FPOGY="0.32236" FPOGS="4207.93311" FPOGD="0.17383" FPOGID="11601" FPOGV="1" LPOGX="0.79278" LPOGY="0.36563" LPOGV="1" RPOGX="0.74902" RPOGY="0.26534" RPOGV="1" BPOGX="0.77090" BPOGY="0.31549" BPOGV="1" LPCX="0.08623" LPCY="0.41588" LPD="29.04959" LPS="0.57260" LPV="1" RPCX="0.40563" RPCY="0.40498" RPD="28.19164" RPS="0.57513" RPV="1" LEYEX="-0.07584" LEYEY="0.01056" LEYEZ="0.47237" LPUPILD="0.00499" LPUPILV="1" REYEX="-0.01994" REYEY="0.01307" REYEZ="0.50665" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77244" FPOGY="0.32206" FPOGS="4207.93311" FPOGD="0.18018" FPOGID="11601" FPOGV="1" LPOGX="0.79325" LPOGY="0.36241" LPOGV="1" RPOGX="0.74902" RPOGY="0.26534" RPOGV="1" BPOGX="0.77113" BPOGY="0.31388" BPOGV="1" LPCX="0.08703" LPCY="0.41511" LPD="27.30283" LPS="0.57513" LPV="1" RPCX="0.40657" RPCY="0.40521" RPD="27.88194" RPS="0.57513" RPV="1" LEYEX="-0.07766" LEYEY="0.01102" LEYEZ="0.48805" LPUPILD="0.00511" LPUPILV="1" REYEX="-0.01875" REYEY="0.01256" REYEZ="0.49239" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.77243" FPOGY="0.32208" FPOGS="4207.93311" FPOGD="0.18701" FPOGID="11601" FPOGV="1" LPOGX="0.79332" LPOGY="0.37698" LPOGV="1" RPOGX="0.75099" RPOGY="0.26810" RPOGV="1" BPOGX="0.77215" BPOGY="0.32254" BPOGV="1" LPCX="0.08887" LPCY="0.41548" LPD="28.84947" LPS="0.57730" LPV="1" RPCX="0.40807" RPCY="0.40567" RPD="28.68494" RPS="0.57477" RPV="1" LEYEX="-0.07766" LEYEY="0.01102" LEYEZ="0.48805" LPUPILD="0.00504" LPUPILV="1" REYEX="-0.01875" REYEY="0.01256" REYEZ="0.49239" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
