2025-07-01 13:32:38.248381
.66308" RPUPILD="0.00409" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.12060" FPOGY="0.43573" FPOGS="81.85233" FPOGD="0.31927" FPOGID="217" FPOGV="1" LPOGX="0.19155" LPOGY="0.44922" LPOGV="1" RPOGX="0.03092" RPOGY="0.39973" RPOGV="1" BPOGX="0.11124" BPOGY="0.42447" BPOGV="1" LPCX="0.50526" LPCY="0.85993" LPD="19.47855" LPS="1.08758" LPV="1" RPCX="0.76990" RPCY="0.89749" RPD="19.26843" RPS="1.08758" RPV="1" LEYEX="0.00270" LEYEY="-0.07750" LEYEZ="0.69169" LPUPILD="0.00404" LPUPILV="1" REYEX="0.07090" REYEY="-0.08369" REYEZ="0.67543" RPUPILD="0.00391" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12088" FPOGY="0.43494" FPOGS="81.85233" FPOGD="0.32475" FPOGID="217" FPOGV="1" LPOGX="0.17871" LPOGY="0.44924" LPOGV="1" RPOGX="0.03491" RPOGY="0.34559" RPOGV="1" BPOGX="0.10681" BPOGY="0.39742" BPOGV="1" LPCX="0.50435" LPCY="0.86122" LPD="19.80814" LPS="1.08758" LPV="1" RPCX="0.76842" RPCY="0.89902" RPD="19.32112" RPS="1.08758" RPV="1" LEYEX="0.00270" LEYEY="-0.07750" LEYEZ="0.69169" LPUPILD="0.00413" LPUPILV="1" REYEX="0.07090" REYEY="-0.08369" REYEZ="0.67543" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12090" FPOGY="0.43510" FPOGS="81.85233" FPOGD="0.33060" FPOGID="217" FPOGV="1" LPOGX="0.20271" LPOGY="0.44569" LPOGV="1" RPOGX="0.04193" RPOGY="0.45111" RPOGV="1" BPOGX="0.12232" BPOGY="0.44840" BPOGV="1" LPCX="0.50375" LPCY="0.86211" LPD="19.76711" LPS="1.08758" LPV="1" RPCX="0.76777" RPCY="0.89985" RPD="19.34945" RPS="1.08758" RPV="1" LEYEX="0.00270" LEYEY="-0.07750" LEYEZ="0.69169" LPUPILD="0.00415" LPUPILV="1" REYEX="0.07090" REYEY="-0.08369" REYEZ="0.67543" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12095" FPOGY="0.43531" FPOGS="81.85233" FPOGD="0.33528" FPOGID="217" FPOGV="1" LPOGX="0.20271" LPOGY="0.44569" LPOGV="1" RPOGX="0.04193" RPOGY="0.45111" RPOGV="1" BPOGX="0.12232" BPOGY="0.44840" BPOGV="1" LPCX="0.50329" LPCY="0.86280" LPD="19.35562" LPS="1.08758" LPV="1" RPCX="0.76732" RPCY="0.89985" RPD="18.68722" RPS="1.08758" RPV="1" LEYEX="0.00213" LEYEY="-0.07626" LEYEZ="0.67515" LPUPILD="0.00415" LPUPILV="1" REYEX="0.06964" REYEY="-0.08341" REYEZ="0.66913" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12208" FPOGY="0.43566" FPOGS="81.85233" FPOGD="0.34068" FPOGID="217" FPOGV="1" LPOGX="0.22722" LPOGY="0.45293" LPOGV="1" RPOGX="0.05667" RPOGY="0.46578" RPOGV="1" BPOGX="0.14194" BPOGY="0.45936" BPOGV="1" LPCX="0.50230" LPCY="0.86427" LPD="19.63959" LPS="1.08758" LPV="1" RPCX="0.76598" RPCY="0.90179" RPD="19.97359" RPS="1.08758" RPV="1" LEYEX="0.00213" LEYEY="-0.07626" LEYEZ="0.67515" LPUPILD="0.00421" LPUPILV="1" REYEX="0.06964" REYEY="-0.08341" REYEZ="0.66913" RPUPILD="0.00382" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12253" FPOGY="0.43590" FPOGS="81.85233" FPOGD="0.34722" FPOGID="217" FPOGV="1" LPOGX="0.19778" LPOGY="0.46179" LPOGV="1" RPOGX="0.05224" RPOGY="0.44716" RPOGV="1" BPOGX="0.12501" BPOGY="0.45447" BPOGV="1" LPCX="0.50175" LPCY="0.86536" LPD="19.58237" LPS="1.08758" LPV="1" RPCX="0.76524" RPCY="0.90237" RPD="19.08866" RPS="1.08758" RPV="1" LEYEX="0.00213" LEYEY="-0.07626" LEYEZ="0.67515" LPUPILD="0.00417" LPUPILV="1" REYEX="0.06964" REYEY="-0.08341" REYEZ="0.66913" RPUPILD="0.00387" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12305" FPOGY="0.43624" FPOGS="81.85233" FPOGD="0.35434" FPOGID="217" FPOGV="1" LPOGX="0.19778" LPOGY="0.46179" LPOGV="1" RPOGX="0.05224" RPOGY="0.44716" RPOGV="1" BPOGX="0.12501" BPOGY="0.45447" BPOGV="1" LPCX="0.50140" LPCY="0.86584" LPD="19.21943" LPS="1.08758" LPV="1" RPCX="0.76457" RPCY="0.90268" RPD="18.79777" RPS="1.08758" RPV="1" LEYEX="0.00155" LEYEY="-0.07381" LEYEZ="0.64789" LPUPILD="0.00412" LPUPILV="1" REYEX="0.07096" REYEY="-0.08642" REYEZ="0.68876" RPUPILD="0.00395" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12304" FPOGY="0.43620" FPOGS="81.85233" FPOGD="0.36077" FPOGID="217" FPOGV="1" LPOGX="0.20706" LPOGY="0.43410" LPOGV="1" RPOGX="0.00985" RPOGY="0.43546" RPOGV="1" BPOGX="0.10845" BPOGY="0.43478" BPOGV="1" LPCX="0.50017" LPCY="0.86762" LPD="19.73633" LPS="1.08758" LPV="1" RPCX="0.76316" RPCY="0.90463" RPD="19.50461" RPS="1.08758" RPV="1" LEYEX="0.00155" LEYEY="-0.07381" LEYEZ="0.64789" LPUPILD="0.00412" LPUPILV="1" REYEX="0.07096" REYEY="-0.08642" REYEZ="0.68876" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12401" FPOGY="0.43698" FPOGS="81.85233" FPOGD="0.36749" FPOGID="217" FPOGV="1" LPOGX="0.20098" LPOGY="0.45272" LPOGV="1" RPOGX="0.05337" RPOGY="0.48065" RPOGV="1" BPOGX="0.12718" BPOGY="0.46669" BPOGV="1" LPCX="0.49935" LPCY="0.86870" LPD="19.70446" LPS="1.08758" LPV="1" RPCX="0.76246" RPCY="0.90529" RPD="18.83150" RPS="1.08758" RPV="1" LEYEX="0.00155" LEYEY="-0.07381" LEYEZ="0.64789" LPUPILD="0.00412" LPUPILV="1" REYEX="0.07096" REYEY="-0.08642" REYEZ="0.68876" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.12495" FPOGY="0.43770" FPOGS="81.85233" FPOGD="0.37524" FPOGID="217" FPOGV="1" LPOGX="0.20098" LPOGY="0.45272" LPOGV="1" RPOGX="0.05337" RPOGY="0.48065" RPOGV="1" BPOGX="0.12718" BPOGY="0.46669" BPOGV="1" LPCX="0.49920" LPCY="0.86905" LPD="19.58029" LPS="1.08758" LPV="1" RPCX="0.76199" RPCY="0.90562" RPD="18.59391" RPS="1.08758" RPV="1" LEYEX="0.00101" LEYEY="-0.07750" LEYEZ="0.67364" LPUPILD="0.00412" LPUPILV="1" REYEX="0.06889" REYEY="-0.08543" REYEZ="0.67559" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
