2025-06-12 10:51:32.832402
0031" LEYEZ="0.68496" LPUPILD="0.00760" LPUPILV="1" REYEX="-0.00318" REYEY="0.00195" REYEZ="0.68507" RPUPILD="0.00810" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.91280" FPOGY="0.54977" FPOGS="2809.74194" FPOGD="0.22876" FPOGID="7031" FPOGV="0" LPOGX="0.91097" LPOGY="0.49700" LPOGV="1" RPOGX="0.97633" RPOGY="0.57627" RPOGV="1" BPOGX="0.94365" BPOGY="0.53663" BPOGV="1" LPCX="0.24599" LPCY="0.49412" LPD="37.54262" LPS="1.08766" LPV="1" RPCX="0.49548" RPCY="0.48865" RPD="37.96254" RPS="1.08766" RPV="1" LEYEX="-0.06749" LEYEY="0.00031" LEYEZ="0.68496" LPUPILD="0.00759" LPUPILV="1" REYEX="-0.00318" REYEY="0.00195" REYEZ="0.68507" RPUPILD="0.00809" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.88352" FPOGY="0.75246" FPOGS="2810.79980" FPOGD="0.08984" FPOGID="7035" FPOGV="1" LPOGX="0.87304" LPOGY="0.63272" LPOGV="1" RPOGX="0.91176" RPOGY="0.72179" RPOGV="1" BPOGX="0.89240" BPOGY="0.67726" BPOGV="1" LPCX="0.23690" LPCY="0.49552" LPD="35.75483" LPS="1.08766" LPV="1" RPCX="0.48690" RPCY="0.48788" RPD="38.22991" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00766" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00776" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.88416" FPOGY="0.74763" FPOGS="2810.79980" FPOGD="0.09644" FPOGID="7035" FPOGV="1" LPOGX="0.87417" LPOGY="0.62914" LPOGV="1" RPOGX="0.91231" RPOGY="0.73088" RPOGV="1" BPOGX="0.89324" BPOGY="0.68001" BPOGV="1" LPCX="0.23690" LPCY="0.49530" LPD="36.55647" LPS="1.08766" LPV="1" RPCX="0.48694" RPCY="0.48781" RPD="38.38531" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00759" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00780" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.88872" FPOGY="0.71487" FPOGS="2810.79980" FPOGD="0.09644" FPOGID="7035" FPOGV="0" LPOGX="0.87624" LPOGY="0.60689" LPOGV="1" RPOGX="0.91437" RPOGY="0.72331" RPOGV="1" BPOGX="0.89531" BPOGY="0.66510" BPOGV="1" LPCX="0.23690" LPCY="0.49528" LPD="36.85434" LPS="1.08766" LPV="1" RPCX="0.48700" RPCY="0.48779" RPD="38.23855" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00757" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00780" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.89201" FPOGY="0.68998" FPOGS="2810.79980" FPOGD="0.09644" FPOGID="7035" FPOGV="0" LPOGX="0.87624" LPOGY="0.60689" LPOGV="1" RPOGX="0.91437" RPOGY="0.72331" RPOGV="1" BPOGX="0.89531" BPOGY="0.66510" BPOGV="1" LPCX="0.23692" LPCY="0.49529" LPD="36.83144" LPS="1.08766" LPV="1" RPCX="0.48699" RPCY="0.48779" RPD="38.25203" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00759" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00780" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.89328" FPOGY="0.67092" FPOGS="2810.79980" FPOGD="0.09644" FPOGID="7035" FPOGV="0" LPOGX="0.87633" LPOGY="0.58245" LPOGV="1" RPOGX="0.91527" RPOGY="0.68312" RPOGV="1" BPOGX="0.89580" BPOGY="0.63278" BPOGV="1" LPCX="0.23695" LPCY="0.49514" LPD="37.20547" LPS="1.08766" LPV="1" RPCX="0.48697" RPCY="0.48780" RPD="38.25371" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00756" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00784" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.88976" FPOGY="0.66722" FPOGS="2810.90381" FPOGD="0.01831" FPOGID="7036" FPOGV="1" LPOGX="0.83922" LPOGY="0.63120" LPOGV="1" RPOGX="0.91917" RPOGY="0.68108" RPOGV="1" BPOGX="0.87919" BPOGY="0.65614" BPOGV="1" LPCX="0.23697" LPCY="0.49515" LPD="37.21003" LPS="1.08766" LPV="1" RPCX="0.48698" RPCY="0.48787" RPD="38.28087" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00755" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00781" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.88764" FPOGY="0.66501" FPOGS="2810.90381" FPOGD="0.02856" FPOGID="7036" FPOGV="1" LPOGX="0.83922" LPOGY="0.63120" LPOGV="1" RPOGX="0.91917" RPOGY="0.68108" RPOGV="1" BPOGX="0.87919" BPOGY="0.65614" BPOGV="1" LPCX="0.23696" LPCY="0.49518" LPD="37.28190" LPS="1.08766" LPV="1" RPCX="0.48700" RPCY="0.48790" RPD="38.32503" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00755" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00782" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.88643" FPOGY="0.66225" FPOGS="2810.90381" FPOGD="0.03564" FPOGID="7036" FPOGV="1" LPOGX="0.83985" LPOGY="0.65217" LPOGV="1" RPOGX="0.92092" RPOGY="0.64474" RPOGV="1" BPOGX="0.88038" BPOGY="0.64846" BPOGV="1" LPCX="0.23709" LPCY="0.49496" LPD="37.82256" LPS="1.08766" LPV="1" RPCX="0.48710" RPCY="0.48777" RPD="38.56517" RPS="1.08766" RPV="1" LEYEX="-0.06903" LEYEY="0.00031" LEYEZ="0.67997" LPUPILD="0.00757" LPUPILV="1" REYEX="-0.00462" REYEY="0.00195" REYEZ="0.68415" RPUPILD="0.00788" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
