Model,Best Parameters,Best CV Accuracy,Train Accuracy,Test Accuracy,Selected k,Precision,Recall,Specificity,Roc Auc,EER
Naive Bayes (80/20),{'scaler': MinMaxScaler()},0.8491,0.9415,0.8812,N/A,0.8848,0.9,0.8625,0.9246,0.0969
KNN (80/20),"{'clf__metric': 'minkowski', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'scaler': MinMaxScaler()}",0.8856,0.9192,0.8422,N/A,0.7904,0.9844,0.7,0.9434,0.0656
Logistic Regression (80/20),"{'clf__C': 0.1, 'scaler': MinMaxScaler()}",0.9201,0.9866,0.9188,N/A,0.9,0.9656,0.8719,0.9664,0.0469
NuSVC (80/20),"{'clf__gamma': 'auto', 'clf__kernel': 'rbf', 'clf__nu': 0.5, 'scaler': MinMaxScaler()}",0.9477,0.9897,0.9219,N/A,0.921,0.9375,0.9062,0.9578,0.0531
Random Forest (80/20),"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 50, 'scaler': MinMaxScaler()}",0.9274,1.0,0.9359,N/A,0.9317,0.9594,0.9125,0.9848,0.0281
SVC (80/20),"{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'scaler': MinMaxScaler()}",0.9422,0.9915,0.9188,N/A,0.9223,0.9344,0.9031,0.9617,0.0344
MLP (80/20),"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (150, 100, 50), 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam', 'scaler': MinMaxScaler()}",0.9448,1.0,0.9219,N/A,0.915,0.9531,0.8906,0.9664,0.0594
Naive Bayes (S1+S2 vs S3),{'scaler': MinMaxScaler()},0.855,0.974,0.7188,N/A,0.8938,0.5417,0.8958,0.8542,0.1458
KNN (S1+S2 vs S3),"{'clf__metric': 'minkowski', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'scaler': MinMaxScaler()}",0.9338,0.9167,0.8229,N/A,0.8289,0.8542,0.7917,0.908,0.1667
Logistic Regression (S1+S2 vs S3),"{'clf__C': 0.001, 'scaler': StandardScaler()}",0.935,0.9948,0.875,N/A,0.8884,0.875,0.875,0.9757,0.0625
NuSVC (S1+S2 vs S3),"{'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'clf__nu': 0.25, 'scaler': MinMaxScaler()}",0.96,0.9948,0.8438,N/A,0.8914,0.8125,0.875,0.941,0.1042
Random Forest (S1+S2 vs S3),"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__n_estimators': 20, 'scaler': MinMaxScaler()}",0.9388,1.0,0.8125,N/A,0.878,0.7708,0.8542,0.9479,0.0625
SVC (S1+S2 vs S3),"{'clf__C': 1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'scaler': StandardScaler()}",0.955,1.0,0.8438,N/A,0.9092,0.7917,0.8958,0.9479,0.0625
MLP (S1+S2 vs S3),"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam', 'scaler': MinMaxScaler()}",0.97,1.0,0.875,N/A,0.8969,0.875,0.875,0.9549,0.0417
