2025-05-27 11:34:25.568261
179" LEYEY="0.00307" LEYEZ="0.51219" LPUPILD="0.00420" LPUPILV="1" REYEX="0.02536" REYEY="0.00517" REYEZ="0.52620" RPUPILD="0.00385" RPUPILV="1" BKID="972" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="4984.30615" FPOGD="0.37305" FPOGID="14364" FPOGV="0" LPOGX="0.63393" LPOGY="0.00353" LPOGV="0" RPOGX="0.62795" RPOGY="-0.17038" RPOGV="0" BPOGX="0.62795" BPOGY="-0.17038" BPOGV="0" LPCX="0.17452" LPCY="0.92205" LPD="16.84113" LPS="0.63703" LPV="1" RPCX="0.62933" RPCY="0.45380" RPD="12.21589" RPS="0.63703" RPV="0" LEYEX="-0.03179" LEYEY="0.00307" LEYEZ="0.51219" LPUPILD="0.00482" LPUPILV="1" REYEX="0.02536" REYEY="0.00517" REYEZ="0.52620" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.02844" BKPMIN="22" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.68709" FPOGY="-0.10241" FPOGS="4985.59863" FPOGD="0.04004" FPOGID="14368" FPOGV="1" LPOGX="0.68571" LPOGY="-0.04685" LPOGV="1" RPOGX="0.68548" RPOGY="-0.15504" RPOGV="1" BPOGX="0.68560" BPOGY="-0.10095" BPOGV="1" LPCX="0.39546" LPCY="0.47066" LPD="23.33693" LPS="0.63677" LPV="1" RPCX="0.69210" RPCY="0.46483" RPD="22.98940" RPS="0.63677" RPV="1" LEYEX="-0.02093" LEYEY="0.00251" LEYEZ="0.52200" LPUPILD="0.00444" LPUPILV="1" REYEX="0.03740" REYEY="0.00308" REYEZ="0.51966" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68578" FPOGY="-0.10367" FPOGS="4985.59863" FPOGD="0.04688" FPOGID="14368" FPOGV="1" LPOGX="0.66331" LPOGY="-0.05340" LPOGV="1" RPOGX="0.68989" RPOGY="-0.17155" RPOGV="1" BPOGX="0.67660" BPOGY="-0.11248" BPOGV="1" LPCX="0.39578" LPCY="0.47110" LPD="23.48552" LPS="0.63677" LPV="1" RPCX="0.69252" RPCY="0.46499" RPD="23.04101" RPS="0.63677" RPV="1" LEYEX="-0.02093" LEYEY="0.00251" LEYEZ="0.52200" LPUPILD="0.00434" LPUPILV="1" REYEX="0.03740" REYEY="0.00308" REYEZ="0.51966" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68556" FPOGY="-0.10471" FPOGS="4985.59863" FPOGD="0.05371" FPOGID="14368" FPOGV="1" LPOGX="0.68189" LPOGY="-0.05815" LPOGV="1" RPOGX="0.68573" RPOGY="-0.16789" RPOGV="1" BPOGX="0.68381" BPOGY="-0.11302" BPOGV="1" LPCX="0.39619" LPCY="0.47043" LPD="23.24363" LPS="0.63677" LPV="1" RPCX="0.69270" RPCY="0.46511" RPD="23.15943" RPS="0.63677" RPV="1" LEYEX="-0.02093" LEYEY="0.00251" LEYEZ="0.52200" LPUPILD="0.00447" LPUPILV="1" REYEX="0.03740" REYEY="0.00308" REYEZ="0.51966" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68533" FPOGY="-0.10501" FPOGS="4985.59863" FPOGD="0.06055" FPOGID="14368" FPOGV="1" LPOGX="0.68189" LPOGY="-0.05308" LPOGV="1" RPOGX="0.68471" RPOGY="-0.16239" RPOGV="1" BPOGX="0.68330" BPOGY="-0.10774" BPOGV="1" LPCX="0.39624" LPCY="0.47065" LPD="23.41680" LPS="0.63392" LPV="1" RPCX="0.69296" RPCY="0.46525" RPD="23.01092" RPS="0.63392" RPV="1" LEYEX="-0.02056" LEYEY="0.00247" LEYEZ="0.51549" LPUPILD="0.00441" LPUPILV="1" REYEX="0.03701" REYEY="0.00296" REYEZ="0.51212" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68615" FPOGY="-0.10481" FPOGS="4985.59863" FPOGD="0.06689" FPOGID="14368" FPOGV="1" LPOGX="0.68125" LPOGY="-0.04967" LPOGV="1" RPOGX="0.70744" RPOGY="-0.15593" RPOGV="1" BPOGX="0.69434" BPOGY="-0.10280" BPOGV="1" LPCX="0.39646" LPCY="0.47072" LPD="23.36753" LPS="0.63108" LPV="1" RPCX="0.69320" RPCY="0.46525" RPD="22.97994" RPS="0.63108" RPV="1" LEYEX="-0.02056" LEYEY="0.00247" LEYEZ="0.51549" LPUPILD="0.00445" LPUPILV="1" REYEX="0.03701" REYEY="0.00296" REYEZ="0.51212" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68575" FPOGY="-0.10348" FPOGS="4985.59863" FPOGD="0.07373" FPOGID="14368" FPOGV="1" LPOGX="0.67073" LPOGY="-0.03918" LPOGV="1" RPOGX="0.69183" RPOGY="-0.13846" RPOGV="1" BPOGX="0.68128" BPOGY="-0.08882" BPOGV="1" LPCX="0.39657" LPCY="0.47076" LPD="23.42214" LPS="0.62823" LPV="1" RPCX="0.69336" RPCY="0.46536" RPD="23.04402" RPS="0.62823" RPV="1" LEYEX="-0.02056" LEYEY="0.00247" LEYEZ="0.51549" LPUPILD="0.00443" LPUPILV="1" REYEX="0.03701" REYEY="0.00296" REYEZ="0.51212" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68545" FPOGY="-0.10239" FPOGS="4985.59863" FPOGD="0.08008" FPOGID="14368" FPOGV="1" LPOGX="0.67078" LPOGY="-0.03414" LPOGV="1" RPOGX="0.69302" RPOGY="-0.14457" RPOGV="1" BPOGX="0.68190" BPOGY="-0.08935" BPOGV="1" LPCX="0.39663" LPCY="0.47079" LPD="23.43402" LPS="0.62539" LPV="1" RPCX="0.69348" RPCY="0.46540" RPD="23.05640" RPS="0.63143" RPV="1" LEYEX="-0.02037" LEYEY="0.00243" LEYEZ="0.51470" LPUPILD="0.00445" LPUPILV="1" REYEX="0.03836" REYEY="0.00306" REYEZ="0.52974" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.68611" FPOGY="-0.10160" FPOGS="4985.59863" FPOGD="0.08789" FPOGID="14368" FPOGV="1" LPOGX="0.69088" LPOGY="-0.03372" LPOGV="1" RPOGX="0.69834" RPOGY="-0.14884" RPOGV="1" BPOGX="0.69461" BPOGY="-0.09128" BPOGV="1" LPCX="0.39704" LPCY="0.47078" LPD="23.63401" LPS="0.63143" LPV="1" RPCX="0.69373" RPCY="0.46552" RPD="23.03354" RPS="0.63748" RPV="1" LEYEX="-0.02037" LEYEY="0.00243" LEYEZ="0.51470" LPUPILD="0.00429" LPUPILV="1" REYEX="0.03836" REYEY="0.00306" REYEZ="0.52974" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
