2025-05-28 15:18:44.272074
" REYEZ="0.64423" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24029" FPOGY="-0.53765" FPOGS="4784.71240" FPOGD="0.26123" FPOGID="9691" FPOGV="1" LPOGX="1.25213" LPOGY="-0.56026" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.25213" BPOGY="-0.56026" BPOGV="1" LPCX="0.27758" LPCY="0.41488" LPD="18.21822" LPS="0.87025" LPV="1" RPCX="0.51272" RPCY="0.42910" RPD="25.55186" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00462" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24066" FPOGY="-0.53848" FPOGS="4784.71240" FPOGD="0.26807" FPOGID="9691" FPOGV="1" LPOGX="1.25397" LPOGY="-0.56841" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.25397" BPOGY="-0.56841" BPOGV="1" LPCX="0.27757" LPCY="0.41489" LPD="18.25066" LPS="0.87025" LPV="1" RPCX="0.51282" RPCY="0.42915" RPD="25.64680" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00461" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00649" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24101" FPOGY="-0.53927" FPOGS="4784.71240" FPOGD="0.27441" FPOGID="9691" FPOGV="1" LPOGX="1.25397" LPOGY="-0.56841" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.25397" BPOGY="-0.56841" BPOGV="1" LPCX="0.27759" LPCY="0.41484" LPD="18.41207" LPS="0.87025" LPV="1" RPCX="0.51287" RPCY="0.42916" RPD="25.55820" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00459" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24148" FPOGY="-0.53977" FPOGS="4784.71240" FPOGD="0.28125" FPOGID="9691" FPOGV="1" LPOGX="1.25950" LPOGY="-0.55874" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.25950" BPOGY="-0.55874" BPOGV="1" LPCX="0.27766" LPCY="0.41482" LPD="18.36996" LPS="0.87025" LPV="1" RPCX="0.51289" RPCY="0.42910" RPD="25.63783" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00462" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00654" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24203" FPOGY="-0.54075" FPOGS="4784.71240" FPOGD="0.28809" FPOGID="9691" FPOGV="1" LPOGX="1.26321" LPOGY="-0.57880" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.26321" BPOGY="-0.57880" BPOGV="1" LPCX="0.27769" LPCY="0.41475" LPD="18.33444" LPS="0.87025" LPV="1" RPCX="0.51296" RPCY="0.42903" RPD="25.70527" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00459" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24254" FPOGY="-0.54167" FPOGS="4784.71240" FPOGD="0.29443" FPOGID="9691" FPOGV="1" LPOGX="1.26321" LPOGY="-0.57880" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.26321" BPOGY="-0.57880" BPOGV="1" LPCX="0.27773" LPCY="0.41468" LPD="18.24523" LPS="0.87025" LPV="1" RPCX="0.51296" RPCY="0.42899" RPD="25.75633" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00461" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.24337" FPOGY="-0.54290" FPOGS="4784.71240" FPOGD="0.30127" FPOGID="9691" FPOGV="1" LPOGX="1.27703" LPOGY="-0.59337" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.27703" BPOGY="-0.59337" BPOGV="1" LPCX="0.27782" LPCY="0.41466" LPD="18.12452" LPS="0.87025" LPV="1" RPCX="0.51304" RPCY="0.42894" RPD="25.68229" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00462" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.25811" FPOGY="-0.56716" FPOGS="4784.71240" FPOGD="0.30127" FPOGID="9691" FPOGV="0" LPOGX="1.27371" LPOGY="-0.60432" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.27371" BPOGY="-0.60432" BPOGV="1" LPCX="0.27781" LPCY="0.41463" LPD="18.05742" LPS="0.87025" LPV="1" RPCX="0.51311" RPCY="0.42886" RPD="25.58600" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00464" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26591" FPOGY="-0.58574" FPOGS="4784.71240" FPOGD="0.30127" FPOGID="9691" FPOGV="0" LPOGX="1.27371" LPOGY="-0.60432" LPOGV="1" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.27371" BPOGY="-0.60432" BPOGV="1" LPCX="0.27786" LPCY="0.41456" LPD="18.07010" LPS="0.87025" LPV="1" RPCX="0.51312" RPCY="0.42886" RPD="25.60530" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00466" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00652" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="1.26591" FPOGY="-0.58574" FPOGS="4784.71240" FPOGD="0.30127" FPOGID="9691" FPOGV="0" LPOGX="1.27371" LPOGY="-0.60432" LPOGV="0" RPOGX="1.08985" RPOGY="-0.32225" RPOGV="0" BPOGX="1.27371" BPOGY="-0.60432" BPOGV="0" LPCX="0.27800" LPCY="0.41440" LPD="18.14090" LPS="0.87025" LPV="1" RPCX="0.51321" RPCY="0.42885" RPD="25.63311" RPS="0.87025" RPV="1" LEYEX="-0.05382" LEYEY="0.01307" LEYEZ="0.60732" LPUPILD="0.00463" LPUPILV="1" REYEX="0.00214" REYEY="0.01164" REYEZ="0.66303" RPUPILD="0.00651" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
