2025-06-09 11:32:48.686532
EZ="0.66398" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.57045" FPOGY="0.37575" FPOGS="285.80313" FPOGD="0.09348" FPOGID="1014" FPOGV="1" LPOGX="0.59310" LPOGY="0.38853" LPOGV="1" RPOGX="0.59969" RPOGY="0.34235" RPOGV="1" BPOGX="0.59640" BPOGY="0.36544" BPOGV="1" LPCX="0.45872" LPCY="0.48472" LPD="23.55142" LPS="0.97392" LPV="1" RPCX="0.72570" RPCY="0.49493" RPD="27.06561" RPS="0.98111" RPV="1" LEYEX="-0.00976" LEYEY="0.00182" LEYEZ="0.63835" LPUPILD="0.00451" LPUPILV="1" REYEX="0.05710" REYEY="-0.00010" REYEZ="0.66398" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.53839" LPOGY="0.45044" LPOGV="0" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.40729" BPOGY="1.45977" BPOGV="0" LPCX="0.45292" LPCY="0.48560" LPD="18.17188" LPS="1.02785" LPV="0" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.02785" RPV="0" LEYEX="-0.01111" LEYEY="0.00184" LEYEZ="0.64424" LPUPILD="0.00459" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="135" BKDUR="0.00000" BKPMIN="47" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.53839" LPOGY="0.45044" LPOGV="0" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.40729" BPOGY="1.45977" BPOGV="0" LPCX="0.45292" LPCY="0.48560" LPD="18.17188" LPS="1.02785" LPV="0" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.02785" RPV="0" LEYEX="-0.01111" LEYEY="0.00184" LEYEZ="0.64424" LPUPILD="0.00459" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="135" BKDUR="0.00000" BKPMIN="47" />
<REC FPOGX="0.26843" FPOGY="0.22186" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.53687" LPOGY="0.44372" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.53687" BPOGY="0.44372" BPOGV="1" LPCX="0.71570" LPCY="0.49175" LPD="25.92360" LPS="1.02785" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.02785" RPV="0" LEYEX="0.05374" LEYEY="0.00019" LEYEZ="0.64576" LPUPILD="0.00510" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.07411" BKPMIN="48" />
<REC FPOGX="0.57130" FPOGY="0.32756" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.60574" LPOGY="0.21139" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.60574" BPOGY="0.21139" BPOGV="1" LPCX="0.71585" LPCY="0.49196" LPD="25.91223" LPS="1.02785" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.02785" RPV="0" LEYEX="0.05374" LEYEY="0.00019" LEYEZ="0.64576" LPUPILD="0.00510" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.58985" FPOGY="0.27792" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.60839" LPOGY="0.22827" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.60839" BPOGY="0.22827" BPOGV="1" LPCX="0.71587" LPCY="0.49202" LPD="25.77036" LPS="1.02785" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.02785" RPV="0" LEYEX="0.05374" LEYEY="0.00019" LEYEZ="0.64576" LPUPILD="0.00510" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.59587" FPOGY="0.25947" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.60791" LPOGY="0.22257" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.60791" BPOGY="0.22257" BPOGV="1" LPCX="0.71585" LPCY="0.49202" LPD="25.74460" LPS="1.03487" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.03487" RPV="0" LEYEX="0.05448" LEYEY="0.00015" LEYEZ="0.65400" LPUPILD="0.00509" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.61044" FPOGY="0.22942" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.61502" LPOGY="0.23741" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.61502" BPOGY="0.23741" BPOGV="1" LPCX="0.71585" LPCY="0.49217" LPD="25.77771" LPS="1.04190" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.04190" RPV="0" LEYEX="0.05448" LEYEY="0.00015" LEYEZ="0.65400" LPUPILD="0.00506" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
<REC FPOGX="0.60503" FPOGY="0.23788" FPOGS="286.54617" FPOGD="0.14740" FPOGID="1018" FPOGV="0" LPOGX="0.59961" LPOGY="0.24634" LPOGV="1" RPOGX="0.40729" RPOGY="1.45977" RPOGV="0" BPOGX="0.59961" BPOGY="0.24634" BPOGV="1" LPCX="0.71584" LPCY="0.49217" LPD="25.70744" LPS="1.04892" LPV="1" RPCX="0.71745" RPCY="0.49892" RPD="7.79494" RPS="1.04892" RPV="0" LEYEX="0.05448" LEYEY="0.00015" LEYEZ="0.65400" LPUPILD="0.00505" LPUPILV="1" REYEX="0.05665" REYEY="0.00061" REYEZ="0.67574" RPUPILD="0.00237" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="48" />
