2025-07-14 11:12:08.556360
-0.03120" LEYEZ="0.63117" LPUPILD="0.00285" LPUPILV="1" REYEX="0.02228" REYEY="-0.03413" REYEZ="0.61659" RPUPILD="0.00346" RPUPILV="1" BKID="23" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="138.97086" FPOGD="0.18036" FPOGID="415" FPOGV="0" LPOGX="0.74406" LPOGY="0.03120" LPOGV="0" RPOGX="0.73155" RPOGY="-0.21600" RPOGV="0" BPOGX="0.73780" BPOGY="-0.09240" BPOGV="0" LPCX="0.34069" LPCY="0.65586" LPD="12.04279" LPS="0.91776" LPV="0" RPCX="0.59802" RPCY="0.66967" RPD="10.33745" RPS="0.91776" RPV="0" LEYEX="-0.03890" LEYEY="-0.03120" LEYEZ="0.63117" LPUPILD="0.00285" LPUPILV="1" REYEX="0.02228" REYEY="-0.03413" REYEZ="0.61659" RPUPILD="0.00346" RPUPILV="1" BKID="23" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.13861" FPOGY="-0.06487" FPOGS="140.12283" FPOGD="0.05351" FPOGID="419" FPOGV="1" LPOGX="0.13653" LPOGY="-0.06923" LPOGV="1" RPOGX="0.10265" RPOGY="-0.10510" RPOGV="1" BPOGX="0.11959" BPOGY="-0.08717" BPOGV="1" LPCX="0.31938" LPCY="0.65608" LPD="24.05495" LPS="0.89261" LPV="1" RPCX="0.57798" RPCY="0.67078" RPD="21.41819" RPS="0.89261" RPV="1" LEYEX="-0.04184" LEYEY="-0.03194" LEYEZ="0.62628" LPUPILD="0.00486" LPUPILV="1" REYEX="0.01899" REYEY="-0.03344" REYEZ="0.60014" RPUPILD="0.00435" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13671" FPOGY="-0.06710" FPOGS="140.12283" FPOGD="0.06030" FPOGID="419" FPOGV="1" LPOGX="0.13653" LPOGY="-0.06923" LPOGV="1" RPOGX="0.10265" RPOGY="-0.10510" RPOGV="1" BPOGX="0.11959" BPOGY="-0.08717" BPOGV="1" LPCX="0.31908" LPCY="0.65590" LPD="23.67865" LPS="0.89261" LPV="1" RPCX="0.57772" RPCY="0.67082" RPD="21.41185" RPS="0.89261" RPV="1" LEYEX="-0.04200" LEYEY="-0.03195" LEYEZ="0.62731" LPUPILD="0.00474" LPUPILV="1" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13672" FPOGY="-0.07143" FPOGS="140.12283" FPOGD="0.06696" FPOGID="419" FPOGV="1" LPOGX="0.15402" LPOGY="-0.11313" LPOGV="1" RPOGX="0.11960" RPOGY="-0.11622" RPOGV="1" BPOGX="0.13681" BPOGY="-0.11467" BPOGV="1" LPCX="0.31896" LPCY="0.65593" LPD="23.83295" LPS="0.89261" LPV="1" RPCX="0.57770" RPCY="0.67074" RPD="21.32749" RPS="0.89261" RPV="1" LEYEX="-0.04200" LEYEY="-0.03195" LEYEZ="0.62731" LPUPILD="0.00480" LPUPILV="1" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13603" FPOGY="-0.07410" FPOGS="140.12283" FPOGD="0.07352" FPOGID="419" FPOGV="1" LPOGX="0.14716" LPOGY="-0.10107" LPOGV="1" RPOGX="0.10983" RPOGY="-0.10603" RPOGV="1" BPOGX="0.12849" BPOGY="-0.10355" BPOGV="1" LPCX="0.31907" LPCY="0.65594" LPD="24.01637" LPS="0.89261" LPV="1" RPCX="0.57764" RPCY="0.67079" RPD="21.48113" RPS="0.89261" RPV="1" LEYEX="-0.04200" LEYEY="-0.03195" LEYEZ="0.62731" LPUPILD="0.00481" LPUPILV="1" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13565" FPOGY="-0.07582" FPOGS="140.12283" FPOGD="0.08038" FPOGID="419" FPOGV="1" LPOGX="0.15029" LPOGY="-0.09456" LPOGV="1" RPOGX="0.11172" RPOGY="-0.09818" RPOGV="1" BPOGX="0.13101" BPOGY="-0.09637" BPOGV="1" LPCX="0.31893" LPCY="0.65599" LPD="24.07446" LPS="0.88695" LPV="1" RPCX="0.57762" RPCY="0.67074" RPD="21.55350" RPS="0.88695" RPV="1" LEYEX="-0.17835" LEYEY="-0.13862" LEYEZ="2.71805" LPUPILD="0.00481" LPUPILV="0" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13697" FPOGY="-0.07684" FPOGS="140.12283" FPOGD="0.08704" FPOGID="419" FPOGV="1" LPOGX="0.17399" LPOGY="-0.08717" LPOGV="1" RPOGX="0.13426" RPOGY="-0.09304" RPOGV="1" BPOGX="0.15413" BPOGY="-0.09010" BPOGV="1" LPCX="0.31870" LPCY="0.65600" LPD="23.72551" LPS="0.88130" LPV="1" RPCX="0.57768" RPCY="0.67082" RPD="21.34038" RPS="0.88130" RPV="1" LEYEX="-0.17835" LEYEY="-0.13862" LEYEZ="2.71805" LPUPILD="0.00481" LPUPILV="0" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13768" FPOGY="-0.07705" FPOGS="140.12283" FPOGD="0.09377" FPOGID="419" FPOGV="1" LPOGX="0.16740" LPOGY="-0.06902" LPOGV="1" RPOGX="0.12794" RPOGY="-0.09110" RPOGV="1" BPOGX="0.14767" BPOGY="-0.08006" BPOGV="1" LPCX="0.31868" LPCY="0.65608" LPD="23.70216" LPS="0.87564" LPV="1" RPCX="0.57750" RPCY="0.67065" RPD="21.42970" RPS="0.87564" RPV="1" LEYEX="-0.17835" LEYEY="-0.13862" LEYEZ="2.71805" LPUPILD="0.00483" LPUPILV="0" REYEX="0.01900" REYEY="-0.03363" REYEZ="0.60354" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.13865" FPOGY="-0.07615" FPOGS="140.12283" FPOGD="0.10063" FPOGID="419" FPOGV="1" LPOGX="0.17327" LPOGY="-0.05663" LPOGV="1" RPOGX="0.13311" RPOGY="-0.06876" RPOGV="1" BPOGX="0.15319" BPOGY="-0.06269" BPOGV="1" LPCX="0.31865" LPCY="0.65606" LPD="23.46114" LPS="0.86486" LPV="1" RPCX="0.57738" RPCY="0.67059" RPD="21.52040" RPS="0.85962" RPV="1" LEYEX="-0.17835" LEYEY="-0.13862" LEYEZ="2.71805" LPUPILD="0.00487" LPUPILV="0" REYEX="0.01867" REYEY="-0.03316" REYEZ="0.59421" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
