2025-05-29 10:12:57.726179
LEYEY="-0.02258" LEYEZ="0.67489" LPUPILD="0.00351" LPUPILV="1" REYEX="0.00044" REYEY="-0.02035" REYEZ="0.73319" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.52121" FPOGY="-0.02713" FPOGS="528.97546" FPOGD="0.10657" FPOGID="1772" FPOGV="1" LPOGX="0.64873" LPOGY="0.02029" LPOGV="1" RPOGX="0.33100" RPOGY="-0.07635" RPOGV="1" BPOGX="0.48986" BPOGY="-0.02803" BPOGV="1" LPCX="0.25524" LPCY="0.60078" LPD="17.02834" LPS="1.16700" LPV="1" RPCX="0.50066" RPCY="0.58177" RPD="18.12185" RPS="1.16700" RPV="1" LEYEX="-0.06346" LEYEY="-0.02258" LEYEZ="0.67489" LPUPILD="0.00351" LPUPILV="1" REYEX="0.00044" REYEY="-0.02035" REYEZ="0.73319" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.61790" FPOGY="0.18835" FPOGS="529.85913" FPOGD="0.13416" FPOGID="1775" FPOGV="1" LPOGX="0.76283" LPOGY="0.19502" LPOGV="1" RPOGX="0.48264" RPOGY="0.14912" RPOGV="1" BPOGX="0.62274" BPOGY="0.17207" BPOGV="1" LPCX="0.26084" LPCY="0.60400" LPD="16.45775" LPS="1.12427" LPV="1" RPCX="0.50697" RPCY="0.58617" RPD="18.70221" RPS="1.12427" RPV="1" LEYEX="-0.06472" LEYEY="-0.02402" LEYEZ="0.70229" LPUPILD="0.00356" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00403" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61720" FPOGY="0.18741" FPOGS="529.85913" FPOGD="0.14117" FPOGID="1775" FPOGV="1" LPOGX="0.72665" LPOGY="0.17694" LPOGV="1" RPOGX="0.47821" RPOGY="0.15855" RPOGV="1" BPOGX="0.60243" BPOGY="0.16774" BPOGV="1" LPCX="0.26097" LPCY="0.60393" LPD="16.45040" LPS="1.12427" LPV="1" RPCX="0.50702" RPCY="0.58621" RPD="18.66033" RPS="1.12427" RPV="1" LEYEX="-0.06472" LEYEY="-0.02402" LEYEZ="0.70229" LPUPILD="0.00358" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61654" FPOGY="0.18688" FPOGS="529.85913" FPOGD="0.14758" FPOGID="1775" FPOGV="1" LPOGX="0.72631" LPOGY="0.18419" LPOGV="1" RPOGX="0.47790" RPOGY="0.16596" RPOGV="1" BPOGX="0.60210" BPOGY="0.17508" BPOGV="1" LPCX="0.26119" LPCY="0.60416" LPD="16.94904" LPS="1.11531" LPV="1" RPCX="0.50701" RPCY="0.58616" RPD="18.73340" RPS="1.11531" RPV="1" LEYEX="-0.06301" LEYEY="-0.02340" LEYEZ="0.68432" LPUPILD="0.00361" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61563" FPOGY="0.18665" FPOGS="529.85913" FPOGD="0.15570" FPOGID="1775" FPOGV="1" LPOGX="0.73345" LPOGY="0.18876" LPOGV="1" RPOGX="0.45600" RPOGY="0.17387" RPOGV="1" BPOGX="0.59472" BPOGY="0.18131" BPOGV="1" LPCX="0.26123" LPCY="0.60396" LPD="16.48173" LPS="1.10635" LPV="1" RPCX="0.50692" RPCY="0.58618" RPD="18.74012" RPS="1.10635" RPV="1" LEYEX="-0.06301" LEYEY="-0.02340" LEYEZ="0.68432" LPUPILD="0.00361" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00405" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61450" FPOGY="0.18697" FPOGS="529.85913" FPOGD="0.16144" FPOGID="1775" FPOGV="1" LPOGX="0.72997" LPOGY="0.19969" LPOGV="1" RPOGX="0.44455" RPOGY="0.18981" RPOGV="1" BPOGX="0.58726" BPOGY="0.19475" BPOGV="1" LPCX="0.26127" LPCY="0.60402" LPD="16.54310" LPS="1.09739" LPV="1" RPCX="0.50708" RPCY="0.58619" RPD="18.64653" RPS="1.09739" RPV="1" LEYEX="-0.06301" LEYEY="-0.02340" LEYEZ="0.68432" LPUPILD="0.00360" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00412" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61345" FPOGY="0.18727" FPOGS="529.85913" FPOGD="0.16846" FPOGID="1775" FPOGV="1" LPOGX="0.72997" LPOGY="0.19969" LPOGV="1" RPOGX="0.44455" RPOGY="0.18981" RPOGV="1" BPOGX="0.58726" BPOGY="0.19475" BPOGV="1" LPCX="0.26123" LPCY="0.60405" LPD="16.66247" LPS="1.09739" LPV="1" RPCX="0.50727" RPCY="0.58627" RPD="18.59817" RPS="1.09739" RPV="1" LEYEX="-0.06437" LEYEY="-0.02393" LEYEZ="0.69960" LPUPILD="0.00359" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61272" FPOGY="0.18757" FPOGS="529.85913" FPOGD="0.17517" FPOGID="1775" FPOGV="1" LPOGX="0.73236" LPOGY="0.18604" LPOGV="1" RPOGX="0.45519" RPOGY="0.20460" RPOGV="1" BPOGX="0.59378" BPOGY="0.19532" BPOGV="1" LPCX="0.26125" LPCY="0.60401" LPD="16.66763" LPS="1.10635" LPV="1" RPCX="0.50744" RPCY="0.58645" RPD="18.77459" RPS="1.10635" RPV="1" LEYEX="-0.06437" LEYEY="-0.02393" LEYEZ="0.69960" LPUPILD="0.00360" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.61248" FPOGY="0.18867" FPOGS="529.85913" FPOGD="0.18140" FPOGID="1775" FPOGV="1" LPOGX="0.75058" LPOGY="0.23451" LPOGV="1" RPOGX="0.46125" RPOGY="0.20266" RPOGV="1" BPOGX="0.60591" BPOGY="0.21858" BPOGV="1" LPCX="0.26126" LPCY="0.60402" LPD="16.62787" LPS="1.11531" LPV="1" RPCX="0.50724" RPCY="0.58628" RPD="18.45995" RPS="1.11531" RPV="1" LEYEX="-0.06437" LEYEY="-0.02393" LEYEZ="0.69960" LPUPILD="0.00359" LPUPILV="1" REYEX="0.00174" REYEY="-0.01951" REYEZ="0.68095" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
