2025-05-29 11:53:40.322978
84" REYEZ="0.65218" RPUPILD="0.00625" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67330" LPOGY="0.20099" LPOGV="0" RPOGX="0.38160" RPOGY="0.93046" RPOGV="0" BPOGX="0.38160" BPOGY="0.93046" BPOGV="0" LPCX="0.33329" LPCY="0.60674" LPD="14.59517" LPS="1.02740" LPV="0" RPCX="0.36962" RPCY="0.69224" RPD="7.36820" RPS="1.02740" RPV="0" LEYEX="-0.04182" LEYEY="-0.02290" LEYEZ="0.65393" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01426" REYEY="-0.02145" REYEZ="0.68419" RPUPILD="0.00286" RPUPILV="1" BKID="1074" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.26351" FPOGY="0.28227" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.67331" LPOGY="0.20115" LPOGV="1" RPOGX="0.38075" RPOGY="0.92793" RPOGV="1" BPOGX="0.52703" BPOGY="0.56454" BPOGV="1" LPCX="0.33471" LPCY="0.60566" LPD="18.20813" LPS="1.03530" LPV="1" RPCX="0.55647" RPCY="0.59356" RPD="25.95361" RPS="1.04339" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00410" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00621" RPUPILV="1" BKID="0" BKDUR="0.04673" BKPMIN="9" />
<REC FPOGX="0.35642" FPOGY="0.17849" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.61382" LPOGY="-0.04441" LPOGV="1" RPOGX="0.47066" RPOGY="-0.01374" RPOGV="1" BPOGX="0.54224" BPOGY="-0.02908" BPOGV="1" LPCX="0.33479" LPCY="0.60568" LPD="18.32966" LPS="1.05130" LPV="1" RPCX="0.55648" RPCY="0.59365" RPD="25.94085" RPS="1.05939" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00407" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54131" FPOGY="0.16513" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.62906" LPOGY="-0.05598" LPOGV="1" RPOGX="0.48028" RPOGY="-0.02414" RPOGV="1" BPOGX="0.55467" BPOGY="-0.04006" BPOGV="1" LPCX="0.33488" LPCY="0.60576" LPD="18.18412" LPS="1.06729" LPV="1" RPCX="0.55647" RPCY="0.59369" RPD="25.97910" RPS="1.07538" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00412" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00623" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54796" FPOGY="0.05421" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.62833" LPOGY="-0.07275" LPOGV="1" RPOGX="0.48088" RPOGY="-0.04069" RPOGV="1" BPOGX="0.55461" BPOGY="-0.05672" BPOGV="1" LPCX="0.33486" LPCY="0.60565" LPD="18.04426" LPS="1.08328" LPV="1" RPCX="0.55652" RPCY="0.59366" RPD="25.80888" RPS="1.09137" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00407" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00622" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.55313" FPOGY="0.00928" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.62445" LPOGY="-0.06036" LPOGV="1" RPOGX="0.50251" RPOGY="-0.10080" RPOGV="1" BPOGX="0.56348" BPOGY="-0.08058" BPOGV="1" LPCX="0.33531" LPCY="0.60592" LPD="17.82960" LPS="1.09137" LPV="1" RPCX="0.55679" RPCY="0.59373" RPD="25.62760" RPS="1.09137" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00408" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00618" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.56894" FPOGY="-0.06007" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.65144" LPOGY="-0.01977" LPOGV="1" RPOGX="0.52604" RPOGY="-0.06603" RPOGV="1" BPOGX="0.58874" BPOGY="-0.04290" BPOGV="1" LPCX="0.33551" LPCY="0.60606" LPD="17.54324" LPS="1.09137" LPV="1" RPCX="0.55725" RPCY="0.59370" RPD="25.26842" RPS="1.09137" RPV="1" LEYEX="-0.04346" LEYEY="-0.02426" LEYEZ="0.68829" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01447" REYEY="-0.02116" REYEZ="0.67484" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.57874" FPOGY="-0.04743" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.65165" LPOGY="-0.01188" LPOGV="1" RPOGX="0.52544" RPOGY="-0.05771" RPOGV="1" BPOGX="0.58854" BPOGY="-0.03480" BPOGV="1" LPCX="0.33582" LPCY="0.60619" LPD="17.76865" LPS="1.08347" LPV="1" RPCX="0.55732" RPCY="0.59378" RPD="25.26475" RPS="1.08347" RPV="1" LEYEX="-0.04183" LEYEY="-0.02349" LEYEZ="0.66491" LPUPILD="0.00403" LPUPILV="1" REYEX="0.01487" REYEY="-0.02143" REYEZ="0.68367" RPUPILD="0.00622" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.57818" FPOGY="-0.04848" FPOGS="6572.14990" FPOGD="0.06494" FPOGID="17128" FPOGV="0" LPOGX="0.63047" LPOGY="-0.03345" LPOGV="1" RPOGX="0.52365" RPOGY="-0.06768" RPOGV="1" BPOGX="0.57706" BPOGY="-0.05056" BPOGV="1" LPCX="0.33573" LPCY="0.60604" LPD="17.86466" LPS="1.07556" LPV="1" RPCX="0.55724" RPCY="0.59384" RPD="25.44018" RPS="1.07556" RPV="1" LEYEX="-0.04183" LEYEY="-0.02349" LEYEZ="0.66491" LPUPILD="0.00404" LPUPILV="1" REYEX="0.01487" REYEY="-0.02143" REYEZ="0.68367" RPUPILD="0.00620" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58114" FPOGY="-0.04143" FPOGS="6572.31055" FPOGD="0.02002" FPOGID="17129" FPOGV="1" LPOGX="0.64075" LPOGY="-0.01279" LPOGV="1" RPOGX="0.53931" RPOGY="-0.02780" RPOGV="1" BPOGX="0.59003" BPOGY="-0.02029" BPOGV="1" LPCX="0.33582" LPCY="0.60616" LPD="17.84978" LPS="1.06766" LPV="1" RPCX="0.55729" RPCY="0.59395" RPD="25.40882" RPS="1.06766" RPV="1" LEYEX="-0.04183" LEYEY="-0.02349" LEYEZ="0.66491" LPUPILD="0.00399" LPUPILV="1" REYEX="0.01487" REYEY="-0.02143" REYEZ="0.68367" RPUPILD="0.00622" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
