2025-05-28 12:29:49.307549
EYEZ="0.62624" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="1.03911" FPOGY="0.50353" FPOGS="2376.55688" FPOGD="0.08008" FPOGID="5950" FPOGV="1" LPOGX="1.12103" LPOGY="0.33811" LPOGV="1" RPOGX="1.00376" RPOGY="0.57094" RPOGV="1" BPOGX="1.06239" BPOGY="0.45452" BPOGV="1" LPCX="0.38292" LPCY="0.47414" LPD="23.41901" LPS="0.94168" LPV="1" RPCX="0.66660" RPCY="0.51952" RPD="22.53304" RPS="0.94168" RPV="1" LEYEX="-0.03041" LEYEY="0.00372" LEYEZ="0.64386" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04030" FPOGY="0.50111" FPOGS="2376.55688" FPOGD="0.08691" FPOGID="5950" FPOGV="1" LPOGX="1.13298" LPOGY="0.33589" LPOGV="1" RPOGX="0.97849" RPOGY="0.60338" RPOGV="1" BPOGX="1.05573" BPOGY="0.46963" BPOGV="1" LPCX="0.38292" LPCY="0.47414" LPD="23.41901" LPS="0.94168" LPV="1" RPCX="0.66669" RPCY="0.51957" RPD="22.69838" RPS="0.94168" RPV="1" LEYEX="-0.03041" LEYEY="0.00372" LEYEZ="0.64386" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04156" FPOGY="0.49869" FPOGS="2376.55688" FPOGD="0.09302" FPOGID="5950" FPOGV="1" LPOGX="1.13618" LPOGY="0.32972" LPOGV="1" RPOGX="0.98240" RPOGY="0.59991" RPOGV="1" BPOGX="1.05929" BPOGY="0.46482" BPOGV="1" LPCX="0.38292" LPCY="0.47414" LPD="23.41901" LPS="0.94870" LPV="1" RPCX="0.66665" RPCY="0.51954" RPD="22.62061" RPS="0.94870" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04256" FPOGY="0.49765" FPOGS="2376.55688" FPOGD="0.09961" FPOGID="5950" FPOGV="1" LPOGX="1.12575" LPOGY="0.31178" LPOGV="1" RPOGX="0.98919" RPOGY="0.65230" RPOGV="1" BPOGX="1.05747" BPOGY="0.48204" BPOGV="1" LPCX="0.38298" LPCY="0.47406" LPD="23.58731" LPS="0.95573" LPV="1" RPCX="0.66651" RPCY="0.51970" RPD="22.08876" RPS="0.95573" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00417" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00468" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04360" FPOGY="0.49543" FPOGS="2376.55688" FPOGD="0.10718" FPOGID="5950" FPOGV="1" LPOGX="1.12660" LPOGY="0.32892" LPOGV="1" RPOGX="0.99386" RPOGY="0.59091" RPOGV="1" BPOGX="1.06023" BPOGY="0.45991" BPOGV="1" LPCX="0.38301" LPCY="0.47411" LPD="23.24823" LPS="0.96276" LPV="1" RPCX="0.66664" RPCY="0.51973" RPD="22.17622" RPS="0.96276" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00418" LPUPILV="1" REYEX="0.03850" REYEY="-0.00462" REYEZ="0.62856" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04463" FPOGY="0.49327" FPOGS="2376.55688" FPOGD="0.11377" FPOGID="5950" FPOGV="1" LPOGX="1.12969" LPOGY="0.32284" LPOGV="1" RPOGX="0.99455" RPOGY="0.59030" RPOGV="1" BPOGX="1.06212" BPOGY="0.45657" BPOGV="1" LPCX="0.38304" LPCY="0.47409" LPD="23.26428" LPS="0.96978" LPV="1" RPCX="0.66672" RPCY="0.51973" RPD="21.99604" RPS="0.96399" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00419" LPUPILV="1" REYEX="0.03712" REYEY="-0.00445" REYEZ="0.60523" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04555" FPOGY="0.49163" FPOGS="2376.55688" FPOGD="0.12061" FPOGID="5950" FPOGV="1" LPOGX="1.12926" LPOGY="0.32655" LPOGV="1" RPOGX="0.99506" RPOGY="0.59764" RPOGV="1" BPOGX="1.06216" BPOGY="0.46210" BPOGV="1" LPCX="0.38315" LPCY="0.47412" LPD="23.32847" LPS="0.96399" LPV="1" RPCX="0.66678" RPCY="0.51976" RPD="22.05891" RPS="0.95820" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00419" LPUPILV="1" REYEX="0.03712" REYEY="-0.00445" REYEZ="0.60523" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04654" FPOGY="0.49055" FPOGS="2376.55688" FPOGD="0.12720" FPOGID="5950" FPOGV="1" LPOGX="1.13087" LPOGY="0.33026" LPOGV="1" RPOGX="0.99976" RPOGY="0.60995" RPOGV="1" BPOGX="1.06531" BPOGY="0.47011" BPOGV="1" LPCX="0.38313" LPCY="0.47409" LPD="23.23080" LPS="0.95820" LPV="1" RPCX="0.66680" RPCY="0.51974" RPD="22.03299" RPS="0.95241" RPV="1" LEYEX="-0.03064" LEYEY="0.00380" LEYEZ="0.64962" LPUPILD="0.00421" LPUPILV="1" REYEX="0.03712" REYEY="-0.00445" REYEZ="0.60523" RPUPILD="0.00468" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04705" FPOGY="0.49005" FPOGS="2376.55688" FPOGD="0.13379" FPOGID="5950" FPOGV="1" LPOGX="1.12516" LPOGY="0.34136" LPOGV="1" RPOGX="0.98941" RPOGY="0.61864" RPOGV="1" BPOGX="1.05728" BPOGY="0.48000" BPOGV="1" LPCX="0.38313" LPCY="0.47407" LPD="23.31024" LPS="0.94539" LPV="1" RPCX="0.66689" RPCY="0.51976" RPD="22.08032" RPS="0.93436" RPV="1" LEYEX="-0.03039" LEYEY="0.00378" LEYEZ="0.64537" LPUPILD="0.00420" LPUPILV="1" REYEX="0.03632" REYEY="-0.00435" REYEZ="0.59142" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.04708" FPOGY="0.49106" FPOGS="2376.55688" FPOGD="0.14062" FPOGID="5950" FPOGV="1" LPOGX="1.12132" LPOGY="0.41577" LPOGV="1" RPOGX="0.97417" RPOGY="0.60881" RPOGV="1" BPOGX="1.04775" BPOGY="0.51229" BPOGV="1" LPCX="0.38324" LPCY="0.47405" LPD="23.42019" LPS="0.92733" LPV="1" RPCX="0.66692" RPCY="0.51973" RPD="22.15918" RPS="0.92210" RPV="1" LEYEX="-0.03039" LEYEY="0.00378" LEYEZ="0.64537" LPUPILD="0.00418" LPUPILV="1" REYEX="0.03632" REYEY="-0.00435" REYEZ="0.59142" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
