2025-06-09 11:33:04.573009
EZ="0.65889" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="42" />
<REC FPOGX="0.49116" FPOGY="0.26254" FPOGS="302.74982" FPOGD="0.02017" FPOGID="1093" FPOGV="1" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.49913" RPOGY="0.26258" RPOGV="1" BPOGX="0.49913" BPOGY="0.26258" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98831" LPV="0" RPCX="0.69675" RPCY="0.48985" RPD="21.91038" RPS="0.98831" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04822" REYEY="0.00043" REYEZ="0.64059" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.49109" FPOGY="0.25116" FPOGS="302.74982" FPOGD="0.02655" FPOGID="1093" FPOGV="1" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.49080" RPOGY="0.20561" RPOGV="1" BPOGX="0.49080" BPOGY="0.20561" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98831" LPV="0" RPCX="0.69658" RPCY="0.48992" RPD="21.92385" RPS="0.98112" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04822" REYEY="0.00043" REYEZ="0.64059" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.49077" FPOGY="0.23473" FPOGS="302.74982" FPOGD="0.03363" FPOGID="1093" FPOGV="1" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.48915" RPOGY="0.15257" RPOGV="1" BPOGX="0.48915" BPOGY="0.15257" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.98112" LPV="0" RPCX="0.69654" RPCY="0.48986" RPD="22.00257" RPS="0.97393" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04822" REYEY="0.00043" REYEZ="0.64059" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.49048" FPOGY="0.22398" FPOGS="302.74982" FPOGD="0.03998" FPOGID="1093" FPOGV="1" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.48879" RPOGY="0.15947" RPOGV="1" BPOGX="0.48879" BPOGY="0.15947" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.97393" LPV="0" RPCX="0.69650" RPCY="0.48991" RPD="21.99539" RPS="0.96674" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48887" FPOGY="0.21546" FPOGS="302.74982" FPOGD="0.04645" FPOGID="1093" FPOGV="1" LPOGX="0.76966" LPOGY="0.75850" LPOGV="0" RPOGX="0.47754" RPOGY="0.15588" RPOGV="1" BPOGX="0.47754" BPOGY="0.15588" BPOGV="1" LPCX="0.43362" LPCY="0.50439" LPD="6.08714" LPS="0.96674" LPV="0" RPCX="0.69645" RPCY="0.48993" RPD="22.00944" RPS="0.96674" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00197" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48460" FPOGY="0.21348" FPOGS="302.74982" FPOGD="0.05319" FPOGID="1093" FPOGV="1" LPOGX="0.43344" LPOGY="0.23826" LPOGV="1" RPOGX="0.46741" RPOGY="0.15693" RPOGV="1" BPOGX="0.45042" BPOGY="0.19759" BPOGV="1" LPCX="0.42798" LPCY="0.49943" LPD="19.10894" LPS="0.96674" LPV="1" RPCX="0.69648" RPCY="0.48994" RPD="21.87362" RPS="0.96674" RPV="1" LEYEX="-0.01592" LEYEY="-0.00114" LEYEZ="0.63557" LPUPILD="0.00387" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.48118" FPOGY="0.21189" FPOGS="302.74982" FPOGD="0.06161" FPOGID="1093" FPOGV="1" LPOGX="0.43344" LPOGY="0.23826" LPOGV="1" RPOGX="0.46741" RPOGY="0.15693" RPOGV="1" BPOGX="0.45042" BPOGY="0.19759" BPOGV="1" LPCX="0.42774" LPCY="0.49935" LPD="19.53013" LPS="0.96674" LPV="1" RPCX="0.69636" RPCY="0.48993" RPD="21.80657" RPS="0.96674" RPV="1" LEYEX="-0.01704" LEYEY="-0.00144" LEYEZ="0.63835" LPUPILD="0.00388" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.47948" FPOGY="0.21040" FPOGS="302.74982" FPOGD="0.06702" FPOGID="1093" FPOGV="1" LPOGX="0.46365" LPOGY="0.20419" LPOGV="1" RPOGX="0.46146" RPOGY="0.18692" RPOGV="1" BPOGX="0.46255" BPOGY="0.19556" BPOGV="1" LPCX="0.42764" LPCY="0.49936" LPD="19.66645" LPS="0.96674" LPV="1" RPCX="0.69627" RPCY="0.48988" RPD="21.82653" RPS="0.96674" RPV="1" LEYEX="-0.01704" LEYEY="-0.00144" LEYEZ="0.63835" LPUPILD="0.00389" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.47766" FPOGY="0.20872" FPOGS="302.74982" FPOGD="0.07410" FPOGID="1093" FPOGV="1" LPOGX="0.46137" LPOGY="0.20606" LPOGV="1" RPOGX="0.45378" RPOGY="0.17429" RPOGV="1" BPOGX="0.45758" BPOGY="0.19018" BPOGV="1" LPCX="0.42762" LPCY="0.49932" LPD="19.74789" LPS="0.96674" LPV="1" RPCX="0.69627" RPCY="0.48986" RPD="21.70196" RPS="0.96674" RPV="1" LEYEX="-0.01704" LEYEY="-0.00144" LEYEZ="0.63835" LPUPILD="0.00387" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
<REC FPOGX="0.47611" FPOGY="0.20729" FPOGS="302.74982" FPOGD="0.08054" FPOGID="1093" FPOGV="1" LPOGX="0.46137" LPOGY="0.20606" LPOGV="1" RPOGX="0.45378" RPOGY="0.17429" RPOGV="1" BPOGX="0.45758" BPOGY="0.19018" BPOGV="1" LPCX="0.42763" LPCY="0.49923" LPD="19.58955" LPS="0.96674" LPV="1" RPCX="0.69624" RPCY="0.48987" RPD="21.61920" RPS="0.96674" RPV="1" LEYEX="-0.01704" LEYEY="-0.00144" LEYEZ="0.63835" LPUPILD="0.00387" LPUPILV="1" REYEX="0.04806" REYEY="0.00038" REYEZ="0.63848" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="41" />
