2025-06-12 10:40:23.586997
01" REYEZ="0.52747" RPUPILD="0.00336" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.35363" FPOGY="0.41496" FPOGS="2141.46680" FPOGD="0.10767" FPOGID="5239" FPOGV="1" LPOGX="0.34590" LPOGY="0.37929" LPOGV="1" RPOGX="0.35054" RPOGY="0.39910" RPOGV="1" BPOGX="0.34822" BPOGY="0.38919" BPOGV="1" LPCX="0.36965" LPCY="0.69123" LPD="14.65337" LPS="0.89260" LPV="1" RPCX="0.62490" RPCY="0.66553" RPD="12.15852" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00354" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00298" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35377" FPOGY="0.41363" FPOGS="2141.46680" FPOGD="0.11426" FPOGID="5239" FPOGV="1" LPOGX="0.35911" LPOGY="0.42427" LPOGV="1" RPOGX="0.35343" RPOGY="0.35794" RPOGV="1" BPOGX="0.35627" BPOGY="0.39111" BPOGV="1" LPCX="0.37004" LPCY="0.69112" LPD="14.33125" LPS="0.89260" LPV="1" RPCX="0.62534" RPCY="0.66544" RPD="12.30348" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00309" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35375" FPOGY="0.41277" FPOGS="2141.46680" FPOGD="0.12109" FPOGID="5239" FPOGV="1" LPOGX="0.36134" LPOGY="0.44163" LPOGV="1" RPOGX="0.34540" RPOGY="0.35285" RPOGV="1" BPOGX="0.35337" BPOGY="0.39724" BPOGV="1" LPCX="0.37003" LPCY="0.69121" LPD="14.68992" LPS="0.89260" LPV="1" RPCX="0.62501" RPCY="0.66563" RPD="11.74069" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00342" LPUPILV="1" REYEX="0.02924" REYEY="-0.03197" REYEZ="0.60549" RPUPILD="0.00299" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35373" FPOGY="0.41199" FPOGS="2141.46680" FPOGD="0.12769" FPOGID="5239" FPOGV="1" LPOGX="0.36134" LPOGY="0.44163" LPOGV="1" RPOGX="0.34540" RPOGY="0.35285" RPOGV="1" BPOGX="0.35337" BPOGY="0.39724" BPOGV="1" LPCX="0.36986" LPCY="0.69132" LPD="15.07239" LPS="0.89260" LPV="1" RPCX="0.62539" RPCY="0.66555" RPD="12.46483" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00336" LPUPILV="1" REYEX="0.02945" REYEY="-0.03206" REYEZ="0.60813" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35384" FPOGY="0.41130" FPOGS="2141.46680" FPOGD="0.13599" FPOGID="5239" FPOGV="1" LPOGX="0.34973" LPOGY="0.37294" LPOGV="1" RPOGX="0.36227" RPOGY="0.42208" RPOGV="1" BPOGX="0.35600" BPOGY="0.39751" BPOGV="1" LPCX="0.37016" LPCY="0.69124" LPD="14.60701" LPS="0.89260" LPV="1" RPCX="0.62551" RPCY="0.66559" RPD="12.91538" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00370" LPUPILV="1" REYEX="0.02945" REYEY="-0.03206" REYEZ="0.60813" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35345" FPOGY="0.41217" FPOGS="2141.46680" FPOGD="0.14136" FPOGID="5239" FPOGV="1" LPOGX="0.32971" LPOGY="0.44675" LPOGV="1" RPOGX="0.36075" RPOGY="0.41408" RPOGV="1" BPOGX="0.34523" BPOGY="0.43041" BPOGV="1" LPCX="0.36998" LPCY="0.69123" LPD="14.88284" LPS="0.89260" LPV="1" RPCX="0.62509" RPCY="0.66563" RPD="12.90061" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02945" REYEY="-0.03206" REYEZ="0.60813" RPUPILD="0.00302" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35309" FPOGY="0.41297" FPOGS="2141.46680" FPOGD="0.14746" FPOGID="5239" FPOGV="1" LPOGX="0.32971" LPOGY="0.44675" LPOGV="1" RPOGX="0.36075" RPOGY="0.41408" RPOGV="1" BPOGX="0.34523" BPOGY="0.43041" BPOGV="1" LPCX="0.36985" LPCY="0.69133" LPD="15.23498" LPS="0.89260" LPV="1" RPCX="0.62508" RPCY="0.66550" RPD="12.16312" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00332" LPUPILV="1" REYEX="0.02927" REYEY="-0.03196" REYEZ="0.60622" RPUPILD="0.00306" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35253" FPOGY="0.41199" FPOGS="2141.46680" FPOGD="0.15405" FPOGID="5239" FPOGV="1" LPOGX="0.33587" LPOGY="0.38605" LPOGV="1" RPOGX="0.34337" RPOGY="0.39326" RPOGV="1" BPOGX="0.33962" BPOGY="0.38965" BPOGV="1" LPCX="0.36997" LPCY="0.69128" LPD="14.74196" LPS="0.89260" LPV="1" RPCX="0.62498" RPCY="0.66534" RPD="11.85313" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00339" LPUPILV="1" REYEX="0.02927" REYEY="-0.03196" REYEZ="0.60622" RPUPILD="0.00309" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35202" FPOGY="0.41204" FPOGS="2141.46680" FPOGD="0.16113" FPOGID="5239" FPOGV="1" LPOGX="0.33279" LPOGY="0.39317" LPOGV="1" RPOGX="0.34648" RPOGY="0.43288" RPOGV="1" BPOGX="0.33964" BPOGY="0.41303" BPOGV="1" LPCX="0.36972" LPCY="0.69126" LPD="14.82027" LPS="0.89260" LPV="1" RPCX="0.62502" RPCY="0.66554" RPD="13.03689" RPS="0.89260" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00353" LPUPILV="1" REYEX="0.02927" REYEY="-0.03196" REYEZ="0.60622" RPUPILD="0.00302" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35153" FPOGY="0.41199" FPOGS="2141.46680" FPOGD="0.16772" FPOGID="5239" FPOGV="1" LPOGX="0.33279" LPOGY="0.39317" LPOGV="1" RPOGX="0.34593" RPOGY="0.42856" RPOGV="1" BPOGX="0.33936" BPOGY="0.41087" BPOGV="1" LPCX="0.36945" LPCY="0.69138" LPD="15.00850" LPS="0.89260" LPV="1" RPCX="0.62491" RPCY="0.66544" RPD="11.98104" RPS="0.89839" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00348" LPUPILV="1" REYEX="0.02991" REYEY="-0.03262" REYEZ="0.61859" RPUPILD="0.00304" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35106" FPOGY="0.41150" FPOGS="2141.46680" FPOGD="0.17456" FPOGID="5239" FPOGV="1" LPOGX="0.33388" LPOGY="0.43403" LPOGV="1" RPOGX="0.34399" RPOGY="0.36372" RPOGV="1" BPOGX="0.33894" BPOGY="0.39888" BPOGV="1" LPCX="0.36986" LPCY="0.69129" LPD="15.19440" LPS="0.89839" LPV="1" RPCX="0.62490" RPCY="0.66530" RPD="12.02317" RPS="0.90418" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00350" LPUPILV="1" REYEX="0.02991" REYEY="-0.03262" REYEZ="0.61859" RPUPILD="0.00298" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35053" FPOGY="0.40997" FPOGS="2141.46680" FPOGD="0.18188" FPOGID="5239" FPOGV="1" LPOGX="0.32665" LPOGY="0.37479" LPOGV="1" RPOGX="0.34555" RPOGY="0.36216" RPOGV="1" BPOGX="0.33610" BPOGY="0.36848" BPOGV="1" LPCX="0.36964" LPCY="0.69123" LPD="15.02096" LPS="0.90418" LPV="1" RPCX="0.62506" RPCY="0.66525" RPD="11.81310" RPS="0.90997" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02991" REYEY="-0.03262" REYEZ="0.61859" RPUPILD="0.00303" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.35000" FPOGY="0.40854" FPOGS="2141.46680" FPOGD="0.18823" FPOGID="5239" FPOGV="1" LPOGX="0.32447" LPOGY="0.37065" LPOGV="1" RPOGX="0.34605" RPOGY="0.36640" RPOGV="1" BPOGX="0.33526" BPOGY="0.36853" BPOGV="1" LPCX="0.36942" LPCY="0.69135" LPD="15.29561" LPS="0.90997" LPV="1" RPCX="0.62480" RPCY="0.66532" RPD="11.88100" RPS="0.90473" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00336" LPUPILV="1" REYEX="0.02846" REYEY="-0.03117" REYEZ="0.59036" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34949" FPOGY="0.40771" FPOGS="2141.46680" FPOGD="0.19482" FPOGID="5239" FPOGV="1" LPOGX="0.31357" LPOGY="0.40948" LPOGV="1" RPOGX="0.35602" RPOGY="0.35761" RPOGV="1" BPOGX="0.33480" BPOGY="0.38355" BPOGV="1" LPCX="0.36978" LPCY="0.69139" LPD="15.17453" LPS="0.90473" LPV="1" RPCX="0.62509" RPCY="0.66539" RPD="11.67644" RPS="0.89370" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00347" LPUPILV="1" REYEX="0.02846" REYEY="-0.03117" REYEZ="0.59036" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.34914" FPOGY="0.40734" FPOGS="2141.46680" FPOGD="0.20142" FPOGID="5239" FPOGV="1" LPOGX="0.32798" LPOGY="0.39763" LPOGV="1" RPOGX="0.34874" RPOGY="0.39500" RPOGV="1" BPOGX="0.33836" BPOGY="0.39631" BPOGV="1" LPCX="0.36981" LPCY="0.69138" LPD="15.09126" LPS="0.89370" LPV="1" RPCX="0.62530" RPCY="0.66542" RPD="11.89781" RPS="0.88267" RPV="1" LEYEX="-0.03010" LEYEY="-0.03751" LEYEZ="0.62043" LPUPILD="0.00354" LPUPILV="1" REYEX="0.02846" REYEY="-0.03117" REYEZ="0.59036" RPUPILD="0.00316" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
