2025-05-27 11:21:09.184898
 REYEZ="0.51221" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.80153" FPOGY="0.13468" FPOGS="4189.27734" FPOGD="0.05371" FPOGID="11542" FPOGV="1" LPOGX="0.80510" LPOGY="0.15757" LPOGV="1" RPOGX="0.81109" RPOGY="0.07887" RPOGV="1" BPOGX="0.80809" BPOGY="0.11822" BPOGV="1" LPCX="0.09237" LPCY="0.41933" LPD="25.43631" LPS="0.57867" LPV="1" RPCX="0.40140" RPCY="0.41358" RPD="25.96189" RPS="0.57867" RPV="1" LEYEX="-0.07789" LEYEY="0.01034" LEYEZ="0.49434" LPUPILD="0.00460" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80183" FPOGY="0.13188" FPOGS="4189.27734" FPOGD="0.06055" FPOGID="11542" FPOGV="1" LPOGX="0.81612" LPOGY="0.14610" LPOGV="1" RPOGX="0.79301" RPOGY="0.06709" RPOGV="1" BPOGX="0.80457" BPOGY="0.10660" BPOGV="1" LPCX="0.09270" LPCY="0.41907" LPD="25.76819" LPS="0.58098" LPV="1" RPCX="0.40197" RPCY="0.41342" RPD="26.13788" RPS="0.58098" RPV="1" LEYEX="-0.07789" LEYEY="0.01034" LEYEZ="0.49434" LPUPILD="0.00441" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80216" FPOGY="0.12922" FPOGS="4189.27734" FPOGD="0.06641" FPOGID="11542" FPOGV="1" LPOGX="0.81663" LPOGY="0.14227" LPOGV="1" RPOGX="0.79433" RPOGY="0.06315" RPOGV="1" BPOGX="0.80548" BPOGY="0.10271" BPOGV="1" LPCX="0.09286" LPCY="0.41905" LPD="25.75174" LPS="0.58329" LPV="1" RPCX="0.40205" RPCY="0.41326" RPD="26.20288" RPS="0.58329" RPV="1" LEYEX="-0.07726" LEYEY="0.01028" LEYEZ="0.49128" LPUPILD="0.00443" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80202" FPOGY="0.12939" FPOGS="4189.27734" FPOGD="0.07373" FPOGID="11542" FPOGV="1" LPOGX="0.79611" LPOGY="0.17408" LPOGV="1" RPOGX="0.80484" RPOGY="0.08844" RPOGV="1" BPOGX="0.80048" BPOGY="0.13126" BPOGV="1" LPCX="0.09325" LPCY="0.41941" LPD="26.16288" LPS="0.58329" LPV="1" RPCX="0.40239" RPCY="0.41295" RPD="26.28700" RPS="0.58329" RPV="1" LEYEX="-0.07726" LEYEY="0.01028" LEYEZ="0.49128" LPUPILD="0.00452" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80240" FPOGY="0.12898" FPOGS="4189.27734" FPOGD="0.08008" FPOGID="11542" FPOGV="1" LPOGX="0.81350" LPOGY="0.17362" LPOGV="1" RPOGX="0.80038" RPOGY="0.07447" RPOGV="1" BPOGX="0.80694" BPOGY="0.12404" BPOGV="1" LPCX="0.09351" LPCY="0.41920" LPD="26.08783" LPS="0.58329" LPV="1" RPCX="0.40273" RPCY="0.41308" RPD="25.81318" RPS="0.58329" RPV="1" LEYEX="-0.07726" LEYEY="0.01028" LEYEZ="0.49128" LPUPILD="0.00440" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80285" FPOGY="0.12819" FPOGS="4189.27734" FPOGD="0.08691" FPOGID="11542" FPOGV="1" LPOGX="0.81403" LPOGY="0.16966" LPOGV="1" RPOGX="0.80328" RPOGY="0.06606" RPOGV="1" BPOGX="0.80865" BPOGY="0.11786" BPOGV="1" LPCX="0.09360" LPCY="0.41913" LPD="25.60032" LPS="0.58576" LPV="1" RPCX="0.40289" RPCY="0.41312" RPD="26.23425" RPS="0.58829" RPV="1" LEYEX="-0.07943" LEYEY="0.01058" LEYEZ="0.50579" LPUPILD="0.00445" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80316" FPOGY="0.12785" FPOGS="4189.27734" FPOGD="0.09375" FPOGID="11542" FPOGV="1" LPOGX="0.80132" LPOGY="0.16418" LPOGV="1" RPOGX="0.81374" RPOGY="0.08195" RPOGV="1" BPOGX="0.80753" BPOGY="0.12307" BPOGV="1" LPCX="0.09394" LPCY="0.41934" LPD="26.31049" LPS="0.59076" LPV="1" RPCX="0.40339" RPCY="0.41264" RPD="26.41408" RPS="0.59329" RPV="1" LEYEX="-0.07943" LEYEY="0.01058" LEYEZ="0.50579" LPUPILD="0.00447" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80408" FPOGY="0.12680" FPOGS="4189.27734" FPOGD="0.10059" FPOGID="11542" FPOGV="1" LPOGX="0.82239" LPOGY="0.14965" LPOGV="1" RPOGX="0.81345" RPOGY="0.07262" RPOGV="1" BPOGX="0.81792" BPOGY="0.11114" BPOGV="1" LPCX="0.09406" LPCY="0.41933" LPD="25.82866" LPS="0.59576" LPV="1" RPCX="0.40346" RPCY="0.41285" RPD="26.59711" RPS="0.59829" RPV="1" LEYEX="-0.07943" LEYEY="0.01058" LEYEZ="0.50579" LPUPILD="0.00454" LPUPILV="1" REYEX="-0.01997" REYEY="0.01114" REYEZ="0.49165" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80497" FPOGY="0.12552" FPOGS="4189.27734" FPOGD="0.10742" FPOGID="11542" FPOGV="1" LPOGX="0.82350" LPOGY="0.14160" LPOGV="1" RPOGX="0.81490" RPOGY="0.06857" RPOGV="1" BPOGX="0.81920" BPOGY="0.10508" BPOGV="1" LPCX="0.09434" LPCY="0.41913" LPD="25.63501" LPS="0.60076" LPV="1" RPCX="0.40380" RPCY="0.41287" RPD="26.54453" RPS="0.60076" RPV="1" LEYEX="-0.07792" LEYEY="0.01040" LEYEZ="0.49717" LPUPILD="0.00447" LPUPILV="1" REYEX="-0.01923" REYEY="0.01108" REYEZ="0.48581" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.80520" FPOGY="0.12490" FPOGS="4189.27734" FPOGD="0.11426" FPOGID="11542" FPOGV="1" LPOGX="0.80125" LPOGY="0.15466" LPOGV="1" RPOGX="0.81683" RPOGY="0.07389" RPOGV="1" BPOGX="0.80904" BPOGY="0.11427" BPOGV="1" LPCX="0.09461" LPCY="0.41910" LPD="25.70905" LPS="0.60076" LPV="1" RPCX="0.40401" RPCY="0.41264" RPD="26.00843" RPS="0.59824" RPV="1" LEYEX="-0.07792" LEYEY="0.01040" LEYEZ="0.49717" LPUPILD="0.00458" LPUPILV="1" REYEX="-0.01923" REYEY="0.01108" REYEZ="0.48581" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
