2025-05-27 11:27:24.961974
8" REYEZ="0.50632" RPUPILD="0.00447" RPUPILV="1" BKID="895" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.90883" FPOGY="-0.27697" FPOGS="4565.02539" FPOGD="0.06689" FPOGID="12873" FPOGV="1" LPOGX="0.90121" LPOGY="-0.18333" LPOGV="1" RPOGX="0.90802" RPOGY="-0.36160" RPOGV="1" BPOGX="0.90461" BPOGY="-0.27246" BPOGV="1" LPCX="0.32081" LPCY="0.49960" LPD="22.02460" LPS="0.61723" LPV="1" RPCX="0.61641" RPCY="0.49368" RPD="22.06189" RPS="0.61452" RPV="1" LEYEX="-0.03526" LEYEY="-0.00251" LEYEZ="0.49886" LPUPILD="0.00428" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90842" FPOGY="-0.27594" FPOGS="4565.02539" FPOGD="0.07373" FPOGID="12873" FPOGV="1" LPOGX="0.90115" LPOGY="-0.17528" LPOGV="1" RPOGX="0.90661" RPOGY="-0.35384" RPOGV="1" BPOGX="0.90388" BPOGY="-0.26456" BPOGV="1" LPCX="0.32086" LPCY="0.50032" LPD="22.01551" LPS="0.61187" LPV="1" RPCX="0.61638" RPCY="0.49391" RPD="22.05559" RPS="0.60916" RPV="1" LEYEX="-0.03526" LEYEY="-0.00251" LEYEZ="0.49886" LPUPILD="0.00425" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90804" FPOGY="-0.27484" FPOGS="4565.02539" FPOGD="0.08057" FPOGID="12873" FPOGV="1" LPOGX="0.90026" LPOGY="-0.16943" LPOGV="1" RPOGX="0.90661" RPOGY="-0.35384" RPOGV="1" BPOGX="0.90344" BPOGY="-0.26164" BPOGV="1" LPCX="0.32102" LPCY="0.50114" LPD="22.00922" LPS="0.60916" LPV="1" RPCX="0.61649" RPCY="0.49424" RPD="22.02743" RPS="0.60916" RPV="1" LEYEX="-0.03595" LEYEY="-0.00302" LEYEZ="0.51025" LPUPILD="0.00426" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90862" FPOGY="-0.27443" FPOGS="4565.02539" FPOGD="0.08691" FPOGID="12873" FPOGV="1" LPOGX="0.91590" LPOGY="-0.19374" LPOGV="1" RPOGX="0.91642" RPOGY="-0.34461" RPOGV="1" BPOGX="0.91616" BPOGY="-0.26918" BPOGV="1" LPCX="0.32122" LPCY="0.50235" LPD="21.86823" LPS="0.61181" LPV="1" RPCX="0.61645" RPCY="0.49473" RPD="22.00182" RPS="0.61452" RPV="1" LEYEX="-0.03595" LEYEY="-0.00302" LEYEZ="0.51025" LPUPILD="0.00431" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90920" FPOGY="-0.27508" FPOGS="4565.02539" FPOGD="0.09375" FPOGID="12873" FPOGV="1" LPOGX="0.90635" LPOGY="-0.20379" LPOGV="1" RPOGX="0.92839" RPOGY="-0.36443" RPOGV="1" BPOGX="0.91737" BPOGY="-0.28411" BPOGV="1" LPCX="0.32127" LPCY="0.50309" LPD="21.93121" LPS="0.61717" LPV="1" RPCX="0.61652" RPCY="0.49509" RPD="22.06544" RPS="0.61988" RPV="1" LEYEX="-0.03595" LEYEY="-0.00302" LEYEZ="0.51025" LPUPILD="0.00432" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.90989" FPOGY="-0.27638" FPOGS="4565.02539" FPOGD="0.10059" FPOGID="12873" FPOGV="1" LPOGX="0.90813" LPOGY="-0.21553" LPOGV="1" RPOGX="0.93219" RPOGY="-0.37637" RPOGV="1" BPOGX="0.92016" BPOGY="-0.29595" BPOGV="1" LPCX="0.32148" LPCY="0.50385" LPD="22.05080" LPS="0.62252" LPV="1" RPCX="0.61661" RPCY="0.49542" RPD="21.94321" RPS="0.62523" RPV="1" LEYEX="-0.03563" LEYEY="-0.00342" LEYEZ="0.50671" LPUPILD="0.00426" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91075" FPOGY="-0.27823" FPOGS="4565.02539" FPOGD="0.10742" FPOGID="12873" FPOGV="1" LPOGX="0.91350" LPOGY="-0.23635" LPOGV="1" RPOGX="0.93549" RPOGY="-0.37931" RPOGV="1" BPOGX="0.92449" BPOGY="-0.30783" BPOGV="1" LPCX="0.32179" LPCY="0.50504" LPD="21.92230" LPS="0.62523" LPV="1" RPCX="0.61675" RPCY="0.49601" RPD="21.80779" RPS="0.62523" RPV="1" LEYEX="-0.03563" LEYEY="-0.00342" LEYEZ="0.50671" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91161" FPOGY="-0.27930" FPOGS="4565.02539" FPOGD="0.11377" FPOGID="12873" FPOGV="1" LPOGX="0.92464" LPOGY="-0.21170" LPOGV="1" RPOGX="0.92788" RPOGY="-0.38330" RPOGV="1" BPOGX="0.92626" BPOGY="-0.29750" BPOGV="1" LPCX="0.32200" LPCY="0.50561" LPD="21.70453" LPS="0.62523" LPV="1" RPCX="0.61680" RPCY="0.49642" RPD="21.90632" RPS="0.62523" RPV="1" LEYEX="-0.03563" LEYEY="-0.00342" LEYEZ="0.50671" LPUPILD="0.00426" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91226" FPOGY="-0.27979" FPOGS="4565.02539" FPOGD="0.12012" FPOGID="12873" FPOGV="1" LPOGX="0.92369" LPOGY="-0.20591" LPOGV="1" RPOGX="0.92412" RPOGY="-0.37129" RPOGV="1" BPOGX="0.92391" BPOGY="-0.28860" BPOGV="1" LPCX="0.32213" LPCY="0.50632" LPD="22.08449" LPS="0.62259" LPV="1" RPCX="0.61695" RPCY="0.49691" RPD="22.04083" RPS="0.61988" RPV="1" LEYEX="-0.03518" LEYEY="-0.00373" LEYEZ="0.50199" LPUPILD="0.00424" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.91257" FPOGY="-0.27933" FPOGS="4565.02539" FPOGD="0.12744" FPOGID="12873" FPOGV="1" LPOGX="0.91315" LPOGY="-0.20121" LPOGV="1" RPOGX="0.92389" RPOGY="-0.33998" RPOGV="1" BPOGX="0.91852" BPOGY="-0.27059" BPOGV="1" LPCX="0.32256" LPCY="0.50735" LPD="21.76089" LPS="0.61723" LPV="1" RPCX="0.61719" RPCY="0.49776" RPD="21.81502" RPS="0.61452" RPV="1" LEYEX="-0.03518" LEYEY="-0.00373" LEYEZ="0.50199" LPUPILD="0.00429" LPUPILV="1" REYEX="0.01784" REYEY="0.00053" REYEZ="0.50426" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
