2025-05-29 11:07:36.257424
EYEZ="0.56329" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56705" FPOGY="0.28421" FPOGS="3807.69946" FPOGD="0.59619" FPOGID="9339" FPOGV="1" LPOGX="0.62990" LPOGY="0.39850" LPOGV="1" RPOGX="0.48911" RPOGY="0.21775" RPOGV="1" BPOGX="0.55950" BPOGY="0.30812" BPOGV="1" LPCX="0.38289" LPCY="0.48282" LPD="20.80575" LPS="0.77061" LPV="1" RPCX="0.65691" RPCY="0.49393" RPD="21.44459" RPS="0.77496" RPV="1" LEYEX="-0.02539" LEYEY="0.00162" LEYEZ="0.56725" LPUPILD="0.00390" LPUPILV="1" REYEX="0.03464" REYEY="-0.00073" REYEZ="0.57620" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56700" FPOGY="0.28416" FPOGS="3807.69946" FPOGD="0.60278" FPOGID="9339" FPOGV="1" LPOGX="0.66191" LPOGY="0.43310" LPOGV="1" RPOGX="0.49734" RPOGY="0.17488" RPOGV="1" BPOGX="0.57963" BPOGY="0.30399" BPOGV="1" LPCX="0.38317" LPCY="0.48280" LPD="20.85604" LPS="0.77496" LPV="1" RPCX="0.65727" RPCY="0.49408" RPD="21.76902" RPS="0.77496" RPV="1" LEYEX="-0.02539" LEYEY="0.00162" LEYEZ="0.56725" LPUPILD="0.00380" LPUPILV="1" REYEX="0.03464" REYEY="-0.00073" REYEZ="0.57620" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56659" FPOGY="0.28474" FPOGS="3807.69946" FPOGD="0.60938" FPOGID="9339" FPOGV="1" LPOGX="0.63066" LPOGY="0.43123" LPOGV="1" RPOGX="0.49250" RPOGY="0.22174" RPOGV="1" BPOGX="0.56158" BPOGY="0.32649" BPOGV="1" LPCX="0.38341" LPCY="0.48284" LPD="20.78082" LPS="0.77496" LPV="1" RPCX="0.65744" RPCY="0.49415" RPD="21.80934" RPS="0.77496" RPV="1" LEYEX="-0.02539" LEYEY="0.00162" LEYEZ="0.56725" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03464" REYEY="-0.00073" REYEZ="0.57620" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56617" FPOGY="0.28543" FPOGS="3807.69946" FPOGD="0.61597" FPOGID="9339" FPOGV="1" LPOGX="0.63066" LPOGY="0.43123" LPOGV="1" RPOGX="0.49220" RPOGY="0.22660" RPOGV="1" BPOGX="0.56143" BPOGY="0.32892" BPOGV="1" LPCX="0.38367" LPCY="0.48281" LPD="20.83345" LPS="0.77496" LPV="1" RPCX="0.65766" RPCY="0.49397" RPD="21.36462" RPS="0.77061" RPV="1" LEYEX="-0.02529" LEYEY="0.00162" LEYEZ="0.56889" LPUPILD="0.00390" LPUPILV="1" REYEX="0.03390" REYEY="-0.00072" REYEZ="0.56175" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56614" FPOGY="0.28569" FPOGS="3807.69946" FPOGD="0.62280" FPOGID="9339" FPOGV="1" LPOGX="0.66141" LPOGY="0.43532" LPOGV="1" RPOGX="0.49550" RPOGY="0.19120" RPOGV="1" BPOGX="0.57846" BPOGY="0.31326" BPOGV="1" LPCX="0.38396" LPCY="0.48272" LPD="21.03843" LPS="0.77061" LPV="1" RPCX="0.65803" RPCY="0.49414" RPD="21.68533" RPS="0.76626" RPV="1" LEYEX="-0.02529" LEYEY="0.00162" LEYEZ="0.56889" LPUPILD="0.00382" LPUPILV="1" REYEX="0.03390" REYEY="-0.00072" REYEZ="0.56175" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56569" FPOGY="0.28637" FPOGS="3807.69946" FPOGD="0.63013" FPOGID="9339" FPOGV="1" LPOGX="0.62187" LPOGY="0.42544" LPOGV="1" RPOGX="0.48750" RPOGY="0.20070" RPOGV="1" BPOGX="0.55469" BPOGY="0.31307" BPOGV="1" LPCX="0.38402" LPCY="0.48280" LPD="20.93595" LPS="0.76626" LPV="1" RPCX="0.65819" RPCY="0.49415" RPD="21.84460" RPS="0.76192" RPV="1" LEYEX="-0.02529" LEYEY="0.00162" LEYEZ="0.56889" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03390" REYEY="-0.00072" REYEZ="0.56175" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56524" FPOGY="0.28704" FPOGS="3807.69946" FPOGD="0.63599" FPOGID="9339" FPOGV="1" LPOGX="0.62220" LPOGY="0.42908" LPOGV="1" RPOGX="0.48750" RPOGY="0.20070" RPOGV="1" BPOGX="0.55485" BPOGY="0.31489" BPOGV="1" LPCX="0.38433" LPCY="0.48275" LPD="21.00578" LPS="0.76192" LPV="1" RPCX="0.65839" RPCY="0.49407" RPD="21.45916" RPS="0.76192" RPV="1" LEYEX="-0.02499" LEYEY="0.00166" LEYEZ="0.56604" LPUPILD="0.00387" LPUPILV="1" REYEX="0.03511" REYEY="-0.00074" REYEZ="0.57957" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56515" FPOGY="0.28824" FPOGS="3807.69946" FPOGD="0.64258" FPOGID="9339" FPOGV="1" LPOGX="0.65311" LPOGY="0.43174" LPOGV="1" RPOGX="0.49107" RPOGY="0.18704" RPOGV="1" BPOGX="0.57209" BPOGY="0.30939" BPOGV="1" LPCX="0.38466" LPCY="0.48248" LPD="20.14091" LPS="0.76192" LPV="1" RPCX="0.65888" RPCY="0.49406" RPD="21.77178" RPS="0.76626" RPV="1" LEYEX="-0.02499" LEYEY="0.00166" LEYEZ="0.56604" LPUPILD="0.00393" LPUPILV="1" REYEX="0.03511" REYEY="-0.00074" REYEZ="0.57957" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56502" FPOGY="0.28911" FPOGS="3807.69946" FPOGD="0.64893" FPOGID="9339" FPOGV="1" LPOGX="0.63521" LPOGY="0.42076" LPOGV="1" RPOGX="0.50649" RPOGY="0.18590" RPOGV="1" BPOGX="0.57085" BPOGY="0.30333" BPOGV="1" LPCX="0.38472" LPCY="0.48242" LPD="20.29028" LPS="0.76626" LPV="1" RPCX="0.65894" RPCY="0.49408" RPD="21.79853" RPS="0.77061" RPV="1" LEYEX="-0.02499" LEYEY="0.00166" LEYEZ="0.56604" LPUPILD="0.00391" LPUPILV="1" REYEX="0.03511" REYEY="-0.00074" REYEZ="0.57957" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56489" FPOGY="0.28993" FPOGS="3807.69946" FPOGD="0.65552" FPOGID="9339" FPOGV="1" LPOGX="0.63519" LPOGY="0.42038" LPOGV="1" RPOGX="0.50653" RPOGY="0.18537" RPOGV="1" BPOGX="0.57086" BPOGY="0.30288" BPOGV="1" LPCX="0.38500" LPCY="0.48245" LPD="20.32182" LPS="0.76672" LPV="1" RPCX="0.65904" RPCY="0.49418" RPD="21.58213" RPS="0.77107" RPV="1" LEYEX="-0.02391" LEYEY="0.00159" LEYEZ="0.54438" LPUPILD="0.00390" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.58086" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56454" FPOGY="0.29053" FPOGS="3807.69946" FPOGD="0.66235" FPOGID="9339" FPOGV="1" LPOGX="0.63690" LPOGY="0.42041" LPOGV="1" RPOGX="0.47923" RPOGY="0.20272" RPOGV="1" BPOGX="0.55807" BPOGY="0.31156" BPOGV="1" LPCX="0.38518" LPCY="0.48243" LPD="20.36494" LPS="0.76717" LPV="1" RPCX="0.65943" RPCY="0.49417" RPD="21.56040" RPS="0.76717" RPV="1" LEYEX="-0.02391" LEYEY="0.00159" LEYEZ="0.54438" LPUPILD="0.00390" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.58086" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56447" FPOGY="0.29116" FPOGS="3807.69946" FPOGD="0.66992" FPOGID="9339" FPOGV="1" LPOGX="0.65392" LPOGY="0.41449" LPOGV="1" RPOGX="0.49342" RPOGY="0.19399" RPOGV="1" BPOGX="0.57367" BPOGY="0.30424" BPOGV="1" LPCX="0.38538" LPCY="0.48247" LPD="20.32516" LPS="0.76328" LPV="1" RPCX="0.65960" RPCY="0.49418" RPD="21.53611" RPS="0.76328" RPV="1" LEYEX="-0.02391" LEYEY="0.00159" LEYEZ="0.54438" LPUPILD="0.00393" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.58086" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56440" FPOGY="0.29171" FPOGS="3807.69946" FPOGD="0.67651" FPOGID="9339" FPOGV="1" LPOGX="0.65377" LPOGY="0.41083" LPOGV="1" RPOGX="0.49372" RPOGY="0.18902" RPOGV="1" BPOGX="0.57375" BPOGY="0.29992" BPOGV="1" LPCX="0.38544" LPCY="0.48224" LPD="20.49769" LPS="0.76752" LPV="1" RPCX="0.65969" RPCY="0.49431" RPD="21.76719" RPS="0.76752" RPV="1" LEYEX="-0.02590" LEYEY="0.00177" LEYEZ="0.59157" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.57797" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56462" FPOGY="0.29205" FPOGS="3807.69946" FPOGD="0.68262" FPOGID="9339" FPOGV="1" LPOGX="0.62529" LPOGY="0.39509" LPOGV="1" RPOGX="0.49401" RPOGY="0.18582" RPOGV="1" BPOGX="0.55965" BPOGY="0.29046" BPOGV="1" LPCX="0.38580" LPCY="0.48220" LPD="20.55863" LPS="0.77567" LPV="1" RPCX="0.65983" RPCY="0.49406" RPD="21.08897" RPS="0.77567" RPV="1" LEYEX="-0.02590" LEYEY="0.00177" LEYEZ="0.59157" LPUPILD="0.00383" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.57797" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56455" FPOGY="0.29250" FPOGS="3807.69946" FPOGD="0.68945" FPOGID="9339" FPOGV="1" LPOGX="0.63234" LPOGY="0.40335" LPOGV="1" RPOGX="0.47968" RPOGY="0.18218" RPOGV="1" BPOGX="0.55601" BPOGY="0.29276" BPOGV="1" LPCX="0.38588" LPCY="0.48228" LPD="20.27241" LPS="0.78381" LPV="1" RPCX="0.66008" RPCY="0.49424" RPD="21.72577" RPS="0.78381" RPV="1" LEYEX="-0.02590" LEYEY="0.00177" LEYEZ="0.59157" LPUPILD="0.00387" LPUPILV="1" REYEX="0.03536" REYEY="-0.00074" REYEZ="0.57797" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56449" FPOGY="0.29275" FPOGS="3807.69946" FPOGD="0.69653" FPOGID="9339" FPOGV="1" LPOGX="0.63210" LPOGY="0.40004" LPOGV="1" RPOGX="0.48013" RPOGY="0.17216" RPOGV="1" BPOGX="0.55612" BPOGY="0.28610" BPOGV="1" LPCX="0.38612" LPCY="0.48210" LPD="20.28840" LPS="0.78771" LPV="1" RPCX="0.66031" RPCY="0.49417" RPD="21.42264" RPS="0.79247" RPV="1" LEYEX="-0.02505" LEYEY="0.00168" LEYEZ="0.57517" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03656" REYEY="-0.00076" REYEZ="0.59534" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56445" FPOGY="0.29261" FPOGS="3807.69946" FPOGD="0.70337" FPOGID="9339" FPOGV="1" LPOGX="0.65459" LPOGY="0.37209" LPOGV="1" RPOGX="0.49914" RPOGY="0.16356" RPOGV="1" BPOGX="0.57686" BPOGY="0.26783" BPOGV="1" LPCX="0.38629" LPCY="0.48219" LPD="20.53053" LPS="0.78822" LPV="1" RPCX="0.66040" RPCY="0.49425" RPD="21.51969" RPS="0.79298" RPV="1" LEYEX="-0.02505" LEYEY="0.00168" LEYEZ="0.57517" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03656" REYEY="-0.00076" REYEZ="0.59534" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56444" FPOGY="0.29262" FPOGS="3807.69946" FPOGD="0.70996" FPOGID="9339" FPOGV="1" LPOGX="0.63895" LPOGY="0.38644" LPOGV="1" RPOGX="0.48403" RPOGY="0.17770" RPOGV="1" BPOGX="0.56149" BPOGY="0.28207" BPOGV="1" LPCX="0.38635" LPCY="0.48214" LPD="20.26401" LPS="0.78873" LPV="1" RPCX="0.66053" RPCY="0.49424" RPD="21.52825" RPS="0.79349" RPV="1" LEYEX="-0.02505" LEYEY="0.00168" LEYEZ="0.57517" LPUPILD="0.00386" LPUPILV="1" REYEX="0.03656" REYEY="-0.00076" REYEZ="0.59534" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56443" FPOGY="0.29256" FPOGS="3807.69946" FPOGD="0.71680" FPOGID="9339" FPOGV="1" LPOGX="0.63892" LPOGY="0.38599" LPOGV="1" RPOGX="0.48379" RPOGY="0.18258" RPOGV="1" BPOGX="0.56136" BPOGY="0.28429" BPOGV="1" LPCX="0.38651" LPCY="0.48209" LPD="20.31920" LPS="0.78925" LPV="1" RPCX="0.66069" RPCY="0.49432" RPD="21.59943" RPS="0.78925" RPV="1" LEYEX="-0.02471" LEYEY="0.00175" LEYEZ="0.56919" LPUPILD="0.00388" LPUPILV="1" REYEX="0.03593" REYEY="-0.00075" REYEZ="0.58445" RPUPILD="0.00432" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.56429" FPOGY="0.29206" FPOGS="3807.69946" FPOGD="0.72363" FPOGID="9339" FPOGV="1" LPOGX="0.62547" LPOGY="0.37126" LPOGV="1" RPOGX="0.47691" RPOGY="0.13647" RPOGV="1" BPOGX="0.55119" BPOGY="0.25386" BPOGV="1" LPCX="0.38662" LPCY="0.48223" LPD="20.40717" LPS="0.78925" LPV="1" RPCX="0.66093" RPCY="0.49432" RPD="21.65859" RPS="0.78448" RPV="1" LEYEX="-0.02471" LEYEY="0.00175" LEYEZ="0.56919" LPUPILD="0.00385" LPUPILV="1" REYEX="0.03593" REYEY="-0.00075" REYEZ="0.58445" RPUPILD="0.00431" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
