2025-05-27 15:01:01.465699
="-0.06821" LEYEY="-0.01524" LEYEZ="0.63703" LPUPILD="0.00413" LPUPILV="1" REYEX="-0.01073" REYEY="-0.01953" REYEZ="0.65918" RPUPILD="0.00408" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83745" FPOGY="0.12321" FPOGS="4972.69580" FPOGD="0.16211" FPOGID="11908" FPOGV="1" LPOGX="0.92278" LPOGY="0.26064" LPOGV="1" RPOGX="0.74932" RPOGY="0.00216" RPOGV="1" BPOGX="0.83605" BPOGY="0.13140" BPOGV="1" LPCX="0.22631" LPCY="0.57084" LPD="18.03053" LPS="0.91711" LPV="1" RPCX="0.46407" RPCY="0.59027" RPD="18.81558" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00414" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83739" FPOGY="0.12353" FPOGS="4972.69580" FPOGD="0.16797" FPOGID="11908" FPOGV="1" LPOGX="0.92278" LPOGY="0.26064" LPOGV="1" RPOGX="0.74932" RPOGY="0.00216" RPOGV="1" BPOGX="0.83605" BPOGY="0.13140" BPOGV="1" LPCX="0.22620" LPCY="0.57106" LPD="18.06062" LPS="0.91711" LPV="1" RPCX="0.46406" RPCY="0.59031" RPD="18.81395" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00406" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83627" FPOGY="0.12396" FPOGS="4972.69580" FPOGD="0.17480" FPOGID="11908" FPOGV="1" LPOGX="0.90085" LPOGY="0.25040" LPOGV="1" RPOGX="0.71341" RPOGY="0.02017" RPOGV="1" BPOGX="0.80713" BPOGY="0.13528" BPOGV="1" LPCX="0.22602" LPCY="0.57126" LPD="18.50199" LPS="0.91711" LPV="1" RPCX="0.46367" RPCY="0.59029" RPD="18.36173" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83602" FPOGY="0.12457" FPOGS="4972.69580" FPOGD="0.18115" FPOGID="11908" FPOGV="1" LPOGX="0.92378" LPOGY="0.26098" LPOGV="1" RPOGX="0.73461" RPOGY="0.02103" RPOGV="1" BPOGX="0.82919" BPOGY="0.14100" BPOGV="1" LPCX="0.22591" LPCY="0.57118" LPD="18.57243" LPS="0.91711" LPV="1" RPCX="0.46343" RPCY="0.59032" RPD="18.50653" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00401" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83578" FPOGY="0.12514" FPOGS="4972.69580" FPOGD="0.18799" FPOGID="11908" FPOGV="1" LPOGX="0.92378" LPOGY="0.26098" LPOGV="1" RPOGX="0.73461" RPOGY="0.02103" RPOGV="1" BPOGX="0.82919" BPOGY="0.14100" BPOGV="1" LPCX="0.22565" LPCY="0.57138" LPD="18.39076" LPS="0.91711" LPV="1" RPCX="0.46344" RPCY="0.59033" RPD="18.69008" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00404" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00419" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83562" FPOGY="0.12497" FPOGS="4972.69580" FPOGD="0.19482" FPOGID="11908" FPOGV="1" LPOGX="0.92145" LPOGY="0.21821" LPOGV="1" RPOGX="0.74037" RPOGY="0.02175" RPOGV="1" BPOGX="0.83091" BPOGY="0.11998" BPOGV="1" LPCX="0.22557" LPCY="0.57138" LPD="18.37717" LPS="0.91711" LPV="1" RPCX="0.46314" RPCY="0.59054" RPD="18.48498" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00402" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83542" FPOGY="0.12492" FPOGS="4972.69580" FPOGD="0.20117" FPOGID="11908" FPOGV="1" LPOGX="0.92435" LPOGY="0.22923" LPOGV="1" RPOGX="0.73448" RPOGY="0.01781" RPOGV="1" BPOGX="0.82942" BPOGY="0.12352" BPOGV="1" LPCX="0.22541" LPCY="0.57134" LPD="18.18640" LPS="0.91711" LPV="1" RPCX="0.46300" RPCY="0.59074" RPD="18.56351" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00404" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83523" FPOGY="0.12488" FPOGS="4972.69580" FPOGD="0.20801" FPOGID="11908" FPOGV="1" LPOGX="0.92435" LPOGY="0.22923" LPOGV="1" RPOGX="0.73448" RPOGY="0.01781" RPOGV="1" BPOGX="0.82942" BPOGY="0.12352" BPOGV="1" LPCX="0.22527" LPCY="0.57138" LPD="18.26923" LPS="0.91711" LPV="1" RPCX="0.46287" RPCY="0.59089" RPD="18.41752" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00403" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83508" FPOGY="0.12555" FPOGS="4972.69580" FPOGD="0.21484" FPOGID="11908" FPOGV="1" LPOGX="0.91446" LPOGY="0.25940" LPOGV="1" RPOGX="0.74574" RPOGY="0.03498" RPOGV="1" BPOGX="0.83010" BPOGY="0.14719" BPOGV="1" LPCX="0.22503" LPCY="0.57159" LPD="18.34326" LPS="0.91711" LPV="1" RPCX="0.46270" RPCY="0.59092" RPD="18.45477" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00401" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.83535" FPOGY="0.12567" FPOGS="4972.69580" FPOGD="0.22119" FPOGID="11908" FPOGV="1" LPOGX="0.93796" LPOGY="0.27518" LPOGV="1" RPOGX="0.75067" RPOGY="-0.01579" RPOGV="1" BPOGX="0.84432" BPOGY="0.12969" BPOGV="1" LPCX="0.22494" LPCY="0.57161" LPD="18.33338" LPS="0.91711" LPV="1" RPCX="0.46256" RPCY="0.59078" RPD="18.74497" RPS="0.91711" RPV="1" LEYEX="-0.06605" LEYEY="-0.01524" LEYEZ="0.62343" LPUPILD="0.00404" LPUPILV="1" REYEX="-0.01011" REYEY="-0.02043" REYEZ="0.66433" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
