2025-06-09 11:36:50.260679
0.58066" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.85641" FPOGY="0.34444" FPOGS="527.40985" FPOGD="0.07941" FPOGID="1990" FPOGV="1" LPOGX="0.99540" LPOGY="0.37653" LPOGV="1" RPOGX="0.99722" RPOGY="0.36290" RPOGV="1" BPOGX="0.99631" BPOGY="0.36972" BPOGV="1" LPCX="0.52458" LPCY="0.34021" LPD="25.73629" LPS="0.80966" LPV="1" RPCX="0.81700" RPCY="0.35632" RPD="30.13538" RPS="0.80966" RPV="1" LEYEX="0.00451" LEYEY="0.02778" LEYEZ="0.59546" LPUPILD="0.00460" LPUPILV="1" REYEX="0.06878" REYEY="0.02434" REYEZ="0.58066" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="1.10168" FPOGY="0.47016" FPOGS="528.25934" FPOGD="0.12085" FPOGID="1995" FPOGV="0" LPOGX="1.08868" LPOGY="0.48062" LPOGV="1" RPOGX="1.15306" RPOGY="0.39972" RPOGV="1" BPOGX="1.12087" BPOGY="0.44017" BPOGV="1" LPCX="0.52823" LPCY="0.34055" LPD="26.90071" LPS="0.71406" LPV="1" RPCX="0.82094" RPCY="0.35659" RPD="30.54234" RPS="0.73549" RPV="1" LEYEX="0.00480" LEYEY="0.02710" LEYEZ="0.58184" LPUPILD="0.00469" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.11131" FPOGY="0.45730" FPOGS="528.38721" FPOGD="0.02057" FPOGID="1996" FPOGV="1" LPOGX="1.10262" LPOGY="0.45395" LPOGV="1" RPOGX="1.17780" RPOGY="0.38352" RPOGV="1" BPOGX="1.14021" BPOGY="0.41874" BPOGV="1" LPCX="0.52830" LPCY="0.34048" LPD="26.60367" LPS="0.73549" LPV="1" RPCX="0.82096" RPCY="0.35661" RPD="30.62640" RPS="0.75400" RPV="1" LEYEX="0.00480" LEYEY="0.02710" LEYEZ="0.58184" LPUPILD="0.00471" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.12136" FPOGY="0.44665" FPOGS="528.38721" FPOGD="0.02692" FPOGID="1996" FPOGV="1" LPOGX="1.12374" LPOGY="0.44400" LPOGV="1" RPOGX="1.19940" RPOGY="0.36409" RPOGV="1" BPOGX="1.16157" BPOGY="0.40405" BPOGV="1" LPCX="0.52840" LPCY="0.34044" LPD="26.64542" LPS="0.75400" LPV="1" RPCX="0.82092" RPCY="0.35657" RPD="30.75336" RPS="0.77252" RPV="1" LEYEX="0.00480" LEYEY="0.02710" LEYEZ="0.58184" LPUPILD="0.00472" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.13038" FPOGY="0.43675" FPOGS="528.38721" FPOGD="0.03363" FPOGID="1996" FPOGV="1" LPOGX="1.13411" LPOGY="0.42665" LPOGV="1" RPOGX="1.21678" RPOGY="0.34792" RPOGV="1" BPOGX="1.17545" BPOGY="0.38728" BPOGV="1" LPCX="0.52847" LPCY="0.34041" LPD="26.65641" LPS="0.77252" LPV="1" RPCX="0.82095" RPCY="0.35649" RPD="30.47872" RPS="0.79104" RPV="1" LEYEX="0.00475" LEYEY="0.02685" LEYEZ="0.57559" LPUPILD="0.00471" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.13676" FPOGY="0.42783" FPOGS="528.38721" FPOGD="0.04028" FPOGID="1996" FPOGV="1" LPOGX="1.15332" LPOGY="0.39839" LPOGV="1" RPOGX="1.19678" RPOGY="0.35016" RPOGV="1" BPOGX="1.17505" BPOGY="0.37427" BPOGV="1" LPCX="0.52852" LPCY="0.34043" LPD="26.75598" LPS="0.79104" LPV="1" RPCX="0.82112" RPCY="0.35654" RPD="30.56381" RPS="0.79104" RPV="1" LEYEX="0.00475" LEYEY="0.02685" LEYEZ="0.57559" LPUPILD="0.00471" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00531" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.14013" FPOGY="0.42020" FPOGS="528.38721" FPOGD="0.04681" FPOGID="1996" FPOGV="1" LPOGX="1.13249" LPOGY="0.38785" LPOGV="1" RPOGX="1.19494" RPOGY="0.34569" RPOGV="1" BPOGX="1.16371" BPOGY="0.36677" BPOGV="1" LPCX="0.52862" LPCY="0.34033" LPD="26.62836" LPS="0.79104" LPV="1" RPCX="0.82117" RPCY="0.35661" RPD="30.56492" RPS="0.79104" RPV="1" LEYEX="0.00475" LEYEY="0.02685" LEYEZ="0.57559" LPUPILD="0.00472" LPUPILV="1" REYEX="0.06228" REYEY="0.02189" REYEZ="0.52484" RPUPILD="0.00531" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.14147" FPOGY="0.41560" FPOGS="528.38721" FPOGD="0.05341" FPOGID="1996" FPOGV="1" LPOGX="1.13018" LPOGY="0.39197" LPOGV="1" RPOGX="1.17417" RPOGY="0.36569" RPOGV="1" BPOGX="1.15217" BPOGY="0.37883" BPOGV="1" LPCX="0.52865" LPCY="0.34031" LPD="26.68040" LPS="0.78679" LPV="1" RPCX="0.82117" RPCY="0.35658" RPD="30.41388" RPS="0.76827" RPV="1" LEYEX="0.00474" LEYEY="0.02658" LEYEZ="0.56983" LPUPILD="0.00471" LPUPILV="1" REYEX="0.06124" REYEY="0.02154" REYEZ="0.51479" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
<REC FPOGX="1.10933" FPOGY="0.44994" FPOGS="528.38721" FPOGD="0.06006" FPOGID="1996" FPOGV="1" LPOGX="1.10197" LPOGY="0.40257" LPOGV="1" RPOGX="0.53831" RPOGY="1.11537" RPOGV="1" BPOGX="0.82014" BPOGY="0.75897" BPOGV="1" LPCX="0.52875" LPCY="0.34030" LPD="27.01706" LPS="0.76402" LPV="1" RPCX="0.79643" RPCY="0.35794" RPD="5.61662" RPS="0.74551" RPV="1" LEYEX="0.00474" LEYEY="0.02658" LEYEZ="0.56983" LPUPILD="0.00516" LPUPILV="1" REYEX="0.06124" REYEY="0.02154" REYEZ="0.51479" RPUPILD="0.00189" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="35" />
