2025-05-22 12:58:05.569538
10790" REYEZ="3.02247" RPUPILD="0.00496" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.52502" FPOGY="0.38413" FPOGS="6744.55811" FPOGD="1.11963" FPOGID="11046" FPOGV="1" LPOGX="0.58062" LPOGY="0.37793" LPOGV="1" RPOGX="0.46394" RPOGY="0.35401" RPOGV="1" BPOGX="0.52228" BPOGY="0.36597" BPOGV="1" LPCX="0.36828" LPCY="0.37426" LPD="32.53849" LPS="0.94284" LPV="1" RPCX="0.66425" RPCY="0.38338" RPD="32.22183" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00558" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52508" FPOGY="0.38345" FPOGS="6744.55811" FPOGD="1.12451" FPOGID="11046" FPOGV="1" LPOGX="0.57998" LPOGY="0.37338" LPOGV="1" RPOGX="0.46394" RPOGY="0.35413" RPOGV="1" BPOGX="0.52196" BPOGY="0.36375" BPOGV="1" LPCX="0.36837" LPCY="0.37416" LPD="32.58210" LPS="0.94913" LPV="1" RPCX="0.66443" RPCY="0.38331" RPD="32.18288" RPS="0.94269" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00570" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00554" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52551" FPOGY="0.38272" FPOGS="6744.55811" FPOGD="1.13135" FPOGID="11046" FPOGV="1" LPOGX="0.57554" LPOGY="0.40098" LPOGV="1" RPOGX="0.51790" RPOGY="0.33567" RPOGV="1" BPOGX="0.54672" BPOGY="0.36832" BPOGV="1" LPCX="0.36904" LPCY="0.37397" LPD="32.43782" LPS="0.94898" LPV="1" RPCX="0.66497" RPCY="0.38323" RPD="32.35082" RPS="0.94255" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00573" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00554" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52577" FPOGY="0.38177" FPOGS="6744.55811" FPOGD="1.13818" FPOGID="11046" FPOGV="1" LPOGX="0.57274" LPOGY="0.39578" LPOGV="1" RPOGX="0.50704" RPOGY="0.33055" RPOGV="1" BPOGX="0.53989" BPOGY="0.36316" BPOGV="1" LPCX="0.36897" LPCY="0.37392" LPD="32.51413" LPS="0.94883" LPV="1" RPCX="0.66478" RPCY="0.38330" RPD="32.09082" RPS="0.94240" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00573" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00556" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52603" FPOGY="0.38085" FPOGS="6744.55811" FPOGD="1.14502" FPOGID="11046" FPOGV="1" LPOGX="0.57275" LPOGY="0.39588" LPOGV="1" RPOGX="0.50662" RPOGY="0.33532" RPOGV="1" BPOGX="0.53969" BPOGY="0.36560" BPOGV="1" LPCX="0.36897" LPCY="0.37388" LPD="32.45489" LPS="0.94869" LPV="1" RPCX="0.66478" RPCY="0.38330" RPD="32.12362" RPS="0.93647" RPV="1" LEYEX="-0.03139" LEYEY="0.02320" LEYEZ="0.62865" LPUPILD="0.00573" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52625" FPOGY="0.38027" FPOGS="6744.55811" FPOGD="1.15137" FPOGID="11046" FPOGV="1" LPOGX="0.58536" LPOGY="0.35568" LPOGV="1" RPOGX="0.48139" RPOGY="0.34875" RPOGV="1" BPOGX="0.53338" BPOGY="0.35222" BPOGV="1" LPCX="0.36872" LPCY="0.37397" LPD="32.59240" LPS="0.93647" LPV="1" RPCX="0.66457" RPCY="0.38328" RPD="32.27074" RPS="0.93068" RPV="1" LEYEX="-0.03139" LEYEY="0.02320" LEYEZ="0.62865" LPUPILD="0.00570" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00557" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52656" FPOGY="0.37979" FPOGS="6744.55811" FPOGD="1.15869" FPOGID="11046" FPOGV="1" LPOGX="0.58705" LPOGY="0.36277" LPOGV="1" RPOGX="0.48310" RPOGY="0.35514" RPOGV="1" BPOGX="0.53508" BPOGY="0.35895" BPOGV="1" LPCX="0.36872" LPCY="0.37402" LPD="32.51415" LPS="0.93068" LPV="1" RPCX="0.66459" RPCY="0.38327" RPD="32.25782" RPS="0.92489" RPV="1" LEYEX="-0.03139" LEYEY="0.02320" LEYEZ="0.62865" LPUPILD="0.00570" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52688" FPOGY="0.37946" FPOGS="6744.55811" FPOGD="1.16553" FPOGID="11046" FPOGV="1" LPOGX="0.58761" LPOGY="0.36712" LPOGV="1" RPOGX="0.48283" RPOGY="0.35973" RPOGV="1" BPOGX="0.53522" BPOGY="0.36343" BPOGV="1" LPCX="0.36874" LPCY="0.37403" LPD="32.53339" LPS="0.92489" LPV="1" RPCX="0.66460" RPCY="0.38325" RPD="32.26175" RPS="0.91910" RPV="1" LEYEX="-0.03139" LEYEY="0.02315" LEYEZ="0.62865" LPUPILD="0.00570" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00554" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52737" FPOGY="0.37928" FPOGS="6744.55811" FPOGD="1.17139" FPOGID="11046" FPOGV="1" LPOGX="0.59476" LPOGY="0.38350" LPOGV="1" RPOGX="0.48790" RPOGY="0.36603" RPOGV="1" BPOGX="0.54133" BPOGY="0.37476" BPOGV="1" LPCX="0.36877" LPCY="0.37405" LPD="32.54271" LPS="0.91910" LPV="1" RPCX="0.66470" RPCY="0.38335" RPD="32.26099" RPS="0.91910" RPV="1" LEYEX="-0.03139" LEYEY="0.02315" LEYEZ="0.62865" LPUPILD="0.00569" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52793" FPOGY="0.37908" FPOGS="6744.55811" FPOGD="1.17871" FPOGID="11046" FPOGV="1" LPOGX="0.59225" LPOGY="0.38572" LPOGV="1" RPOGX="0.48801" RPOGY="0.37062" RPOGV="1" BPOGX="0.54013" BPOGY="0.37817" BPOGV="1" LPCX="0.36878" LPCY="0.37407" LPD="32.61735" LPS="0.91910" LPV="1" RPCX="0.66469" RPCY="0.38337" RPD="32.34270" RPS="0.91910" RPV="1" LEYEX="-0.03139" LEYEY="0.02315" LEYEZ="0.62865" LPUPILD="0.00568" LPUPILV="1" REYEX="0.03869" REYEY="0.02083" REYEZ="0.61434" RPUPILD="0.00556" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52848" FPOGY="0.37874" FPOGS="6744.55811" FPOGD="1.18506" FPOGID="11046" FPOGV="1" LPOGX="0.59225" LPOGY="0.38572" LPOGV="1" RPOGX="0.48832" RPOGY="0.36609" RPOGV="1" BPOGX="0.54029" BPOGY="0.37591" BPOGV="1" LPCX="0.36878" LPCY="0.37404" LPD="32.70518" LPS="0.91910" LPV="1" RPCX="0.66470" RPCY="0.38340" RPD="32.25669" RPS="0.92489" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00569" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00557" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52908" FPOGY="0.37828" FPOGS="6744.55811" FPOGD="1.19189" FPOGID="11046" FPOGV="1" LPOGX="0.59760" LPOGY="0.37820" LPOGV="1" RPOGX="0.49974" RPOGY="0.36921" RPOGV="1" BPOGX="0.54867" BPOGY="0.37370" BPOGV="1" LPCX="0.36882" LPCY="0.37403" LPD="32.65432" LPS="0.92489" LPV="1" RPCX="0.66476" RPCY="0.38336" RPD="32.22066" RPS="0.93068" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00571" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00556" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52955" FPOGY="0.37758" FPOGS="6744.55811" FPOGD="1.19873" FPOGID="11046" FPOGV="1" LPOGX="0.57104" LPOGY="0.36953" LPOGV="1" RPOGX="0.50632" RPOGY="0.36305" RPOGV="1" BPOGX="0.53868" BPOGY="0.36629" BPOGV="1" LPCX="0.36886" LPCY="0.37404" LPD="32.77410" LPS="0.93068" LPV="1" RPCX="0.66478" RPCY="0.38335" RPD="32.25486" RPS="0.93647" RPV="1" LEYEX="-0.03139" LEYEY="0.02310" LEYEZ="0.62865" LPUPILD="0.00569" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00556" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.53001" FPOGY="0.37679" FPOGS="6744.55811" FPOGD="1.20508" FPOGID="11046" FPOGV="1" LPOGX="0.57038" LPOGY="0.36524" LPOGV="1" RPOGX="0.50673" RPOGY="0.35857" RPOGV="1" BPOGX="0.53856" BPOGY="0.36191" BPOGV="1" LPCX="0.36886" LPCY="0.37399" LPD="32.72269" LPS="0.93647" LPV="1" RPCX="0.66480" RPCY="0.38337" RPD="32.26628" RPS="0.94225" RPV="1" LEYEX="-0.03151" LEYEY="0.02324" LEYEZ="0.63097" LPUPILD="0.00570" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00557" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.53048" FPOGY="0.37593" FPOGS="6744.55811" FPOGD="1.21289" FPOGID="11046" FPOGV="1" LPOGX="0.56975" LPOGY="0.35888" LPOGV="1" RPOGX="0.51523" RPOGY="0.35298" RPOGV="1" BPOGX="0.54249" BPOGY="0.35593" BPOGV="1" LPCX="0.36897" LPCY="0.37405" LPD="32.83283" LPS="0.94225" LPV="1" RPCX="0.66492" RPCY="0.38336" RPD="32.36505" RPS="0.94225" RPV="1" LEYEX="-0.03151" LEYEY="0.02324" LEYEZ="0.63097" LPUPILD="0.00574" LPUPILV="1" REYEX="0.17712" REYEY="0.09729" REYEZ="2.86998" RPUPILD="0.00557" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="14" />
