2025-06-09 10:03:26.377444
9" LEYEZ="0.59321" LPUPILD="0.00265" LPUPILV="1" REYEX="0.05145" REYEY="-0.02155" REYEZ="0.58510" RPUPILD="0.00265" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.37600" FPOGY="0.69314" FPOGS="2039.81189" FPOGD="0.02576" FPOGID="5998" FPOGV="1" LPOGX="0.37997" LPOGY="0.68621" LPOGV="1" RPOGX="0.46519" RPOGY="0.80656" RPOGV="0" BPOGX="0.37997" BPOGY="0.68621" BPOGV="1" LPCX="0.71987" LPCY="0.61676" LPD="12.50689" LPS="0.83452" LPV="1" RPCX="0.72800" RPCY="0.61678" RPD="8.11297" RPS="0.83452" RPV="0" LEYEX="0.05218" LEYEY="-0.02245" LEYEZ="0.60835" LPUPILD="0.00264" LPUPILV="1" REYEX="0.05145" REYEY="-0.02155" REYEZ="0.58510" RPUPILD="0.00265" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.87978" FPOGY="0.84713" FPOGS="2040.65491" FPOGD="0.09387" FPOGID="6004" FPOGV="1" LPOGX="0.89504" LPOGY="0.91272" LPOGV="1" RPOGX="0.77644" RPOGY="0.84434" RPOGV="1" BPOGX="0.83574" BPOGY="0.87853" BPOGV="1" LPCX="0.47251" LPCY="0.62395" LPD="12.18048" LPS="0.81343" LPV="1" RPCX="0.73121" RPCY="0.61610" RPD="12.21072" RPS="0.81343" RPV="1" LEYEX="-0.00712" LEYEY="-0.02360" LEYEZ="0.60871" LPUPILD="0.00262" LPUPILV="1" REYEX="0.20240" REYEY="-0.08731" REYEZ="2.38546" RPUPILD="0.00387" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.88105" FPOGY="0.84640" FPOGS="2040.65491" FPOGD="0.10059" FPOGID="6004" FPOGV="1" LPOGX="0.90353" LPOGY="0.89861" LPOGV="1" RPOGX="0.89680" RPOGY="0.77227" RPOGV="1" BPOGX="0.90017" BPOGY="0.83544" BPOGV="1" LPCX="0.47222" LPCY="0.62362" LPD="11.78965" LPS="0.81343" LPV="1" RPCX="0.73096" RPCY="0.61627" RPD="12.59456" RPS="0.81343" RPV="1" LEYEX="-0.00712" LEYEY="-0.02360" LEYEZ="0.60871" LPUPILD="0.00263" LPUPILV="1" REYEX="0.20240" REYEY="-0.08731" REYEZ="2.38546" RPUPILD="0.00369" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.88225" FPOGY="0.84571" FPOGS="2040.65491" FPOGD="0.10693" FPOGID="6004" FPOGV="1" LPOGX="0.90353" LPOGY="0.89861" LPOGV="1" RPOGX="0.89921" RPOGY="0.77062" RPOGV="1" BPOGX="0.90137" BPOGY="0.83462" BPOGV="1" LPCX="0.47173" LPCY="0.62376" LPD="11.16660" LPS="0.81343" LPV="1" RPCX="0.73069" RPCY="0.61648" RPD="12.76296" RPS="0.81778" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00280" LPUPILV="1" REYEX="0.05015" REYEY="-0.02125" REYEZ="0.58068" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.87209" FPOGY="0.84638" FPOGS="2040.65491" FPOGD="0.11340" FPOGID="6004" FPOGV="1" LPOGX="0.72378" LPOGY="0.88012" LPOGV="1" RPOGX="0.67497" RPOGY="0.83558" RPOGV="1" BPOGX="0.69937" BPOGY="0.85785" BPOGV="1" LPCX="0.46907" LPCY="0.62342" LPD="9.61309" LPS="0.81778" LPV="1" RPCX="0.72862" RPCY="0.61671" RPD="11.59986" RPS="0.82213" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00232" LPUPILV="1" REYEX="0.05015" REYEY="-0.02125" REYEZ="0.58068" RPUPILD="0.00317" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.85827" FPOGY="0.84400" FPOGS="2040.65491" FPOGD="0.12024" FPOGID="6004" FPOGV="1" LPOGX="0.72378" LPOGY="0.88012" LPOGV="0" RPOGX="0.60967" RPOGY="0.80103" RPOGV="1" BPOGX="0.60967" BPOGY="0.80103" BPOGV="1" LPCX="0.46907" LPCY="0.62342" LPD="9.61309" LPS="0.82213" LPV="0" RPCX="0.72716" RPCY="0.61612" RPD="9.77674" RPS="0.82648" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00232" LPUPILV="1" REYEX="0.05015" REYEY="-0.02125" REYEZ="0.58068" RPUPILD="0.00304" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.82082" FPOGY="0.83781" FPOGS="2040.65491" FPOGD="0.12024" FPOGID="6004" FPOGV="0" LPOGX="0.72378" LPOGY="0.88012" LPOGV="0" RPOGX="0.61153" RPOGY="0.79787" RPOGV="1" BPOGX="0.61153" BPOGY="0.79787" BPOGV="1" LPCX="0.46907" LPCY="0.62342" LPD="9.61309" LPS="0.82648" LPV="0" RPCX="0.72476" RPCY="0.61561" RPD="10.93415" RPS="0.83559" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00232" LPUPILV="1" REYEX="0.05014" REYEY="-0.02144" REYEZ="0.58824" RPUPILD="0.00293" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.63754" FPOGY="0.83533" FPOGS="2040.65491" FPOGD="0.12024" FPOGID="6004" FPOGV="0" LPOGX="0.72378" LPOGY="0.88012" LPOGV="0" RPOGX="0.45426" RPOGY="0.83284" RPOGV="1" BPOGX="0.45426" BPOGY="0.83284" BPOGV="1" LPCX="0.46907" LPCY="0.62342" LPD="9.61309" LPS="0.83559" LPV="0" RPCX="0.72167" RPCY="0.61546" RPD="7.71910" RPS="0.84035" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00232" LPUPILV="1" REYEX="0.05014" REYEY="-0.02144" REYEZ="0.58824" RPUPILD="0.00268" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.56392" FPOGY="0.78263" FPOGS="2040.65491" FPOGD="0.12024" FPOGID="6004" FPOGV="0" LPOGX="0.72378" LPOGY="0.88012" LPOGV="0" RPOGX="0.41667" RPOGY="0.67724" RPOGV="1" BPOGX="0.41667" BPOGY="0.67724" BPOGV="1" LPCX="0.46907" LPCY="0.62342" LPD="9.61309" LPS="0.84035" LPV="0" RPCX="0.72072" RPCY="0.61589" RPD="6.52008" RPS="0.84511" RPV="1" LEYEX="-0.00723" LEYEY="-0.02370" LEYEZ="0.61006" LPUPILD="0.00232" LPUPILV="1" REYEX="0.05014" REYEY="-0.02144" REYEZ="0.58824" RPUPILD="0.00245" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
