2025-05-26 12:18:03.944906
 REYEZ="0.62051" RPUPILD="0.00606" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.86677" FPOGY="0.46353" FPOGS="7111.48096" FPOGD="0.26123" FPOGID="15655" FPOGV="0" LPOGX="0.93294" LPOGY="0.46557" LPOGV="1" RPOGX="0.85135" RPOGY="0.43973" RPOGV="1" BPOGX="0.89215" BPOGY="0.45265" BPOGV="1" LPCX="0.52127" LPCY="0.58303" LPD="35.19954" LPS="0.92519" LPV="1" RPCX="0.80322" RPCY="0.60150" RPD="32.60087" RPS="0.92519" RPV="1" LEYEX="0.00431" LEYEY="-0.01725" LEYEZ="0.63199" LPUPILD="0.00643" LPUPILV="1" REYEX="0.07275" REYEY="-0.02084" REYEZ="0.63580" RPUPILD="0.00608" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55563" FPOGY="0.43316" FPOGS="7114.19385" FPOGD="0.48877" FPOGID="15663" FPOGV="1" LPOGX="0.61903" LPOGY="0.46871" LPOGV="1" RPOGX="0.48767" RPOGY="0.46765" RPOGV="1" BPOGX="0.55335" BPOGY="0.46818" BPOGV="1" LPCX="0.49524" LPCY="0.58149" LPD="34.72934" LPS="0.93147" LPV="1" RPCX="0.77711" RPCY="0.59572" RPD="32.51461" RPS="0.92504" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00646" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00614" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.55572" FPOGY="0.43481" FPOGS="7114.19385" FPOGD="0.49561" FPOGID="15663" FPOGV="1" LPOGX="0.61355" LPOGY="0.46990" LPOGV="1" RPOGX="0.50685" RPOGY="0.53211" RPOGV="1" BPOGX="0.56020" BPOGY="0.50101" BPOGV="1" LPCX="0.49522" LPCY="0.58148" LPD="34.73018" LPS="0.93133" LPV="1" RPCX="0.77707" RPCY="0.59572" RPD="32.56380" RPS="0.93133" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00645" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00611" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.55597" FPOGY="0.43565" FPOGS="7114.19385" FPOGD="0.50244" FPOGID="15663" FPOGV="1" LPOGX="0.61196" LPOGY="0.46741" LPOGV="1" RPOGX="0.51134" RPOGY="0.46186" RPOGV="1" BPOGX="0.56165" BPOGY="0.46464" BPOGV="1" LPCX="0.49523" LPCY="0.58151" LPD="34.69407" LPS="0.93761" LPV="1" RPCX="0.77707" RPCY="0.59573" RPD="32.56215" RPS="0.93761" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00646" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00611" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.55622" FPOGY="0.43627" FPOGS="7114.19385" FPOGD="0.50928" FPOGID="15663" FPOGV="1" LPOGX="0.61152" LPOGY="0.46339" LPOGV="1" RPOGX="0.51182" RPOGY="0.45767" RPOGV="1" BPOGX="0.56167" BPOGY="0.46053" BPOGV="1" LPCX="0.49524" LPCY="0.58150" LPD="34.72844" LPS="0.94390" LPV="1" RPCX="0.77703" RPCY="0.59577" RPD="32.63171" RPS="0.94390" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00646" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00610" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.55788" FPOGY="0.46305" FPOGS="7114.19385" FPOGD="0.50928" FPOGID="15663" FPOGV="0" LPOGX="0.60884" LPOGY="0.45651" LPOGV="1" RPOGX="0.50268" RPOGY="0.46759" RPOGV="1" BPOGX="0.55576" BPOGY="0.46205" BPOGV="1" LPCX="0.49519" LPCY="0.58150" LPD="34.75134" LPS="0.94390" LPV="1" RPCX="0.77698" RPCY="0.59580" RPD="32.50813" RPS="0.94390" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00646" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00612" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55735" FPOGY="0.47521" FPOGS="7114.19385" FPOGD="0.50928" FPOGID="15663" FPOGV="0" LPOGX="0.61062" LPOGY="0.45916" LPOGV="1" RPOGX="0.50301" RPOGY="0.51560" RPOGV="1" BPOGX="0.55682" BPOGY="0.48738" BPOGV="1" LPCX="0.49518" LPCY="0.58148" LPD="34.76801" LPS="0.94390" LPV="1" RPCX="0.77698" RPCY="0.59577" RPD="32.42211" RPS="0.94390" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00645" LPUPILV="1" REYEX="0.06561" REYEY="-0.01916" REYEZ="0.61842" RPUPILD="0.00612" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55724" FPOGY="0.47862" FPOGS="7114.19385" FPOGD="0.50928" FPOGID="15663" FPOGV="0" LPOGX="0.61062" LPOGY="0.45916" LPOGV="1" RPOGX="0.50345" RPOGY="0.51169" RPOGV="1" BPOGX="0.55703" BPOGY="0.48543" BPOGV="1" LPCX="0.49518" LPCY="0.58148" LPD="34.76801" LPS="0.94390" LPV="1" RPCX="0.77699" RPCY="0.59578" RPD="32.43134" RPS="0.95033" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00645" LPUPILV="1" REYEX="0.06722" REYEY="-0.01964" REYEZ="0.63408" RPUPILD="0.00613" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55753" FPOGY="0.47863" FPOGS="7114.70996" FPOGD="0.02002" FPOGID="15664" FPOGV="1" LPOGX="0.60328" LPOGY="0.44815" LPOGV="1" RPOGX="0.51349" RPOGY="0.50916" RPOGV="1" BPOGX="0.55839" BPOGY="0.47866" BPOGV="1" LPCX="0.49518" LPCY="0.58145" LPD="34.69543" LPS="0.95033" LPV="1" RPCX="0.77702" RPCY="0.59571" RPD="32.51727" RPS="0.95677" RPV="1" LEYEX="-0.00105" LEYEY="-0.01707" LEYEZ="0.63935" LPUPILD="0.00645" LPUPILV="1" REYEX="0.06722" REYEY="-0.01964" REYEZ="0.63408" RPUPILD="0.00611" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
