2025-05-29 11:42:27.897056
X="-0.02938" LEYEY="-0.04784" LEYEZ="0.67783" LPUPILD="0.00368" LPUPILV="1" REYEX="0.03047" REYEY="-0.04706" REYEZ="0.67395" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="-0.16875" FPOGY="1.33070" FPOGS="5899.67529" FPOGD="0.20068" FPOGID="14501" FPOGV="1" LPOGX="-0.16731" LPOGY="1.21622" LPOGV="1" RPOGX="-0.14414" RPOGY="1.45157" RPOGV="1" BPOGX="-0.15573" BPOGY="1.33390" BPOGV="1" LPCX="0.35836" LPCY="0.76191" LPD="20.65809" LPS="1.03684" LPV="1" RPCX="0.60497" RPCY="0.75360" RPD="19.38511" RPS="1.02875" RPV="1" LEYEX="-0.03251" LEYEY="-0.05090" LEYEZ="0.64142" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02785" REYEY="-0.05020" REYEZ="0.65051" RPUPILD="0.00390" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16868" FPOGY="1.33038" FPOGS="5899.67529" FPOGD="0.20703" FPOGID="14501" FPOGV="1" LPOGX="-0.18321" LPOGY="1.18564" LPOGV="1" RPOGX="-0.14971" RPOGY="1.45570" RPOGV="1" BPOGX="-0.16646" BPOGY="1.32067" BPOGV="1" LPCX="0.35779" LPCY="0.76205" LPD="20.75471" LPS="1.02172" LPV="1" RPCX="0.60473" RPCY="0.75368" RPD="19.13591" RPS="1.01363" RPV="1" LEYEX="-0.03251" LEYEY="-0.05090" LEYEZ="0.64142" LPUPILD="0.00450" LPUPILV="1" REYEX="0.02785" REYEY="-0.05020" REYEZ="0.65051" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16843" FPOGY="1.33004" FPOGS="5899.67529" FPOGD="0.21484" FPOGID="14501" FPOGV="1" LPOGX="-0.17619" LPOGY="1.18542" LPOGV="1" RPOGX="-0.14494" RPOGY="1.45267" RPOGV="1" BPOGX="-0.16057" BPOGY="1.31905" BPOGV="1" LPCX="0.35691" LPCY="0.76256" LPD="21.22237" LPS="1.01363" LPV="1" RPCX="0.60406" RPCY="0.75360" RPD="19.16557" RPS="1.00555" RPV="1" LEYEX="-0.03416" LEYEY="-0.05276" LEYEZ="0.66308" LPUPILD="0.00438" LPUPILV="1" REYEX="0.02783" REYEY="-0.05088" REYEZ="0.65931" RPUPILD="0.00399" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16833" FPOGY="1.33061" FPOGS="5899.67529" FPOGD="0.22119" FPOGID="14501" FPOGV="1" LPOGX="-0.16436" LPOGY="1.19837" LPOGV="1" RPOGX="-0.16543" RPOGY="1.50041" RPOGV="1" BPOGX="-0.16490" BPOGY="1.34939" BPOGV="1" LPCX="0.35665" LPCY="0.76292" LPD="20.86144" LPS="1.01257" LPV="1" RPCX="0.60347" RPCY="0.75375" RPD="19.19146" RPS="1.01257" RPV="1" LEYEX="-0.03416" LEYEY="-0.05276" LEYEZ="0.66308" LPUPILD="0.00442" LPUPILV="1" REYEX="0.02783" REYEY="-0.05088" REYEZ="0.65931" RPUPILD="0.00401" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16831" FPOGY="1.33070" FPOGS="5899.67529" FPOGD="0.22754" FPOGID="14501" FPOGV="1" LPOGX="-0.17737" LPOGY="1.16586" LPOGV="1" RPOGX="-0.15822" RPOGY="1.50182" RPOGV="1" BPOGX="-0.16780" BPOGY="1.33384" BPOGV="1" LPCX="0.35631" LPCY="0.76308" LPD="20.85396" LPS="1.01960" LPV="1" RPCX="0.60336" RPCY="0.75367" RPD="19.14668" RPS="1.01960" RPV="1" LEYEX="-0.03416" LEYEY="-0.05276" LEYEZ="0.66308" LPUPILD="0.00445" LPUPILV="1" REYEX="0.02783" REYEY="-0.05088" REYEZ="0.65931" RPUPILD="0.00396" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16824" FPOGY="1.33080" FPOGS="5899.67529" FPOGD="0.23438" FPOGID="14501" FPOGV="1" LPOGX="-0.17195" LPOGY="1.16577" LPOGV="1" RPOGX="-0.15930" RPOGY="1.50258" RPOGV="1" BPOGX="-0.16562" BPOGY="1.33417" BPOGV="1" LPCX="0.35590" LPCY="0.76311" LPD="20.57993" LPS="1.01331" LPV="1" RPCX="0.60269" RPCY="0.75363" RPD="19.04004" RPS="1.02140" RPV="1" LEYEX="-0.03222" LEYEY="-0.04953" LEYEZ="0.62011" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02830" REYEY="-0.05225" REYEZ="0.67637" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16775" FPOGY="1.33204" FPOGS="5899.67529" FPOGD="0.24121" FPOGID="14501" FPOGV="1" LPOGX="-0.14084" LPOGY="1.23269" LPOGV="1" RPOGX="-0.15941" RPOGY="1.52089" RPOGV="1" BPOGX="-0.15013" BPOGY="1.37679" BPOGV="1" LPCX="0.35542" LPCY="0.76363" LPD="20.76131" LPS="1.00809" LPV="1" RPCX="0.60241" RPCY="0.75386" RPD="19.18371" RPS="1.01618" RPV="1" LEYEX="-0.03222" LEYEY="-0.04953" LEYEZ="0.62011" LPUPILD="0.00458" LPUPILV="1" REYEX="0.02830" REYEY="-0.05225" REYEZ="0.67637" RPUPILD="0.00402" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16770" FPOGY="1.33192" FPOGS="5899.67529" FPOGD="0.24756" FPOGID="14501" FPOGV="1" LPOGX="-0.17211" LPOGY="1.17146" LPOGV="1" RPOGX="-0.15956" RPOGY="1.48344" RPOGV="1" BPOGX="-0.16583" BPOGY="1.32745" BPOGV="1" LPCX="0.35491" LPCY="0.76374" LPD="20.70282" LPS="1.00286" LPV="1" RPCX="0.60207" RPCY="0.75382" RPD="19.28423" RPS="1.01095" RPV="1" LEYEX="-0.03222" LEYEY="-0.04953" LEYEZ="0.62011" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02830" REYEY="-0.05225" REYEZ="0.67637" RPUPILD="0.00394" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16761" FPOGY="1.33177" FPOGS="5899.67529" FPOGD="0.25439" FPOGID="14501" FPOGV="1" LPOGX="-0.17304" LPOGY="1.17148" LPOGV="1" RPOGX="-0.15533" RPOGY="1.48060" RPOGV="1" BPOGX="-0.16418" BPOGY="1.32604" BPOGV="1" LPCX="0.35458" LPCY="0.76389" LPD="20.69773" LPS="1.00393" LPV="1" RPCX="0.60178" RPCY="0.75367" RPD="19.22113" RPS="1.00393" RPV="1" LEYEX="-0.03374" LEYEY="-0.05150" LEYEZ="0.64470" LPUPILD="0.00445" LPUPILV="1" REYEX="0.02718" REYEY="-0.05081" REYEZ="0.65780" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="-0.16729" FPOGY="1.33191" FPOGS="5899.67529" FPOGD="0.26123" FPOGID="14501" FPOGV="1" LPOGX="-0.16507" LPOGY="1.20537" LPOGV="1" RPOGX="-0.14471" RPOGY="1.46939" RPOGV="1" BPOGX="-0.15489" BPOGY="1.33738" BPOGV="1" LPCX="0.35413" LPCY="0.76382" LPD="20.73041" LPS="1.01021" LPV="1" RPCX="0.60127" RPCY="0.75372" RPD="19.16889" RPS="1.00212" RPV="1" LEYEX="-0.03374" LEYEY="-0.05150" LEYEZ="0.64470" LPUPILD="0.00440" LPUPILV="1" REYEX="0.02718" REYEY="-0.05081" REYEZ="0.65780" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
