2025-06-20 11:24:42.105787
<ACK ID="ENABLE_SEND_POG_FIX" STATE="1" />
<ACK ID="ENABLE_SEND_POG_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_POG_BEST" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_PUPIL_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_LEFT" STATE="1" />
<ACK ID="ENABLE_SEND_EYE_RIGHT" STATE="1" />
<ACK ID="ENABLE_SEND_BLINK" STATE="1" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="32.48758" FPOGD="0.31483" FPOGID="98" FPOGV="0" LPOGX="0.22517" LPOGY="0.04808" LPOGV="0" RPOGX="0.15746" RPOGY="0.06831" RPOGV="0" BPOGX="0.19131" BPOGY="0.05819" BPOGV="0" LPCX="0.45370" LPCY="0.29241" LPD="22.24483" LPS="1.08755" LPV="0" RPCX="0.68166" RPCY="0.32578" RPD="20.46208" RPS="1.08755" RPV="0" LEYEX="-0.01079" LEYEY="0.04205" LEYEZ="0.68548" LPUPILD="0.00570" LPUPILV="1" REYEX="0.04804" REYEY="0.03447" REYEZ="0.67589" RPUPILD="0.00559" RPUPILV="1" BKID="8" BKDUR="0.00000" BKPMIN="7" />
