2025-05-28 11:02:15.622947
747" REYEZ="0.64871" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<REC FPOGX="0.66045" FPOGY="-0.24006" FPOGS="2935.18799" FPOGD="0.19458" FPOGID="7583" FPOGV="1" LPOGX="0.84937" LPOGY="-0.19989" LPOGV="0" RPOGX="0.67429" RPOGY="-0.24798" RPOGV="1" BPOGX="0.67429" BPOGY="-0.24798" BPOGV="1" LPCX="0.35551" LPCY="0.39271" LPD="19.20306" LPS="0.94190" LPV="0" RPCX="0.60335" RPCY="0.40146" RPD="20.42710" RPS="0.94190" RPV="1" LEYEX="-0.03470" LEYEY="0.01840" LEYEZ="0.61956" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02451" REYEY="0.01701" REYEZ="0.63363" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51482" FPOGY="-0.09364" FPOGS="2936.25293" FPOGD="0.04834" FPOGID="7589" FPOGV="1" LPOGX="0.66871" LPOGY="-0.09539" LPOGV="1" RPOGX="0.36464" RPOGY="-0.09268" RPOGV="1" BPOGX="0.51668" BPOGY="-0.09404" BPOGV="1" LPCX="0.35842" LPCY="0.39443" LPD="21.58103" LPS="0.98684" LPV="1" RPCX="0.59660" RPCY="0.40359" RPD="19.84531" RPS="0.97875" RPV="1" LEYEX="-0.03366" LEYEY="0.01816" LEYEZ="0.62090" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02458" REYEY="0.01744" REYEZ="0.65690" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.51509" FPOGY="-0.09211" FPOGS="2936.25293" FPOGD="0.05371" FPOGID="7589" FPOGV="1" LPOGX="0.66881" LPOGY="-0.08581" LPOGV="1" RPOGX="0.36566" RPOGY="-0.07402" RPOGV="1" BPOGX="0.51724" BPOGY="-0.07992" BPOGV="1" LPCX="0.35848" LPCY="0.39440" LPD="21.31730" LPS="0.97875" LPV="1" RPCX="0.59660" RPCY="0.40366" RPD="19.68956" RPS="0.96347" RPV="1" LEYEX="-0.03366" LEYEY="0.01816" LEYEZ="0.62090" LPUPILD="0.00450" LPUPILV="1" REYEX="0.02398" REYEY="0.01698" REYEZ="0.63965" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.51642" FPOGY="-0.08987" FPOGS="2936.25293" FPOGD="0.06030" FPOGID="7589" FPOGV="1" LPOGX="0.67374" LPOGY="-0.07724" LPOGV="1" RPOGX="0.38305" RPOGY="-0.06216" RPOGV="1" BPOGX="0.52840" BPOGY="-0.06970" BPOGV="1" LPCX="0.35854" LPCY="0.39425" LPD="21.44667" LPS="0.96347" LPV="1" RPCX="0.59677" RPCY="0.40361" RPD="19.81809" RPS="0.95628" RPV="1" LEYEX="-0.03366" LEYEY="0.01816" LEYEZ="0.62090" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02398" REYEY="0.01698" REYEZ="0.63965" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.51669" FPOGY="-0.08650" FPOGS="2936.25293" FPOGD="0.06714" FPOGID="7589" FPOGV="1" LPOGX="0.64562" LPOGY="-0.05891" LPOGV="1" RPOGX="0.39313" RPOGY="-0.04677" RPOGV="1" BPOGX="0.51938" BPOGY="-0.05284" BPOGV="1" LPCX="0.35896" LPCY="0.39418" LPD="21.11773" LPS="0.95628" LPV="1" RPCX="0.59721" RPCY="0.40360" RPD="20.10466" RPS="0.94909" RPV="1" LEYEX="-0.03366" LEYEY="0.01816" LEYEZ="0.62090" LPUPILD="0.00446" LPUPILV="1" REYEX="0.02398" REYEY="0.01698" REYEZ="0.63965" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.51691" FPOGY="-0.08361" FPOGS="2936.25293" FPOGD="0.07373" FPOGID="7589" FPOGV="1" LPOGX="0.64565" LPOGY="-0.05785" LPOGV="1" RPOGX="0.39317" RPOGY="-0.04568" RPOGV="1" BPOGX="0.51941" BPOGY="-0.05177" BPOGV="1" LPCX="0.35929" LPCY="0.39426" LPD="20.91333" LPS="0.95538" LPV="1" RPCX="0.59770" RPCY="0.40368" RPD="19.90495" RPS="0.94819" RPV="1" LEYEX="-0.03450" LEYEY="0.01884" LEYEZ="0.64094" LPUPILD="0.00447" LPUPILV="1" REYEX="0.02419" REYEY="0.01700" REYEZ="0.64015" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52633" FPOGY="-0.07983" FPOGS="2936.25293" FPOGD="0.08032" FPOGID="7589" FPOGV="1" LPOGX="0.77190" LPOGY="0.01376" LPOGV="1" RPOGX="0.50669" RPOGY="-0.08277" RPOGV="1" BPOGX="0.63930" BPOGY="-0.03450" BPOGV="1" LPCX="0.36184" LPCY="0.39467" LPD="21.48404" LPS="0.95447" LPV="1" RPCX="0.60003" RPCY="0.40390" RPD="20.30783" RPS="0.95447" RPV="1" LEYEX="-0.03450" LEYEY="0.01884" LEYEZ="0.64094" LPUPILD="0.00450" LPUPILV="1" REYEX="0.02419" REYEY="0.01700" REYEZ="0.64015" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.53696" FPOGY="-0.07653" FPOGS="2936.25293" FPOGD="0.08740" FPOGID="7589" FPOGV="1" LPOGX="0.81645" LPOGY="0.01172" LPOGV="1" RPOGX="0.53390" RPOGY="-0.07890" RPOGV="1" BPOGX="0.67518" BPOGY="-0.03359" BPOGV="1" LPCX="0.36249" LPCY="0.39486" LPD="20.99150" LPS="0.96076" LPV="1" RPCX="0.60061" RPCY="0.40395" RPD="19.72263" RPS="0.96076" RPV="1" LEYEX="-0.03450" LEYEY="0.01884" LEYEZ="0.64094" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02419" REYEY="0.01700" REYEZ="0.64015" RPUPILD="0.00429" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.54622" FPOGY="-0.07416" FPOGS="2936.25293" FPOGD="0.09546" FPOGID="7589" FPOGV="1" LPOGX="0.81727" LPOGY="0.00451" LPOGV="1" RPOGX="0.53449" RPOGY="-0.08650" RPOGV="1" BPOGX="0.67588" BPOGY="-0.04099" BPOGV="1" LPCX="0.36314" LPCY="0.39476" LPD="21.10538" LPS="0.96705" LPV="1" RPCX="0.60109" RPCY="0.40400" RPD="20.12572" RPS="0.96705" RPV="1" LEYEX="-0.03423" LEYEY="0.01886" LEYEZ="0.64303" LPUPILD="0.00449" LPUPILV="1" REYEX="0.02461" REYEY="0.01702" REYEZ="0.64105" RPUPILD="0.00418" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.55209" FPOGY="-0.07341" FPOGS="2936.25293" FPOGD="0.10083" FPOGID="7589" FPOGV="1" LPOGX="0.78693" LPOGY="-0.04085" LPOGV="1" RPOGX="0.49315" RPOGY="-0.08338" RPOGV="1" BPOGX="0.64004" BPOGY="-0.06212" BPOGV="1" LPCX="0.36317" LPCY="0.39454" LPD="21.19758" LPS="0.96705" LPV="1" RPCX="0.60105" RPCY="0.40403" RPD="19.97055" RPS="0.96705" RPV="1" LEYEX="-0.03423" LEYEY="0.01886" LEYEZ="0.64303" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02461" REYEY="0.01702" REYEZ="0.64105" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
