2025-05-28 12:10:48.375590
="-0.07239" LEYEY="-0.00630" LEYEZ="0.67228" LPUPILD="0.00385" LPUPILV="1" REYEX="-0.00494" REYEY="-0.00738" REYEZ="0.66505" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.83636" FPOGY="-0.18266" FPOGS="1235.66797" FPOGD="0.05420" FPOGID="1801" FPOGV="1" LPOGX="0.93333" LPOGY="-0.09468" LPOGV="1" RPOGX="0.71485" RPOGY="-0.27963" RPOGV="1" BPOGX="0.82409" BPOGY="-0.18715" BPOGV="1" LPCX="0.22540" LPCY="0.52430" LPD="19.57192" LPS="1.03380" LPV="1" RPCX="0.48634" RPCY="0.53134" RPD="16.48376" RPS="1.04099" RPV="1" LEYEX="-0.06907" LEYEY="-0.00675" LEYEZ="0.64784" LPUPILD="0.00386" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00379" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.83878" FPOGY="-0.18185" FPOGS="1235.66797" FPOGD="0.06104" FPOGID="1801" FPOGV="1" LPOGX="0.95592" LPOGY="-0.08431" LPOGV="1" RPOGX="0.76529" RPOGY="-0.26477" RPOGV="1" BPOGX="0.86060" BPOGY="-0.17454" BPOGV="1" LPCX="0.22533" LPCY="0.52440" LPD="19.67108" LPS="1.03396" LPV="1" RPCX="0.48606" RPCY="0.53127" RPD="16.18299" RPS="1.02587" RPV="1" LEYEX="-0.06907" LEYEY="-0.00675" LEYEZ="0.64784" LPUPILD="0.00392" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00368" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84047" FPOGY="-0.17954" FPOGS="1235.66797" FPOGD="0.06738" FPOGID="1801" FPOGV="1" LPOGX="0.97489" LPOGY="-0.06715" LPOGV="1" RPOGX="0.73976" RPOGY="-0.24584" RPOGV="1" BPOGX="0.85733" BPOGY="-0.15650" BPOGV="1" LPCX="0.22536" LPCY="0.52437" LPD="19.79863" LPS="1.01885" LPV="1" RPCX="0.48602" RPCY="0.53116" RPD="16.40543" RPS="1.01076" RPV="1" LEYEX="-0.06907" LEYEY="-0.00675" LEYEZ="0.64784" LPUPILD="0.00388" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00365" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84187" FPOGY="-0.17760" FPOGS="1235.66797" FPOGD="0.07397" FPOGID="1801" FPOGV="1" LPOGX="0.97484" LPOGY="-0.06693" LPOGV="1" RPOGX="0.73971" RPOGY="-0.24561" RPOGV="1" BPOGX="0.85728" BPOGY="-0.15627" BPOGV="1" LPCX="0.22519" LPCY="0.52443" LPD="19.37975" LPS="1.01866" LPV="1" RPCX="0.48588" RPCY="0.53127" RPD="16.93741" RPS="1.01057" RPV="1" LEYEX="-0.07165" LEYEY="-0.00700" LEYEZ="0.67104" LPUPILD="0.00396" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84221" FPOGY="-0.17881" FPOGS="1235.66797" FPOGD="0.08057" FPOGID="1801" FPOGV="1" LPOGX="0.95895" LPOGY="-0.12374" LPOGV="1" RPOGX="0.73359" RPOGY="-0.26282" RPOGV="1" BPOGX="0.84627" BPOGY="-0.19328" BPOGV="1" LPCX="0.22506" LPCY="0.52471" LPD="19.72703" LPS="1.02550" LPV="1" RPCX="0.48592" RPCY="0.53119" RPD="16.96442" RPS="1.02550" RPV="1" LEYEX="-0.07165" LEYEY="-0.00700" LEYEZ="0.67104" LPUPILD="0.00388" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00365" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84285" FPOGY="-0.18210" FPOGS="1235.66797" FPOGD="0.08752" FPOGID="1801" FPOGV="1" LPOGX="0.95837" LPOGY="-0.15063" LPOGV="1" RPOGX="0.74399" RPOGY="-0.29897" RPOGV="1" BPOGX="0.85118" BPOGY="-0.22480" BPOGV="1" LPCX="0.22496" LPCY="0.52469" LPD="19.58099" LPS="1.04044" LPV="1" RPCX="0.48587" RPCY="0.53116" RPD="16.98684" RPS="1.04044" RPV="1" LEYEX="-0.07165" LEYEY="-0.00700" LEYEZ="0.67104" LPUPILD="0.00387" LPUPILV="1" REYEX="-0.00447" REYEY="-0.00859" REYEZ="0.68550" RPUPILD="0.00365" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84353" FPOGY="-0.18554" FPOGS="1235.66797" FPOGD="0.09412" FPOGID="1801" FPOGV="1" LPOGX="0.96009" LPOGY="-0.15949" LPOGV="1" RPOGX="0.74586" RPOGY="-0.30807" RPOGV="1" BPOGX="0.85297" BPOGY="-0.23378" BPOGV="1" LPCX="0.22496" LPCY="0.52472" LPD="19.62548" LPS="1.04746" LPV="1" RPCX="0.48584" RPCY="0.53111" RPD="16.96430" RPS="1.04746" RPV="1" LEYEX="-0.07014" LEYEY="-0.00684" LEYEZ="0.65642" LPUPILD="0.00388" LPUPILV="1" REYEX="-0.00438" REYEY="-0.00816" REYEZ="0.65562" RPUPILD="0.00364" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84255" FPOGY="-0.18819" FPOGS="1235.66797" FPOGD="0.10083" FPOGID="1801" FPOGV="1" LPOGX="0.93372" LPOGY="-0.15712" LPOGV="1" RPOGX="0.72221" RPOGY="-0.29871" RPOGV="1" BPOGX="0.82797" BPOGY="-0.22791" BPOGV="1" LPCX="0.22477" LPCY="0.52477" LPD="19.61208" LPS="1.03956" LPV="1" RPCX="0.48578" RPCY="0.53132" RPD="16.45743" RPS="1.03956" RPV="1" LEYEX="-0.07014" LEYEY="-0.00684" LEYEZ="0.65642" LPUPILD="0.00392" LPUPILV="1" REYEX="-0.00438" REYEY="-0.00816" REYEZ="0.65562" RPUPILD="0.00377" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84172" FPOGY="-0.19087" FPOGS="1235.66797" FPOGD="0.10742" FPOGID="1801" FPOGV="1" LPOGX="0.92971" LPOGY="-0.14920" LPOGV="1" RPOGX="0.72725" RPOGY="-0.31822" RPOGV="1" BPOGX="0.82848" BPOGY="-0.23371" BPOGV="1" LPCX="0.22479" LPCY="0.52474" LPD="19.53199" LPS="1.03165" LPV="1" RPCX="0.48595" RPCY="0.53161" RPD="16.48977" RPS="1.03165" RPV="1" LEYEX="-0.07014" LEYEY="-0.00684" LEYEZ="0.65642" LPUPILD="0.00397" LPUPILV="1" REYEX="-0.00438" REYEY="-0.00816" REYEZ="0.65562" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.84085" FPOGY="-0.19247" FPOGS="1235.66797" FPOGD="0.11438" FPOGID="1801" FPOGV="1" LPOGX="0.92640" LPOGY="-0.13038" LPOGV="1" RPOGX="0.72551" RPOGY="-0.30913" RPOGV="1" BPOGX="0.82596" BPOGY="-0.21976" BPOGV="1" LPCX="0.22476" LPCY="0.52473" LPD="19.41348" LPS="1.01672" LPV="1" RPCX="0.48602" RPCY="0.53184" RPD="16.72404" RPS="1.02481" RPV="1" LEYEX="-0.06845" LEYEY="-0.00667" LEYEZ="0.64018" LPUPILD="0.00393" LPUPILV="1" REYEX="-0.00460" REYEY="-0.00849" REYEZ="0.68214" RPUPILD="0.00398" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
