Model,Animation,Best Parameters,Best CV Accuracy,Train Accuracy,Test Accuracy
Naive Bayes (80/20),VB_SL_LIT,{'scaler': MinMaxScaler()},0.5868,0.6833,0.5952
Naive Bayes (80/20),HS_SL_LIT,{'scaler': MinMaxScaler()},0.5868,0.6833,0.4984
Naive Bayes (80/20),VB_SL_BIG,{'scaler': MinMaxScaler()},0.5868,0.6833,0.6048
Naive Bayes (80/20),HS_SL_BIG,{'scaler': MinMaxScaler()},0.5868,0.6833,0.5603
Naive Bayes (80/20),VB_FA_LIT,{'scaler': MinMaxScaler()},0.5868,0.6833,0.6302
Naive Bayes (80/20),HS_FA_LIT,{'scaler': MinMaxScaler()},0.5868,0.6833,0.546
Naive Bayes (80/20),VB_FA_BIG,{'scaler': MinMaxScaler()},0.5868,0.6833,0.6111
Naive Bayes (80/20),HS_FA_BIG,{'scaler': MinMaxScaler()},0.5868,0.6833,0.554
KNN (80/20),VB_SL_LIT,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.6905
KNN (80/20),HS_SL_LIT,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.5968
KNN (80/20),VB_SL_BIG,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.7286
KNN (80/20),HS_SL_BIG,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.581
KNN (80/20),VB_FA_LIT,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.6984
KNN (80/20),HS_FA_LIT,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.5937
KNN (80/20),VB_FA_BIG,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.6921
KNN (80/20),HS_FA_BIG,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance', 'scaler': StandardScaler()}",0.6591,1.0,0.6365
Logistic Regression (80/20),VB_SL_LIT,"{'logreg__C': 1, 'scaler': StandardScaler()}",0.679,0.9222,0.6619
