Model,Animation,Best Parameters,Best CV Accuracy,Train Accuracy,Test Accuracy
KNN (80/20),horizontalmult,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.533,1.0,0.6154
Logistic Regression (80/20),horizontalmult,"{'logreg__C': 0.1, 'scaler': StandardScaler()}",0.5523,0.8996,0.6769
Random Forest (80/20),horizontalmult,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 100, 'scaler': MinMaxScaler()}",0.6563,1.0,0.7385
SVC (80/20),horizontalmult,"{'scaler': MinMaxScaler(), 'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.5716,0.9498,0.7231
MLP (80/20),horizontalmult,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam', 'scaler': StandardScaler()}",0.5367,1.0,0.6615
Naive Bayes (S1+S2 vs S3),horizontalmult,{'scaler': RobustScaler()},0.4772,0.9398,0.3889
KNN (S1+S2 vs S3),horizontalmult,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.5329,1.0,0.4722
Logistic Regression (S1+S2 vs S3),horizontalmult,"{'logreg__C': 1, 'scaler': StandardScaler()}",0.5691,0.9954,0.4815
Random Forest (S1+S2 vs S3),horizontalmult,"{'rf__max_depth': 20, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.6576,1.0,0.5
SVC (S1+S2 vs S3),horizontalmult,"{'scaler': MinMaxScaler(), 'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.6066,0.9769,0.4815
MLP (S1+S2 vs S3),horizontalmult,"{'mlp__activation': 'tanh', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam', 'scaler': MinMaxScaler()}",0.6151,1.0,0.3241
Naive Bayes (80/20),verticalmult,{'scaler': MinMaxScaler()},0.5828,0.9305,0.6154
KNN (80/20),verticalmult,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'scaler': MinMaxScaler()}",0.6059,1.0,0.7231
Logistic Regression (80/20),verticalmult,"{'logreg__C': 10, 'scaler': MinMaxScaler()}",0.6097,0.973,0.6769
Random Forest (80/20),verticalmult,"{'rf__max_depth': 10, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'scaler': MinMaxScaler()}",0.6835,1.0,0.6923
