2025-05-22 12:05:48.606778
EZ="0.72099" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50626" FPOGY="0.33282" FPOGS="3608.58936" FPOGD="0.12744" FPOGID="7732" FPOGV="1" LPOGX="0.51452" LPOGY="0.46808" LPOGV="1" RPOGX="0.51219" RPOGY="0.27057" RPOGV="1" BPOGX="0.51335" BPOGY="0.36933" BPOGV="1" LPCX="0.53781" LPCY="0.42081" LPD="24.20716" LPS="1.24407" LPV="1" RPCX="0.79042" RPCY="0.42648" RPD="25.43510" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00501" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50642" FPOGY="0.33468" FPOGS="3608.58936" FPOGD="0.13379" FPOGID="7732" FPOGV="1" LPOGX="0.50635" LPOGY="0.46109" LPOGV="1" RPOGX="0.51267" RPOGY="0.28292" RPOGV="1" BPOGX="0.50951" BPOGY="0.37201" BPOGV="1" LPCX="0.53781" LPCY="0.42081" LPD="24.20716" LPS="1.24407" LPV="1" RPCX="0.79037" RPCY="0.42653" RPD="25.66850" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50656" FPOGY="0.33653" FPOGS="3608.58936" FPOGD="0.14111" FPOGID="7732" FPOGV="1" LPOGX="0.51104" LPOGY="0.46575" LPOGV="1" RPOGX="0.50796" RPOGY="0.28507" RPOGV="1" BPOGX="0.50950" BPOGY="0.37541" BPOGV="1" LPCX="0.53780" LPCY="0.42087" LPD="24.22016" LPS="1.24407" LPV="1" RPCX="0.79042" RPCY="0.42652" RPD="25.55787" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00501" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50664" FPOGY="0.33760" FPOGS="3608.58936" FPOGD="0.14746" FPOGID="7732" FPOGV="1" LPOGX="0.50767" LPOGY="0.45367" LPOGV="1" RPOGX="0.50935" RPOGY="0.26857" RPOGV="1" BPOGX="0.50851" BPOGY="0.36112" BPOGV="1" LPCX="0.53774" LPCY="0.42089" LPD="24.24947" LPS="1.26966" LPV="1" RPCX="0.79040" RPCY="0.42651" RPD="25.54823" RPS="1.26966" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00501" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50649" FPOGY="0.33783" FPOGS="3608.58936" FPOGD="0.15430" FPOGID="7732" FPOGV="1" LPOGX="0.50318" LPOGY="0.44076" LPOGV="1" RPOGX="0.50289" RPOGY="0.24517" RPOGV="1" BPOGX="0.50304" BPOGY="0.34296" BPOGV="1" LPCX="0.53772" LPCY="0.42089" LPD="24.20498" LPS="1.29526" LPV="1" RPCX="0.79038" RPCY="0.42655" RPD="25.67696" RPS="1.29526" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00504" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50600" FPOGY="0.33737" FPOGS="3608.58936" FPOGD="0.16064" FPOGID="7732" FPOGV="1" LPOGX="0.49068" LPOGY="0.41802" LPOGV="1" RPOGX="0.49767" RPOGY="0.23495" RPOGV="1" BPOGX="0.49417" BPOGY="0.32648" BPOGV="1" LPCX="0.53768" LPCY="0.42094" LPD="24.17143" LPS="1.32085" LPV="1" RPCX="0.79029" RPCY="0.42654" RPD="25.40913" RPS="1.32085" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50550" FPOGY="0.33640" FPOGS="3608.58936" FPOGD="0.16772" FPOGID="7732" FPOGV="1" LPOGX="0.48713" LPOGY="0.40582" LPOGV="1" RPOGX="0.49878" RPOGY="0.21842" RPOGV="1" BPOGX="0.49295" BPOGY="0.31212" BPOGV="1" LPCX="0.53768" LPCY="0.42094" LPD="24.17143" LPS="1.34645" LPV="1" RPCX="0.79027" RPCY="0.42659" RPD="25.52943" RPS="1.34645" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50549" FPOGY="0.33468" FPOGS="3608.58936" FPOGD="0.17407" FPOGID="7732" FPOGV="1" LPOGX="0.46434" LPOGY="0.36939" LPOGV="1" RPOGX="0.54613" RPOGY="0.21028" RPOGV="1" BPOGX="0.50524" BPOGY="0.28983" BPOGV="1" LPCX="0.53761" LPCY="0.42105" LPD="24.21343" LPS="1.34645" LPV="1" RPCX="0.79019" RPCY="0.42659" RPD="25.68121" RPS="1.34645" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00500" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50532" FPOGY="0.33345" FPOGS="3608.58936" FPOGD="0.18066" FPOGID="7732" FPOGV="1" LPOGX="0.46935" LPOGY="0.37697" LPOGV="1" RPOGX="0.53235" RPOGY="0.22359" RPOGV="1" BPOGX="0.50085" BPOGY="0.30028" BPOGV="1" LPCX="0.53762" LPCY="0.42105" LPD="24.21681" LPS="1.34645" LPV="1" RPCX="0.79011" RPCY="0.42650" RPD="25.64427" RPS="1.34645" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00500" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50519" FPOGY="0.33257" FPOGS="3608.58936" FPOGD="0.18872" FPOGID="7732" FPOGV="1" LPOGX="0.47143" LPOGY="0.38379" LPOGV="1" RPOGX="0.53142" RPOGY="0.23240" RPOGV="1" BPOGX="0.50143" BPOGY="0.30809" BPOGV="1" LPCX="0.53753" LPCY="0.42115" LPD="24.25007" LPS="1.33267" LPV="1" RPCX="0.79009" RPCY="0.42650" RPD="25.73286" RPS="1.33267" RPV="1" LEYEX="0.01146" LEYEY="0.01745" LEYEZ="0.76021" LPUPILD="0.00500" LPUPILV="1" REYEX="0.08205" REYEY="0.01548" REYEZ="0.73731" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
