2025-05-28 12:16:00.140599
="-0.07123" LEYEY="-0.02015" LEYEZ="0.62050" LPUPILD="0.00351" LPUPILV="1" REYEX="-0.00619" REYEY="-0.02076" REYEZ="0.64519" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76382" FPOGY="-0.04141" FPOGS="1547.37939" FPOGD="0.10706" FPOGID="2880" FPOGV="1" LPOGX="0.87282" LPOGY="0.04598" LPOGV="1" RPOGX="0.65946" RPOGY="-0.11198" RPOGV="1" BPOGX="0.76614" BPOGY="-0.03300" BPOGV="1" LPCX="0.20907" LPCY="0.59692" LPD="19.27517" LPS="0.96839" LPV="1" RPCX="0.48286" RPCY="0.59631" RPD="17.99108" RPS="0.96839" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00376" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76382" FPOGY="-0.03981" FPOGS="1547.37939" FPOGD="0.11426" FPOGID="2880" FPOGV="1" LPOGX="0.87420" LPOGY="0.07078" LPOGV="1" RPOGX="0.65335" RPOGY="-0.09599" RPOGV="1" BPOGX="0.76377" BPOGY="-0.01260" BPOGV="1" LPCX="0.20904" LPCY="0.59704" LPD="19.35559" LPS="0.95508" LPV="1" RPCX="0.48271" RPCY="0.59621" RPD="17.21276" RPS="0.95508" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00374" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76367" FPOGY="-0.03757" FPOGS="1547.37939" FPOGD="0.12036" FPOGID="2880" FPOGV="1" LPOGX="0.87169" LPOGY="0.08546" LPOGV="1" RPOGX="0.65057" RPOGY="-0.07977" RPOGV="1" BPOGX="0.76113" BPOGY="0.00284" BPOGV="1" LPCX="0.20901" LPCY="0.59692" LPD="19.04973" LPS="0.94177" LPV="1" RPCX="0.48264" RPCY="0.59621" RPD="17.29503" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00375" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76307" FPOGY="-0.03546" FPOGS="1547.37939" FPOGD="0.12671" FPOGID="2880" FPOGV="1" LPOGX="0.85950" LPOGY="0.07654" LPOGV="1" RPOGX="0.64378" RPOGY="-0.06729" RPOGV="1" BPOGX="0.75164" BPOGY="0.00462" BPOGV="1" LPCX="0.20895" LPCY="0.59703" LPD="19.20998" LPS="0.94177" LPV="1" RPCX="0.48273" RPCY="0.59626" RPD="17.43823" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00378" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76263" FPOGY="-0.03345" FPOGS="1547.37939" FPOGD="0.13391" FPOGID="2880" FPOGV="1" LPOGX="0.86442" LPOGY="0.07882" LPOGV="1" RPOGX="0.64304" RPOGY="-0.06535" RPOGV="1" BPOGX="0.75373" BPOGY="0.00673" BPOGV="1" LPCX="0.20892" LPCY="0.59707" LPD="19.12658" LPS="0.94177" LPV="1" RPCX="0.48267" RPCY="0.59626" RPD="17.55676" RPS="0.94177" RPV="1" LEYEX="-0.07066" LEYEY="-0.02046" LEYEZ="0.62705" LPUPILD="0.00372" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00356" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76225" FPOGY="-0.03177" FPOGS="1547.37939" FPOGD="0.14087" FPOGID="2880" FPOGV="1" LPOGX="0.86556" LPOGY="0.07185" LPOGV="1" RPOGX="0.64301" RPOGY="-0.06517" RPOGV="1" BPOGX="0.75428" BPOGY="0.00334" BPOGV="1" LPCX="0.20874" LPCY="0.59733" LPD="19.32603" LPS="0.94805" LPV="1" RPCX="0.48267" RPCY="0.59621" RPD="17.55121" RPS="0.94162" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00378" LPUPILV="1" REYEX="-0.00466" REYEY="-0.02000" REYEZ="0.61596" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76209" FPOGY="-0.03041" FPOGS="1547.37939" FPOGD="0.14771" FPOGID="2880" FPOGV="1" LPOGX="0.88169" LPOGY="0.07447" LPOGV="1" RPOGX="0.63561" RPOGY="-0.07509" RPOGV="1" BPOGX="0.75865" BPOGY="-0.00031" BPOGV="1" LPCX="0.20874" LPCY="0.59733" LPD="19.32603" LPS="0.94791" LPV="1" RPCX="0.48267" RPCY="0.59621" RPD="17.55121" RPS="0.94147" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00378" LPUPILV="1" REYEX="-0.00466" REYEY="-0.02000" REYEZ="0.61596" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76198" FPOGY="-0.02880" FPOGS="1547.37939" FPOGD="0.15601" FPOGID="2880" FPOGV="1" LPOGX="0.87282" LPOGY="0.07885" LPOGV="1" RPOGX="0.64604" RPOGY="-0.06261" RPOGV="1" BPOGX="0.75943" BPOGY="0.00812" BPOGV="1" LPCX="0.20890" LPCY="0.59733" LPD="19.35930" LPS="0.94776" LPV="1" RPCX="0.48271" RPCY="0.59627" RPD="17.41789" RPS="0.94133" RPV="1" LEYEX="-0.07258" LEYEY="-0.02100" LEYEZ="0.64360" LPUPILD="0.00376" LPUPILV="1" REYEX="-0.00466" REYEY="-0.02000" REYEZ="0.61596" RPUPILD="0.00357" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76185" FPOGY="-0.02718" FPOGS="1547.37939" FPOGD="0.16101" FPOGID="2880" FPOGV="1" LPOGX="0.87161" LPOGY="0.08594" LPOGV="1" RPOGX="0.64604" RPOGY="-0.06261" RPOGV="1" BPOGX="0.75882" BPOGY="0.01167" BPOGV="1" LPCX="0.20896" LPCY="0.59736" LPD="19.31131" LPS="0.94133" LPV="1" RPCX="0.48335" RPCY="0.59593" RPD="17.00320" RPS="0.94133" RPV="1" LEYEX="-0.07007" LEYEY="-0.02033" LEYEZ="0.62180" LPUPILD="0.00377" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.76237" FPOGY="-0.02492" FPOGS="1547.37939" FPOGD="0.16748" FPOGID="2880" FPOGV="1" LPOGX="0.87768" LPOGY="0.11754" LPOGV="1" RPOGX="0.67300" RPOGY="-0.05403" RPOGV="1" BPOGX="0.77534" BPOGY="0.03176" BPOGV="1" LPCX="0.20946" LPCY="0.59726" LPD="19.52502" LPS="0.93504" LPV="1" RPCX="0.48317" RPCY="0.59644" RPD="17.47142" RPS="0.94147" RPV="1" LEYEX="-0.07007" LEYEY="-0.02033" LEYEZ="0.62180" LPUPILD="0.00371" LPUPILV="1" REYEX="-0.00485" REYEY="-0.02099" REYEZ="0.64629" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
