2025-05-27 11:34:28.489574
 REYEZ="0.53430" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.60830" FPOGY="0.29141" FPOGS="4987.90283" FPOGD="0.71680" FPOGID="14374" FPOGV="1" LPOGX="0.62948" LPOGY="0.36807" LPOGV="1" RPOGX="0.63818" RPOGY="0.23947" RPOGV="1" BPOGX="0.63383" BPOGY="0.30377" BPOGV="1" LPCX="0.33295" LPCY="0.50525" LPD="24.76735" LPS="0.63412" LPV="1" RPCX="0.63370" RPCY="0.47483" RPD="25.82156" RPS="0.63121" RPV="1" LEYEX="-0.03277" LEYEY="-0.00246" LEYEZ="0.51309" LPUPILD="0.00465" LPUPILV="1" REYEX="0.02535" REYEY="0.00222" REYEZ="0.50935" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.60984" FPOGY="0.29181" FPOGS="4987.90283" FPOGD="0.72314" FPOGID="14374" FPOGV="1" LPOGX="0.64599" LPOGY="0.37256" LPOGV="1" RPOGX="0.67808" RPOGY="0.25866" RPOGV="1" BPOGX="0.66203" BPOGY="0.31561" BPOGV="1" LPCX="0.33424" LPCY="0.50510" LPD="24.65603" LPS="0.63121" LPV="1" RPCX="0.63510" RPCY="0.47509" RPD="26.05290" RPS="0.62830" RPV="1" LEYEX="-0.03277" LEYEY="-0.00246" LEYEZ="0.51309" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02535" REYEY="0.00222" REYEZ="0.50935" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.61137" FPOGY="0.29229" FPOGS="4987.90283" FPOGD="0.73096" FPOGID="14374" FPOGV="1" LPOGX="0.64600" LPOGY="0.37264" LPOGV="1" RPOGX="0.67805" RPOGY="0.25874" RPOGV="1" BPOGX="0.66202" BPOGY="0.31569" BPOGV="1" LPCX="0.33551" LPCY="0.50507" LPD="24.76513" LPS="0.63114" LPV="1" RPCX="0.63662" RPCY="0.47516" RPD="25.43573" RPS="0.62823" RPV="1" LEYEX="-0.03252" LEYEY="-0.00241" LEYEZ="0.51832" LPUPILD="0.00468" LPUPILV="1" REYEX="0.02605" REYEY="0.00211" REYEZ="0.51098" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.61488" FPOGY="0.29280" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="1" LPOGX="0.76395" LPOGY="0.39660" LPOGV="1" RPOGX="0.76994" RPOGY="0.23102" RPOGV="1" BPOGX="0.76694" BPOGY="0.31381" BPOGV="1" LPCX="0.33879" LPCY="0.50523" LPD="24.73947" LPS="0.63108" LPV="1" RPCX="0.63973" RPCY="0.47583" RPD="26.01808" RPS="0.63108" RPV="1" LEYEX="-0.03252" LEYEY="-0.00241" LEYEZ="0.51832" LPUPILD="0.00478" LPUPILV="1" REYEX="0.02605" REYEY="0.00211" REYEZ="0.51098" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.65128" FPOGY="0.29937" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.79430" LPOGY="0.42180" LPOGV="1" RPOGX="0.84021" RPOGY="0.25579" RPOGV="1" BPOGX="0.81726" BPOGY="0.33880" BPOGV="1" LPCX="0.34083" LPCY="0.50562" LPD="25.61527" LPS="0.63392" LPV="1" RPCX="0.64133" RPCY="0.47658" RPD="26.86204" RPS="0.63392" RPV="1" LEYEX="-0.03252" LEYEY="-0.00241" LEYEZ="0.51832" LPUPILD="0.00471" LPUPILV="1" REYEX="0.02605" REYEY="0.00211" REYEZ="0.51098" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.73376" FPOGY="0.32062" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.79385" LPOGY="0.42461" LPOGV="1" RPOGX="0.83862" RPOGY="0.25915" RPOGV="1" BPOGX="0.81624" BPOGY="0.34188" BPOGV="1" LPCX="0.34215" LPCY="0.50521" LPD="25.19261" LPS="0.63127" LPV="1" RPCX="0.64268" RPCY="0.47705" RPD="26.72243" RPS="0.63127" RPV="1" LEYEX="-0.03082" LEYEY="-0.00230" LEYEZ="0.50324" LPUPILD="0.00472" LPUPILV="1" REYEX="0.02648" REYEY="0.00194" REYEZ="0.50750" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.78106" FPOGY="0.33904" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.86526" LPOGY="0.46899" LPOGV="1" RPOGX="0.88608" RPOGY="0.28278" RPOGV="1" BPOGX="0.87567" BPOGY="0.37588" BPOGV="1" LPCX="0.34501" LPCY="0.50594" LPD="26.17133" LPS="0.62578" LPV="1" RPCX="0.64492" RPCY="0.47761" RPD="26.79423" RPS="0.62578" RPV="1" LEYEX="-0.03082" LEYEY="-0.00230" LEYEZ="0.50324" LPUPILD="0.00468" LPUPILV="1" REYEX="0.02648" REYEY="0.00194" REYEZ="0.50750" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.86557" FPOGY="0.37351" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.89704" LPOGY="0.49108" LPOGV="1" RPOGX="0.91259" RPOGY="0.31447" RPOGV="1" BPOGX="0.90481" BPOGY="0.40278" BPOGV="1" LPCX="0.34611" LPCY="0.50613" LPD="26.05527" LPS="0.62029" LPV="1" RPCX="0.64580" RPCY="0.47800" RPD="26.72991" RPS="0.62029" RPV="1" LEYEX="-0.03082" LEYEY="-0.00230" LEYEZ="0.50324" LPUPILD="0.00465" LPUPILV="1" REYEX="0.02648" REYEY="0.00194" REYEZ="0.50750" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.88395" FPOGY="0.39051" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.89609" LPOGY="0.49391" LPOGV="1" RPOGX="0.90855" RPOGY="0.32112" RPOGV="1" BPOGX="0.90232" BPOGY="0.40751" BPOGV="1" LPCX="0.34706" LPCY="0.50617" LPD="26.45033" LPS="0.61745" LPV="1" RPCX="0.64675" RPCY="0.47836" RPD="27.12518" RPS="0.61474" RPV="1" LEYEX="-0.03104" LEYEY="-0.00243" LEYEZ="0.51508" LPUPILD="0.00464" LPUPILV="1" REYEX="0.02698" REYEY="0.00176" REYEZ="0.50917" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.89183" FPOGY="0.38631" FPOGS="4987.90283" FPOGD="0.73682" FPOGID="14374" FPOGV="0" LPOGX="0.89984" LPOGY="0.48744" LPOGV="1" RPOGX="0.91539" RPOGY="0.26836" RPOGV="1" BPOGX="0.90761" BPOGY="0.37790" BPOGV="1" LPCX="0.34768" LPCY="0.50618" LPD="26.60343" LPS="0.61739" LPV="1" RPCX="0.64762" RPCY="0.47854" RPD="27.26395" RPS="0.61468" RPV="1" LEYEX="-0.03104" LEYEY="-0.00243" LEYEZ="0.51508" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02698" REYEY="0.00176" REYEZ="0.50917" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
