2025-05-27 11:35:24.946199
EZ="0.50469" RPUPILD="0.00718" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60005" FPOGY="0.29399" FPOGS="5044.99365" FPOGD="0.08691" FPOGID="14595" FPOGV="1" LPOGX="0.61083" LPOGY="0.35612" LPOGV="1" RPOGX="0.59963" RPOGY="0.22057" RPOGV="1" BPOGX="0.60523" BPOGY="0.28834" BPOGV="1" LPCX="0.34023" LPCY="0.48380" LPD="26.37956" LPS="0.59409" LPV="1" RPCX="0.65367" RPCY="0.46756" RPD="27.58508" RPS="0.59409" RPV="1" LEYEX="-0.03022" LEYEY="0.00082" LEYEZ="0.49412" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02898" REYEY="0.00318" REYEZ="0.50400" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.59994" FPOGY="0.29249" FPOGS="5044.99365" FPOGD="0.09375" FPOGID="14595" FPOGV="1" LPOGX="0.59634" LPOGY="0.32809" LPOGV="1" RPOGX="0.60046" RPOGY="0.21494" RPOGV="1" BPOGX="0.59840" BPOGY="0.27152" BPOGV="1" LPCX="0.33880" LPCY="0.48398" LPD="26.32119" LPS="0.59409" LPV="1" RPCX="0.65221" RPCY="0.46766" RPD="27.87340" RPS="0.59409" RPV="1" LEYEX="-0.03022" LEYEY="0.00082" LEYEZ="0.49412" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02898" REYEY="0.00318" REYEZ="0.50400" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60098" FPOGY="0.29158" FPOGS="5044.99365" FPOGD="0.10010" FPOGID="14595" FPOGV="1" LPOGX="0.61751" LPOGY="0.34627" LPOGV="1" RPOGX="0.61544" RPOGY="0.20975" RPOGV="1" BPOGX="0.61648" BPOGY="0.27801" BPOGV="1" LPCX="0.33787" LPCY="0.48411" LPD="25.91788" LPS="0.59409" LPV="1" RPCX="0.65136" RPCY="0.46739" RPD="27.11804" RPS="0.59409" RPV="1" LEYEX="-0.03022" LEYEY="0.00082" LEYEZ="0.49412" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02898" REYEY="0.00318" REYEZ="0.50400" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60188" FPOGY="0.29097" FPOGS="5044.99365" FPOGD="0.10693" FPOGID="14595" FPOGV="1" LPOGX="0.61775" LPOGY="0.34907" LPOGV="1" RPOGX="0.61479" RPOGY="0.21312" RPOGV="1" BPOGX="0.61627" BPOGY="0.28109" BPOGV="1" LPCX="0.33672" LPCY="0.48425" LPD="25.54426" LPS="0.59177" LPV="1" RPCX="0.65022" RPCY="0.46759" RPD="28.05457" RPS="0.59177" RPV="1" LEYEX="-0.03027" LEYEY="0.00073" LEYEZ="0.48489" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02816" REYEY="0.00316" REYEZ="0.50161" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60231" FPOGY="0.29142" FPOGS="5044.99365" FPOGD="0.11377" FPOGID="14595" FPOGV="1" LPOGX="0.61074" LPOGY="0.36836" LPOGV="1" RPOGX="0.60871" RPOGY="0.22975" RPOGV="1" BPOGX="0.60972" BPOGY="0.29905" BPOGV="1" LPCX="0.33502" LPCY="0.48482" LPD="26.49396" LPS="0.58946" LPV="1" RPCX="0.64846" RPCY="0.46692" RPD="26.77680" RPS="0.58946" RPV="1" LEYEX="-0.03027" LEYEY="0.00073" LEYEZ="0.48489" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02816" REYEY="0.00316" REYEZ="0.50161" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60187" FPOGY="0.29108" FPOGS="5044.99365" FPOGD="0.11963" FPOGID="14595" FPOGV="1" LPOGX="0.60413" LPOGY="0.34948" LPOGV="1" RPOGX="0.58366" RPOGY="0.22045" RPOGV="1" BPOGX="0.59389" BPOGY="0.28497" BPOGV="1" LPCX="0.33425" LPCY="0.48468" LPD="26.42729" LPS="0.58715" LPV="1" RPCX="0.64742" RPCY="0.46684" RPD="26.66182" RPS="0.58715" RPV="1" LEYEX="-0.03027" LEYEY="0.00073" LEYEZ="0.48489" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02816" REYEY="0.00316" REYEZ="0.50161" RPUPILD="0.00497" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60147" FPOGY="0.29077" FPOGS="5044.99365" FPOGD="0.12646" FPOGID="14595" FPOGV="1" LPOGX="0.60413" LPOGY="0.34948" LPOGV="1" RPOGX="0.58366" RPOGY="0.22045" RPOGV="1" BPOGX="0.59389" BPOGY="0.28497" BPOGV="1" LPCX="0.33318" LPCY="0.48471" LPD="26.27405" LPS="0.58715" LPV="1" RPCX="0.64643" RPCY="0.46707" RPD="27.88362" RPS="0.58715" RPV="1" LEYEX="-0.03165" LEYEY="0.00059" LEYEZ="0.49566" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02777" REYEY="0.00335" REYEZ="0.50827" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60144" FPOGY="0.29053" FPOGS="5044.99365" FPOGD="0.13330" FPOGID="14595" FPOGV="1" LPOGX="0.60525" LPOGY="0.34103" LPOGV="1" RPOGX="0.59661" RPOGY="0.23053" RPOGV="1" BPOGX="0.60093" BPOGY="0.28578" BPOGV="1" LPCX="0.33112" LPCY="0.48503" LPD="25.89289" LPS="0.58946" LPV="1" RPCX="0.64452" RPCY="0.46678" RPD="27.81670" RPS="0.58946" RPV="1" LEYEX="-0.03165" LEYEY="0.00059" LEYEZ="0.49566" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02777" REYEY="0.00335" REYEZ="0.50827" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60193" FPOGY="0.29030" FPOGS="5044.99365" FPOGD="0.14062" FPOGID="14595" FPOGV="1" LPOGX="0.61570" LPOGY="0.35406" LPOGV="1" RPOGX="0.60879" RPOGY="0.21675" RPOGV="1" BPOGX="0.61224" BPOGY="0.28541" BPOGV="1" LPCX="0.33011" LPCY="0.48528" LPD="25.73170" LPS="0.59177" LPV="1" RPCX="0.64342" RPCY="0.46672" RPD="27.48709" RPS="0.59177" RPV="1" LEYEX="-0.03165" LEYEY="0.00059" LEYEZ="0.49566" LPUPILD="0.00467" LPUPILV="1" REYEX="0.02777" REYEY="0.00335" REYEZ="0.50827" RPUPILD="0.00491" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60239" FPOGY="0.28995" FPOGS="5044.99365" FPOGD="0.14697" FPOGID="14595" FPOGV="1" LPOGX="0.61545" LPOGY="0.35128" LPOGV="1" RPOGX="0.60942" RPOGY="0.21339" RPOGV="1" BPOGX="0.61244" BPOGY="0.28233" BPOGV="1" LPCX="0.32883" LPCY="0.48536" LPD="25.55204" LPS="0.59409" LPV="1" RPCX="0.64209" RPCY="0.46660" RPD="27.45074" RPS="0.59409" RPV="1" LEYEX="-0.03227" LEYEY="0.00055" LEYEZ="0.49146" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02661" REYEY="0.00335" REYEZ="0.50212" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60286" FPOGY="0.28885" FPOGS="5044.99365" FPOGD="0.15381" FPOGID="14595" FPOGV="1" LPOGX="0.60680" LPOGY="0.31571" LPOGV="1" RPOGX="0.62046" RPOGY="0.21140" RPOGV="1" BPOGX="0.61363" BPOGY="0.26356" BPOGV="1" LPCX="0.32682" LPCY="0.48591" LPD="26.17495" LPS="0.59409" LPV="1" RPCX="0.64021" RPCY="0.46598" RPD="26.98788" RPS="0.59409" RPV="1" LEYEX="-0.03227" LEYEY="0.00055" LEYEZ="0.49146" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02661" REYEY="0.00335" REYEZ="0.50212" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60263" FPOGY="0.28877" FPOGS="5044.99365" FPOGD="0.16064" FPOGID="14595" FPOGV="1" LPOGX="0.61038" LPOGY="0.33018" LPOGV="1" RPOGX="0.58388" RPOGY="0.24345" RPOGV="1" BPOGX="0.59713" BPOGY="0.28682" BPOGV="1" LPCX="0.32577" LPCY="0.48609" LPD="26.06565" LPS="0.59409" LPV="1" RPCX="0.63893" RPCY="0.46590" RPD="26.93974" RPS="0.59409" RPV="1" LEYEX="-0.03227" LEYEY="0.00055" LEYEZ="0.49146" LPUPILD="0.00464" LPUPILV="1" REYEX="0.02661" REYEY="0.00335" REYEZ="0.50212" RPUPILD="0.00496" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.60240" FPOGY="0.28888" FPOGS="5044.99365" FPOGD="0.16650" FPOGID="14595" FPOGV="1" LPOGX="0.61064" LPOGY="0.33304" LPOGV="1" RPOGX="0.58275" RPOGY="0.25027" RPOGV="1" BPOGX="0.59670" BPOGY="0.29166" BPOGV="1" LPCX="0.32441" LPCY="0.48627" LPD="25.74180" LPS="0.59177" LPV="1" RPCX="0.63775" RPCY="0.46600" RPD="27.87325" RPS="0.58925" RPV="1" LEYEX="-0.03246" LEYEY="0.00040" LEYEZ="0.48281" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02535" REYEY="0.00341" REYEZ="0.49439" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
