2025-06-04 15:48:09.309336
Y="0.00000" LEYEZ="0.00000" LPUPILD="0.00478" LPUPILV="0" REYEX="0.02245" REYEY="-0.01648" REYEZ="0.68656" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03132" FPOGY="0.22194" FPOGS="6111.26221" FPOGD="0.19385" FPOGID="12619" FPOGV="1" LPOGX="1.08639" LPOGY="0.33024" LPOGV="1" RPOGX="1.02484" RPOGY="0.16904" RPOGV="1" BPOGX="1.05561" BPOGY="0.24964" BPOGV="1" LPCX="0.35160" LPCY="0.57458" LPD="20.44743" LPS="1.05554" LPV="1" RPCX="0.58821" RPCY="0.57212" RPD="21.87743" RPS="1.05554" RPV="1" LEYEX="-0.04013" LEYEY="-0.01700" LEYEZ="0.68270" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02050" REYEY="-0.01593" REYEZ="0.65563" RPUPILD="0.00469" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03208" FPOGY="0.22252" FPOGS="6111.26221" FPOGD="0.20215" FPOGID="12619" FPOGV="1" LPOGX="1.08544" LPOGY="0.31206" LPOGV="1" RPOGX="1.02456" RPOGY="0.16812" RPOGV="1" BPOGX="1.05500" BPOGY="0.24009" BPOGV="1" LPCX="0.35159" LPCY="0.57462" LPD="20.57854" LPS="1.05554" LPV="1" RPCX="0.58801" RPCY="0.57235" RPD="22.14886" RPS="1.05554" RPV="1" LEYEX="-0.04013" LEYEY="-0.01700" LEYEZ="0.68270" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02050" REYEY="-0.01593" REYEZ="0.65563" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03292" FPOGY="0.22284" FPOGS="6111.26221" FPOGD="0.20752" FPOGID="12619" FPOGV="1" LPOGX="1.08869" LPOGY="0.30491" LPOGV="1" RPOGX="1.02923" RPOGY="0.16073" RPOGV="1" BPOGX="1.05896" BPOGY="0.23282" BPOGV="1" LPCX="0.35154" LPCY="0.57463" LPD="20.53113" LPS="1.06450" LPV="1" RPCX="0.58799" RPCY="0.57222" RPD="22.12679" RPS="1.06450" RPV="1" LEYEX="-0.04119" LEYEY="-0.01742" LEYEZ="0.69969" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02050" REYEY="-0.01593" REYEZ="0.65563" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03302" FPOGY="0.22306" FPOGS="6111.26221" FPOGD="0.21387" FPOGID="12619" FPOGV="1" LPOGX="1.07072" LPOGY="0.33272" LPOGV="1" RPOGX="1.00186" RPOGY="0.12756" RPOGV="1" BPOGX="1.03629" BPOGY="0.23014" BPOGV="1" LPCX="0.35140" LPCY="0.57479" LPD="20.79286" LPS="1.07346" LPV="1" RPCX="0.58799" RPCY="0.57222" RPD="22.12679" RPS="1.07346" RPV="1" LEYEX="-0.04119" LEYEY="-0.01742" LEYEZ="0.69969" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02050" REYEY="-0.01593" REYEZ="0.65563" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03378" FPOGY="0.22277" FPOGS="6111.26221" FPOGD="0.22070" FPOGID="12619" FPOGV="1" LPOGX="1.10712" LPOGY="0.33660" LPOGV="1" RPOGX="1.01040" RPOGY="0.08962" RPOGV="1" BPOGX="1.05876" BPOGY="0.21311" BPOGV="1" LPCX="0.35136" LPCY="0.57480" LPD="20.83131" LPS="1.08241" LPV="1" RPCX="0.58795" RPCY="0.57233" RPD="22.01224" RPS="1.08241" RPV="1" LEYEX="-0.04119" LEYEY="-0.01742" LEYEZ="0.69969" LPUPILD="0.00455" LPUPILV="1" REYEX="0.02050" REYEY="-0.01593" REYEZ="0.65563" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03455" FPOGY="0.22239" FPOGS="6111.26221" FPOGD="0.22803" FPOGID="12619" FPOGV="1" LPOGX="1.10712" LPOGY="0.33660" LPOGV="1" RPOGX="1.01438" RPOGY="0.08256" RPOGV="1" BPOGX="1.06075" BPOGY="0.20958" BPOGV="1" LPCX="0.35125" LPCY="0.57486" LPD="20.74985" LPS="1.08241" LPV="1" RPCX="0.58785" RPCY="0.57229" RPD="22.10112" RPS="1.09050" RPV="1" LEYEX="-0.03975" LEYEY="-0.01679" LEYEZ="0.67447" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02132" REYEY="-0.01671" REYEZ="0.68345" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03551" FPOGY="0.22246" FPOGS="6111.26221" FPOGD="0.23486" FPOGID="12619" FPOGV="1" LPOGX="1.09589" LPOGY="0.34762" LPOGV="1" RPOGX="1.04222" RPOGY="0.10172" RPOGV="1" BPOGX="1.06906" BPOGY="0.22467" BPOGV="1" LPCX="0.35119" LPCY="0.57490" LPD="20.86949" LPS="1.08154" LPV="1" RPCX="0.58774" RPCY="0.57231" RPD="22.00165" RPS="1.08963" RPV="1" LEYEX="-0.03975" LEYEY="-0.01679" LEYEZ="0.67447" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02132" REYEY="-0.01671" REYEZ="0.68345" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03612" FPOGY="0.22156" FPOGS="6111.26221" FPOGD="0.24121" FPOGID="12619" FPOGV="1" LPOGX="1.08781" LPOGY="0.26808" LPOGV="1" RPOGX="1.02864" RPOGY="0.11051" RPOGV="1" BPOGX="1.05823" BPOGY="0.18929" BPOGV="1" LPCX="0.35110" LPCY="0.57496" LPD="20.85068" LPS="1.08067" LPV="1" RPCX="0.58760" RPCY="0.57248" RPD="22.01809" RPS="1.08876" RPV="1" LEYEX="-0.03975" LEYEY="-0.01679" LEYEZ="0.67447" LPUPILD="0.00457" LPUPILV="1" REYEX="0.02132" REYEY="-0.01671" REYEZ="0.68345" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03676" FPOGY="0.22063" FPOGS="6111.26221" FPOGD="0.24756" FPOGID="12619" FPOGV="1" LPOGX="1.08750" LPOGY="0.26880" LPOGV="1" RPOGX="1.03284" RPOGY="0.10347" RPOGV="1" BPOGX="1.06017" BPOGY="0.18613" BPOGV="1" LPCX="0.35110" LPCY="0.57500" LPD="20.86653" LPS="1.07980" LPV="1" RPCX="0.58772" RPCY="0.57238" RPD="21.37487" RPS="1.09706" RPV="1" LEYEX="-0.04002" LEYEY="-0.01691" LEYEZ="0.67726" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02172" REYEY="-0.01707" REYEZ="0.69799" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03782" FPOGY="0.21978" FPOGS="6111.26221" FPOGD="0.25488" FPOGID="12619" FPOGV="1" LPOGX="1.10718" LPOGY="0.27494" LPOGV="1" RPOGX="1.04916" RPOGY="0.09975" RPOGV="1" BPOGX="1.07817" BPOGY="0.18735" BPOGV="1" LPCX="0.35097" LPCY="0.57502" LPD="20.53301" LPS="1.09706" LPV="1" RPCX="0.58759" RPCY="0.57233" RPD="21.34571" RPS="1.10623" RPV="1" LEYEX="-0.04002" LEYEY="-0.01691" LEYEZ="0.67726" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02172" REYEY="-0.01707" REYEZ="0.69799" RPUPILD="0.00485" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03872" FPOGY="0.21836" FPOGS="6111.26221" FPOGD="0.26123" FPOGID="12619" FPOGV="1" LPOGX="1.09061" LPOGY="0.28197" LPOGV="1" RPOGX="1.05736" RPOGY="0.04407" RPOGV="1" BPOGX="1.07399" BPOGY="0.16302" BPOGV="1" LPCX="0.35085" LPCY="0.57501" LPD="20.56836" LPS="1.10623" LPV="1" RPCX="0.58734" RPCY="0.57244" RPD="22.33489" RPS="1.11539" RPV="1" LEYEX="-0.04002" LEYEY="-0.01691" LEYEZ="0.67726" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02172" REYEY="-0.01707" REYEZ="0.69799" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.03967" FPOGY="0.21682" FPOGS="6111.26221" FPOGD="0.26758" FPOGID="12619" FPOGV="1" LPOGX="1.09695" LPOGY="0.26759" LPOGV="1" RPOGX="1.05781" RPOGY="0.04330" RPOGV="1" BPOGX="1.07738" BPOGY="0.15545" BPOGV="1" LPCX="0.35078" LPCY="0.57505" LPD="20.86225" LPS="1.12435" LPV="1" RPCX="0.58724" RPCY="0.57240" RPD="21.89622" RPS="1.11626" RPV="1" LEYEX="-0.04121" LEYEY="-0.01740" LEYEZ="0.69663" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02017" REYEY="-0.01583" REYEZ="0.65149" RPUPILD="0.00472" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.06379" FPOGY="0.20049" FPOGS="6111.26221" FPOGD="0.26758" FPOGID="12619" FPOGV="0" LPOGX="1.12182" LPOGY="0.26392" LPOGV="1" RPOGX="1.03555" RPOGY="0.08447" RPOGV="1" BPOGX="1.07868" BPOGY="0.17419" BPOGV="1" LPCX="0.35056" LPCY="0.57516" LPD="20.88198" LPS="1.12522" LPV="1" RPCX="0.58718" RPCY="0.57237" RPD="22.03819" RPS="1.10797" RPV="1" LEYEX="-0.04121" LEYEY="-0.01740" LEYEZ="0.69663" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02017" REYEY="-0.01583" REYEZ="0.65149" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.06314" FPOGY="0.21174" FPOGS="6111.26221" FPOGD="0.26758" FPOGID="12619" FPOGV="0" LPOGX="1.11069" LPOGY="0.27587" LPOGV="1" RPOGX="1.01430" RPOGY="0.17013" RPOGV="1" BPOGX="1.06249" BPOGY="0.22300" BPOGV="1" LPCX="0.35046" LPCY="0.57515" LPD="21.05254" LPS="1.11692" LPV="1" RPCX="0.58713" RPCY="0.57237" RPD="22.08789" RPS="1.09967" RPV="1" LEYEX="-0.04121" LEYEY="-0.01740" LEYEZ="0.69663" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02017" REYEY="-0.01583" REYEZ="0.65149" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.06000" FPOGY="0.22107" FPOGS="6111.26221" FPOGD="0.26758" FPOGID="12619" FPOGV="0" LPOGX="1.10153" LPOGY="0.29581" LPOGV="1" RPOGX="1.00589" RPOGY="0.18365" RPOGV="1" BPOGX="1.05371" BPOGY="0.23973" BPOGV="1" LPCX="0.35042" LPCY="0.57526" LPD="20.69828" LPS="1.09176" LPV="1" RPCX="0.58700" RPCY="0.57245" RPD="21.93504" RPS="1.08260" RPV="1" LEYEX="-0.03909" LEYEY="-0.01651" LEYEZ="0.65911" LPUPILD="0.00452" LPUPILV="1" REYEX="0.02098" REYEY="-0.01660" REYEZ="0.67900" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.05598" FPOGY="0.22898" FPOGS="6111.53662" FPOGD="0.02002" FPOGID="12620" FPOGV="1" LPOGX="1.07134" LPOGY="0.33511" LPOGV="1" RPOGX="1.01653" RPOGY="0.17032" RPOGV="1" BPOGX="1.04393" BPOGY="0.25271" BPOGV="1" LPCX="0.35032" LPCY="0.57527" LPD="20.61482" LPS="1.06574" LPV="1" RPCX="0.58688" RPCY="0.57230" RPD="21.85980" RPS="1.07382" RPV="1" LEYEX="-0.03909" LEYEY="-0.01651" LEYEZ="0.65911" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02098" REYEY="-0.01660" REYEZ="0.67900" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.05442" FPOGY="0.23453" FPOGS="6111.53662" FPOGD="0.02686" FPOGID="12620" FPOGV="1" LPOGX="1.09013" LPOGY="0.33224" LPOGV="1" RPOGX="1.00618" RPOGY="0.18119" RPOGV="1" BPOGX="1.04816" BPOGY="0.25671" BPOGV="1" LPCX="0.35020" LPCY="0.57533" LPD="20.74791" LPS="1.05696" LPV="1" RPCX="0.58684" RPCY="0.57233" RPD="21.55025" RPS="1.06505" RPV="1" LEYEX="-0.03909" LEYEY="-0.01651" LEYEZ="0.65911" LPUPILD="0.00453" LPUPILV="1" REYEX="0.02098" REYEY="-0.01660" REYEZ="0.67900" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.05297" FPOGY="0.23889" FPOGS="6111.53662" FPOGD="0.03369" FPOGID="12620" FPOGV="1" LPOGX="1.08981" LPOGY="0.33291" LPOGV="1" RPOGX="1.00169" RPOGY="0.18843" RPOGV="1" BPOGX="1.04575" BPOGY="0.26067" BPOGV="1" LPCX="0.35010" LPCY="0.57534" LPD="20.87911" LPS="1.05609" LPV="1" RPCX="0.58667" RPCY="0.57229" RPD="21.73547" RPS="1.05609" RPV="1" LEYEX="-0.04071" LEYEY="-0.01722" LEYEZ="0.68551" LPUPILD="0.00449" LPUPILV="1" REYEX="0.02025" REYEY="-0.01610" REYEZ="0.66031" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="1.05102" FPOGY="0.23833" FPOGS="6111.53662" FPOGD="0.04053" FPOGID="12620" FPOGV="1" LPOGX="1.06651" LPOGY="0.34739" LPOGV="1" RPOGX="1.01213" RPOGY="0.12257" RPOGV="1" BPOGX="1.03932" BPOGY="0.23498" BPOGV="1" LPCX="0.34988" LPCY="0.57542" LPD="20.62782" LPS="1.06400" LPV="1" RPCX="0.58650" RPCY="0.57236" RPD="22.38100" RPS="1.05591" RPV="1" LEYEX="-0.04071" LEYEY="-0.01722" LEYEZ="0.68551" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02025" REYEY="-0.01610" REYEZ="0.66031" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
